simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mMZeS,mMZyS,mFeZS,mFyZS,mFZeS,mFZyS,mFZeD,mFZyD,mMBeD,mMByD,fFZD,fMBD,fFBS,fFZS,fMZS,fFeBS,fFyBS,fFeZD,fFyZD,fMeZS,fMyZS,fMeBD,fMyBD,fFBeD,fFByD,fMZeD,fMZyD,fFeZS,fFyZS,fFZeS,fFZyS,fFZeD,fFZyD,fMBeD,fMByD,mFBeD,mFByD,mMZeD,mMZyD,fFBeS,fFByS,fMZyS,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.2943179858861371,1.670149399553009,1.375831413666872,udzalá,uidzá,uaĩbi,uadidja,ũmã,uadidja,uurahá,ociuá,udzalá,ociuá,ociuá,uidzá,uidzá,uadidja,uurahá,uadidja,udzalá,uadidja,udzalá,udzalá,uidzá,udzalá,uaĩbi,uadidja,ociuá,uidzá,udzalá,uaĩbi,uurahá,ociuá,uadidja,ũmã,ũmã,udzalá,ociuá,udzalá,uurahá,uidzá,udzalá,uadidja,uaĩbi,udzalá,uaĩbi,uaĩbi,ociuá,uurahá,uaĩbi,udzalá,ociuá,ociuá,ũmã,udzalá,ũmã,udzalá,uaĩbi,ociuá,uurahá,uaĩbi,uadidja,udzalá,uaĩbi,uaidá,aapá,uaci,pãa,ĩdiã,pãa,ĩdiã,pãa,ĩdiã,diá,pãa,uaci,ĩdiã,ĩdiã,pãa,diá,pãa,uaidá,ĩdiã,ĩdiã,uaidá,aapá,diá,aapá,ĩdiã,uaci,pãa,pãa
1,0.4315657501794561,1.7186697222757477,1.2871039720962916,uadidja,uadidja,ociuá,ociuá,ociuá,ũmã,uidzá,udzalá,udzalá,uurahá,uidzá,uaĩbi,uadidja,udzalá,uurahá,uadidja,ũmã,uaĩbi,uadidja,udzalá,uidzá,uidzá,uaĩbi,ociuá,udzalá,uaĩbi,ociuá,ũmã,udzalá,udzalá,ũmã,udzalá,ociuá,udzalá,uadidja,ũmã,uurahá,uidzá,uidzá,uaĩbi,uurahá,uurahá,udzalá,ociuá,uaĩbi,ociuá,uadidja,ociuá,ociuá,uaĩbi,uurahá,udzalá,udzalá,uaĩbi,uaĩbi,udzalá,uadidja,udzalá,uadidja,udzalá,uaĩbi,aapá,pãa,ĩdiã,diá,uaci,pãa,ĩdiã,ĩdiã,uaci,pãa,pãa,pãa,pãa,ĩdiã,ĩdiã,pãa,ĩdiã,aapá,ĩdiã,diá,pãa,uaidá,uaidá,uaci,diá,ĩdiã,aapá,uaidá
2,0.28133519830186593,1.6647687715971764,1.3834335732953105,uurahá,uadidja,ũmã,udzalá,ociuá,ociuá,uadidja,ũmã,ociuá,uurahá,uidzá,udzalá,uaĩbi,uidzá,udzalá,uaĩbi,udzalá,uaĩbi,uaĩbi,uaĩbi,uurahá,uidzá,udzalá,udzalá,ũmã,uaĩbi,uaĩbi,uadidja,uurahá,ociuá,udzalá,udzalá,uaĩbi,udzalá,uurahá,uadidja,uadidja,uaĩbi,uaĩbi,udzalá,ũmã,udzalá,ũmã,udzalá,uadidja,ociuá,uadidja,uurahá,udzalá,uidzá,uadidja,udzalá,ociuá,uadidja,udzalá,ociuá,ociuá,uidzá,ociuá,uidzá,ociuá,pãa,uaidá,diá,ĩdiã,uaci,pãa,ĩdiã,ĩdiã,diá,pãa,aapá,uaci,ĩdiã,pãa,ĩdiã,pãa,uaidá,pãa,uaidá,ĩdiã,uaci,ĩdiã,ĩdiã,diá,pãa,pãa,aapá,aapá
3,0.38224427191388943,1.6562037831278047,1.2739595112139153,uadidja,udzalá,uurahá,uidzá,udzalá,uurahá,udzalá,uidzá,ociuá,uurahá,uaĩbi,ociuá,ũmã,uaĩbi,udzalá,uurahá,uaĩbi,ũmã,uadidja,uaĩbi,ociuá,ociuá,udzalá,ociuá,uidzá,uaĩbi,uidzá,uadidja,uadidja,uurahá,udzalá,uidzá,uadidja,udzalá,udzalá,ociuá,uaĩbi,udzalá,uidzá,ociuá,uadidja,uaĩbi,uaĩbi,uadidja,udzalá,ũmã,udzalá,udzalá,uaĩbi,ũmã,uadidja,uurahá,ociuá,uaĩbi,udzalá,uadidja,udzalá,ũmã,ociuá,udzalá,ociuá,aapá,aapá,diá,pãa,pãa,uaci,pãa,pãa,ĩdiã,ĩdiã,aapá,diá,pãa,uaci,uaidá,ĩdiã,ĩdiã,ĩdiã,ĩdiã,uaci,pãa,ĩdiã,diá,pãa,ĩdiã,uaidá,uaidá,pãa
4,0.28744876668252317,1.6276107390727286,1.3401619723902054,uurahá,uadidja,uaĩbi,uurahá,ociuá,udzalá,uadidja,uadidja,uurahá,ociuá,udzalá,uidzá,uaĩbi,ociuá,uaĩbi,ũmã,ociuá,udzalá,uaĩbi,uidzá,uaĩbi,udzalá,udzalá,uaĩbi,uadidja,udzalá,ociuá,ociuá,uadidja,uaĩbi,udzalá,ociuá,udzalá,uadidja,ũmã,uadidja,uidzá,ũmã,uaĩbi,udzalá,uurahá,udzalá,uaĩbi,udzalá,ociuá,uurahá,ociuá,udzalá,ũmã,udzalá,udzalá,uadidja,ũmã,uidzá,uaĩbi,ociuá,uurahá,udzalá,uidzá,uidzá,uadidja,ĩdiã,ĩdiã,aapá,pãa,uaci,pãa,diá,ĩdiã,pãa,uaci,uaidá,pãa,diá,pãa,diá,ĩdiã,ĩdiã,uaidá,pãa,aapá,ĩdiã,pãa,aapá,pãa,uaidá,uaci,ĩdiã,ĩdiã
5,0.2300800932771423,1.6752877139096591,1.4452076206325168,uaĩbi,udzalá,uurahá,udzalá,uidzá,ũmã,udzalá,uadidja,ociuá,ociuá,udzalá,ũmã,uadidja,udzalá,uadidja,ociuá,udzalá,ũmã,ũmã,uidzá,uidzá,ociuá,udzalá,ũmã,udzalá,ociuá,uurahá,ociuá,uadidja,uurahá,ociuá,uaĩbi,ociuá,ociuá,uadidja,udzalá,udzalá,udzalá,uidzá,udzalá,uidzá,uaĩbi,uurahá,uaĩbi,udzalá,udzalá,uadidja,uaĩbi,uadidja,uaĩbi,ociuá,udzalá,uadidja,uaĩbi,uidzá,uurahá,uaĩbi,uaĩbi,uurahá,uadidja,uaĩbi,uaci,pãa,ĩdiã,ĩdiã,ĩdiã,uaidá,pãa,pãa,pãa,pãa,ĩdiã,aapá,uaidá,diá,ĩdiã,uaci,pãa,diá,ĩdiã,aapá,uaci,ĩdiã,aapá,diá,uaidá,pãa,pãa,ĩdiã
6,0.3041050103464944,1.5979499246775677,1.2938449143310733,uadidja,uurahá,ũmã,uadidja,uurahá,ociuá,uadidja,ociuá,udzalá,uidzá,ũmã,udzalá,uurahá,uidzá,uadidja,uaĩbi,uadidja,uadidja,ociuá,ũmã,ũmã,udzalá,udzalá,uurahá,udzalá,uaĩbi,ociuá,udzalá,uidzá,ũmã,ociuá,udzalá,udzalá,uaĩbi,ociuá,ociuá,uadidja,uidzá,udzalá,uidzá,uaĩbi,udzalá,ociuá,uaĩbi,uaĩbi,uaĩbi,uidzá,uaĩbi,uurahá,udzalá,udzalá,uurahá,udzalá,uaĩbi,ociuá,uadidja,udzalá,uaĩbi,ociuá,udzalá,uadidja,pãa,aapá,ĩdiã,pãa,aapá,uaidá,diá,ĩdiã,diá,uaidá,uaidá,pãa,pãa,uaci,ĩdiã,uaci,pãa,aapá,pãa,ĩdiã,ĩdiã,diá,ĩdiã,pãa,ĩdiã,uaci,pãa,ĩdiã
7,0.32056487478103723,1.723477220495096,1.4029123457140589,uaĩbi,ociuá,uadidja,uadidja,udzalá,uadidja,uaĩbi,udzalá,ociuá,ociuá,uidzá,uaĩbi,ociuá,uaĩbi,ũmã,ociuá,udzalá,udzalá,uurahá,uaĩbi,uadidja,uidzá,ociuá,uaĩbi,uurahá,uadidja,uidzá,udzalá,udzalá,uaĩbi,ũmã,udzalá,ociuá,ũmã,uurahá,uadidja,udzalá,udzalá,uidzá,uadidja,udzalá,ociuá,uurahá,uaĩbi,ũmã,uaĩbi,uidzá,ociuá,udzalá,udzalá,uadidja,uadidja,udzalá,uidzá,udzalá,ociuá,udzalá,uurahá,ũmã,uaĩbi,uurahá,diá,ĩdiã,uaidá,uaci,pãa,pãa,diá,pãa,pãa,ĩdiã,pãa,pãa,aapá,pãa,ĩdiã,ĩdiã,aapá,ĩdiã,uaidá,diá,ĩdiã,ĩdiã,uaidá,pãa,ĩdiã,aapá,uaci,uaci
8,0.3485766678484876,1.6465848833722436,1.298008215523756,uaĩbi,udzalá,ociuá,uidzá,ociuá,uaĩbi,uaĩbi,uaĩbi,udzalá,uurahá,udzalá,udzalá,udzalá,udzalá,udzalá,udzalá,uadidja,ũmã,uidzá,uaĩbi,uidzá,uaĩbi,udzalá,uadidja,ũmã,uaĩbi,udzalá,udzalá,uadidja,uaĩbi,udzalá,ociuá,uadidja,ociuá,udzalá,ociuá,ociuá,ũmã,uidzá,uurahá,udzalá,udzalá,uurahá,ociuá,ociuá,uaĩbi,uaĩbi,uadidja,ũmã,uadidja,uadidja,ociuá,uidzá,ũmã,uurahá,uadidja,uidzá,ociuá,uurahá,uadidja,uurahá,ĩdiã,diá,ĩdiã,diá,ĩdiã,diá,uaci,ĩdiã,uaidá,aapá,ĩdiã,uaidá,uaidá,ĩdiã,aapá,pãa,pãa,ĩdiã,aapá,uaci,uaci,pãa,pãa,pãa,ĩdiã,pãa,pãa,pãa
9,0.36433564752462844,1.4724910759426693,1.1081554284180408,uurahá,uidzá,uidzá,ociuá,uadidja,ũmã,udzalá,uadidja,uadidja,udzalá,uurahá,uaĩbi,udzalá,ũmã,udzalá,ociuá,ociuá,uurahá,uidzá,uadidja,udzalá,ociuá,uadidja,uaĩbi,ũmã,ociuá,uaĩbi,ociuá,ũmã,udzalá,ociuá,uaĩbi,ũmã,udzalá,uidzá,udzalá,uaĩbi,uadidja,uaĩbi,udzalá,uurahá,uaĩbi,udzalá,udzalá,uadidja,ociuá,uidzá,uurahá,udzalá,uadidja,udzalá,uaĩbi,uaĩbi,ociuá,udzalá,udzalá,uadidja,uidzá,uurahá,uaĩbi,ociuá,ĩdiã,ĩdiã,ĩdiã,pãa,pãa,ĩdiã,pãa,uaci,pãa,ĩdiã,aapá,pãa,ĩdiã,diá,uaidá,uaci,uaidá,pãa,pãa,uaidá,uaci,diá,ĩdiã,aapá,aapá,pãa,ĩdiã,diá
