simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.007016107555648743,1.034601232910181,1.0275851253545323,tukaka,tukaka,tukaka,tuai,tuai,tuai,tuai,oˀua,indo,lakiama,indo,lakiama,lakiama,lakiina,lakiama,lakiina,lakiina,lakiama,lakiina,lakiina,lakiama,lakiama,oˀua,lakiina,lakiama,lakiina,lakiina
1,0.08878194993480426,0.9799711820833054,0.8911892321485011,tukaka,tukaka,tuai,tukaka,tuai,tuai,tuai,lakiina,oˀua,lakiama,lakiama,lakiina,lakiama,lakiina,oˀua,lakiina,indo,lakiama,lakiina,lakiama,lakiama,lakiama,lakiina,indo,lakiina,lakiina,lakiama
2,0.004143433819589926,0.5982695885852573,0.5941261547656673,tukaka,tukaka,tuai,tuai,tuai,tuai,tukaka,lakiina,lakiina,indo,lakiina,lakiina,lakiama,lakiama,lakiina,lakiama,lakiama,lakiama,lakiina,lakiama,lakiama,indo,oˀua,lakiama,lakiina,oˀua,lakiina
3,0.007016107555648743,1.0346012329101812,1.0275851253545325,tukaka,tukaka,tukaka,tuai,tuai,tuai,tuai,lakiama,lakiina,indo,lakiama,indo,lakiina,lakiama,lakiama,lakiina,lakiama,lakiina,oˀua,lakiama,lakiina,lakiina,lakiina,oˀua,lakiina,lakiama,lakiama
4,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,tuai,tukaka,tukaka,tuai,tuai,tuai,tukaka,lakiina,indo,indo,lakiina,lakiama,lakiina,lakiama,lakiama,lakiina,lakiina,oˀua,oˀua,lakiama,lakiina,lakiama,lakiina,lakiama,lakiama,lakiina,lakiama
5,0.014032215111297708,1.376055285260417,1.3620230701491194,tuai,tukaka,tuai,tuai,tukaka,tuai,tukaka,oˀua,lakiama,lakiina,indo,lakiama,lakiama,lakiama,lakiama,oˀua,lakiama,lakiina,indo,lakiina,lakiama,lakiina,lakiama,lakiina,lakiina,lakiina,lakiina
6,0.08878194993480448,1.0789922078775833,0.9902102579427788,tuai,tukaka,tuai,tukaka,tukaka,tuai,tuai,lakiina,lakiina,lakiama,indo,lakiama,lakiina,lakiama,lakiama,lakiina,lakiama,oˀua,lakiina,indo,lakiina,lakiama,lakiama,oˀua,lakiina,lakiama,lakiina
7,0.027135791552279853,0.5982695885852573,0.5711337970329774,tukaka,tuai,tukaka,tukaka,tuai,tuai,tuai,lakiama,lakiama,lakiina,lakiama,lakiina,lakiina,lakiama,lakiama,lakiama,lakiina,lakiina,lakiina,oˀua,oˀua,indo,lakiama,lakiina,indo,lakiina,lakiama
8,0.014032215111297486,1.376055285260417,1.3620230701491196,tuai,tuai,tukaka,tukaka,tuai,tukaka,tuai,lakiina,oˀua,lakiama,indo,lakiama,lakiama,lakiama,lakiina,indo,lakiama,lakiama,lakiina,lakiina,lakiina,lakiina,lakiama,lakiama,oˀua,lakiina,lakiina
9,0.36157373634686696,0.9799711820833054,0.6183974457364384,tuai,tuai,tukaka,tuai,tuai,tukaka,tukaka,oˀua,lakiina,lakiama,lakiama,oˀua,lakiina,lakiama,lakiina,lakiina,indo,lakiama,lakiina,lakiina,lakiama,indo,lakiama,lakiama,lakiina,lakiina,lakiama
