simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.041031625463453514,1.1338096288475135,1.09277800338406,kunia,ima,kunia,ima,kunia,kiwira,kunia,kiwira,kunia,ima,ima,ima,kunia,kunia,ima,ima,kunia,ima,kunia,paya,kunia,paya,ima,ima,kunia,kunia,ima,ima,kunia,kunia,kunia,ima,kunia,ima,ima,ima,kunia,kunia,kunia,ima,ima,kunia,kunia,ima,ima,ima,ima,kunia,kunia,ima,ima,ima,imua,kunia,kunia,kunia,ima,ima,kunia,ima,kunia,ima,ima,kunia,kunia,kunia,ima,kunia,kunia,kunia,kunia,kunia,kunia,kunia,imua,ima,ima,kiwira,kunia,ima,ima,ima,ima,kunia,ima,kunia,paya,ima,kunia,pai,mamakira,pai,mama,mamakira,patiri,mamakira,pai,pai,mama,mamakira,pai,pai,mamakira,pai,mamakira,pai,pai,mamakira,mamakira,mamakira,pai,mamakira,pai,mamakira,patiri,pai,mamakira
1,0.14257783643717692,1.1099733714960365,0.9673955350588596,ima,ima,ima,ima,kunia,kunia,kunia,ima,ima,ima,kunia,ima,imua,kunia,kunia,kunia,ima,ima,kunia,ima,ima,kunia,kunia,kunia,ima,kunia,ima,kiwira,ima,ima,ima,ima,paya,kunia,kunia,ima,ima,kunia,ima,kunia,kunia,kiwira,kunia,kunia,kunia,kunia,kunia,kunia,ima,kunia,ima,kunia,ima,kunia,ima,ima,kiwira,ima,ima,kunia,kunia,kunia,kunia,kunia,kunia,kunia,paya,kunia,kunia,ima,ima,ima,paya,imua,kunia,kunia,ima,ima,kunia,ima,kunia,kunia,kunia,ima,ima,ima,ima,ima,kunia,mama,pai,mamakira,pai,mamakira,mamakira,mamakira,mamakira,mamakira,pai,patiri,mamakira,mamakira,mamakira,mamakira,pai,pai,pai,mama,pai,pai,mamakira,mamakira,pai,pai,patiri,pai,pai
2,0.12176608392087629,1.0573285773331893,0.935562493412313,ima,kunia,kunia,kunia,ima,ima,kunia,kunia,ima,ima,kunia,ima,kunia,kunia,ima,kunia,ima,ima,ima,ima,ima,ima,ima,ima,kunia,ima,ima,ima,kunia,kiwira,kunia,ima,ima,kunia,ima,imua,kunia,kunia,ima,ima,ima,kunia,ima,ima,ima,paya,kunia,kunia,kunia,ima,kunia,kunia,ima,kunia,kunia,kunia,kunia,kiwira,paya,kunia,kiwira,kunia,kunia,imua,ima,ima,kunia,kunia,kunia,kunia,kunia,ima,ima,paya,kunia,kunia,kunia,ima,kunia,kunia,kunia,ima,kunia,kunia,ima,ima,ima,kunia,ima,pai,mamakira,mamakira,pai,mamakira,mamakira,pai,pai,pai,mamakira,pai,pai,mamakira,mamakira,mamakira,mama,mama,pai,pai,mamakira,mamakira,patiri,mamakira,pai,patiri,mamakira,pai,pai
3,0.06022451365327863,1.1118550885980456,1.051630574944767,kunia,ima,kunia,ima,kunia,kunia,ima,ima,kunia,ima,kunia,kunia,kunia,ima,kunia,kunia,kunia,ima,kunia,ima,kunia,kunia,kunia,ima,kunia,kunia,ima,imua,ima,ima,ima,ima,kiwira,kunia,ima,ima,kiwira,ima,kunia,kunia,ima,ima,ima,kiwira,ima,kunia,ima,kunia,ima,ima,kunia,kunia,kunia,kunia,kunia,imua,ima,ima,ima,ima,ima,paya,kunia,ima,ima,ima,kunia,kunia,kunia,ima,kunia,kunia,kunia,kunia,kunia,kunia,kunia,paya,ima,ima,kunia,ima,kunia,kunia,ima,kunia,paya,ima,ima,mama,mamakira,pai,pai,pai,mamakira,mamakira,mamakira,pai,mamakira,pai,mamakira,pai,patiri,mamakira,mamakira,mama,mamakira,pai,pai,pai,pai,pai,pai,mamakira,mamakira,patiri,mamakira
4,0.08537840475253278,1.102144502664999,1.0167660979124662,paya,ima,kunia,kunia,kunia,kunia,kunia,kiwira,kunia,ima,ima,kunia,kunia,ima,kunia,kunia,kunia,ima,ima,kunia,kunia,kunia,kunia,kunia,ima,paya,ima,ima,kiwira,ima,paya,kunia,ima,kunia,kunia,kunia,kunia,ima,ima,kunia,kunia,ima,kiwira,ima,ima,ima,kunia,kunia,kunia,ima,imua,kunia,kunia,kunia,imua,kunia,ima,kunia,kunia,ima,kunia,kunia,kunia,ima,kunia,ima,ima,kunia,ima,ima,ima,ima,kunia,kunia,ima,ima,kunia,ima,ima,kunia,ima,ima,kunia,ima,ima,ima,ima,ima,ima,pai,mamakira,mamakira,mamakira,mamakira,pai,pai,mamakira,mamakira,pai,mamakira,mamakira,pai,patiri,mama,pai,pai,mamakira,patiri,pai,pai,mamakira,mamakira,pai,mamakira,mama,pai,pai
5,0.0878522177249833,1.078656715038949,0.9908044973139657,ima,ima,ima,ima,ima,ima,kunia,kunia,ima,ima,ima,kunia,kunia,kunia,ima,ima,ima,ima,ima,paya,kunia,ima,kunia,kunia,kunia,kunia,ima,ima,kunia,ima,kunia,kunia,kunia,kunia,kunia,kunia,kunia,kunia,ima,ima,kunia,ima,kunia,ima,kunia,kunia,imua,kunia,kunia,ima,kiwira,kunia,ima,ima,ima,kunia,kunia,ima,kunia,ima,ima,ima,kunia,ima,ima,paya,kunia,ima,kunia,kunia,kunia,ima,kiwira,kunia,ima,kunia,ima,kunia,ima,paya,ima,kunia,kunia,kunia,imua,kiwira,ima,kunia,kunia,mamakira,pai,mama,pai,pai,pai,pai,mama,mamakira,mamakira,mamakira,mamakira,pai,pai,mamakira,mamakira,mamakira,pai,pai,pai,mamakira,pai,patiri,mamakira,mamakira,patiri,mamakira,pai
6,0.169181260678131,1.162367529001544,0.9931862683234131,ima,ima,kunia,ima,kunia,ima,kunia,ima,ima,kunia,kunia,paya,kunia,ima,kunia,kunia,kunia,kunia,kunia,kunia,kunia,kunia,kunia,kunia,ima,ima,ima,ima,ima,ima,kunia,ima,ima,kunia,kunia,kunia,kunia,kunia,kunia,kunia,kunia,ima,ima,ima,kunia,ima,kunia,ima,imua,kunia,ima,kiwira,ima,kunia,ima,kunia,ima,ima,kiwira,kiwira,kunia,paya,ima,ima,ima,kunia,ima,kunia,kunia,kunia,ima,ima,ima,ima,kunia,kunia,ima,kunia,kunia,kunia,paya,ima,ima,kunia,kunia,imua,ima,ima,ima,patiri,patiri,mamakira,mamakira,mamakira,pai,mamakira,mamakira,mamakira,pai,mamakira,pai,mamakira,pai,pai,mama,mama,pai,pai,mamakira,pai,mamakira,pai,mamakira,pai,pai,pai,mamakira
7,0.04988576796101052,1.0514213386944258,1.0015355707334153,kunia,kunia,kunia,kunia,ima,kunia,ima,ima,kunia,ima,kunia,ima,kunia,kunia,paya,kunia,ima,ima,imua,ima,kunia,kunia,paya,ima,kunia,ima,kunia,kunia,kiwira,ima,kunia,kunia,ima,ima,kunia,kunia,kunia,kunia,kunia,ima,kunia,ima,ima,ima,kunia,ima,kunia,ima,kunia,kunia,paya,kunia,imua,ima,kunia,kunia,ima,ima,ima,kunia,kunia,ima,ima,ima,ima,kunia,ima,ima,ima,kunia,kunia,kunia,kiwira,ima,ima,kunia,ima,kunia,kunia,kunia,ima,ima,kunia,kiwira,kunia,ima,ima,ima,ima,mamakira,pai,mamakira,pai,pai,mamakira,mamakira,mamakira,patiri,mama,mamakira,patiri,pai,mamakira,mama,mamakira,mamakira,pai,mamakira,pai,pai,pai,mamakira,pai,pai,pai,pai,mamakira
8,0.024510539950895582,0.9894274719378933,0.9649169319869977,ima,kunia,ima,kunia,kunia,ima,kunia,ima,ima,kunia,imua,ima,kunia,kunia,ima,kunia,ima,kunia,ima,ima,kunia,kunia,kiwira,kunia,imua,ima,kunia,kunia,ima,paya,kunia,paya,ima,ima,kunia,kunia,kunia,ima,kunia,ima,ima,ima,ima,kunia,ima,ima,kunia,kunia,kunia,ima,kunia,kunia,ima,ima,kunia,kunia,ima,ima,ima,kunia,kunia,kunia,ima,ima,kunia,ima,ima,kunia,ima,kunia,kunia,kunia,kunia,ima,paya,ima,ima,ima,kunia,kunia,kunia,kiwira,kunia,kunia,ima,ima,ima,kiwira,kunia,pai,mamakira,mamakira,pai,mamakira,pai,patiri,mama,pai,pai,mamakira,pai,patiri,mamakira,mamakira,mamakira,mamakira,mamakira,mamakira,pai,pai,mama,mamakira,pai,pai,pai,mamakira,pai
9,0.0593215366050851,1.0336469590312438,0.9743254224261587,kunia,kunia,kunia,kunia,kunia,kunia,kunia,paya,paya,ima,ima,kunia,ima,kunia,ima,ima,ima,kunia,kunia,ima,kunia,ima,kunia,ima,ima,kunia,ima,kunia,kunia,ima,ima,kunia,kunia,kunia,ima,ima,kunia,ima,kiwira,kiwira,ima,kunia,ima,kunia,kunia,kunia,kunia,kunia,ima,ima,kunia,ima,kunia,ima,ima,kunia,kunia,ima,ima,kunia,ima,kunia,imua,ima,ima,kunia,ima,kunia,ima,kunia,kunia,kiwira,kunia,kunia,ima,ima,imua,ima,kunia,ima,ima,kunia,ima,ima,ima,paya,kunia,ima,kunia,mamakira,mamakira,pai,mamakira,pai,mamakira,pai,pai,patiri,mamakira,mama,pai,pai,mama,pai,pai,mamakira,mamakira,pai,pai,patiri,mamakira,mamakira,mamakira,pai,mamakira,mamakira,pai
