simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.08878194993480415,1.3760552852604169,1.2872733353256127,tue-,tue-,haqe-,tue-,haqe-,haqe-,haqe-,retahi-,toga-,ede-,tama-,tama-,toga-,tama-,retahi-,ede-,retahi-,toga-,toga-,retahi-,tama-,ede-,retahi-,retahi-,tama-,tama-,ede-
1,0.014032215111297597,0.9799711820833055,0.9659389669720079,haqe-,haqe-,haqe-,tue-,haqe-,tue-,tue-,retahi-,toga-,tama-,tama-,retahi-,ede-,toga-,retahi-,toga-,tama-,ede-,retahi-,toga-,tama-,retahi-,tama-,tama-,retahi-,ede-,ede-
2,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,haqe-,tue-,tue-,haqe-,tue-,haqe-,haqe-,retahi-,ede-,retahi-,ede-,toga-,toga-,retahi-,tama-,tama-,tama-,retahi-,tama-,tama-,tama-,retahi-,retahi-,ede-,toga-,ede-,toga-
3,0.007016107555648743,1.034601232910181,1.0275851253545323,haqe-,tue-,haqe-,tue-,haqe-,haqe-,tue-,toga-,tama-,tama-,ede-,retahi-,ede-,ede-,tama-,tama-,retahi-,ede-,tama-,retahi-,retahi-,toga-,toga-,toga-,tama-,retahi-,retahi-
4,0.007016107555648965,1.0346012329101812,1.0275851253545323,tue-,haqe-,tue-,haqe-,haqe-,tue-,haqe-,ede-,retahi-,retahi-,toga-,toga-,tama-,tama-,tama-,tama-,retahi-,ede-,ede-,toga-,retahi-,tama-,retahi-,toga-,retahi-,ede-,tama-
5,0.04439097496740241,1.0346012329101812,0.9902102579427788,tue-,haqe-,tue-,tue-,haqe-,haqe-,haqe-,toga-,ede-,toga-,tama-,tama-,retahi-,toga-,retahi-,retahi-,tama-,ede-,retahi-,tama-,ede-,tama-,tama-,retahi-,ede-,retahi-,toga-
6,0.04439097496740241,1.0346012329101812,0.9902102579427788,tue-,haqe-,haqe-,tue-,haqe-,tue-,haqe-,ede-,retahi-,toga-,retahi-,ede-,tama-,toga-,ede-,tama-,tama-,retahi-,toga-,retahi-,retahi-,toga-,tama-,tama-,retahi-,ede-,tama-
7,0.04439097496740241,1.0346012329101812,0.9902102579427788,tue-,haqe-,haqe-,haqe-,tue-,tue-,haqe-,ede-,retahi-,retahi-,tama-,retahi-,tama-,ede-,tama-,tama-,ede-,toga-,retahi-,tama-,toga-,toga-,toga-,retahi-,retahi-,ede-,tama-
8,0.014032215111297708,1.376055285260417,1.3620230701491194,tue-,haqe-,haqe-,haqe-,haqe-,tue-,tue-,retahi-,ede-,toga-,tama-,retahi-,toga-,retahi-,ede-,ede-,toga-,tama-,tama-,ede-,retahi-,tama-,toga-,tama-,retahi-,tama-,retahi-
9,0.007016107555648743,1.034601232910181,1.0275851253545323,tue-,tue-,haqe-,haqe-,haqe-,haqe-,tue-,retahi-,tama-,ede-,retahi-,retahi-,tama-,toga-,tama-,toga-,toga-,tama-,tama-,retahi-,toga-,tama-,ede-,retahi-,retahi-,ede-,ede-
