simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFyZS,mFeBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMBeD,mMByD,mMZeD,mMZyD,mFeZS,mFyBD,mMyZS,mMZyS,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,fFeZS,fMyZS,fMZyS,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.0640604038402397,1.1004693039020752,1.0364089000618355,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,Brudder,koseng,koseng,koseng,Cousin,koseng,Brudder,koseng,Cousin,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,Brudder,koseng,koseng,Schwester,Schwester,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,mattant,mattant,monnonk,monnonk,monnonk,mattant,monnonk,monnonk,mattant,monnonk,mattant,mattant,Mamm,monnonk,mattant,Papp,mattant,monnonk,Mamm,monnonk,monnonk,mattant,mattant,mattant,mattant,monnonk,Papp,monnonk
1,0.04702524165322619,1.1413221807534213,1.094296939100195,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Cousin,koseng,Brudder,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,Cousin,koseng,monnonk,monnonk,mattant,monnonk,Mamm,mattant,monnonk,mattant,monnonk,mattant,monnonk,monnonk,monnonk,monnonk,Papp,mattant,mattant,monnonk,monnonk,Mamm,mattant,mattant,Papp,mattant,mattant,monnonk,mattant,mattant
2,0.04215635902207082,1.083823285909609,1.0416669268875383,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,Cousin,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,Cousin,Schwester,koseng,koseng,monnonk,Mamm,monnonk,mattant,mattant,mattant,mattant,monnonk,monnonk,mattant,mattant,monnonk,mattant,Papp,Mamm,mattant,monnonk,monnonk,mattant,mattant,monnonk,mattant,mattant,monnonk,Papp,monnonk,monnonk,monnonk
3,0.034892432001619955,1.0862221665753986,1.0513297345737787,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,Schwester,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,Brudder,Brudder,koseng,Schwester,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,Cousin,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Cousin,koseng,koseng,koseng,koseng,koseng,mattant,Mamm,monnonk,mattant,monnonk,mattant,mattant,mattant,monnonk,mattant,mattant,mattant,mattant,mattant,monnonk,Papp,monnonk,monnonk,mattant,monnonk,monnonk,monnonk,mattant,monnonk,monnonk,monnonk,Papp,Mamm
4,0.04728728785690883,1.0841915396665787,1.0369042518096698,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,Brudder,Schwester,koseng,koseng,Brudder,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Cousin,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,Cousin,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,monnonk,mattant,mattant,mattant,monnonk,monnonk,monnonk,mattant,mattant,mattant,monnonk,Papp,mattant,monnonk,monnonk,monnonk,mattant,monnonk,Papp,mattant,Mamm,mattant,mattant,monnonk,monnonk,Mamm,monnonk,mattant
5,0.02388081113073426,1.0329324827187583,1.009051671588024,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,Schwester,koseng,Cousin,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Cousin,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,Brudder,Brudder,koseng,koseng,Schwester,koseng,koseng,Brudder,koseng,koseng,monnonk,mattant,mattant,monnonk,monnonk,mattant,mattant,mattant,mattant,Papp,Papp,Mamm,monnonk,monnonk,mattant,monnonk,mattant,monnonk,monnonk,monnonk,mattant,monnonk,mattant,monnonk,mattant,monnonk,mattant,Mamm
6,0.06651451957142662,1.050699420354358,0.9841849007829314,koseng,koseng,koseng,koseng,Schwester,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,Cousin,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,Brudder,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,Cousin,koseng,koseng,koseng,koseng,Schwester,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,monnonk,monnonk,mattant,monnonk,monnonk,mattant,monnonk,mattant,Papp,monnonk,mattant,mattant,monnonk,monnonk,Mamm,mattant,mattant,monnonk,mattant,mattant,mattant,monnonk,monnonk,mattant,monnonk,mattant,Mamm,Papp
7,0.03635440553388547,0.9922314713153704,0.9558770657814849,koseng,Brudder,koseng,koseng,Schwester,Schwester,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,koseng,Brudder,koseng,Cousin,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,Cousin,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,monnonk,mattant,mattant,mattant,mattant,monnonk,monnonk,mattant,Mamm,mattant,Mamm,mattant,mattant,mattant,monnonk,mattant,monnonk,monnonk,mattant,monnonk,mattant,Papp,Papp,monnonk,monnonk,monnonk,monnonk,monnonk
8,0.028214463116143174,1.0830864648769403,1.054872001760797,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,Cousin,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,Schwester,koseng,koseng,koseng,Brudder,koseng,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Cousin,koseng,koseng,Schwester,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,monnonk,mattant,mattant,monnonk,mattant,monnonk,monnonk,Papp,monnonk,mattant,mattant,mattant,Mamm,Papp,mattant,monnonk,mattant,Mamm,mattant,monnonk,monnonk,monnonk,monnonk,mattant,mattant,mattant,monnonk,monnonk
9,0.05851573974042479,1.0657187587349708,1.007203018994546,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Cousin,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Brudder,koseng,koseng,Brudder,koseng,Cousin,Brudder,koseng,Schwester,koseng,Brudder,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,Schwester,Schwester,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,koseng,Schwester,koseng,koseng,koseng,koseng,monnonk,Papp,mattant,monnonk,mattant,mattant,monnonk,Papp,monnonk,mattant,monnonk,monnonk,mattant,mattant,mattant,mattant,mattant,monnonk,mattant,monnonk,mattant,monnonk,mattant,monnonk,monnonk,Mamm,monnonk,Mamm
