simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,meB,feB,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.17152648785031754,1.680279782517852,1.5087532946675344,bratovčed,bratovčed,kaka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčed,bratovčed,sestra,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčedka,brat,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčed,kaka,batko,bratovčed,bratovčed,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčedka,sestra,bratovčed,bratovčed,bratovčedka,brat,bratovčed,bratovčedka,bratovčedka,brat,batko,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,sestra,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčedka,brat,bratovčed,sestra,bratovčedka,bratovčedka,vujčo,čičo,vujčo,tetka,lelja,vujčo,lelja,lelja,tetka,čičo,vujčo,vujčo,čičo,majka,čičo,čičo,tetka,lelja,bašta,tetka,vujčo,tetka,bašta,čičo,lelja,lelja,tetka,majka
1,0.1862447828750613,1.6795062816278243,1.493261498752763,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčedka,brat,bratovčedka,bratovčedka,batko,bratovčed,bratovčedka,bratovčed,brat,bratovčed,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,batko,kaka,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčedka,kaka,bratovčedka,bratovčedka,sestra,bratovčedka,bratovčed,brat,brat,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,sestra,bratovčed,bratovčed,bratovčedka,sestra,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,sestra,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčed,vujčo,tetka,majka,lelja,vujčo,čičo,čičo,vujčo,čičo,lelja,lelja,lelja,lelja,vujčo,bašta,tetka,tetka,tetka,tetka,majka,lelja,bašta,tetka,vujčo,čičo,čičo,vujčo,čičo
2,0.13852691605761502,1.6237773051526907,1.4852503890950757,brat,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčed,sestra,bratovčed,bratovčedka,bratovčedka,batko,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,sestra,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,brat,sestra,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčed,brat,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčed,kaka,bratovčedka,brat,kaka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčedka,sestra,bratovčed,bratovčedka,bratovčedka,bratovčed,batko,bratovčedka,bratovčed,čičo,lelja,čičo,čičo,lelja,vujčo,bašta,vujčo,tetka,tetka,vujčo,čičo,majka,tetka,bašta,lelja,lelja,tetka,lelja,vujčo,čičo,majka,čičo,tetka,vujčo,tetka,vujčo,lelja
3,0.1354779764831171,1.6868684565303673,1.5513904800472502,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčedka,sestra,bratovčedka,bratovčedka,bratovčed,bratovčed,kaka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,batko,bratovčedka,bratovčedka,sestra,bratovčed,bratovčed,brat,bratovčed,bratovčed,bratovčedka,bratovčedka,sestra,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčed,sestra,bratovčedka,bratovčed,brat,bratovčed,bratovčedka,batko,bratovčed,kaka,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčedka,brat,bratovčed,bratovčed,bratovčedka,bratovčed,brat,bratovčedka,bratovčedka,bratovčed,bratovčedka,vujčo,lelja,čičo,vujčo,vujčo,tetka,lelja,bašta,čičo,vujčo,lelja,lelja,tetka,tetka,čičo,tetka,majka,čičo,čičo,bašta,tetka,majka,vujčo,lelja,tetka,vujčo,čičo,lelja
4,0.15847515123237255,1.613276002050303,1.4548008508179304,bratovčedka,bratovčedka,bratovčedka,bratovčedka,brat,bratovčed,bratovčedka,batko,bratovčedka,bratovčed,brat,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,brat,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,batko,bratovčed,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,kaka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčed,sestra,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,sestra,bratovčedka,bratovčedka,bratovčed,bratovčedka,sestra,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,kaka,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčed,sestra,bratovčedka,bratovčedka,bratovčed,brat,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,čičo,čičo,čičo,tetka,tetka,tetka,vujčo,lelja,lelja,vujčo,lelja,bašta,majka,vujčo,vujčo,čičo,lelja,vujčo,čičo,lelja,vujčo,bašta,tetka,tetka,tetka,majka,čičo,lelja
5,0.1354384161903699,1.6919270585295667,1.5564886423391968,brat,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,brat,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,sestra,sestra,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,batko,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,brat,bratovčed,bratovčedka,bratovčedka,bratovčed,sestra,bratovčedka,bratovčedka,bratovčedka,brat,bratovčed,kaka,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,sestra,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,batko,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčed,kaka,bratovčed,bratovčedka,bratovčed,lelja,bašta,tetka,čičo,čičo,lelja,bašta,lelja,čičo,čičo,tetka,tetka,lelja,vujčo,majka,vujčo,vujčo,tetka,tetka,vujčo,lelja,vujčo,čičo,vujčo,tetka,čičo,lelja,majka
6,0.11901855363377956,1.6322322439575665,1.513213690323787,sestra,bratovčedka,bratovčed,sestra,bratovčedka,bratovčed,bratovčed,bratovčedka,brat,bratovčed,bratovčed,bratovčed,brat,batko,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,sestra,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčed,brat,bratovčedka,bratovčedka,bratovčed,kaka,bratovčed,bratovčed,batko,bratovčedka,bratovčedka,bratovčed,sestra,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,kaka,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčedka,brat,lelja,vujčo,lelja,čičo,tetka,tetka,tetka,lelja,lelja,tetka,čičo,tetka,čičo,tetka,bašta,čičo,čičo,vujčo,vujčo,vujčo,lelja,bašta,majka,lelja,majka,vujčo,vujčo,čičo
7,0.11079666660353871,1.680279782517852,1.5694831159143132,bratovčedka,batko,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,brat,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčedka,kaka,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,sestra,bratovčed,bratovčedka,batko,bratovčedka,brat,bratovčedka,bratovčedka,bratovčed,brat,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,brat,bratovčed,sestra,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,kaka,bratovčed,sestra,bratovčedka,bratovčed,bratovčed,sestra,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčed,bratovčed,bratovčed,vujčo,čičo,lelja,bašta,tetka,čičo,čičo,vujčo,majka,čičo,tetka,čičo,tetka,majka,tetka,vujčo,lelja,lelja,vujčo,tetka,lelja,tetka,vujčo,bašta,lelja,lelja,čičo,vujčo
8,0.2160317463761614,1.7281324875806552,1.5121007412044938,sestra,bratovčedka,brat,bratovčed,kaka,bratovčedka,brat,bratovčedka,bratovčed,sestra,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčedka,brat,brat,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčedka,batko,bratovčed,batko,bratovčedka,bratovčed,sestra,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,sestra,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčed,kaka,bratovčed,bratovčed,bratovčedka,tetka,tetka,tetka,lelja,lelja,bašta,čičo,lelja,čičo,čičo,tetka,lelja,vujčo,vujčo,čičo,bašta,majka,lelja,majka,vujčo,čičo,čičo,lelja,vujčo,tetka,tetka,vujčo,vujčo
9,0.17084534461978684,1.727420671417748,1.5565753267979612,bratovčedka,bratovčed,brat,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčed,kaka,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčedka,sestra,bratovčedka,bratovčed,kaka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčed,brat,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčed,bratovčedka,batko,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčed,bratovčedka,bratovčedka,bratovčedka,bratovčedka,brat,bratovčedka,bratovčedka,bratovčedka,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,bratovčedka,bratovčedka,bratovčed,sestra,bratovčed,bratovčed,bratovčed,bratovčed,bratovčedka,batko,sestra,bratovčed,bratovčed,bratovčedka,bratovčed,bratovčed,bratovčed,sestra,brat,čičo,tetka,bašta,vujčo,vujčo,majka,majka,čičo,vujčo,lelja,lelja,vujčo,tetka,vujčo,čičo,lelja,lelja,vujčo,bašta,čičo,tetka,tetka,tetka,lelja,tetka,čičo,lelja,čičo
