simulation_number,mutual_information,entropy,conditional_entropy,mB,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09381355253890344,1.6817536016259416,1.5879400490870381,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ,ba-dã,bãapo,bãapo,bãapo,bæ̃te,bãapo,ba-dã,badã,bæ̃po,bæ̃te,bæ̃te,bæ̃te,bæ,ba-dã,ba-dã,ba-dã,badã,ba-dã,bæ,bãapo,bæ̃te,bæ,bæ̃po,bãapo,bæ,bæ,bæ̃te
1,0.13260113045658262,1.7080032350065397,1.575402104549957,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ,bæ,bæ̃te,bæ̃po,bæ̃te,ba-dã,ba-dã,ba-dã,bæ̃te,bãapo,bãapo,bæ,badã,ba-dã,bãapo,badã,bæ̃te,bãapo,bãapo,bæ̃po,bæ,bæ̃te,ba-dã,bæ,bæ,bæ̃te,ba-dã,bãapo
2,0.07358608887102758,1.6446467916948235,1.571060702823796,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bãapo,bæ̃te,bãapo,bãapo,bæ̃te,bæ̃te,bæ̃po,badã,bãapo,ba-dã,ba-dã,bæ̃te,bæ,ba-dã,bæ,ba-dã,bæ,bæ̃te,bæ,bæ,bãapo,bãapo,badã,ba-dã,ba-dã,bæ̃te,bæ,bæ̃po
3,0.051165830065649676,1.670395917211765,1.6192300871461154,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bãapo,bæ,badã,bæ̃te,bãapo,bæ̃te,bæ,bãapo,bæ̃te,ba-dã,bæ̃te,ba-dã,ba-dã,bãapo,bæ̃te,badã,bãapo,bæ,bæ,bãapo,bæ̃po,ba-dã,bæ,bæ̃po,ba-dã,ba-dã,bæ,bæ̃te
4,0.06326796894379183,1.7052256811458335,1.6419577122020417,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃te,bæ,bãapo,bæ,bæ̃te,badã,bæ̃te,badã,ba-dã,ba-dã,bæ̃po,bãapo,bæ̃te,bæ,ba-dã,ba-dã,bæ,bãapo,bãapo,bæ̃po,bæ̃te,ba-dã,bæ̃te,bãapo,bæ,ba-dã,bæ,bãapo
5,0.12697060876268917,1.7099555603367806,1.5829849515740915,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃te,bãapo,bæ,ba-dã,bæ̃po,badã,ba-dã,bæ,bãapo,bæ̃te,bæ,bæ,bæ̃te,bãapo,bæ̃te,bæ̃po,bæ,bæ̃te,bæ̃te,ba-dã,ba-dã,bãapo,ba-dã,ba-dã,bæ,bãapo,badã,bãapo
6,0.13876837088554406,1.647748284523877,1.5089799136383328,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ,badã,bãapo,bãapo,bæ,bãapo,bæ̃te,bæ,ba-dã,bæ̃te,ba-dã,badã,bæ,bæ̃te,bæ,bãapo,bãapo,ba-dã,bãapo,bæ̃te,bæ̃po,ba-dã,bæ̃te,bæ̃po,ba-dã,bæ,ba-dã,bæ̃te
7,0.1333987443412985,1.6452198130413904,1.511821068700092,biwĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃te,bæ̃te,bãapo,bãapo,bæ̃te,ba-dã,bæ̃te,bæ,bæ̃po,ba-dã,bãapo,bãapo,bæ̃po,bæ,ba-dã,bæ,bæ,ba-dã,ba-dã,ba-dã,badã,bæ,bæ,badã,bæ̃te,bãapo,bãapo,bæ̃te
8,0.1517736227025579,1.718282754228452,1.566509131525894,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,badã,ba-dã,bãapo,bæ̃po,bæ̃te,ba-dã,bæ̃te,bæ,ba-dã,bæ̃te,bæ,bæ̃te,bæ,ba-dã,bæ,bãapo,bãapo,badã,bãapo,bãapo,ba-dã,ba-dã,bæ̃te,bãapo,bæ̃po,bæ,bæ̃te,bæ
9,0.11145699700804301,1.7018188050406613,1.5903618080326183,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,biwĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,biwĩ-ke,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,tõdĩya-kã,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,bæ̃gĩ,ba-dã,bæ̃te,bæ̃te,ba-dã,bæ̃po,bæ̃te,ba-dã,bæ,bãapo,bãapo,bãapo,bãapo,bæ,ba-dã,bæ,bæ,ba-dã,badã,bæ̃te,bãapo,bæ,bæ,badã,bæ̃po,bæ̃te,ba-dã,bãapo,bæ̃te
