simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,mF,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fMeB,fMyB,fMeZ,fMyZ
0,0.11849392256130031,1.0888999753452238,0.9704060527839234,vivin,vivin,man,salan,man,"gal lele, galu lele","gal lam, galu lam",dat,dat,galu,"gal lam, galu lam",mom,"gal lele, galu lele",dat,mom,mom lan,mom lele,dat,mom lan,galu,mom lele
1,0.39575279478527847,1.0888999753452238,0.6931471805599453,man,salan,vivin,vivin,man,mom lele,mom lan,dat,dat,"gal lam, galu lam",mom,mom lan,"gal lele, galu lele",mom,dat,dat,"gal lam, galu lam",mom lele,galu,galu,"gal lele, galu lele"
2,0.6730116670092566,1.366158847569202,0.6931471805599453,vivin,man,man,vivin,salan,mom,"gal lele, galu lele","gal lam, galu lam",mom lele,"gal lele, galu lele",dat,galu,"gal lam, galu lam",mom lele,mom,dat,mom lan,dat,dat,galu,mom lan
3,0.33650583350462837,1.0296530140645737,0.6931471805599453,salan,vivin,vivin,man,man,mom lan,mom lele,mom lan,dat,mom lele,"gal lam, galu lam","gal lele, galu lele",mom,dat,dat,"gal lam, galu lam",dat,"gal lele, galu lele",galu,mom,galu
4,0.6730116670092566,1.366158847569202,0.6931471805599453,man,vivin,vivin,man,salan,mom lan,dat,galu,mom lele,dat,"gal lele, galu lele",mom lan,galu,mom,"gal lam, galu lam","gal lam, galu lam",mom lele,"gal lele, galu lele",dat,dat,mom
5,0.1978763973926393,1.0296530140645737,0.8317766166719344,man,vivin,salan,vivin,man,"gal lele, galu lele",mom,dat,mom,galu,"gal lam, galu lam",mom lele,"gal lam, galu lam",mom lele,"gal lele, galu lele",mom lan,galu,dat,dat,mom lan,dat
6,0.39575279478527847,1.366158847569202,0.9704060527839234,man,salan,vivin,vivin,man,dat,mom lele,galu,mom,"gal lam, galu lam",mom lan,dat,"gal lele, galu lele",mom,"gal lam, galu lam","gal lele, galu lele",mom lan,dat,mom lele,dat,galu
7,0.05924696128065021,1.0296530140645737,0.9704060527839234,man,man,vivin,salan,vivin,galu,mom lele,mom lan,mom lele,dat,mom,dat,dat,mom,"gal lele, galu lele",mom lan,galu,"gal lam, galu lam","gal lam, galu lam",dat,"gal lele, galu lele"
8,0.6730116670092566,1.366158847569202,0.6931471805599453,vivin,man,man,salan,vivin,mom lele,mom lan,galu,dat,mom,"gal lam, galu lam",mom,galu,"gal lam, galu lam",dat,dat,"gal lele, galu lele",mom lele,mom lan,"gal lele, galu lele",dat
9,0.11849392256130042,1.366158847569202,1.2476649250079015,salan,man,vivin,vivin,man,dat,mom lele,"gal lam, galu lam",mom,mom lele,mom,galu,dat,mom lan,"gal lele, galu lele",mom lan,"gal lam, galu lam",dat,galu,"gal lele, galu lele",dat
