simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,myB,myZ,fyB,fyZ,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mF,mM,fF,fM
0,0.13741072139677368,1.7051344411034801,1.5677237197067064,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngre syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngre syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngre bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,bror,kusin,yngre bror,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,kusin,moster,moster,mor-bror,faster,moster,far-bror,mor-bror,far,faster,mor-bror,far-bror,moster,far-bror,moster,faster,far-bror,mor-bror,mor-bror,far-bror,mor-bror,faster,mor,faster,far-bror,mor,far,moster,faster
1,0.1696526201307873,1.6973193889483762,1.527666768817589,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,yngre bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngre syster,bror,kusin,kusin,syster,kusin,kusin,kusin,yngre bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngre syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,bror,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,kusin,kusin,faster,faster,mor,mor,mor-bror,far-bror,mor-bror,far-bror,moster,mor-bror,moster,far-bror,moster,mor-bror,faster,far-bror,far-bror,mor-bror,moster,far,moster,far,faster,far-bror,moster,mor-bror,faster,faster
2,0.1248113240056048,1.7097475594151994,1.5849362354095946,kusin,kusin,kusin,kusin,yngre bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,yngre syster,kusin,bror,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,kusin,yngre bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngre syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,mor-bror,mor-bror,far,far-bror,mor-bror,moster,far,mor-bror,faster,faster,far-bror,moster,faster,moster,far-bror,far-bror,far-bror,faster,moster,mor-bror,mor,faster,moster,far-bror,mor,faster,mor-bror,moster
3,0.12867641935412255,1.6689290667747418,1.5402526474206193,kusin,syster,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngre bror,kusin,kusin,yngre syster,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,yngre syster,yngre bror,bror,kusin,kusin,kusin,syster,kusin,kusin,bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,faster,mor-bror,far-bror,faster,far-bror,far,faster,moster,mor-bror,far-bror,far-bror,moster,moster,faster,faster,far-bror,mor-bror,moster,mor,mor-bror,far,moster,moster,mor-bror,mor-bror,mor,faster,far-bror
4,0.13884294594587,1.6868684565303673,1.5480255105844973,yngre bror,kusin,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,kusin,yngre bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,yngre syster,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,yngre syster,kusin,kusin,syster,kusin,kusin,kusin,kusin,mor,far-bror,faster,mor-bror,mor-bror,faster,mor-bror,mor-bror,moster,faster,mor-bror,faster,moster,moster,far,far-bror,mor-bror,mor,moster,faster,far,moster,far-bror,far-bror,far-bror,moster,faster,far-bror
5,0.10280151513186686,1.7231167749330019,1.620315259801135,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,syster,kusin,kusin,kusin,yngre syster,kusin,kusin,kusin,kusin,kusin,yngre syster,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngre bror,kusin,kusin,yngre bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,bror,kusin,kusin,kusin,bror,kusin,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,far-bror,far-bror,faster,mor,mor-bror,faster,far-bror,moster,mor-bror,moster,mor-bror,far,faster,moster,faster,mor,far-bror,mor-bror,moster,moster,far-bror,mor-bror,faster,faster,moster,far,mor-bror,far-bror
6,0.14297570176014585,1.664394787745052,1.5214190859849062,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,bror,yngre syster,kusin,kusin,kusin,syster,bror,kusin,bror,yngre bror,kusin,syster,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngre bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,yngre syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,mor-bror,mor-bror,far-bror,moster,moster,faster,mor-bror,far-bror,mor,moster,far-bror,faster,far-bror,far-bror,mor-bror,mor-bror,moster,faster,far,far-bror,mor,mor-bror,faster,faster,far,moster,faster,moster
7,0.12150714078996216,1.6483354034697144,1.5268282626797522,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngre syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,kusin,yngre bror,syster,yngre syster,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,yngre bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,far,faster,moster,faster,far,far-bror,mor-bror,moster,moster,far-bror,moster,faster,far-bror,faster,far-bror,mor-bror,faster,mor,mor-bror,far-bror,mor-bror,moster,moster,mor,mor-bror,far-bror,faster,mor-bror
8,0.09357992739758925,1.6445650664526754,1.5509851390550862,kusin,kusin,kusin,bror,kusin,kusin,yngre bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,yngre syster,kusin,kusin,kusin,yngre bror,kusin,kusin,kusin,kusin,bror,kusin,yngre syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,bror,bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,kusin,mor-bror,far-bror,far-bror,faster,far,moster,mor,mor-bror,faster,faster,moster,faster,moster,far-bror,mor-bror,far-bror,far-bror,faster,mor-bror,faster,mor,mor-bror,moster,mor-bror,moster,far-bror,moster,far
9,0.13725209813062555,1.6913716691227085,1.554119570992083,yngre bror,kusin,kusin,yngre bror,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,bror,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,yngre syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,bror,kusin,kusin,kusin,kusin,yngre syster,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,kusin,syster,kusin,kusin,kusin,far,far-bror,moster,moster,moster,faster,far-bror,far,faster,faster,mor-bror,faster,faster,faster,moster,mor,mor-bror,mor-bror,mor-bror,mor-bror,far-bror,far-bror,mor,mor-bror,far-bror,moster,moster,far-bror
