simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFBD,mMBD,mFBS,mMBS,mFeBS,mFyBS,mFeBD,mFyBD,mMeBS,mMyBS,mMeBD,mMyBD,mFBeS,mFByS,mFBeD,mFByD,mMBeS,mMByS,mMBeD,mMByD,feB,fyB,feZ,fyZ,fFBD,fMBD,fFBS,fMBS,fFeBS,fFyBS,fFeBD,fMeBS,fMyBS,fMeBD,fMyBD,fFBeS,fFByS,fFBeD,fFByD,fMBeS,fMByS,fMBeD,fMByD,mB,mZ,mFZD,mMZD,mFZS,mMZS,mFeZS,mFyZS,mFeZD,mFyZD,mMeZS,mMyZS,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMZeS,mMZyS,mMZeD,mMZyD,fB,fZ,fFZD,fMZD,fFZS,fMZS,fFeZS,fFyZS,fFeZD,fFyZD,fMeZS,fMyZS,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMZyS,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.3243523505407522,1.6518138939329954,1.3274615433922432,bhrātṛ,anuja,paitṛṣvaseya,svasṛ,bhrātṛ,mātṛṣvasrīya,bhrātṛ,bhrātṛ,anuja,anujā,mātulakanyā,mātṛṣvaseyā,mātṛṣvaseyā,svasṛ,mātulakanyā,mātulakanyā,bhrātṛ,mātulakanyā,svasṛ,bhrātṛ,bhrātṛ,mātulakanyā,bhrātṛ,mātulakanyā,mātulakanyā,paitṛṣvaseya,bhaginī,bhaginī,mātulakanyā,mātṛṣvaseyā,svasṛ,mātṛṣvasrīya,svasṛ,bhaginī,bhrātṛ,mātṛṣvaseyā,bhaginī,mātṛṣvasrīya,paitṛṣvaseya,mātṛṣvaseyā,paitṛṣvaseya,paitṛṣvaseya,mātṛṣvasrīya,bhaginī,bhrātṛ,mātṛṣvasrīya,bhrātṛ,mātṛṣvaseyā,bhrātṛ,bhaginī,bhrātṛ,svasṛ,mātṛṣvasrīya,mātṛṣvasrīya,svasṛ,bhaginī,svasṛ,paitṛṣvaseya,bhaginī,bhrātṛ,paitṛṣvaseya,paitṛṣvaseya,agrajā,mātṛṣvaseyā,mātṛṣvasrīya,svasṛ,bhaginī,mātulakanyā,mātṛṣvaseyā,bhrātṛ,bhaginī,bhaginī,bhrātṛ,bhrātṛ,mātulakanyā,anujā,mātṛṣvaseyā,mātṛṣvaseyā,bhaginī,bhrātṛ,bhrātṛ,mātṛṣvasrīya,paitṛṣvaseya,bhrātṛ,agrajā,paitṛṣvaseya,bhrātṛ,agraja,bhrātṛ,māmaka,māmaka,pitṛṣvasṛ,mātṛṣvasṛ,māmaka,mātṛṣvasṛ,pitṛṣvasṛ,pitṛṣvasṛ,pitṛṣvasṛ,mātṛṣvasṛ,nanā,pitṛvya,pitā,nanā,mātṛṣvasṛ,māmaka,pitṛṣvasṛ,pitṛvya,pitṛvya,mātṛṣvasṛ,pitṛvya,mātṛṣvasṛ,māmaka,pitṛṣvasṛ,pitṛvya,pitā,māmaka,pitṛvya
1,0.39169700947896624,1.6833138931308202,1.291616883651854,mātulakanyā,bhaginī,mātṛṣvaseyā,mātṛṣvaseyā,bhrātṛ,bhaginī,anujā,paitṛṣvaseya,mātṛṣvasrīya,bhrātṛ,mātṛṣvaseyā,svasṛ,svasṛ,mātṛṣvasrīya,svasṛ,bhaginī,svasṛ,mātulakanyā,bhrātṛ,bhrātṛ,mātulakanyā,mātṛṣvaseyā,svasṛ,paitṛṣvaseya,mātṛṣvaseyā,bhaginī,bhaginī,bhrātṛ,mātulakanyā,bhaginī,paitṛṣvaseya,mātulakanyā,agraja,bhaginī,bhrātṛ,svasṛ,paitṛṣvaseya,agrajā,bhrātṛ,mātulakanyā,mātṛṣvaseyā,paitṛṣvaseya,mātṛṣvaseyā,svasṛ,mātulakanyā,mātṛṣvasrīya,anuja,bhaginī,bhaginī,mātṛṣvaseyā,bhrātṛ,mātṛṣvasrīya,bhaginī,paitṛṣvaseya,mātulakanyā,bhaginī,bhrātṛ,bhrātṛ,mātṛṣvasrīya,mātulakanyā,bhrātṛ,bhrātṛ,anuja,bhrātṛ,mātṛṣvaseyā,paitṛṣvaseya,bhaginī,paitṛṣvaseya,paitṛṣvaseya,mātṛṣvaseyā,bhrātṛ,mātṛṣvasrīya,mātṛṣvasrīya,bhrātṛ,mātulakanyā,bhrātṛ,bhrātṛ,paitṛṣvaseya,svasṛ,svasṛ,bhrātṛ,agrajā,bhrātṛ,bhrātṛ,mātṛṣvasrīya,bhrātṛ,bhrātṛ,mātṛṣvasrīya,anujā,pitṛvya,mātṛṣvasṛ,mātṛṣvasṛ,pitṛṣvasṛ,pitṛṣvasṛ,māmaka,pitṛvya,pitṛvya,mātṛṣvasṛ,pitṛṣvasṛ,nanā,pitṛvya,pitā,pitṛṣvasṛ,māmaka,pitṛṣvasṛ,pitṛvya,māmaka,mātṛṣvasṛ,nanā,māmaka,māmaka,pitṛvya,mātṛṣvasṛ,māmaka,mātṛṣvasṛ,pitṛṣvasṛ,pitā
2,0.2839082304083722,1.6937079740617542,1.409799743653382,bhrātṛ,svasṛ,bhrātṛ,mātṛṣvasrīya,svasṛ,svasṛ,mātṛṣvasrīya,bhrātṛ,mātulakanyā,anujā,svasṛ,mātṛṣvaseyā,mātṛṣvaseyā,mātulakanyā,mātṛṣvasrīya,bhrātṛ,mātṛṣvasrīya,paitṛṣvaseya,mātṛṣvasrīya,paitṛṣvaseya,bhrātṛ,bhrātṛ,mātṛṣvaseyā,svasṛ,bhrātṛ,bhrātṛ,mātulakanyā,mātṛṣvaseyā,anuja,mātṛṣvaseyā,bhrātṛ,bhrātṛ,mātṛṣvasrīya,paitṛṣvaseya,mātulakanyā,bhrātṛ,anujā,mātulakanyā,bhrātṛ,bhaginī,agrajā,mātṛṣvasrīya,paitṛṣvaseya,bhaginī,svasṛ,agrajā,mātulakanyā,bhrātṛ,bhrātṛ,bhrātṛ,paitṛṣvaseya,mātṛṣvasrīya,svasṛ,bhaginī,mātulakanyā,bhaginī,bhaginī,paitṛṣvaseya,paitṛṣvaseya,mātṛṣvaseyā,bhrātṛ,bhaginī,bhaginī,mātṛṣvasrīya,bhrātṛ,bhrātṛ,bhaginī,paitṛṣvaseya,anuja,agraja,bhrātṛ,mātulakanyā,paitṛṣvaseya,mātṛṣvaseyā,bhaginī,mātulakanyā,svasṛ,bhrātṛ,mātṛṣvaseyā,bhaginī,bhaginī,bhaginī,svasṛ,mātulakanyā,mātṛṣvaseyā,paitṛṣvaseya,bhrātṛ,mātṛṣvaseyā,bhrātṛ,mātṛṣvasṛ,pitṛvya,pitṛṣvasṛ,mātṛṣvasṛ,pitṛṣvasṛ,pitṛvya,nanā,pitṛvya,pitṛṣvasṛ,mātṛṣvasṛ,māmaka,pitā,mātṛṣvasṛ,pitṛṣvasṛ,pitṛvya,pitā,pitṛvya,māmaka,nanā,māmaka,pitṛṣvasṛ,māmaka,mātṛṣvasṛ,pitṛvya,pitṛṣvasṛ,māmaka,mātṛṣvasṛ,māmaka
3,0.29434897589693554,1.7331585375210197,1.4388095616240841,bhrātṛ,bhaginī,mātṛṣvasrīya,mātṛṣvaseyā,paitṛṣvaseya,bhaginī,paitṛṣvaseya,bhrātṛ,mātṛṣvaseyā,bhrātṛ,bhrātṛ,mātṛṣvasrīya,bhrātṛ,mātulakanyā,mātṛṣvaseyā,bhaginī,svasṛ,mātṛṣvasrīya,mātṛṣvasrīya,paitṛṣvaseya,paitṛṣvaseya,paitṛṣvaseya,bhaginī,svasṛ,bhaginī,paitṛṣvaseya,agrajā,paitṛṣvaseya,anujā,bhrātṛ,anuja,bhaginī,bhrātṛ,paitṛṣvaseya,bhrātṛ,bhrātṛ,bhrātṛ,mātṛṣvasrīya,bhrātṛ,bhrātṛ,svasṛ,bhaginī,svasṛ,bhaginī,mātṛṣvasrīya,mātṛṣvaseyā,mātṛṣvaseyā,svasṛ,bhrātṛ,mātulakanyā,svasṛ,mātulakanyā,bhrātṛ,anujā,mātulakanyā,mātulakanyā,mātṛṣvaseyā,bhrātṛ,mātṛṣvaseyā,bhrātṛ,bhrātṛ,paitṛṣvaseya,mātulakanyā,bhaginī,mātṛṣvaseyā,agrajā,mātṛṣvaseyā,bhaginī,bhaginī,bhrātṛ,bhrātṛ,mātulakanyā,paitṛṣvaseya,mātṛṣvasrīya,mātulakanyā,mātulakanyā,mātṛṣvasrīya,bhaginī,svasṛ,anuja,mātulakanyā,agraja,bhrātṛ,bhrātṛ,svasṛ,svasṛ,mātṛṣvaseyā,mātṛṣvasrīya,bhrātṛ,māmaka,mātṛṣvasṛ,nanā,pitṛvya,pitā,pitā,pitṛvya,pitṛṣvasṛ,nanā,pitṛṣvasṛ,pitṛvya,mātṛṣvasṛ,pitṛvya,māmaka,mātṛṣvasṛ,māmaka,pitṛṣvasṛ,pitṛvya,mātṛṣvasṛ,pitṛṣvasṛ,pitṛṣvasṛ,māmaka,mātṛṣvasṛ,pitṛṣvasṛ,mātṛṣvasṛ,māmaka,pitṛvya,māmaka
4,0.3180771369364652,1.7057752625826836,1.3876981256462184,mātṛṣvaseyā,paitṛṣvaseya,svasṛ,bhaginī,bhrātṛ,bhrātṛ,bhrātṛ,bhaginī,svasṛ,bhaginī,mātulakanyā,mātulakanyā,mātulakanyā,paitṛṣvaseya,mātṛṣvaseyā,mātulakanyā,bhrātṛ,mātulakanyā,bhrātṛ,anujā,svasṛ,bhrātṛ,mātṛṣvasrīya,mātulakanyā,paitṛṣvaseya,mātṛṣvasrīya,agrajā,mātṛṣvasrīya,mātṛṣvasrīya,paitṛṣvaseya,bhrātṛ,agrajā,bhrātṛ,bhaginī,mātṛṣvasrīya,paitṛṣvaseya,svasṛ,bhaginī,bhaginī,bhrātṛ,bhaginī,bhrātṛ,anuja,mātṛṣvaseyā,mātṛṣvasrīya,bhrātṛ,bhrātṛ,bhrātṛ,svasṛ,bhrātṛ,bhrātṛ,agraja,bhaginī,mātṛṣvasrīya,mātṛṣvasrīya,bhaginī,mātṛṣvaseyā,mātulakanyā,svasṛ,paitṛṣvaseya,mātṛṣvasrīya,mātulakanyā,paitṛṣvaseya,bhrātṛ,paitṛṣvaseya,bhrātṛ,bhaginī,bhrātṛ,anuja,paitṛṣvaseya,bhrātṛ,bhaginī,svasṛ,mātṛṣvaseyā,mātṛṣvaseyā,mātṛṣvaseyā,svasṛ,mātṛṣvaseyā,paitṛṣvaseya,svasṛ,bhaginī,anujā,mātṛṣvaseyā,mātṛṣvaseyā,bhrātṛ,mātulakanyā,bhrātṛ,bhrātṛ,mātulakanyā,pitṛvya,pitṛvya,pitṛvya,pitṛṣvasṛ,māmaka,pitṛṣvasṛ,māmaka,pitṛṣvasṛ,mātṛṣvasṛ,pitā,pitṛṣvasṛ,māmaka,pitṛṣvasṛ,nanā,mātṛṣvasṛ,mātṛṣvasṛ,pitā,māmaka,pitṛvya,nanā,mātṛṣvasṛ,mātṛṣvasṛ,pitṛvya,mātṛṣvasṛ,māmaka,pitṛvya,māmaka,pitṛṣvasṛ
5,0.3725157067827509,1.6796547813257432,1.3071390745429923,mātulakanyā,bhrātṛ,svasṛ,mātṛṣvaseyā,bhrātṛ,mātṛṣvaseyā,bhrātṛ,svasṛ,bhrātṛ,paitṛṣvaseya,svasṛ,paitṛṣvaseya,bhaginī,anujā,bhaginī,mātṛṣvasrīya,svasṛ,mātṛṣvaseyā,bhrātṛ,agrajā,bhaginī,paitṛṣvaseya,bhaginī,mātulakanyā,mātṛṣvaseyā,mātulakanyā,bhrātṛ,mātṛṣvasrīya,bhrātṛ,mātṛṣvaseyā,mātulakanyā,bhrātṛ,mātulakanyā,mātṛṣvaseyā,bhrātṛ,anuja,bhaginī,paitṛṣvaseya,bhaginī,svasṛ,anujā,bhrātṛ,bhaginī,mātulakanyā,svasṛ,mātṛṣvaseyā,mātṛṣvaseyā,bhrātṛ,bhaginī,svasṛ,bhaginī,svasṛ,bhrātṛ,mātṛṣvasrīya,mātṛṣvasrīya,bhrātṛ,paitṛṣvaseya,anuja,agraja,mātulakanyā,mātṛṣvasrīya,bhrātṛ,agrajā,mātulakanyā,mātṛṣvaseyā,bhaginī,mātulakanyā,bhrātṛ,mātṛṣvaseyā,mātṛṣvasrīya,bhrātṛ,paitṛṣvaseya,paitṛṣvaseya,mātṛṣvasrīya,bhrātṛ,bhrātṛ,mātulakanyā,svasṛ,bhaginī,mātṛṣvasrīya,paitṛṣvaseya,paitṛṣvaseya,bhaginī,mātṛṣvasrīya,bhrātṛ,bhrātṛ,paitṛṣvaseya,bhrātṛ,bhrātṛ,mātṛṣvasṛ,pitṛṣvasṛ,nanā,māmaka,pitṛvya,pitṛvya,pitṛvya,pitā,pitṛvya,māmaka,nanā,mātṛṣvasṛ,pitṛṣvasṛ,māmaka,pitṛvya,māmaka,mātṛṣvasṛ,māmaka,pitṛṣvasṛ,pitṛvya,pitṛṣvasṛ,mātṛṣvasṛ,pitṛṣvasṛ,mātṛṣvasṛ,pitṛṣvasṛ,mātṛṣvasṛ,māmaka,pitā
6,0.33997268982214,1.6409647427554117,1.3009920529332717,mātṛṣvaseyā,bhrātṛ,bhrātṛ,svasṛ,mātṛṣvaseyā,bhaginī,mātṛṣvaseyā,bhaginī,agrajā,paitṛṣvaseya,mātṛṣvasrīya,mātulakanyā,mātulakanyā,bhrātṛ,mātṛṣvasrīya,paitṛṣvaseya,mātṛṣvaseyā,anuja,bhrātṛ,mātulakanyā,mātulakanyā,paitṛṣvaseya,bhrātṛ,bhaginī,bhaginī,bhaginī,bhrātṛ,mātulakanyā,bhrātṛ,mātulakanyā,mātṛṣvasrīya,bhaginī,bhaginī,mātṛṣvasrīya,mātulakanyā,paitṛṣvaseya,bhrātṛ,agraja,svasṛ,bhrātṛ,paitṛṣvaseya,bhrātṛ,anuja,svasṛ,bhaginī,bhrātṛ,paitṛṣvaseya,mātulakanyā,mātṛṣvasrīya,bhrātṛ,bhrātṛ,mātṛṣvasrīya,mātṛṣvasrīya,svasṛ,mātulakanyā,bhrātṛ,svasṛ,bhrātṛ,bhaginī,svasṛ,bhrātṛ,mātṛṣvaseyā,bhaginī,svasṛ,paitṛṣvaseya,bhrātṛ,paitṛṣvaseya,anujā,mātṛṣvaseyā,mātṛṣvaseyā,bhrātṛ,bhaginī,agrajā,bhrātṛ,bhrātṛ,bhaginī,svasṛ,mātṛṣvaseyā,mātulakanyā,mātṛṣvasrīya,mātṛṣvaseyā,paitṛṣvaseya,mātṛṣvasrīya,mātṛṣvaseyā,anujā,bhrātṛ,svasṛ,paitṛṣvaseya,bhrātṛ,mātṛṣvasṛ,pitṛṣvasṛ,mātṛṣvasṛ,māmaka,māmaka,mātṛṣvasṛ,pitā,pitṛvya,māmaka,pitṛvya,māmaka,pitṛṣvasṛ,pitṛṣvasṛ,nanā,pitṛvya,pitṛṣvasṛ,pitṛṣvasṛ,pitṛvya,mātṛṣvasṛ,mātṛṣvasṛ,māmaka,māmaka,pitṛvya,pitā,mātṛṣvasṛ,pitṛṣvasṛ,pitṛvya,nanā
7,0.2824247805016409,1.6536293438386584,1.3712045633370176,bhrātṛ,bhaginī,mātṛṣvasrīya,bhrātṛ,mātṛṣvaseyā,anuja,paitṛṣvaseya,bhrātṛ,mātulakanyā,svasṛ,bhrātṛ,mātṛṣvasrīya,bhaginī,bhrātṛ,mātṛṣvasrīya,bhrātṛ,paitṛṣvaseya,bhrātṛ,mātulakanyā,bhaginī,bhrātṛ,mātṛṣvaseyā,mātulakanyā,bhrātṛ,bhrātṛ,agrajā,mātṛṣvaseyā,bhaginī,agrajā,mātṛṣvasrīya,bhaginī,bhrātṛ,paitṛṣvaseya,mātulakanyā,mātṛṣvaseyā,bhaginī,bhaginī,mātulakanyā,anuja,mātṛṣvasrīya,paitṛṣvaseya,bhaginī,mātṛṣvaseyā,svasṛ,mātulakanyā,paitṛṣvaseya,paitṛṣvaseya,bhrātṛ,bhrātṛ,bhrātṛ,bhrātṛ,svasṛ,svasṛ,bhrātṛ,bhrātṛ,mātṛṣvasrīya,anujā,svasṛ,mātulakanyā,paitṛṣvaseya,mātṛṣvasrīya,bhaginī,mātṛṣvaseyā,paitṛṣvaseya,agraja,bhrātṛ,svasṛ,bhaginī,mātṛṣvaseyā,bhrātṛ,bhaginī,mātṛṣvaseyā,mātulakanyā,svasṛ,bhrātṛ,mātulakanyā,mātulakanyā,bhrātṛ,paitṛṣvaseya,svasṛ,bhaginī,paitṛṣvaseya,mātṛṣvasrīya,anujā,svasṛ,mātṛṣvasrīya,bhrātṛ,mātṛṣvaseyā,mātṛṣvaseyā,pitṛṣvasṛ,māmaka,pitṛṣvasṛ,pitṛṣvasṛ,māmaka,mātṛṣvasṛ,mātṛṣvasṛ,pitṛvya,pitṛvya,nanā,mātṛṣvasṛ,mātṛṣvasṛ,nanā,pitṛvya,māmaka,pitṛṣvasṛ,pitā,māmaka,pitṛṣvasṛ,pitṛvya,pitṛvya,pitā,māmaka,pitṛvya,mātṛṣvasṛ,māmaka,mātṛṣvasṛ,pitṛṣvasṛ
8,0.45108867315271683,1.6791094000316993,1.2280207268789824,bhrātṛ,paitṛṣvaseya,svasṛ,anujā,mātṛṣvasrīya,mātulakanyā,bhrātṛ,bhaginī,mātṛṣvasrīya,agrajā,bhaginī,mātulakanyā,mātṛṣvasrīya,mātṛṣvaseyā,bhrātṛ,mātulakanyā,mātṛṣvasrīya,bhrātṛ,bhaginī,mātṛṣvaseyā,bhrātṛ,bhrātṛ,mātṛṣvaseyā,mātulakanyā,agraja,mātṛṣvaseyā,mātṛṣvaseyā,bhrātṛ,bhaginī,mātulakanyā,svasṛ,bhaginī,bhaginī,mātulakanyā,bhrātṛ,mātṛṣvasrīya,mātṛṣvaseyā,svasṛ,bhrātṛ,svasṛ,bhrātṛ,paitṛṣvaseya,bhrātṛ,bhrātṛ,bhaginī,svasṛ,svasṛ,bhaginī,mātṛṣvasrīya,bhrātṛ,paitṛṣvaseya,paitṛṣvaseya,svasṛ,bhrātṛ,mātulakanyā,bhrātṛ,mātṛṣvasrīya,bhaginī,paitṛṣvaseya,mātṛṣvaseyā,bhrātṛ,mātulakanyā,bhaginī,mātṛṣvaseyā,paitṛṣvaseya,bhrātṛ,paitṛṣvaseya,svasṛ,mātṛṣvasrīya,mātulakanyā,svasṛ,paitṛṣvaseya,bhaginī,bhrātṛ,agrajā,bhrātṛ,mātṛṣvasrīya,mātulakanyā,mātṛṣvaseyā,paitṛṣvaseya,bhrātṛ,bhrātṛ,anuja,bhrātṛ,anujā,anuja,mātṛṣvaseyā,bhaginī,paitṛṣvaseya,mātṛṣvasṛ,pitṛṣvasṛ,māmaka,pitā,pitṛṣvasṛ,pitṛvya,pitā,māmaka,pitṛvya,pitṛvya,nanā,mātṛṣvasṛ,māmaka,pitṛṣvasṛ,māmaka,mātṛṣvasṛ,pitṛvya,mātṛṣvasṛ,pitṛṣvasṛ,mātṛṣvasṛ,nanā,māmaka,māmaka,pitṛvya,pitṛvya,pitṛṣvasṛ,mātṛṣvasṛ,pitṛṣvasṛ
9,0.35635474084746743,1.7263044612086738,1.3699497203612063,paitṛṣvaseya,mātulakanyā,bhrātṛ,bhrātṛ,paitṛṣvaseya,paitṛṣvaseya,svasṛ,mātṛṣvasrīya,bhrātṛ,svasṛ,paitṛṣvaseya,agraja,mātulakanyā,bhaginī,bhrātṛ,svasṛ,mātulakanyā,bhrātṛ,svasṛ,paitṛṣvaseya,mātulakanyā,agrajā,paitṛṣvaseya,mātṛṣvaseyā,mātṛṣvasrīya,bhaginī,paitṛṣvaseya,svasṛ,svasṛ,mātṛṣvasrīya,bhaginī,mātṛṣvasrīya,bhrātṛ,bhrātṛ,paitṛṣvaseya,bhrātṛ,bhrātṛ,bhaginī,mātulakanyā,svasṛ,anujā,mātṛṣvasrīya,mātṛṣvaseyā,mātṛṣvasrīya,bhaginī,bhrātṛ,bhaginī,bhrātṛ,anuja,bhrātṛ,mātṛṣvaseyā,mātulakanyā,mātṛṣvaseyā,mātulakanyā,bhrātṛ,mātulakanyā,anujā,bhrātṛ,agrajā,mātṛṣvaseyā,bhrātṛ,mātṛṣvasrīya,mātṛṣvaseyā,bhrātṛ,paitṛṣvaseya,mātṛṣvaseyā,bhrātṛ,svasṛ,bhaginī,bhrātṛ,mātṛṣvasrīya,bhaginī,mātṛṣvaseyā,bhrātṛ,mātulakanyā,svasṛ,bhrātṛ,mātṛṣvaseyā,mātṛṣvaseyā,bhrātṛ,bhaginī,paitṛṣvaseya,bhrātṛ,mātṛṣvasrīya,bhaginī,bhaginī,anuja,mātulakanyā,bhaginī,māmaka,pitā,mātṛṣvasṛ,pitā,pitṛṣvasṛ,pitṛvya,pitṛṣvasṛ,māmaka,pitṛvya,pitṛṣvasṛ,nanā,māmaka,mātṛṣvasṛ,māmaka,māmaka,pitṛvya,nanā,mātṛṣvasṛ,mātṛṣvasṛ,pitṛvya,pitṛṣvasṛ,pitṛvya,mātṛṣvasṛ,pitṛvya,pitṛṣvasṛ,pitṛṣvasṛ,māmaka,mātṛṣvasṛ
