simulation_number,mutual_information,entropy,conditional_entropy,mZ,fB,fZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFZD,fMBD,fMZD,fFZS,fMBS,fMZS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mF,mM,fF,fM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.08987084544829527,1.1643797628329846,1.0745089173846893,tuatina,tuatina,taina,tuatina,tuatina,taina,tuatina,taina,fakatau tuatina,fakatau tuatina,fakatau tuatina,taina,tuafafine,tuafafine,taina,tuatina,tuatina,tuatina,tuatina,fakatau tuatina,tuafafine,taina,taina,fakatau tuatina,fakatau tuatina,taina,fakatau tuatina,tuatina,tuangane,tuagāne,tuatina,tuangane,tuatina,taina,fakatau tuatina,taina,fakatau tuatina,tuatina,fakatau tuatina,tuatina,tuangane,fakatau tuatina,tuatina,tuafafine,taina,fakatau tuatina,tuatina,tuatina,tuafafine,tuafafine,tuafafine,fakatau tuatina,taina,taina,tuatina,tuafafine,fakatau tuatina,tuafafine,tuagāne,taina,taina,fakatau tuatina,fakatau tuatina,fakatau tuatina,tuatina,taina,taina,tuafafine,taina,taina,tuafafine,tuangane,tuatina,tuafafine,fakatau tuatina,taina,taina,fakatau tuatina,tuagāne,tuafafine,fakatau tuatina,matua,matua,tuatina,matua,tamana,tamana,matua,tuatina,tuatina,tuatina,tamana,mātua,tamana,matua,tuatina,tamana,mātua,tamana,matua,tuatina,tamana,matua,matua,matua,matua,matua,matua,tamana
1,0.10168881129576746,1.194477336324573,1.0927885250288056,fakatau tuatina,taina,tuafafine,tuatina,fakatau tuatina,taina,fakatau tuatina,taina,tuatina,tuatina,tuatina,taina,tuatina,tuatina,tuagāne,taina,tuatina,tuatina,tuatina,tuafafine,taina,tuafafine,tuafafine,taina,taina,fakatau tuatina,taina,taina,tuafafine,fakatau tuatina,tuatina,fakatau tuatina,taina,tuafafine,tuatina,tuafafine,taina,taina,taina,fakatau tuatina,fakatau tuatina,fakatau tuatina,tuangane,tuagāne,fakatau tuatina,tuangane,tuatina,fakatau tuatina,tuagāne,tuafafine,fakatau tuatina,fakatau tuatina,tuatina,fakatau tuatina,tuatina,fakatau tuatina,fakatau tuatina,tuatina,tuafafine,tuangane,taina,tuafafine,taina,fakatau tuatina,tuatina,fakatau tuatina,taina,fakatau tuatina,taina,fakatau tuatina,taina,taina,tuatina,tuangane,taina,tuafafine,tuafafine,tuatina,tuatina,tuatina,tuafafine,tuatina,matua,tamana,matua,matua,tamana,tamana,tamana,matua,tuatina,matua,matua,mātua,matua,matua,tamana,tuatina,tuatina,tamana,matua,tuatina,tamana,matua,mātua,tuatina,tamana,matua,matua
2,0.13427106489463103,1.1601008319093626,1.0258297670147316,tuangane,fakatau tuatina,taina,fakatau tuatina,tuangane,tuafafine,tuagāne,tuatina,fakatau tuatina,tuatina,tuagāne,taina,tuafafine,fakatau tuatina,fakatau tuatina,fakatau tuatina,tuafafine,fakatau tuatina,tuafafine,tuafafine,tuatina,tuatina,taina,tuatina,taina,taina,tuafafine,fakatau tuatina,fakatau tuatina,fakatau tuatina,taina,tuatina,tuangane,tuatina,tuafafine,taina,taina,tuatina,tuatina,fakatau tuatina,taina,tuafafine,taina,fakatau tuatina,tuatina,tuagāne,taina,tuatina,tuatina,tuafafine,tuatina,taina,tuangane,taina,tuatina,tuatina,taina,fakatau tuatina,fakatau tuatina,tuafafine,tuatina,tuatina,tuafafine,taina,fakatau tuatina,fakatau tuatina,tuatina,taina,taina,fakatau tuatina,tuafafine,tuatina,tuafafine,fakatau tuatina,taina,taina,tuatina,fakatau tuatina,taina,fakatau tuatina,taina,matua,tamana,matua,matua,tuatina,tamana,tamana,tuatina,matua,tamana,matua,tuatina,tuatina,matua,tamana,matua,tuatina,matua,tamana,tamana,mātua,matua,matua,tuatina,mātua,tamana,matua,matua
3,0.11119213901195235,1.2333289596636772,1.1221368206517248,fakatau tuatina,tuatina,tuatina,tuagāne,tuangane,taina,taina,fakatau tuatina,taina,tuafafine,taina,tuafafine,tuatina,tuatina,fakatau tuatina,tuatina,tuatina,fakatau tuatina,taina,fakatau tuatina,tuatina,tuatina,tuagāne,fakatau tuatina,tuafafine,tuatina,tuatina,tuatina,tuatina,fakatau tuatina,tuafafine,tuagāne,fakatau tuatina,taina,tuangane,taina,tuafafine,fakatau tuatina,tuafafine,fakatau tuatina,fakatau tuatina,tuangane,taina,taina,tuatina,fakatau tuatina,taina,taina,taina,tuafafine,tuafafine,tuafafine,fakatau tuatina,tuatina,tuangane,taina,taina,fakatau tuatina,tuafafine,tuatina,taina,tuafafine,tuafafine,taina,fakatau tuatina,taina,tuafafine,tuatina,tuatina,tuatina,fakatau tuatina,taina,tuatina,fakatau tuatina,taina,fakatau tuatina,taina,fakatau tuatina,tuatina,taina,fakatau tuatina,matua,tamana,tamana,matua,matua,matua,tuatina,tamana,tuatina,matua,tamana,mātua,tuatina,tamana,matua,tuatina,tamana,mātua,matua,tuatina,tamana,tamana,matua,matua,matua,tuatina,matua,matua
4,0.08298798249330464,1.2736878490845012,1.1906998665911965,tuafafine,tuangane,fakatau tuatina,tuatina,taina,fakatau tuatina,tuafafine,fakatau tuatina,tuafafine,taina,taina,taina,tuatina,tuafafine,tuatina,tuatina,fakatau tuatina,taina,fakatau tuatina,fakatau tuatina,fakatau tuatina,taina,tuafafine,fakatau tuatina,tuafafine,fakatau tuatina,tuafafine,tuatina,tuatina,tuatina,tuatina,taina,fakatau tuatina,tuagāne,tuatina,tuatina,fakatau tuatina,fakatau tuatina,fakatau tuatina,tuangane,taina,tuafafine,taina,tuatina,tuafafine,taina,taina,tuatina,tuangane,tuagāne,taina,tuatina,taina,tuafafine,fakatau tuatina,tuatina,tuatina,taina,tuafafine,tuafafine,tuatina,fakatau tuatina,taina,fakatau tuatina,taina,fakatau tuatina,tuafafine,taina,fakatau tuatina,tuatina,tuagāne,tuatina,taina,fakatau tuatina,tuatina,taina,tuatina,fakatau tuatina,taina,tuangane,taina,matua,tamana,tuatina,tamana,mātua,tamana,tamana,matua,tamana,matua,tuatina,matua,tuatina,matua,tuatina,matua,tamana,matua,tuatina,tamana,matua,matua,matua,tuatina,mātua,matua,matua,tamana
5,0.13054232198960447,1.2751933084772058,1.1446509864876013,tuatina,taina,taina,fakatau tuatina,tuafafine,taina,tuatina,taina,tuatina,tuafafine,fakatau tuatina,fakatau tuatina,tuangane,tuatina,tuafafine,tuafafine,taina,tuatina,tuatina,fakatau tuatina,fakatau tuatina,tuatina,fakatau tuatina,taina,fakatau tuatina,taina,tuafafine,tuafafine,fakatau tuatina,tuatina,tuafafine,tuatina,taina,fakatau tuatina,tuagāne,tuatina,fakatau tuatina,fakatau tuatina,tuafafine,fakatau tuatina,tuafafine,tuagāne,taina,tuafafine,fakatau tuatina,tuatina,tuatina,tuatina,tuangane,tuangane,taina,taina,taina,taina,tuatina,taina,tuafafine,tuatina,tuafafine,tuafafine,tuatina,fakatau tuatina,taina,tuangane,fakatau tuatina,taina,fakatau tuatina,tuatina,tuatina,fakatau tuatina,fakatau tuatina,tuatina,fakatau tuatina,taina,taina,tuagāne,taina,fakatau tuatina,taina,tuatina,taina,matua,matua,mātua,tamana,tamana,mātua,matua,matua,matua,tuatina,matua,matua,tamana,matua,tamana,tamana,matua,matua,tamana,tuatina,matua,matua,tuatina,tuatina,tuatina,tamana,tuatina,tamana
6,0.12239562384966307,1.2092309415923523,1.0868353177426893,tuangane,tuatina,tuafafine,tuafafine,tuatina,tuatina,fakatau tuatina,tuafafine,fakatau tuatina,tuatina,taina,fakatau tuatina,tuatina,tuatina,tuafafine,fakatau tuatina,fakatau tuatina,taina,tuatina,tuafafine,tuangane,fakatau tuatina,tuafafine,taina,taina,taina,tuafafine,taina,tuafafine,taina,fakatau tuatina,fakatau tuatina,tuafafine,tuatina,tuatina,taina,taina,tuatina,fakatau tuatina,tuatina,taina,fakatau tuatina,tuangane,taina,tuatina,tuafafine,taina,tuatina,taina,fakatau tuatina,tuatina,tuatina,taina,fakatau tuatina,taina,fakatau tuatina,taina,fakatau tuatina,tuatina,fakatau tuatina,fakatau tuatina,fakatau tuatina,tuafafine,tuafafine,fakatau tuatina,tuangane,tuafafine,taina,tuagāne,taina,tuagāne,fakatau tuatina,taina,taina,fakatau tuatina,tuagāne,tuatina,tuatina,tuatina,taina,tuatina,tuatina,matua,matua,tamana,tamana,tamana,tuatina,matua,matua,tuatina,mātua,matua,tamana,tamana,mātua,tamana,matua,matua,matua,matua,tuatina,matua,tamana,tuatina,tuatina,tamana,matua,matua
7,0.11291607513103252,1.3046195352682939,1.1917034601372614,tuagāne,fakatau tuatina,fakatau tuatina,taina,taina,taina,fakatau tuatina,fakatau tuatina,tuatina,taina,fakatau tuatina,tuafafine,tuatina,tuangane,tuatina,tuatina,tuatina,taina,tuatina,tuafafine,tuagāne,tuatina,fakatau tuatina,tuatina,tuafafine,tuatina,taina,fakatau tuatina,tuafafine,taina,fakatau tuatina,fakatau tuatina,tuatina,tuafafine,tuafafine,taina,tuafafine,tuatina,taina,tuatina,tuatina,tuangane,fakatau tuatina,taina,taina,fakatau tuatina,fakatau tuatina,taina,tuafafine,fakatau tuatina,tuatina,taina,fakatau tuatina,taina,fakatau tuatina,fakatau tuatina,fakatau tuatina,taina,tuafafine,taina,fakatau tuatina,taina,taina,tuatina,tuafafine,tuagāne,tuatina,taina,tuafafine,taina,tuatina,tuatina,tuangane,fakatau tuatina,tuatina,fakatau tuatina,taina,tuangane,tuafafine,tuatina,tuafafine,matua,matua,matua,matua,mātua,tuatina,tamana,mātua,matua,matua,tamana,tamana,tuatina,matua,matua,matua,tamana,tuatina,tuatina,tamana,matua,tuatina,tuatina,tamana,tamana,tamana,matua,matua
8,0.16601887418462868,1.261793744313713,1.0957748701290844,taina,fakatau tuatina,tuafafine,tuafafine,tuafafine,taina,tuafafine,fakatau tuatina,taina,tuatina,tuafafine,tuatina,tuatina,fakatau tuatina,fakatau tuatina,taina,tuangane,fakatau tuatina,taina,taina,taina,tuafafine,tuatina,tuagāne,fakatau tuatina,taina,tuatina,tuatina,fakatau tuatina,fakatau tuatina,taina,tuagāne,taina,fakatau tuatina,tuangane,taina,taina,tuatina,tuatina,taina,tuatina,tuatina,tuafafine,tuafafine,taina,taina,taina,tuangane,tuatina,tuatina,tuatina,tuatina,taina,tuatina,taina,taina,fakatau tuatina,tuafafine,fakatau tuatina,fakatau tuatina,tuagāne,tuafafine,fakatau tuatina,fakatau tuatina,fakatau tuatina,fakatau tuatina,tuatina,tuatina,taina,tuafafine,tuangane,tuafafine,tuafafine,fakatau tuatina,tuatina,fakatau tuatina,taina,fakatau tuatina,tuatina,tuatina,fakatau tuatina,tuatina,mātua,matua,matua,matua,matua,matua,tamana,tamana,matua,tamana,matua,tuatina,tuatina,tuatina,tamana,matua,tamana,mātua,matua,tamana,tuatina,matua,tamana,matua,matua,tamana,tuatina
9,0.09872164968902264,1.2489176019142385,1.1501959522252159,tuatina,tuatina,fakatau tuatina,tuafafine,fakatau tuatina,taina,tuagāne,tuatina,fakatau tuatina,tuatina,taina,tuafafine,taina,tuafafine,taina,tuafafine,fakatau tuatina,taina,taina,tuatina,tuatina,tuafafine,fakatau tuatina,fakatau tuatina,fakatau tuatina,tuangane,tuatina,taina,tuatina,taina,tuatina,fakatau tuatina,fakatau tuatina,tuafafine,fakatau tuatina,taina,tuafafine,tuatina,taina,tuatina,taina,fakatau tuatina,taina,tuatina,tuagāne,fakatau tuatina,fakatau tuatina,taina,tuatina,tuangane,tuangane,taina,tuafafine,taina,tuafafine,tuafafine,tuafafine,taina,taina,tuafafine,fakatau tuatina,tuatina,taina,tuangane,tuatina,fakatau tuatina,tuafafine,fakatau tuatina,tuatina,tuatina,tuatina,tuatina,fakatau tuatina,taina,taina,taina,fakatau tuatina,tuagāne,fakatau tuatina,tuatina,fakatau tuatina,tuatina,matua,matua,tamana,matua,tamana,matua,tamana,matua,tuatina,tuatina,matua,matua,tamana,matua,tamana,tuatina,matua,mātua,tuatina,tamana,matua,mātua,tamana,tuatina,matua,matua,tamana
