simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.34145405235023607,1.0346012329101812,0.6931471805599452,wai,naha,feta,wai,kaka,feta,naha,ina,meme,meme,ama,ina,ama,yoi,"ina, in-fali-n",meme,ina,ama,ama,yoi,yoi,ina,meme,ama,ama,yoi,"ina, in-fali-n"
1,0.484866053111916,1.0789922078775833,0.5941261547656673,feta,feta,naha,wai,wai,naha,kaka,"ina, in-fali-n","ina, in-fali-n",ina,yoi,ama,ama,ama,ama,ina,meme,yoi,meme,ina,ina,meme,yoi,ama,ama,meme,yoi
2,0.24243302655595822,1.0346012329101812,0.792168206354223,wai,naha,naha,wai,feta,kaka,feta,ama,yoi,yoi,ina,meme,ama,meme,ina,meme,ina,ina,meme,"ina, in-fali-n",yoi,"ina, in-fali-n",ama,ama,ama,yoi,ama
3,0.24243302655595822,1.0346012329101812,0.792168206354223,wai,naha,wai,feta,feta,kaka,naha,ama,yoi,ama,ina,ina,"ina, in-fali-n",meme,yoi,"ina, in-fali-n",ama,ama,yoi,meme,ama,meme,ina,meme,ina,ama,yoi
4,0.2868240015233605,1.376055285260417,1.0892312837370566,feta,wai,wai,kaka,naha,naha,feta,"ina, in-fali-n",meme,ina,yoi,"ina, in-fali-n",ama,ama,ama,ina,ina,meme,ama,ama,yoi,meme,ina,yoi,meme,ama,yoi
5,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,wai,wai,feta,naha,naha,kaka,feta,ama,"ina, in-fali-n",ama,"ina, in-fali-n",ina,yoi,meme,ama,yoi,ina,ina,yoi,yoi,ama,meme,ama,meme,ina,meme,ama
6,0.2868240015233603,1.0789922078775833,0.792168206354223,kaka,wai,naha,naha,wai,feta,feta,meme,meme,ama,yoi,yoi,ina,ina,ina,ama,ama,ama,"ina, in-fali-n",meme,meme,ama,"ina, in-fali-n",ama,yoi,ina,yoi
7,0.34145405235023585,1.034601232910181,0.6931471805599452,naha,wai,feta,naha,kaka,wai,feta,meme,ama,ina,ama,"ina, in-fali-n",ama,ama,yoi,meme,yoi,ama,meme,yoi,ina,ina,ama,meme,"ina, in-fali-n",ina,yoi
8,0.24243302655595822,1.0346012329101812,0.792168206354223,naha,kaka,wai,naha,feta,wai,feta,ama,yoi,ina,ama,yoi,meme,ina,ama,meme,"ina, in-fali-n",meme,ama,ina,ama,yoi,yoi,meme,"ina, in-fali-n",ama,ina
9,0.16087060336515724,0.5195798391305154,0.3587092357653582,feta,naha,wai,wai,feta,kaka,naha,"ina, in-fali-n",ama,ama,ama,ina,"ina, in-fali-n",ama,ina,yoi,ama,meme,yoi,meme,meme,yoi,yoi,ina,ina,ama,meme
