simulation_number,mutual_information,entropy,conditional_entropy,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,NA,NA,NA,iak,awo,awo,awo,iak,iak,awo,awo,iak,ta,awo,ta,ta,awo,iak,iak,ta,awo,"apap, gka, tat"
1,NA,NA,NA,awo,awo,iak,awo,awo,ta,iak,awo,iak,iak,ta,iak,"apap, gka, tat",iak,awo,ta,awo,awo,ta
2,NA,NA,NA,awo,awo,iak,"apap, gka, tat",awo,awo,iak,iak,ta,awo,iak,ta,awo,iak,awo,ta,ta,awo,iak
3,NA,NA,NA,awo,iak,iak,awo,iak,iak,iak,awo,ta,ta,awo,awo,"apap, gka, tat",awo,ta,iak,awo,ta,awo
4,NA,NA,NA,ta,awo,iak,"apap, gka, tat",awo,awo,awo,iak,awo,iak,iak,ta,awo,awo,iak,iak,ta,ta,awo
5,NA,NA,NA,iak,iak,awo,awo,awo,iak,awo,awo,ta,ta,iak,awo,"apap, gka, tat",iak,ta,ta,iak,awo,awo
6,NA,NA,NA,iak,iak,iak,awo,awo,awo,iak,"apap, gka, tat",ta,iak,ta,awo,ta,awo,iak,awo,ta,awo,awo
7,NA,NA,NA,iak,iak,iak,iak,iak,ta,awo,ta,awo,ta,awo,awo,iak,awo,awo,awo,awo,ta,"apap, gka, tat"
8,NA,NA,NA,iak,iak,awo,ta,awo,iak,iak,ta,awo,iak,awo,awo,iak,awo,awo,ta,"apap, gka, tat",awo,ta
9,NA,NA,NA,ta,ta,awo,ta,iak,awo,iak,awo,ta,awo,awo,iak,iak,"apap, gka, tat",iak,awo,awo,awo,iak
