simulation_number,mutual_information,entropy,conditional_entropy,mB,meB,meZ,myB,fB,feB,feZ,fyB,fM,mF,mM,mMeZ,fF,fMeZ
0,0.03149081771477463,0.5195798391305154,0.4880890214157408,gènw',ńsɛɛ,gènw',gènw',ńsɛɛ,ńsɛɛ,ńsɛɛ,gènw',tààtà,ńmàà,ńmàà,tààtà,ńmàà,ńmàà
1,0.004143433819589926,0.5982695885852573,0.5941261547656673,gènw',ńsɛɛ,gènw',ńsɛɛ,ńsɛɛ,gènw',gènw',ńsɛɛ,ńmàà,ńmàà,tààtà,ńmàà,ńmàà,tààtà
2,0.03149081771477463,0.5195798391305154,0.4880890214157408,gènw',gènw',ńsɛɛ,gènw',ńsɛɛ,ńsɛɛ,ńsɛɛ,gènw',ńmàà,ńmàà,ńmàà,ńmàà,tààtà,tààtà
3,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,gènw',ńsɛɛ,ńsɛɛ,gènw',gènw',gènw',ńsɛɛ,ńsɛɛ,tààtà,ńmàà,tààtà,ńmàà,ńmàà,ńmàà
4,0.005147809834208705,0.5195798391305154,0.5144320292963067,gènw',gènw',ńsɛɛ,ńsɛɛ,ńsɛɛ,gènw',ńsɛɛ,gènw',ńmàà,ńmàà,ńmàà,tààtà,tààtà,ńmàà
5,0.004143433819589815,0.5982695885852573,0.5941261547656674,ńsɛɛ,gènw',ńsɛɛ,gènw',gènw',ńsɛɛ,ńsɛɛ,gènw',ńmàà,ńmàà,tààtà,ńmàà,ńmàà,tààtà
6,0.03149081771477463,0.5195798391305154,0.4880890214157408,gènw',ńsɛɛ,ńsɛɛ,ńsɛɛ,gènw',gènw',gènw',ńsɛɛ,ńmàà,ńmàà,ńmàà,ńmàà,tààtà,tààtà
7,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,ńsɛɛ,ńsɛɛ,gènw',gènw',ńsɛɛ,gènw',gènw',ńsɛɛ,ńmàà,ńmàà,tààtà,ńmàà,tààtà,ńmàà
8,0.004143433819589926,0.5982695885852573,0.5941261547656673,ńsɛɛ,gènw',ńsɛɛ,gènw',ńsɛɛ,gènw',gènw',ńsɛɛ,ńmàà,ńmàà,tààtà,ńmàà,ńmàà,tààtà
9,0.005147809834208705,0.5195798391305154,0.5144320292963067,ńsɛɛ,gènw',gènw',ńsɛɛ,gènw',ńsɛɛ,ńsɛɛ,gènw',ńmàà,ńmàà,ńmàà,ńmàà,tààtà,tààtà
