simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.0788931686430967,0.5982695885852573,0.5193764199421605,naldani (nani),naldani (nani),nahasï (hasï),natwé (dwe),naldú (nu),nahasï (hasï),naldú (nu),naldú (nu),naldú (nu),nahaba,naldú (nu),naldú (nu),natwé (dwe),nahaba,natwé (dwe),naldú (nu),naldú (nu),natwé (dwe),nahate,natwé (dwe),natwé (dwe),nahate,natwé (dwe),natwé (dwe),naldú (nu),naldú (nu),natwé (dwe)
1,0.16087060336515724,0.5195798391305154,0.3587092357653582,nahasï (hasï),naldani (nani),naldú (nu),nahasï (hasï),naldani (nani),natwé (dwe),naldú (nu),naldú (nu),natwé (dwe),natwé (dwe),natwé (dwe),nahaba,naldú (nu),natwé (dwe),naldú (nu),nahate,nahaba,naldú (nu),naldú (nu),natwé (dwe),nahate,naldú (nu),natwé (dwe),naldú (nu),natwé (dwe),natwé (dwe),naldú (nu)
2,0.34145405235023607,1.0346012329101812,0.6931471805599452,naldani (nani),nahasï (hasï),naldú (nu),natwé (dwe),naldani (nani),nahasï (hasï),naldú (nu),naldú (nu),natwé (dwe),nahaba,naldú (nu),naldú (nu),natwé (dwe),nahate,nahaba,natwé (dwe),natwé (dwe),natwé (dwe),nahate,naldú (nu),naldú (nu),natwé (dwe),naldú (nu),natwé (dwe),naldú (nu),naldú (nu),natwé (dwe)
3,0.14053932702562116,0.5982695885852573,0.4577302615596361,naldani (nani),naldani (nani),naldú (nu),nahasï (hasï),nahasï (hasï),natwé (dwe),naldú (nu),naldú (nu),naldú (nu),nahate,naldú (nu),nahaba,naldú (nu),natwé (dwe),natwé (dwe),nahate,natwé (dwe),natwé (dwe),naldú (nu),natwé (dwe),naldú (nu),nahaba,naldú (nu),natwé (dwe),natwé (dwe),naldú (nu),natwé (dwe)
4,0.24243302655595822,1.0346012329101812,0.792168206354223,nahasï (hasï),natwé (dwe),naldani (nani),nahasï (hasï),naldú (nu),naldú (nu),naldani (nani),nahate,nahaba,naldú (nu),nahate,natwé (dwe),natwé (dwe),naldú (nu),naldú (nu),naldú (nu),naldú (nu),natwé (dwe),naldú (nu),natwé (dwe),naldú (nu),nahaba,natwé (dwe),natwé (dwe),naldú (nu),natwé (dwe),natwé (dwe)
5,0.04439097496740252,1.0346012329101812,0.9902102579427787,naldú (nu),natwé (dwe),naldani (nani),naldani (nani),nahasï (hasï),naldú (nu),nahasï (hasï),nahaba,naldú (nu),natwé (dwe),naldú (nu),nahate,natwé (dwe),natwé (dwe),natwé (dwe),nahaba,nahate,natwé (dwe),naldú (nu),naldú (nu),natwé (dwe),naldú (nu),natwé (dwe),naldú (nu),naldú (nu),naldú (nu),natwé (dwe)
6,0.14341200076168015,1.034601232910181,0.8911892321485009,natwé (dwe),nahasï (hasï),naldani (nani),nahasï (hasï),naldani (nani),naldú (nu),naldú (nu),natwé (dwe),naldú (nu),nahate,natwé (dwe),nahaba,natwé (dwe),natwé (dwe),naldú (nu),naldú (nu),natwé (dwe),naldú (nu),nahate,naldú (nu),natwé (dwe),nahaba,naldú (nu),natwé (dwe),natwé (dwe),naldú (nu),naldú (nu)
7,0.08878194993480448,0.9799711820833054,0.8911892321485009,naldú (nu),nahasï (hasï),naldani (nani),naldani (nani),nahasï (hasï),natwé (dwe),naldú (nu),nahaba,naldú (nu),natwé (dwe),natwé (dwe),naldú (nu),natwé (dwe),naldú (nu),naldú (nu),nahate,naldú (nu),natwé (dwe),naldú (nu),nahate,naldú (nu),natwé (dwe),natwé (dwe),naldú (nu),natwé (dwe),nahaba,natwé (dwe)
8,0.14341200076168037,1.0346012329101812,0.8911892321485009,natwé (dwe),naldú (nu),naldani (nani),naldú (nu),nahasï (hasï),nahasï (hasï),naldani (nani),naldú (nu),natwé (dwe),nahaba,naldú (nu),naldú (nu),naldú (nu),naldú (nu),natwé (dwe),nahaba,natwé (dwe),natwé (dwe),natwé (dwe),nahate,natwé (dwe),natwé (dwe),naldú (nu),nahate,natwé (dwe),naldú (nu),naldú (nu)
9,0.24243302655595822,1.0346012329101812,0.792168206354223,nahasï (hasï),naldú (nu),naldú (nu),naldani (nani),naldani (nani),natwé (dwe),nahasï (hasï),natwé (dwe),naldú (nu),naldú (nu),nahaba,natwé (dwe),natwé (dwe),natwé (dwe),naldú (nu),nahate,nahaba,natwé (dwe),natwé (dwe),natwé (dwe),naldú (nu),natwé (dwe),nahate,naldú (nu),naldú (nu),naldú (nu),naldú (nu)
