simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFB,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.3956845954301924,1.9474400543350767,1.5517554589048843,ngaparla,papapa,oowellie,papapa,yacka,papapa,papapa,papapa,papapa,pilhali,pilhali,papapa,ngaparla,papapa,papapa,ngaparla,papapa,ngaparla,papapa,papapa,papapa,papapa,papapa,ngaparla,ngaparla,papapa,papapa,papapa,papapa,papapa,papapa,papapa,papapa,papapa,ngaparla,pilhali,ngaparla,papapa,papapa,yacka,papapa,ngaparla,papapa,pilhali,ngamangama,ngaparla,papapa,papapa,oowellie,watnhami,ataapi,ngummie,ngamarna,upmarli ngamarni,ngamarna,ngamarna,ataapi,ataapi,ngamarna,ngummie,ngamarna,ataapi,papie,upmarli ngamarni,upmarli papi,upmarli papi,upmarli papi,upmarli papi,watnhami,ngarlami,ataapi,papie,ataapi,ngarlami,ngamarna
1,0.26786136630079405,1.822793931620463,1.554932565319669,yacka,papapa,papapa,papapa,oowellie,ngaparla,pilhali,papapa,ngaparla,papapa,papapa,ngaparla,papapa,papapa,ngaparla,papapa,papapa,papapa,yacka,ngaparla,pilhali,papapa,papapa,papapa,papapa,ngaparla,ngaparla,papapa,papapa,ngaparla,papapa,papapa,papapa,ngamangama,papapa,papapa,papapa,papapa,ngaparla,ngaparla,pilhali,oowellie,papapa,pilhali,papapa,papapa,papapa,papapa,papapa,upmarli ngamarni,upmarli papi,ngamarna,upmarli papi,ataapi,ataapi,upmarli papi,ngarlami,ngamarna,ngamarna,ngamarna,papie,ngummie,ataapi,upmarli papi,ngummie,upmarli ngamarni,watnhami,papie,ataapi,ngarlami,ataapi,watnhami,ngamarna,ataapi,ngamarna
2,0.32014927531879955,1.6766001172531313,1.3564508419343317,papapa,yacka,ngaparla,papapa,papapa,ngaparla,ngaparla,papapa,papapa,papapa,papapa,papapa,papapa,papapa,papapa,pilhali,ngaparla,papapa,papapa,papapa,papapa,papapa,papapa,yacka,papapa,pilhali,ngaparla,ngaparla,ngaparla,ngaparla,oowellie,papapa,ngaparla,papapa,ngaparla,pilhali,papapa,ngamangama,papapa,pilhali,papapa,papapa,papapa,papapa,papapa,papapa,papapa,papapa,oowellie,upmarli papi,papie,ngummie,upmarli papi,ngamarna,ngamarna,ngamarna,upmarli ngamarni,ngummie,ataapi,upmarli papi,ataapi,watnhami,upmarli papi,upmarli ngamarni,papie,ataapi,ngamarna,ataapi,watnhami,ngamarna,ngarlami,ngarlami,ngamarna,ataapi,ataapi
3,0.35180598658664564,1.9777796282452453,1.6259736416585997,ngaparla,papapa,papapa,papapa,papapa,ngaparla,papapa,papapa,ngaparla,ngaparla,papapa,pilhali,oowellie,papapa,yacka,papapa,pilhali,ngaparla,papapa,papapa,papapa,papapa,papapa,yacka,oowellie,papapa,papapa,papapa,pilhali,papapa,papapa,papapa,ngaparla,pilhali,ngaparla,papapa,papapa,papapa,papapa,papapa,ngamangama,papapa,ngaparla,ngaparla,papapa,papapa,ngaparla,papapa,papapa,ataapi,upmarli ngamarni,ngummie,upmarli ngamarni,ngamarna,ngamarna,ataapi,ataapi,upmarli papi,ataapi,papie,ngamarna,ngamarna,upmarli papi,ngummie,upmarli papi,ataapi,watnhami,ataapi,ngamarna,ngarlami,ngamarna,papie,upmarli papi,ngarlami,watnhami
4,0.22754674062623592,1.8852492865200652,1.6577025458938293,papapa,papapa,pilhali,ngaparla,ngaparla,ngaparla,papapa,papapa,papapa,ngaparla,ngaparla,ngaparla,papapa,oowellie,papapa,papapa,yacka,papapa,papapa,papapa,papapa,oowellie,papapa,ngamangama,papapa,papapa,ngaparla,papapa,papapa,yacka,papapa,papapa,ngaparla,papapa,papapa,ngaparla,papapa,pilhali,papapa,papapa,papapa,papapa,ngaparla,pilhali,papapa,papapa,papapa,pilhali,papapa,ngamarna,upmarli papi,ngamarna,upmarli papi,ngamarna,papie,ataapi,ataapi,ataapi,watnhami,ngamarna,ngarlami,upmarli papi,ngarlami,upmarli papi,ngamarna,ngummie,upmarli ngamarni,watnhami,upmarli ngamarni,ngummie,ataapi,ataapi,papie,ngamarna,ataapi
5,0.34029925226888413,1.7694228224638855,1.4291235701950014,papapa,ngaparla,oowellie,ngaparla,papapa,papapa,papapa,yacka,papapa,papapa,ngamangama,papapa,papapa,pilhali,papapa,ngaparla,papapa,papapa,papapa,papapa,papapa,ngaparla,ngaparla,papapa,papapa,pilhali,pilhali,ngaparla,papapa,papapa,papapa,papapa,papapa,oowellie,papapa,ngaparla,papapa,papapa,ngaparla,yacka,pilhali,papapa,papapa,papapa,papapa,ngaparla,papapa,ngaparla,papapa,upmarli papi,ngamarna,ngarlami,ngummie,ngummie,ataapi,ataapi,upmarli ngamarni,ataapi,upmarli papi,ngamarna,papie,ngamarna,ngamarna,ataapi,upmarli papi,ataapi,ataapi,papie,ngamarna,upmarli ngamarni,upmarli papi,watnhami,watnhami,ngamarna,ngarlami
6,0.22448471594452846,1.634918198264533,1.4104334823200047,papapa,papapa,papapa,papapa,ngaparla,ngaparla,ngaparla,ngaparla,papapa,ngaparla,papapa,papapa,yacka,papapa,papapa,papapa,papapa,oowellie,yacka,papapa,ngaparla,papapa,papapa,papapa,oowellie,papapa,ngaparla,papapa,pilhali,papapa,ngaparla,papapa,ngaparla,ngaparla,papapa,pilhali,pilhali,papapa,pilhali,papapa,papapa,papapa,ngamangama,papapa,papapa,papapa,papapa,papapa,papapa,upmarli papi,ataapi,ngummie,ngamarna,ataapi,ataapi,ngarlami,ataapi,ataapi,watnhami,ngamarna,ngarlami,ngamarna,upmarli papi,upmarli ngamarni,papie,ngamarna,upmarli papi,ngamarna,ngamarna,papie,ngummie,watnhami,upmarli ngamarni,ataapi,upmarli papi
7,0.41829740934023274,1.9174378645606809,1.4991404552204481,papapa,papapa,papapa,papapa,ngaparla,papapa,ngaparla,papapa,papapa,papapa,pilhali,papapa,papapa,ngaparla,papapa,papapa,papapa,papapa,papapa,papapa,yacka,ngaparla,ngaparla,pilhali,papapa,papapa,oowellie,papapa,ngaparla,papapa,pilhali,ngamangama,papapa,papapa,papapa,papapa,ngaparla,oowellie,papapa,yacka,pilhali,papapa,papapa,papapa,ngaparla,papapa,ngaparla,papapa,ngaparla,upmarli papi,ataapi,ataapi,papie,ngamarna,upmarli papi,watnhami,ataapi,ataapi,upmarli ngamarni,ngarlami,ngamarna,ngamarna,ataapi,watnhami,upmarli papi,ataapi,ngamarna,ngamarna,papie,ngamarna,ngummie,upmarli papi,ngummie,ngarlami,upmarli ngamarni
8,0.3010628604767078,1.6883338821650715,1.3872710216883637,papapa,papapa,papapa,oowellie,ngaparla,papapa,ngaparla,papapa,papapa,papapa,oowellie,papapa,ngamangama,papapa,papapa,papapa,ngaparla,papapa,papapa,papapa,ngaparla,papapa,papapa,yacka,papapa,ngaparla,papapa,papapa,papapa,papapa,pilhali,yacka,papapa,ngaparla,papapa,papapa,ngaparla,papapa,papapa,pilhali,ngaparla,papapa,pilhali,papapa,ngaparla,papapa,pilhali,papapa,ngaparla,ataapi,ngummie,ngarlami,ngamarna,ngamarna,upmarli papi,watnhami,ngarlami,ngamarna,ngummie,ngamarna,upmarli ngamarni,upmarli papi,ataapi,ngamarna,papie,ataapi,ataapi,ataapi,ataapi,ngamarna,upmarli papi,watnhami,upmarli papi,upmarli ngamarni,papie
9,0.35659827473620354,1.870970847060577,1.5143725723243735,papapa,papapa,papapa,papapa,oowellie,papapa,ngaparla,papapa,ngaparla,ngaparla,oowellie,papapa,papapa,ngaparla,papapa,papapa,papapa,papapa,papapa,papapa,papapa,papapa,papapa,ngaparla,papapa,pilhali,pilhali,ngaparla,papapa,papapa,papapa,pilhali,yacka,pilhali,papapa,ngaparla,papapa,papapa,papapa,ngaparla,ngamangama,papapa,ngaparla,ngaparla,papapa,papapa,papapa,yacka,papapa,ngamarna,upmarli papi,ngarlami,ngamarna,ataapi,ngamarna,ataapi,ataapi,papie,papie,ngummie,ngarlami,upmarli papi,watnhami,upmarli papi,ngamarna,upmarli ngamarni,ataapi,watnhami,ngummie,ngamarna,ataapi,ngamarna,upmarli papi,ataapi,upmarli ngamarni
