simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,fFeB,fFyB,fMeB,fMyB
0,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,fakarhaigna,ḡregagna,fakarhaigna,tigagna,fakarhaigna,fakarhaigna,fakarhaigna,tahigna,ḡregagna,tigagna,tigagna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,ḡregagna,tahigna,tahigna,fakarhaigna,ḡregagna,tigagna,fakarhaigna,ḡregagna,ḡregagna,tahigna,fakarhaigna,fakarhaigna,ḡregagna,ḡregagna,tahigna,tigagna,fakarhaigna,ḡregagna,tahigna,ḡregagna,ḡregagna,fakarhaigna,kmagna,dogegna,kmagna,dogegna,"nebugna, thabubugna",kmagna,kmagna,kmagna,kmagna,"nebugna, thabubugna","nebugna, thabubugna","nebugna, thabubugna"
1,0.410116318288409,0.9799711820833054,0.5698548637948964,ḡregagna,ḡregagna,fakarhaigna,ḡregagna,tahigna,tigagna,fakarhaigna,tahigna,ḡregagna,fakarhaigna,fakarhaigna,tigagna,fakarhaigna,tahigna,fakarhaigna,ḡregagna,ḡregagna,tahigna,fakarhaigna,fakarhaigna,ḡregagna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,ḡregagna,tahigna,fakarhaigna,ḡregagna,ḡregagna,fakarhaigna,tigagna,fakarhaigna,ḡregagna,fakarhaigna,tahigna,tigagna,tigagna,dogegna,kmagna,"nebugna, thabubugna","nebugna, thabubugna",kmagna,dogegna,kmagna,kmagna,kmagna,"nebugna, thabubugna","nebugna, thabubugna",kmagna
2,0.24243302655595822,1.0346012329101812,0.792168206354223,tigagna,fakarhaigna,fakarhaigna,tahigna,ḡregagna,fakarhaigna,tahigna,fakarhaigna,ḡregagna,ḡregagna,fakarhaigna,ḡregagna,ḡregagna,ḡregagna,fakarhaigna,tigagna,fakarhaigna,tahigna,tahigna,tigagna,fakarhaigna,tahigna,tigagna,ḡregagna,fakarhaigna,fakarhaigna,ḡregagna,fakarhaigna,fakarhaigna,ḡregagna,fakarhaigna,ḡregagna,fakarhaigna,tigagna,tahigna,fakarhaigna,ḡregagna,fakarhaigna,kmagna,dogegna,dogegna,"nebugna, thabubugna","nebugna, thabubugna",kmagna,kmagna,kmagna,kmagna,"nebugna, thabubugna","nebugna, thabubugna",kmagna
3,0.10109274270407287,1.0346012329101812,0.9335084902061084,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,ḡregagna,ḡregagna,ḡregagna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,tahigna,ḡregagna,tigagna,tahigna,ḡregagna,ḡregagna,ḡregagna,fakarhaigna,tigagna,tigagna,ḡregagna,fakarhaigna,fakarhaigna,tahigna,tigagna,fakarhaigna,tahigna,ḡregagna,tahigna,tahigna,ḡregagna,fakarhaigna,fakarhaigna,fakarhaigna,ḡregagna,tigagna,dogegna,kmagna,kmagna,"nebugna, thabubugna",kmagna,"nebugna, thabubugna","nebugna, thabubugna",kmagna,kmagna,dogegna,kmagna,"nebugna, thabubugna"
4,0.007016107555648965,1.0346012329101812,1.0275851253545323,tahigna,tahigna,fakarhaigna,fakarhaigna,fakarhaigna,tahigna,fakarhaigna,fakarhaigna,tahigna,ḡregagna,ḡregagna,ḡregagna,tahigna,tahigna,ḡregagna,fakarhaigna,fakarhaigna,ḡregagna,fakarhaigna,fakarhaigna,ḡregagna,ḡregagna,tigagna,fakarhaigna,fakarhaigna,fakarhaigna,ḡregagna,ḡregagna,tigagna,ḡregagna,fakarhaigna,ḡregagna,fakarhaigna,fakarhaigna,tigagna,fakarhaigna,tigagna,tigagna,dogegna,"nebugna, thabubugna",dogegna,kmagna,"nebugna, thabubugna",kmagna,kmagna,kmagna,"nebugna, thabubugna",kmagna,"nebugna, thabubugna",kmagna
5,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,fakarhaigna,fakarhaigna,ḡregagna,ḡregagna,tahigna,tigagna,tahigna,tigagna,ḡregagna,tahigna,fakarhaigna,tigagna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,ḡregagna,fakarhaigna,fakarhaigna,ḡregagna,fakarhaigna,tigagna,tahigna,fakarhaigna,fakarhaigna,tahigna,ḡregagna,ḡregagna,fakarhaigna,ḡregagna,ḡregagna,tahigna,fakarhaigna,fakarhaigna,tigagna,ḡregagna,ḡregagna,fakarhaigna,kmagna,"nebugna, thabubugna",kmagna,"nebugna, thabubugna",kmagna,"nebugna, thabubugna",kmagna,"nebugna, thabubugna",dogegna,kmagna,kmagna,dogegna
6,0.32547780217319455,0.6829081047004717,0.35743030252727714,tahigna,ḡregagna,ḡregagna,ḡregagna,fakarhaigna,ḡregagna,ḡregagna,tigagna,ḡregagna,fakarhaigna,ḡregagna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,ḡregagna,tigagna,fakarhaigna,tahigna,fakarhaigna,fakarhaigna,tigagna,tigagna,fakarhaigna,tahigna,fakarhaigna,ḡregagna,fakarhaigna,fakarhaigna,ḡregagna,tahigna,tigagna,fakarhaigna,tahigna,ḡregagna,tahigna,fakarhaigna,fakarhaigna,"nebugna, thabubugna","nebugna, thabubugna",kmagna,kmagna,dogegna,kmagna,"nebugna, thabubugna",dogegna,kmagna,kmagna,kmagna,"nebugna, thabubugna"
7,0.044390974967402186,1.034601232910181,0.9902102579427788,fakarhaigna,ḡregagna,fakarhaigna,fakarhaigna,tigagna,tigagna,fakarhaigna,fakarhaigna,tahigna,ḡregagna,fakarhaigna,ḡregagna,tahigna,tahigna,tigagna,tigagna,fakarhaigna,ḡregagna,ḡregagna,ḡregagna,fakarhaigna,ḡregagna,tahigna,ḡregagna,tigagna,fakarhaigna,fakarhaigna,fakarhaigna,fakarhaigna,ḡregagna,fakarhaigna,fakarhaigna,tahigna,ḡregagna,ḡregagna,fakarhaigna,fakarhaigna,tahigna,kmagna,"nebugna, thabubugna",dogegna,kmagna,"nebugna, thabubugna",kmagna,kmagna,kmagna,"nebugna, thabubugna","nebugna, thabubugna",kmagna,dogegna
8,0.052686015761131966,0.5982695885852573,0.5455835728241253,fakarhaigna,ḡregagna,fakarhaigna,tahigna,ḡregagna,ḡregagna,fakarhaigna,tigagna,fakarhaigna,tigagna,ḡregagna,ḡregagna,tahigna,ḡregagna,ḡregagna,ḡregagna,tahigna,fakarhaigna,ḡregagna,ḡregagna,fakarhaigna,fakarhaigna,tigagna,fakarhaigna,fakarhaigna,tahigna,fakarhaigna,fakarhaigna,fakarhaigna,tigagna,tahigna,fakarhaigna,tigagna,fakarhaigna,tahigna,fakarhaigna,ḡregagna,fakarhaigna,kmagna,kmagna,kmagna,"nebugna, thabubugna","nebugna, thabubugna",dogegna,"nebugna, thabubugna",kmagna,"nebugna, thabubugna",kmagna,kmagna,dogegna
9,0.24243302655595822,1.0346012329101812,0.792168206354223,ḡregagna,tahigna,fakarhaigna,ḡregagna,tigagna,tigagna,tahigna,ḡregagna,fakarhaigna,fakarhaigna,ḡregagna,tigagna,tahigna,ḡregagna,ḡregagna,fakarhaigna,tahigna,fakarhaigna,fakarhaigna,fakarhaigna,ḡregagna,fakarhaigna,ḡregagna,fakarhaigna,ḡregagna,ḡregagna,tigagna,ḡregagna,fakarhaigna,fakarhaigna,tigagna,fakarhaigna,tahigna,fakarhaigna,fakarhaigna,tahigna,fakarhaigna,fakarhaigna,kmagna,dogegna,kmagna,"nebugna, thabubugna",kmagna,dogegna,"nebugna, thabubugna",kmagna,kmagna,kmagna,"nebugna, thabubugna","nebugna, thabubugna"
