simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,meB,myB,myZ,feB,fyB,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMeZ,mMyZ,fF,fM,fFB,fFZ,fMB,fMeZ,fMyZ,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB
0,0.309150682245648,1.7594005700047939,1.4502498877591459,tammūṇḍ,piki,tammuḍu,piki,ēlāḍ,tammuḍu,yeruḷ,pekki,piki,piki,pekki,tammuḍu,tammuḍu,yeruḷ,pekki,dādāl,yeruḷ,tudal,piki,yeruḷ,pekki,pekki,tudal,piki,piki,yeruḷ,yeruḷ,yeruḷ,pekki,tammūṇḍ,pekki,yeruḷ,yeruḷ,tammuḍu,pekki,yeruḷ,tammuḍu,tammuḍu,tammuḍu,pekki,pekki,pekki,piki,pekki,tammuḍu,piki,yeruḷ,tammuḍu,tammuḍu,tammuḍu,pekki,piki,piki,tammuḍu,pekki,yeruḷ,piki,piki,yeruḷ,yeruḷ,piki,pekki,piki,ēlāḍ,yeruḷ,pekki,piki,yeruḷ,piki,dādāl,pekki,tammuḍu,piki,yeruḷ,yeruḷ,piki,tammuḍu,pekki,yeruḷ,pekki,tammuḍu,tammuḍu,yeruḷ,pekki,tammuḍu,tammuḍu,dādālo,poyé,māmā,pedi,poyé,māmā,pépe,māmā,poyé,kuci,pépe,pedi,māmā,pépe,bābo,poyé,poyé,bābo,pépe,yāyo,pépe,poyé,yāyo,pépe,māmā,kuci,māmā
1,0.41342736648750256,1.826754359185277,1.4133269926977745,yeruḷ,piki,pekki,ēlāḍ,yeruḷ,piki,yeruḷ,piki,yeruḷ,tammuḍu,tammuḍu,yeruḷ,pekki,tammuḍu,tammuḍu,piki,pekki,pekki,piki,piki,dādāl,dādālo,yeruḷ,piki,pekki,pekki,pekki,tammuḍu,tammūṇḍ,yeruḷ,tammuḍu,piki,tammuḍu,yeruḷ,ēlāḍ,yeruḷ,piki,tammuḍu,pekki,pekki,tammuḍu,tammuḍu,piki,pekki,yeruḷ,tammuḍu,yeruḷ,tudal,yeruḷ,pekki,piki,yeruḷ,tammūṇḍ,piki,pekki,pekki,tammuḍu,yeruḷ,tudal,piki,yeruḷ,pekki,pekki,piki,piki,tammuḍu,piki,tammuḍu,yeruḷ,yeruḷ,pekki,piki,piki,tammuḍu,pekki,tammuḍu,pekki,pekki,dādāl,piki,yeruḷ,tammuḍu,yeruḷ,tammuḍu,pekki,tammuḍu,yeruḷ,bābo,bābo,poyé,māmā,yāyo,pépe,māmā,pedi,māmā,kuci,poyé,pépe,poyé,māmā,poyé,pépe,māmā,pépe,pépe,pépe,poyé,poyé,pedi,kuci,yāyo,māmā
2,0.3631344914038015,1.7226345633516675,1.359500071947866,pekki,yeruḷ,yeruḷ,piki,yeruḷ,pekki,piki,dādāl,yeruḷ,pekki,yeruḷ,piki,tammuḍu,pekki,tammuḍu,tammuḍu,pekki,pekki,piki,yeruḷ,pekki,yeruḷ,piki,yeruḷ,tudal,piki,pekki,pekki,tammuḍu,yeruḷ,yeruḷ,yeruḷ,piki,pekki,tammuḍu,tammūṇḍ,tammuḍu,piki,piki,pekki,tammūṇḍ,tammuḍu,yeruḷ,piki,pekki,tammuḍu,piki,pekki,piki,pekki,tammuḍu,piki,yeruḷ,tammuḍu,tammuḍu,piki,yeruḷ,piki,tammuḍu,pekki,tudal,piki,tammuḍu,pekki,yeruḷ,piki,dādāl,tammuḍu,yeruḷ,tammuḍu,pekki,tammuḍu,yeruḷ,pekki,ēlāḍ,tammuḍu,yeruḷ,tammuḍu,pekki,ēlāḍ,yeruḷ,piki,piki,tammuḍu,dādālo,pekki,yeruḷ,pépe,poyé,māmā,māmā,pedi,kuci,bābo,poyé,māmā,māmā,māmā,pépe,pépe,yāyo,poyé,pedi,poyé,māmā,poyé,yāyo,kuci,bābo,pépe,poyé,pépe,pépe
3,0.24885224891238078,1.848400040562329,1.5995477916499483,yeruḷ,pekki,pekki,piki,pekki,tammuḍu,piki,piki,yeruḷ,yeruḷ,yeruḷ,piki,pekki,yeruḷ,yeruḷ,tammuḍu,piki,yeruḷ,piki,pekki,piki,yeruḷ,tudal,pekki,tudal,piki,yeruḷ,piki,piki,tammuḍu,tammuḍu,pekki,yeruḷ,piki,piki,piki,piki,dādāl,pekki,tammuḍu,yeruḷ,pekki,pekki,pekki,pekki,tammuḍu,piki,tammuḍu,yeruḷ,piki,pekki,tammuḍu,tammuḍu,dādāl,yeruḷ,yeruḷ,yeruḷ,tammuḍu,tammuḍu,yeruḷ,yeruḷ,pekki,tammuḍu,tammuḍu,ēlāḍ,pekki,yeruḷ,pekki,pekki,tammuḍu,pekki,tammuḍu,tammuḍu,piki,piki,tammūṇḍ,tammuḍu,pekki,tammuḍu,tammūṇḍ,pekki,piki,yeruḷ,yeruḷ,dādālo,ēlāḍ,tammuḍu,bābo,māmā,māmā,pedi,poyé,pépe,poyé,poyé,māmā,kuci,pépe,yāyo,pedi,bābo,poyé,pépe,yāyo,kuci,pépe,pépe,pépe,māmā,māmā,poyé,poyé,māmā
4,0.2776610565743498,1.824289062895038,1.546628006320688,piki,piki,ēlāḍ,tammuḍu,yeruḷ,yeruḷ,tammuḍu,pekki,tammuḍu,pekki,yeruḷ,yeruḷ,tammuḍu,pekki,dādāl,yeruḷ,tammuḍu,ēlāḍ,pekki,yeruḷ,piki,tudal,piki,pekki,piki,tammūṇḍ,pekki,piki,pekki,piki,tammuḍu,piki,tammuḍu,yeruḷ,piki,pekki,yeruḷ,yeruḷ,tammuḍu,tammūṇḍ,tammuḍu,piki,tammuḍu,piki,yeruḷ,yeruḷ,tammuḍu,yeruḷ,yeruḷ,pekki,yeruḷ,yeruḷ,tammuḍu,pekki,pekki,dādāl,tammuḍu,yeruḷ,tammuḍu,pekki,piki,pekki,pekki,yeruḷ,pekki,tammuḍu,tammuḍu,yeruḷ,piki,pekki,dādālo,piki,piki,tammuḍu,yeruḷ,pekki,pekki,piki,tudal,yeruḷ,piki,pekki,tammuḍu,piki,tammuḍu,pekki,piki,kuci,pedi,poyé,māmā,kuci,pedi,poyé,bābo,poyé,yāyo,poyé,pépe,pépe,pépe,māmā,poyé,māmā,māmā,māmā,pépe,māmā,poyé,pépe,pépe,yāyo,bābo
5,0.40236382833336615,1.8200191138194155,1.4176552854860494,piki,yeruḷ,yeruḷ,piki,yeruḷ,pekki,tammuḍu,yeruḷ,pekki,yeruḷ,tammuḍu,pekki,yeruḷ,tammuḍu,piki,tammuḍu,pekki,tammuḍu,piki,piki,piki,dādāl,yeruḷ,ēlāḍ,dādālo,yeruḷ,pekki,piki,tammuḍu,tammuḍu,pekki,piki,yeruḷ,ēlāḍ,yeruḷ,pekki,piki,tammuḍu,pekki,tammuḍu,pekki,yeruḷ,pekki,yeruḷ,tammuḍu,piki,pekki,piki,tudal,pekki,pekki,yeruḷ,pekki,pekki,piki,tammuḍu,piki,tammuḍu,tammuḍu,yeruḷ,tammuḍu,tudal,yeruḷ,yeruḷ,yeruḷ,pekki,tammūṇḍ,dādāl,tammuḍu,yeruḷ,pekki,tammuḍu,piki,pekki,tammuḍu,piki,piki,piki,piki,pekki,tammuḍu,yeruḷ,piki,tammūṇḍ,tammuḍu,pekki,yeruḷ,pépe,māmā,kuci,pépe,poyé,māmā,poyé,māmā,māmā,kuci,bābo,pépe,pépe,yāyo,māmā,poyé,pedi,māmā,pedi,poyé,pépe,poyé,yāyo,poyé,pépe,bābo
6,0.4494139588799759,1.8510742552896606,1.4016602964096847,piki,yeruḷ,piki,piki,tammuḍu,tammuḍu,yeruḷ,tammuḍu,yeruḷ,tammuḍu,yeruḷ,pekki,pekki,piki,piki,yeruḷ,tammuḍu,yeruḷ,yeruḷ,tudal,pekki,piki,tammuḍu,pekki,tammuḍu,tammuḍu,pekki,pekki,tammuḍu,tammuḍu,pekki,tammuḍu,yeruḷ,tammuḍu,piki,pekki,piki,yeruḷ,piki,ēlāḍ,tammuḍu,piki,tammuḍu,pekki,dādāl,tammūṇḍ,piki,yeruḷ,pekki,tammuḍu,yeruḷ,pekki,tammūṇḍ,pekki,pekki,yeruḷ,yeruḷ,ēlāḍ,piki,yeruḷ,tammuḍu,yeruḷ,yeruḷ,tammuḍu,piki,dādāl,pekki,pekki,yeruḷ,pekki,pekki,yeruḷ,tammuḍu,piki,piki,yeruḷ,pekki,piki,dādālo,yeruḷ,piki,piki,tammuḍu,piki,pekki,pekki,tudal,bābo,māmā,poyé,pedi,poyé,pépe,pépe,pépe,poyé,yāyo,pedi,yāyo,kuci,pépe,māmā,kuci,māmā,pépe,poyé,poyé,poyé,māmā,pépe,māmā,bābo,māmā
7,0.28471043356792314,1.779891905215338,1.4951814716474148,pekki,pekki,tammuḍu,pekki,pekki,piki,piki,pekki,pekki,piki,piki,tammuḍu,yeruḷ,yeruḷ,pekki,pekki,yeruḷ,yeruḷ,piki,tudal,piki,yeruḷ,tammuḍu,piki,tammuḍu,yeruḷ,tammuḍu,piki,tammuḍu,piki,pekki,yeruḷ,pekki,piki,yeruḷ,tammuḍu,tammūṇḍ,piki,pekki,pekki,pekki,pekki,yeruḷ,tammuḍu,ēlāḍ,tammuḍu,ēlāḍ,piki,tammūṇḍ,tammuḍu,pekki,tammuḍu,piki,pekki,piki,piki,tammuḍu,dādāl,tammuḍu,yeruḷ,yeruḷ,yeruḷ,tammuḍu,piki,piki,yeruḷ,tammuḍu,dādālo,tammuḍu,yeruḷ,tammuḍu,yeruḷ,pekki,yeruḷ,piki,yeruḷ,yeruḷ,yeruḷ,piki,pekki,pekki,yeruḷ,dādāl,tammuḍu,pekki,tudal,tammuḍu,poyé,kuci,kuci,pépe,pedi,yāyo,pépe,māmā,pépe,pépe,poyé,māmā,poyé,pedi,poyé,bābo,poyé,pépe,bābo,māmā,māmā,yāyo,māmā,pépe,poyé,māmā
8,0.31854246254496,1.8115025907504743,1.4929601282055143,tudal,yeruḷ,ēlāḍ,pekki,piki,piki,yeruḷ,tammūṇḍ,piki,pekki,piki,yeruḷ,yeruḷ,yeruḷ,tammūṇḍ,yeruḷ,piki,yeruḷ,pekki,pekki,piki,tammuḍu,tammuḍu,pekki,pekki,yeruḷ,tammuḍu,tammuḍu,tammuḍu,tammuḍu,tammuḍu,pekki,yeruḷ,tammuḍu,yeruḷ,pekki,yeruḷ,tammuḍu,tammuḍu,yeruḷ,yeruḷ,piki,tammuḍu,pekki,ēlāḍ,piki,pekki,tammuḍu,piki,yeruḷ,piki,tammuḍu,yeruḷ,pekki,pekki,yeruḷ,tammuḍu,piki,yeruḷ,yeruḷ,tammuḍu,pekki,piki,yeruḷ,piki,tammuḍu,pekki,piki,dādālo,piki,pekki,piki,pekki,tammuḍu,piki,dādāl,pekki,piki,dādāl,tudal,pekki,pekki,yeruḷ,pekki,tammuḍu,piki,tammuḍu,pépe,poyé,poyé,māmā,kuci,māmā,bābo,yāyo,poyé,yāyo,poyé,pedi,māmā,poyé,kuci,pépe,pépe,māmā,pépe,māmā,pépe,pedi,pépe,māmā,poyé,bābo
9,0.30721168286594813,1.799032293316389,1.4918206104504408,piki,yeruḷ,tammūṇḍ,piki,yeruḷ,pekki,tammuḍu,yeruḷ,pekki,pekki,yeruḷ,pekki,tammūṇḍ,tudal,piki,pekki,tammuḍu,piki,piki,ēlāḍ,tammuḍu,yeruḷ,pekki,pekki,pekki,tammuḍu,yeruḷ,pekki,dādāl,yeruḷ,tammuḍu,yeruḷ,piki,yeruḷ,tammuḍu,ēlāḍ,dādāl,pekki,tammuḍu,yeruḷ,tammuḍu,piki,tammuḍu,pekki,tammuḍu,yeruḷ,tammuḍu,pekki,tammuḍu,piki,piki,tammuḍu,piki,yeruḷ,pekki,tammuḍu,yeruḷ,pekki,piki,yeruḷ,tudal,piki,yeruḷ,tammuḍu,tammuḍu,yeruḷ,dādālo,tammuḍu,piki,piki,pekki,pekki,piki,yeruḷ,piki,piki,pekki,yeruḷ,tammuḍu,pekki,piki,yeruḷ,pekki,tammuḍu,pekki,piki,yeruḷ,māmā,pépe,poyé,yāyo,māmā,poyé,pedi,bābo,poyé,bābo,pépe,pépe,kuci,māmā,yāyo,poyé,pépe,poyé,pedi,māmā,māmā,poyé,pépe,pépe,kuci,māmā
