simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.18057261705916705,1.3340295991155566,1.1534569820563896,tubung,wurung,wurung,wurung,wurung,wurung,mabung,tubung,taling,wurung,mabung,mabung,tubung,wurung,tubung,tubung,taling,tubung,mabung,tubung,wurung,tubung,mabung,maningeri,tubung,tubung,tubung,tubung,wurung,mabung,mabung,mabung,wurung,tubung,taling,taling,wurung,wurung,tubung,tubung,maningeri,mabung,taling,wurung,mabung,wurung,wurung,mosong,idning,mosong,erahing,erahing,tete,mosong,idning,idning,idning,tete,mosong
1,0.17341972486352097,1.314775737547273,1.141356012683752,mabung,tubung,mabung,wurung,taling,maningeri,wurung,tubung,wurung,wurung,taling,taling,mabung,tubung,tubung,tubung,taling,mabung,tubung,tubung,wurung,wurung,mabung,wurung,wurung,tubung,mabung,wurung,wurung,tubung,tubung,mabung,maningeri,wurung,tubung,tubung,wurung,mabung,tubung,tubung,mabung,wurung,tubung,wurung,mabung,wurung,taling,mosong,mosong,mosong,mosong,idning,idning,tete,tete,erahing,erahing,idning,idning
2,0.07996697683725285,1.3340295991155566,1.2540626222783038,wurung,wurung,mabung,mabung,tubung,wurung,mabung,wurung,wurung,tubung,taling,mabung,tubung,tubung,taling,tubung,tubung,wurung,mabung,wurung,wurung,mabung,wurung,mabung,tubung,tubung,tubung,mabung,tubung,taling,tubung,taling,maningeri,mabung,wurung,wurung,tubung,mabung,wurung,wurung,tubung,wurung,tubung,taling,wurung,tubung,maningeri,idning,erahing,erahing,mosong,tete,mosong,tete,mosong,mosong,idning,idning,idning
3,0.2265832697350192,1.314775737547273,1.0881924678122539,tubung,mabung,tubung,wurung,taling,mabung,wurung,wurung,mabung,wurung,mabung,wurung,mabung,wurung,wurung,tubung,taling,tubung,wurung,mabung,tubung,wurung,wurung,tubung,tubung,tubung,mabung,tubung,tubung,maningeri,wurung,maningeri,mabung,taling,tubung,wurung,mabung,tubung,wurung,tubung,wurung,wurung,taling,tubung,tubung,taling,mabung,idning,idning,mosong,mosong,idning,tete,tete,erahing,mosong,mosong,erahing,idning
4,0.17904307764764216,1.3340295991155569,1.1549865214679147,wurung,wurung,tubung,mabung,mabung,tubung,tubung,maningeri,tubung,wurung,mabung,wurung,tubung,mabung,tubung,mabung,taling,tubung,tubung,taling,mabung,tubung,mabung,wurung,wurung,mabung,mabung,taling,wurung,wurung,wurung,wurung,taling,tubung,tubung,wurung,wurung,tubung,tubung,maningeri,tubung,wurung,mabung,tubung,wurung,taling,wurung,mosong,idning,tete,idning,erahing,mosong,idning,erahing,mosong,idning,tete,mosong
5,0.35989192211294496,1.3340295991155569,0.9741376770026119,wurung,tubung,tubung,wurung,wurung,tubung,tubung,mabung,taling,tubung,wurung,tubung,wurung,maningeri,wurung,tubung,taling,mabung,wurung,maningeri,tubung,wurung,mabung,tubung,wurung,taling,wurung,tubung,tubung,wurung,tubung,mabung,mabung,mabung,wurung,tubung,wurung,mabung,taling,tubung,wurung,taling,mabung,tubung,mabung,wurung,mabung,erahing,idning,tete,mosong,idning,tete,idning,mosong,mosong,mosong,idning,erahing
6,0.15226308895249985,1.3340295991155566,1.1817665101630568,tubung,wurung,tubung,taling,tubung,mabung,wurung,wurung,mabung,tubung,taling,tubung,tubung,mabung,maningeri,mabung,taling,tubung,mabung,mabung,wurung,wurung,mabung,tubung,wurung,tubung,tubung,wurung,tubung,maningeri,taling,wurung,mabung,wurung,wurung,wurung,tubung,mabung,tubung,tubung,wurung,wurung,taling,mabung,wurung,wurung,tubung,mosong,idning,erahing,idning,tete,idning,mosong,tete,mosong,mosong,erahing,idning
7,0.16070906552094977,1.3340295991155566,1.1733205335946069,wurung,wurung,mabung,wurung,taling,wurung,tubung,wurung,mabung,tubung,tubung,wurung,mabung,wurung,tubung,wurung,wurung,mabung,mabung,wurung,taling,taling,tubung,mabung,tubung,tubung,taling,tubung,wurung,maningeri,mabung,tubung,tubung,mabung,tubung,mabung,tubung,wurung,tubung,mabung,wurung,taling,maningeri,tubung,wurung,wurung,tubung,mosong,mosong,erahing,idning,tete,mosong,idning,mosong,tete,idning,idning,erahing
8,0.3248334974933429,1.314775737547273,0.9899422400539302,wurung,tubung,wurung,tubung,taling,wurung,wurung,mabung,tubung,wurung,tubung,wurung,tubung,wurung,tubung,tubung,tubung,taling,wurung,maningeri,wurung,tubung,tubung,tubung,mabung,wurung,tubung,tubung,mabung,taling,taling,wurung,wurung,taling,wurung,maningeri,mabung,mabung,mabung,wurung,wurung,mabung,tubung,mabung,mabung,mabung,tubung,idning,mosong,idning,idning,idning,mosong,mosong,tete,mosong,erahing,tete,erahing
9,0.12575822335478382,1.3168020301280536,1.1910438067732698,tubung,tubung,mabung,taling,wurung,wurung,wurung,wurung,wurung,tubung,mabung,wurung,taling,mabung,tubung,wurung,tubung,mabung,wurung,mabung,tubung,wurung,tubung,wurung,maningeri,mabung,tubung,mabung,wurung,mabung,tubung,taling,wurung,tubung,tubung,tubung,tubung,taling,wurung,taling,wurung,wurung,tubung,tubung,maningeri,mabung,mabung,idning,erahing,mosong,idning,mosong,tete,idning,tete,mosong,idning,mosong,erahing
