simulation_number,mutual_information,entropy,conditional_entropy,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09562014203297098,1.6993652024186572,1.6037450603856862,piipi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-wɨrɨsi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-yakon,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-yakon,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,u-wɨrɨsi,piipi,piipi,piipi,piipi,piipi,piipi,u-yun,waʔnɨ,waʔnɨ,inton,mamai,papai,mamai,waʔnɨ,waʔnɨ,mamai,u-yun,u-san,inton,papai,mamai,papai,inton,u-san,waʔnɨ,mamai,inton,papai,papai,inton,mamai,inton,papai,waʔnɨ
1,0.10332317137130897,1.7142288590968064,1.6109056877254975,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-yakon,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-wɨrɨsi,piipi,piipi,piipi,u-yakon,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,u-wɨrɨsi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,inton,waʔnɨ,u-san,papai,waʔnɨ,inton,u-yun,papai,mamai,mamai,mamai,waʔnɨ,mamai,inton,mamai,mamai,papai,u-yun,waʔnɨ,papai,inton,waʔnɨ,inton,u-san,papai,waʔnɨ,papai,inton
2,0.1177388686724763,1.6519970919512807,1.5342582232788045,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-yakon,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-yakon,piipi,piipi,u-wɨrɨsi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-wɨrɨsi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,papai,inton,inton,inton,papai,u-san,waʔnɨ,mamai,waʔnɨ,mamai,u-yun,waʔnɨ,waʔnɨ,u-san,papai,inton,waʔnɨ,inton,mamai,inton,mamai,u-yun,papai,papai,mamai,mamai,waʔnɨ,papai
3,0.12627601489758433,1.6816451581084717,1.5553691432108874,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-wɨrɨsi,piipi,piipi,piipi,piipi,u-yakon,piipi,piipi,u-wɨrɨsi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-yakon,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-san,waʔnɨ,mamai,waʔnɨ,inton,inton,inton,waʔnɨ,papai,mamai,u-yun,mamai,papai,mamai,papai,inton,u-san,mamai,inton,inton,u-yun,waʔnɨ,mamai,papai,papai,waʔnɨ,papai,waʔnɨ
4,0.0638677091506119,1.6872773154575236,1.6234096063069117,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-wɨrɨsi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-yakon,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-wɨrɨsi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-yakon,piipi,piipi,papai,waʔnɨ,waʔnɨ,inton,waʔnɨ,u-san,inton,papai,mamai,u-yun,inton,waʔnɨ,inton,u-san,waʔnɨ,mamai,waʔnɨ,mamai,mamai,papai,inton,mamai,papai,inton,mamai,papai,papai,u-yun
5,0.10520192163249265,1.7135894778986946,1.608387556266202,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-wɨrɨsi,piipi,piipi,piipi,piipi,piipi,piipi,u-yakon,u-yakon,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,uwi,u-wɨrɨsi,piipi,piipi,piipi,waʔnɨ,inton,waʔnɨ,waʔnɨ,u-san,u-yun,inton,mamai,mamai,inton,papai,inton,papai,inton,papai,mamai,waʔnɨ,mamai,papai,u-san,waʔnɨ,u-yun,papai,papai,mamai,waʔnɨ,mamai,inton
6,0.10335059441833239,1.6895702295317674,1.586219635113435,piipi,piipi,piipi,u-wɨrɨsi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-yakon,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-yakon,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-wɨrɨsi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,inton,inton,mamai,u-yun,inton,waʔnɨ,papai,u-yun,inton,waʔnɨ,papai,waʔnɨ,u-san,mamai,u-san,waʔnɨ,mamai,papai,waʔnɨ,inton,mamai,mamai,inton,papai,papai,waʔnɨ,mamai,papai
7,0.11302363315310404,1.7192513420999682,1.6062277089468642,piipi,piipi,piipi,piipi,u-yakon,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-wɨrɨsi,piipi,u-wɨrɨsi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,u-yakon,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-yun,papai,mamai,papai,waʔnɨ,waʔnɨ,waʔnɨ,inton,mamai,inton,inton,papai,mamai,waʔnɨ,inton,waʔnɨ,u-yun,mamai,u-san,mamai,mamai,papai,waʔnɨ,papai,inton,inton,u-san,papai
8,0.12673441596618185,1.7205408496766381,1.5938064337104563,piipi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-wɨrɨsi,piipi,piipi,u-wɨrɨsi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-yakon,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-yakon,piipi,piipi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,mamai,u-san,waʔnɨ,papai,u-san,papai,inton,inton,mamai,mamai,u-yun,inton,mamai,waʔnɨ,waʔnɨ,waʔnɨ,u-yun,papai,inton,mamai,inton,papai,waʔnɨ,papai,inton,papai,waʔnɨ,mamai
9,0.09742872749276876,1.7567946414235676,1.6593659139307988,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-wɨrɨsi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,u-wɨrɨsi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,piipi,uwi,piipi,piipi,piipi,piipi,piipi,u-yakon,piipi,piipi,u-yakon,piipi,piipi,piipi,piipi,piipi,waʔnɨ,waʔnɨ,u-san,u-yun,waʔnɨ,inton,inton,waʔnɨ,mamai,waʔnɨ,papai,mamai,papai,mamai,papai,mamai,mamai,u-san,u-yun,waʔnɨ,papai,inton,inton,inton,papai,papai,mamai,inton
