simulation_number,mutual_information,entropy,conditional_entropy,fyB,meB,myB,feZ,fyZ,meZ,myZ,fFBS,fFZS,fMBS,fMZS,mFBS,mFZS,mMBS,fFBD,fFZD,fMBD,fMZD,mFBD,mFZD,mMBD,mMZS,mMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,fM,mM,fF,mF,fFeB,fFyB,fMeB,fMyB,mFeB,mFyB,mMeB,mMyB,fFeZ,fFyZ,fMeZ,fMyZ,mFeZ,mFyZ,mMeZ,mMyZ
0,0.19824644353956655,1.358231894813244,1.1599854512736774,laseŋg,jeniŋg maro,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,laseŋg,nafoŋg,lewiŋg,laseŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,jeniŋg kefi,nafoŋg,nafoŋg,lewiŋg,araŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,jeniŋg kefi,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lenaŋg,wagag,lenaŋg,lamaŋg,wagag,wagag,esiŋg,esiŋg,esiŋg,lamaŋg,esiŋg,lenaŋg,wagag,lamaŋg,lenaŋg,lamaŋg,lamaŋg,lamaŋg,lenaŋg,lenaŋg
1,0.22207819126633832,1.3698615354811867,1.1477833442148484,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,jeniŋg kefi,nafoŋg,araŋg,nafoŋg,nafoŋg,araŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,jeniŋg kefi,araŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,jeniŋg maro,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,esiŋg,lamaŋg,wagag,wagag,lenaŋg,lenaŋg,lenaŋg,esiŋg,lamaŋg,wagag,lenaŋg,lamaŋg,wagag,lamaŋg,lamaŋg,lenaŋg,lamaŋg,esiŋg,esiŋg,lenaŋg
2,0.253742777903736,1.3624474851916286,1.1087047072878926,nafoŋg,nafoŋg,jeniŋg maro,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,araŋg,jeniŋg kefi,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,lewiŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,lewiŋg,araŋg,nafoŋg,laseŋg,jeniŋg kefi,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,lamaŋg,lenaŋg,lamaŋg,lenaŋg,esiŋg,lamaŋg,wagag,esiŋg,wagag,lamaŋg,esiŋg,lenaŋg,lamaŋg,wagag,lamaŋg,lenaŋg,lenaŋg,wagag,esiŋg,lenaŋg
3,0.24099133232433734,1.3605772817418338,1.1195859494174965,lewiŋg,araŋg,nafoŋg,nafoŋg,lewiŋg,laseŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,jeniŋg maro,nafoŋg,nafoŋg,araŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,jeniŋg kefi,jeniŋg kefi,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,lenaŋg,wagag,lamaŋg,wagag,lamaŋg,esiŋg,esiŋg,wagag,lamaŋg,esiŋg,lenaŋg,esiŋg,lenaŋg,wagag,lamaŋg,lenaŋg,lenaŋg,lamaŋg,lenaŋg,lamaŋg
4,0.09363348758625345,1.3698615354811865,1.276228047894933,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,laseŋg,lewiŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,araŋg,araŋg,nafoŋg,jeniŋg kefi,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,lewiŋg,nafoŋg,araŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,jeniŋg maro,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,laseŋg,jeniŋg kefi,nafoŋg,nafoŋg,lamaŋg,lamaŋg,lamaŋg,esiŋg,lenaŋg,lenaŋg,lamaŋg,wagag,esiŋg,lamaŋg,lenaŋg,lenaŋg,lamaŋg,wagag,wagag,lenaŋg,esiŋg,wagag,lenaŋg,esiŋg
5,0.10968221549215218,1.355324148501538,1.2456419330093857,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,lewiŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,araŋg,lewiŋg,jeniŋg maro,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,jeniŋg kefi,lewiŋg,lewiŋg,nafoŋg,jeniŋg kefi,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,lamaŋg,esiŋg,lenaŋg,lenaŋg,esiŋg,wagag,lamaŋg,lamaŋg,lenaŋg,wagag,lenaŋg,esiŋg,lamaŋg,lamaŋg,wagag,wagag,lenaŋg,esiŋg,lamaŋg,lenaŋg
6,0.23001904670230067,1.3487876966267474,1.1187686499244467,nafoŋg,jeniŋg maro,lewiŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,jeniŋg kefi,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,laseŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,laseŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,jeniŋg kefi,nafoŋg,lamaŋg,lamaŋg,lamaŋg,lenaŋg,esiŋg,wagag,lenaŋg,wagag,lamaŋg,lenaŋg,wagag,lamaŋg,lenaŋg,lenaŋg,esiŋg,esiŋg,lamaŋg,lenaŋg,esiŋg,wagag
7,0.16249924010123884,1.358231894813244,1.195732654712005,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,laseŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,araŋg,lewiŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,jeniŋg kefi,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,jeniŋg kefi,jeniŋg maro,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,araŋg,lenaŋg,esiŋg,lenaŋg,lenaŋg,lamaŋg,esiŋg,esiŋg,wagag,wagag,esiŋg,lamaŋg,wagag,lamaŋg,lenaŋg,lamaŋg,lamaŋg,lamaŋg,lenaŋg,lenaŋg,wagag
8,0.0905370900892597,1.3717688966297237,1.281231806540464,nafoŋg,nafoŋg,laseŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,lewiŋg,nafoŋg,jeniŋg maro,lewiŋg,laseŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,araŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,jeniŋg kefi,nafoŋg,jeniŋg kefi,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,wagag,lenaŋg,lamaŋg,esiŋg,lenaŋg,lenaŋg,wagag,esiŋg,lenaŋg,lenaŋg,wagag,lenaŋg,lamaŋg,lamaŋg,wagag,esiŋg,lamaŋg,lamaŋg,lamaŋg,esiŋg
9,0.10747160103979114,1.3647683466880345,1.2572967456482433,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,araŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,araŋg,araŋg,nafoŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,laseŋg,nafoŋg,lewiŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,laseŋg,nafoŋg,nafoŋg,jeniŋg kefi,nafoŋg,nafoŋg,nafoŋg,nafoŋg,jeniŋg maro,nafoŋg,nafoŋg,nafoŋg,araŋg,lewiŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,lewiŋg,nafoŋg,araŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,nafoŋg,jeniŋg kefi,lamaŋg,wagag,lenaŋg,esiŋg,lenaŋg,esiŋg,lamaŋg,lenaŋg,lamaŋg,lamaŋg,lamaŋg,wagag,esiŋg,lenaŋg,wagag,lenaŋg,lamaŋg,esiŋg,wagag,lenaŋg
