simulation_number,mutual_information,entropy,conditional_entropy,meZ,feZ,mFBeD,mFZeD,fFZeD,mMBeD,fMBeD,mMZeD,fMZeD,fFBeD,meB,feB,mFBeS,fFBeS,mFZeS,fFZeS,mMBeS,fMBeS,mMZeS,mFByD,fFByD,myZ,fyZ,mFZyD,fFZyD,mMByD,fMByD,mMZyD,fMZyD,myB,fyB,mFByS,fFByS,mFZyS,fFZyS,mMByS,fMByS,mMZyS,fMZyS,mMeB,mMyB,fMeB,fMyB,mMeZ,mMyZ,fMeZ,fMyZ,mF,fF,mM,fM,mFeB,mFyB,fFeB,fFyB,mFeZ,mFyZ,fFeZ,fFyZ
0,0.09922809353917361,1.0397207708399179,0.9404926773007443,a-chaʼ-a,a-daʼ-ze,a-daʼ-ze,kǔnʼ-dig-eh,a-daʼ-ze,a-chaʼ-a,kǔnʼ-dig-eh,säʼ-dä,säʼ-dä,säʼ-dä,a-daʼ-ze,a-daʼ-zy,säʼ-dä,säʼ-da,säʼ-dä,a-daʼ-ze,a-chaʼ-a,säʼ-dä,a-chaʼ-a,kǔnʼ-dig-eh,a-daʼ-ze,a-chaʼ-a,a-chaʼ-a,a-daʼ-ze,a-chaʼ-a,säʼ-dä,kǔnʼ-dig-eh,a-chaʼ-a,kǔnʼ-dig-eh,a-chaʼ-a,a-chaʼ-a,säʼ-dä,kǔnʼ-dig-eh,säʼ-dä,kǔnʼ-dig-eh,a-daʼ-ze,kǔnʼ-dig-eh,kǔnʼ-dig-eh,a-daʼ-zy,thä-thaʼ,sanʼ-ga,sanʼ-ga,sanʼ-ga,sa-täʼ,thä-thaʼ,sa-täʼ,thä-thaʼ,eh-täʼ-ah,eh-m'-baʼ-dza,eh-täʼ-ah,nain-gukʼ,eh-m'-baʼ-dza,eh-täʼ-ah,eh-m'-baʼ-dza,thä-thaʼ,eh-m'-baʼ-dza,nain-gukʼ,sanʼ-ga,eh-täʼ-ah
1,0.13625744433957987,1.0397207708399179,0.903463326500338,kǔnʼ-dig-eh,kǔnʼ-dig-eh,a-chaʼ-a,säʼ-dä,kǔnʼ-dig-eh,a-daʼ-ze,säʼ-dä,säʼ-dä,a-daʼ-ze,a-daʼ-ze,a-daʼ-zy,a-chaʼ-a,säʼ-da,a-daʼ-zy,a-daʼ-ze,a-chaʼ-a,a-chaʼ-a,a-daʼ-ze,a-chaʼ-a,a-chaʼ-a,a-chaʼ-a,kǔnʼ-dig-eh,kǔnʼ-dig-eh,säʼ-dä,säʼ-dä,a-daʼ-ze,säʼ-dä,kǔnʼ-dig-eh,säʼ-dä,kǔnʼ-dig-eh,säʼ-dä,a-chaʼ-a,a-daʼ-ze,a-daʼ-ze,kǔnʼ-dig-eh,a-chaʼ-a,säʼ-dä,a-chaʼ-a,kǔnʼ-dig-eh,eh-täʼ-ah,sa-täʼ,eh-m'-baʼ-dza,eh-m'-baʼ-dza,sanʼ-ga,eh-täʼ-ah,thä-thaʼ,thä-thaʼ,eh-täʼ-ah,eh-m'-baʼ-dza,sanʼ-ga,sanʼ-ga,sa-täʼ,eh-täʼ-ah,nain-gukʼ,nain-gukʼ,thä-thaʼ,thä-thaʼ,eh-m'-baʼ-dza,sanʼ-ga
2,0.41197960825054103,1.0397207708399179,0.6277411625893768,kǔnʼ-dig-eh,kǔnʼ-dig-eh,kǔnʼ-dig-eh,a-chaʼ-a,a-daʼ-ze,a-daʼ-ze,a-chaʼ-a,kǔnʼ-dig-eh,a-daʼ-ze,a-daʼ-zy,a-chaʼ-a,kǔnʼ-dig-eh,a-chaʼ-a,säʼ-dä,a-chaʼ-a,a-chaʼ-a,säʼ-dä,kǔnʼ-dig-eh,säʼ-dä,a-daʼ-zy,säʼ-dä,a-daʼ-ze,kǔnʼ-dig-eh,kǔnʼ-dig-eh,kǔnʼ-dig-eh,a-daʼ-ze,säʼ-da,säʼ-dä,a-chaʼ-a,a-chaʼ-a,säʼ-dä,a-daʼ-ze,a-daʼ-ze,säʼ-dä,a-chaʼ-a,säʼ-dä,säʼ-dä,a-daʼ-ze,a-chaʼ-a,sanʼ-ga,eh-m'-baʼ-dza,sa-täʼ,thä-thaʼ,eh-m'-baʼ-dza,eh-täʼ-ah,thä-thaʼ,nain-gukʼ,eh-m'-baʼ-dza,eh-täʼ-ah,eh-m'-baʼ-dza,thä-thaʼ,sanʼ-ga,eh-täʼ-ah,sa-täʼ,eh-täʼ-ah,sanʼ-ga,thä-thaʼ,nain-gukʼ,sanʼ-ga
3,0.2599301927099794,1.0397207708399179,0.7797905781299385,säʼ-dä,säʼ-dä,a-daʼ-ze,a-chaʼ-a,a-chaʼ-a,säʼ-dä,kǔnʼ-dig-eh,kǔnʼ-dig-eh,a-chaʼ-a,säʼ-dä,a-chaʼ-a,a-daʼ-ze,a-daʼ-ze,a-daʼ-ze,a-chaʼ-a,a-daʼ-ze,kǔnʼ-dig-eh,a-daʼ-zy,säʼ-dä,a-daʼ-zy,kǔnʼ-dig-eh,a-chaʼ-a,säʼ-da,a-daʼ-ze,säʼ-dä,säʼ-dä,a-chaʼ-a,kǔnʼ-dig-eh,a-daʼ-ze,a-chaʼ-a,a-daʼ-ze,säʼ-dä,kǔnʼ-dig-eh,kǔnʼ-dig-eh,a-chaʼ-a,kǔnʼ-dig-eh,a-chaʼ-a,kǔnʼ-dig-eh,säʼ-dä,eh-m'-baʼ-dza,eh-m'-baʼ-dza,sanʼ-ga,thä-thaʼ,sanʼ-ga,eh-m'-baʼ-dza,nain-gukʼ,eh-m'-baʼ-dza,sanʼ-ga,eh-täʼ-ah,thä-thaʼ,thä-thaʼ,nain-gukʼ,eh-täʼ-ah,eh-täʼ-ah,thä-thaʼ,sa-täʼ,sanʼ-ga,eh-täʼ-ah,sa-täʼ
4,0.22722718372469508,1.0397207708399179,0.8124935871152228,a-daʼ-ze,säʼ-dä,säʼ-dä,a-chaʼ-a,säʼ-dä,a-chaʼ-a,a-chaʼ-a,a-chaʼ-a,säʼ-dä,a-daʼ-ze,säʼ-dä,a-chaʼ-a,a-chaʼ-a,a-daʼ-zy,kǔnʼ-dig-eh,a-chaʼ-a,a-daʼ-ze,kǔnʼ-dig-eh,a-chaʼ-a,kǔnʼ-dig-eh,kǔnʼ-dig-eh,kǔnʼ-dig-eh,säʼ-dä,a-daʼ-ze,a-daʼ-ze,säʼ-dä,säʼ-dä,kǔnʼ-dig-eh,kǔnʼ-dig-eh,kǔnʼ-dig-eh,a-chaʼ-a,a-daʼ-ze,a-daʼ-ze,säʼ-dä,a-daʼ-ze,a-daʼ-zy,a-chaʼ-a,säʼ-da,kǔnʼ-dig-eh,sa-täʼ,eh-m'-baʼ-dza,eh-m'-baʼ-dza,eh-täʼ-ah,eh-täʼ-ah,nain-gukʼ,sanʼ-ga,eh-m'-baʼ-dza,thä-thaʼ,thä-thaʼ,sa-täʼ,eh-m'-baʼ-dza,sanʼ-ga,sanʼ-ga,nain-gukʼ,thä-thaʼ,thä-thaʼ,eh-täʼ-ah,eh-täʼ-ah,sanʼ-ga
5,0.02123737959942451,1.0397207708399179,1.0184833912404934,kǔnʼ-dig-eh,a-chaʼ-a,kǔnʼ-dig-eh,a-chaʼ-a,a-chaʼ-a,a-chaʼ-a,a-daʼ-ze,säʼ-dä,säʼ-dä,säʼ-dä,kǔnʼ-dig-eh,a-chaʼ-a,a-daʼ-ze,a-chaʼ-a,a-chaʼ-a,a-chaʼ-a,a-daʼ-zy,säʼ-dä,a-chaʼ-a,säʼ-dä,a-daʼ-ze,a-daʼ-ze,a-daʼ-ze,säʼ-dä,kǔnʼ-dig-eh,säʼ-da,säʼ-dä,säʼ-dä,säʼ-dä,a-chaʼ-a,kǔnʼ-dig-eh,kǔnʼ-dig-eh,a-daʼ-ze,a-daʼ-ze,kǔnʼ-dig-eh,a-daʼ-zy,a-daʼ-ze,kǔnʼ-dig-eh,kǔnʼ-dig-eh,eh-m'-baʼ-dza,sanʼ-ga,nain-gukʼ,thä-thaʼ,eh-m'-baʼ-dza,thä-thaʼ,eh-täʼ-ah,thä-thaʼ,sa-täʼ,sanʼ-ga,sanʼ-ga,eh-m'-baʼ-dza,nain-gukʼ,eh-täʼ-ah,eh-m'-baʼ-dza,thä-thaʼ,sanʼ-ga,eh-täʼ-ah,eh-täʼ-ah,sa-täʼ
6,0.1078807771694178,0.6931471805599453,0.5852664033905275,a-daʼ-ze,säʼ-dä,a-daʼ-zy,kǔnʼ-dig-eh,a-daʼ-ze,kǔnʼ-dig-eh,säʼ-dä,a-daʼ-ze,kǔnʼ-dig-eh,a-daʼ-ze,säʼ-dä,a-chaʼ-a,a-chaʼ-a,a-chaʼ-a,säʼ-da,a-chaʼ-a,kǔnʼ-dig-eh,säʼ-dä,säʼ-dä,a-daʼ-zy,a-daʼ-ze,kǔnʼ-dig-eh,kǔnʼ-dig-eh,a-daʼ-ze,kǔnʼ-dig-eh,säʼ-dä,a-chaʼ-a,a-chaʼ-a,säʼ-dä,a-chaʼ-a,kǔnʼ-dig-eh,kǔnʼ-dig-eh,a-daʼ-ze,a-daʼ-ze,a-chaʼ-a,säʼ-dä,a-chaʼ-a,säʼ-dä,a-chaʼ-a,thä-thaʼ,eh-m'-baʼ-dza,nain-gukʼ,thä-thaʼ,eh-täʼ-ah,sanʼ-ga,sa-täʼ,eh-m'-baʼ-dza,sanʼ-ga,eh-täʼ-ah,sanʼ-ga,eh-täʼ-ah,thä-thaʼ,thä-thaʼ,eh-m'-baʼ-dza,eh-täʼ-ah,sanʼ-ga,eh-m'-baʼ-dza,nain-gukʼ,sa-täʼ
7,0.22722718372469508,1.0397207708399179,0.8124935871152228,a-chaʼ-a,säʼ-dä,kǔnʼ-dig-eh,a-chaʼ-a,a-chaʼ-a,a-chaʼ-a,kǔnʼ-dig-eh,kǔnʼ-dig-eh,kǔnʼ-dig-eh,säʼ-dä,säʼ-dä,a-daʼ-ze,a-daʼ-ze,a-daʼ-zy,a-chaʼ-a,kǔnʼ-dig-eh,säʼ-dä,a-daʼ-ze,a-daʼ-ze,a-chaʼ-a,a-chaʼ-a,kǔnʼ-dig-eh,a-daʼ-ze,a-daʼ-ze,säʼ-dä,säʼ-dä,a-daʼ-ze,a-daʼ-ze,kǔnʼ-dig-eh,säʼ-dä,a-daʼ-zy,säʼ-dä,a-chaʼ-a,kǔnʼ-dig-eh,a-chaʼ-a,säʼ-da,kǔnʼ-dig-eh,säʼ-dä,a-chaʼ-a,eh-m'-baʼ-dza,sa-täʼ,sanʼ-ga,eh-m'-baʼ-dza,sanʼ-ga,nain-gukʼ,thä-thaʼ,eh-m'-baʼ-dza,eh-täʼ-ah,sa-täʼ,thä-thaʼ,eh-täʼ-ah,sanʼ-ga,eh-täʼ-ah,thä-thaʼ,eh-m'-baʼ-dza,nain-gukʼ,eh-täʼ-ah,thä-thaʼ,sanʼ-ga
8,0.1405837861547019,1.0397207708399179,0.899136984685216,säʼ-dä,a-daʼ-ze,a-chaʼ-a,a-daʼ-ze,säʼ-dä,säʼ-dä,a-daʼ-ze,säʼ-dä,a-daʼ-ze,kǔnʼ-dig-eh,kǔnʼ-dig-eh,kǔnʼ-dig-eh,a-daʼ-ze,a-daʼ-ze,säʼ-dä,a-chaʼ-a,a-chaʼ-a,a-daʼ-ze,kǔnʼ-dig-eh,kǔnʼ-dig-eh,kǔnʼ-dig-eh,säʼ-da,a-chaʼ-a,kǔnʼ-dig-eh,a-chaʼ-a,säʼ-dä,a-chaʼ-a,a-chaʼ-a,a-daʼ-zy,a-daʼ-ze,kǔnʼ-dig-eh,säʼ-dä,a-daʼ-zy,säʼ-dä,a-chaʼ-a,a-chaʼ-a,säʼ-dä,kǔnʼ-dig-eh,a-chaʼ-a,thä-thaʼ,thä-thaʼ,thä-thaʼ,eh-m'-baʼ-dza,thä-thaʼ,sa-täʼ,eh-m'-baʼ-dza,eh-m'-baʼ-dza,sanʼ-ga,nain-gukʼ,eh-täʼ-ah,eh-täʼ-ah,sa-täʼ,nain-gukʼ,eh-täʼ-ah,sanʼ-ga,eh-täʼ-ah,sanʼ-ga,sanʼ-ga,eh-m'-baʼ-dza
9,0.2272271837246952,1.0397207708399179,0.8124935871152227,a-chaʼ-a,kǔnʼ-dig-eh,kǔnʼ-dig-eh,a-daʼ-ze,a-chaʼ-a,säʼ-dä,a-chaʼ-a,kǔnʼ-dig-eh,a-daʼ-ze,säʼ-dä,a-chaʼ-a,a-daʼ-zy,säʼ-dä,a-chaʼ-a,a-chaʼ-a,kǔnʼ-dig-eh,säʼ-da,a-chaʼ-a,a-chaʼ-a,a-daʼ-ze,säʼ-dä,kǔnʼ-dig-eh,säʼ-dä,a-daʼ-ze,kǔnʼ-dig-eh,kǔnʼ-dig-eh,a-daʼ-ze,säʼ-dä,a-chaʼ-a,a-daʼ-ze,kǔnʼ-dig-eh,säʼ-dä,a-daʼ-zy,säʼ-dä,a-chaʼ-a,kǔnʼ-dig-eh,a-daʼ-ze,säʼ-dä,a-daʼ-ze,eh-täʼ-ah,thä-thaʼ,eh-m'-baʼ-dza,sa-täʼ,nain-gukʼ,nain-gukʼ,thä-thaʼ,sa-täʼ,eh-m'-baʼ-dza,sanʼ-ga,sanʼ-ga,thä-thaʼ,eh-m'-baʼ-dza,sanʼ-ga,eh-täʼ-ah,eh-täʼ-ah,thä-thaʼ,eh-täʼ-ah,eh-m'-baʼ-dza,sanʼ-ga
