language,family,code,correlation,mean,sd,z
Akkadian,Afro-Asiatic,akka1240,-0.4294531397953576,-0.42945313979535765,8.699502462476853e-17,0.6380957011126949
Amharic,Afro-Asiatic,amha1245,0.8419426340120812,0.041425232803659146,0.10767344933248997,7.434677779630392
Hausa,Afro-Asiatic,haus1257,-0.2020721679474305,-0.18877671294237983,0.037633245528364494,-0.3532901512581414
Lebanese_Arabic,Afro-Asiatic,stan1323,0.029355661962729835,-0.00041331804274448214,0.03985799679055483,0.7468759697559283
Old_Aramaic,Afro-Asiatic,olda1245,0.19252169035489342,8.764994094781137e-05,0.05262176619086379,3.6569285743084023
Polci,Afro-Asiatic,polc1243,0.11257776798570124,0.0187575069817261,0.02749539018782551,3.412217843175659
Morgan1871_An-ah'-ne-lin_(Gros_Ventres_of_Prairie)_gros1243.csv,Algic,rgan1871,-0.29358875154801445,-0.29358875154801445,3.744431865468923e-17,0.0
Northern_Ojibwa,Algic,nort2961,0.1389773781834664,0.000225403028551749,0.09213223284163698,1.506009035875759
Ottowa_Ojibwa,Algic,otta1242,-0.3280275712200075,-0.0007995672048487642,0.12039152151661464,-2.718031966810882
Wiyot,Algic,wiyo1248,-0.0963536191320758,-0.09635361913207577,2.7755575615628914e-17,-1.0
Yurok,Algic,yuro1248,0.13941546912236402,0.13381737877733957,0.01998109201876625,0.2801693891288186
Baure,Arawakan,baur1253,0.6389151433378876,0.0020503647027790436,0.10672595131920909,5.9672907176090195
Ignaciano,Arawakan,igna1246,0.5522366248775685,0.001011137482170195,0.11028244359669806,4.998306796784674
Mashco_Piro,Arawakan,mash1270,-0.13273296830047468,0.00011614134726292463,0.02301665714003759,-5.7718681231361755
Trinitario,Arawakan,trin1274,,,,
Wapishana,Arawakan,wapi1253,0.1656860527034907,0.0007876485761086952,0.04247874478998775,3.8819038778718484
Waurá,Arawakan,waur1244,-0.03400891696927505,0.01082468028272056,0.06301588306011192,-0.7114650319067667
Wayuu,Arawakan,wayu1243,-0.06807149995368367,-0.04291648744189232,0.01843690109833528,-1.3643839806713867
Yavitero,Arawakan,yavi1244,-0.23361293379129128,0.005828796390812316,0.09288548531086266,-2.5778164304224362
Asu_Tanzania_,Atlantic-Congo,asut1235,-0.07890803951296509,-0.02184702730100136,0.03345484916875178,-1.7056125981659211
Avatime,Atlantic-Congo,avat1244,0.2714796844110832,0.27147968441108317,5.0937342108501145e-17,1.0897928500669323
Bafia,Atlantic-Congo,bafi1243,,,,
Bali_Congo_,Atlantic-Congo,bali1274,0.5773502691896257,0.5773502691896261,3.3306690738754696e-16,-1.0
Bali_DRC_,Atlantic-Congo,bali1275,0.6324555320336759,0.6324555320336758,1.1102230246251565e-16,1.0
Bamun,Atlantic-Congo,bamu1253,,,,
Batanga,Atlantic-Congo,bata1285,0.17834331417291838,-0.09369915821669704,0.04918298712983671,5.53123118918049
Bemba,Atlantic-Congo,bemb1257,-0.13913275071949166,-0.2033362791023883,0.03893688312942196,1.6489128872871284
Bena_Tanzania_,Atlantic-Congo,bena1262,0.054106917719500894,0.05398098962675915,0.04717078013614888,0.0026696207350880427
Bende,Atlantic-Congo,bend1258,-0.2290142136832225,-0.19054998736955328,0.03601252315088427,-1.0680791832472518
Bera,Atlantic-Congo,bera1259,0.0022898007384310887,0.03207753231958777,0.036988196530623095,-0.8053307372392423
Bila,Atlantic-Congo,bila1255,-0.12212593292788135,-0.00278100188608727,0.054619472286366544,-2.185025340707723
Budza,Atlantic-Congo,budz1238,,,,
Bukusu,Atlantic-Congo,buku1249,-0.13783018300905042,0.08102891350906777,0.0580348966688216,-3.771163714946305
Bushoong,Atlantic-Congo,bush1247,0.1315517361617352,-0.0007865734051494569,0.045099756699393465,2.934346418961157
Chokwe,Atlantic-Congo,chok1245,-0.087063309152228,0.010694727343287354,0.03364703786558561,-2.9053979992545753
Digo,Atlantic-Congo,digo1243,0.15997079342313153,0.11255138533647394,0.021958839323545906,2.1594678747802014
Ding,Atlantic-Congo,ding1239,-0.04477760381508913,0.0018145483189107954,0.040790006794695396,-1.1422442846971792
Duala,Atlantic-Congo,dual1243,-0.2526877678845565,-0.03986000648279953,0.05678888733147348,-3.7477008513918144
Ekonda_Mongo,Atlantic-Congo,ekon1238,-0.06027744559319543,0.03297159922802288,0.045118341169779884,-2.0667658075088147
Fang_EG,Atlantic-Congo,fang1246,0.14639866392948547,-0.14116864257823877,0.06859619971881596,4.192175480369132
Fefe,Atlantic-Congo,fefe1239,-0.3031956803614928,-0.09831702630940999,0.04337900978484015,-4.722990567748798
Fipa,Atlantic-Congo,fipa1238,-0.000780820153382128,-0.06234394959550718,0.11031450397980294,0.5580692222792064
