simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.682908104700472,1.376055285260417,0.6931471805599451,"taina, hangupotu, tua-kana","taina, tua-kana","taina, tua-hine","tua-kana, tua-kana tamaahine","ata-riki, koro, taina-atariki","tua-hine, tua-kana tamaahine, vovo","taina, hangupotu","matua keke, koro, matua tamaaroa","koro, matua tamaaroa","matu'a poreko, matua tamahahine",matua tamahahine,matua tamahahine,matua tamahahine,"koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine,matua tamahahine,"matu'a poreko, matua tamahahine","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa"
1,0.3414540523502362,1.0346012329101812,0.6931471805599451,"taina, hangupotu","taina, tua-hine","taina, hangupotu, tua-kana","taina, tua-kana","tua-kana, tua-kana tamaahine","ata-riki, koro, taina-atariki","tua-hine, tua-kana tamaahine, vovo","matua keke, koro, matua tamaaroa","matu'a poreko, matua tamahahine",matua tamahahine,"matu'a poreko, matua tamahahine",matua tamahahine,matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine,"matua keke, koro, matua tamaaroa","koro, matua tamaaroa",matua tamahahine,"matua keke, koro, matua tamaaroa",matua tamahahine,"koro, matua tamaaroa"
2,2.220446049250313e-16,0.6931471805599453,0.6931471805599451,"taina, hangupotu, tua-kana","ata-riki, koro, taina-atariki","tua-hine, tua-kana tamaahine, vovo","taina, tua-hine","taina, tua-kana","tua-kana, tua-kana tamaahine","taina, hangupotu",matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine,"koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,"matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine,"matua keke, koro, matua tamaaroa","koro, matua tamaaroa","matu'a poreko, matua tamahahine","matu'a poreko, matua tamahahine",matua tamahahine,"matua keke, koro, matua tamaaroa",matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa"
3,0.6829081047004718,1.0789922078775833,0.3960841031771115,"taina, hangupotu, tua-kana","tua-hine, tua-kana tamaahine, vovo","taina, hangupotu","taina, tua-hine","taina, tua-kana","tua-kana, tua-kana tamaahine","ata-riki, koro, taina-atariki","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,"matu'a poreko, matua tamahahine",matua tamahahine,"koro, matua tamaaroa","matu'a poreko, matua tamahahine",matua tamahahine,matua tamahahine,matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","koro, matua tamaaroa",matua tamahahine,"matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine
4,0.20218548540814574,0.5982695885852573,0.3960841031771115,"tua-hine, tua-kana tamaahine, vovo","taina, tua-kana","taina, hangupotu, tua-kana","taina, hangupotu","tua-kana, tua-kana tamaahine","taina, tua-hine","ata-riki, koro, taina-atariki",matua tamahahine,matua tamahahine,matua tamahahine,"matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matu'a poreko, matua tamahahine",matua tamahahine,matua tamahahine,"koro, matua tamaaroa","koro, matua tamaaroa",matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matu'a poreko, matua tamahahine"
5,0.22251676174768176,0.5195798391305154,0.29706307738283366,"taina, tua-hine","tua-kana, tua-kana tamaahine","taina, hangupotu","ata-riki, koro, taina-atariki","taina, hangupotu, tua-kana","taina, tua-kana","tua-hine, tua-kana tamaahine, vovo","matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine,matua tamahahine,"koro, matua tamaaroa",matua tamahahine,"matu'a poreko, matua tamahahine","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,"matua keke, koro, matua tamaaroa",matua tamahahine,"matu'a poreko, matua tamahahine","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine
6,0.20218548540814574,0.5982695885852573,0.3960841031771115,"taina, tua-kana","ata-riki, koro, taina-atariki","taina, hangupotu, tua-kana","tua-kana, tua-kana tamaahine","taina, tua-hine","tua-hine, tua-kana tamaahine, vovo","taina, hangupotu",matua tamahahine,matua tamahahine,"koro, matua tamaaroa",matua tamahahine,matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine,"matu'a poreko, matua tamahahine","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine,"koro, matua tamaaroa","matu'a poreko, matua tamahahine","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa"
7,0.6829081047004718,1.0789922078775833,0.3960841031771115,"taina, hangupotu","taina, hangupotu, tua-kana","tua-kana, tua-kana tamaahine","taina, tua-kana","tua-hine, tua-kana tamaahine, vovo","taina, tua-hine","ata-riki, koro, taina-atariki",matua tamahahine,matua tamahahine,"matua keke, koro, matua tamaaroa","matu'a poreko, matua tamahahine",matua tamahahine,"matua keke, koro, matua tamaaroa",matua tamahahine,"matu'a poreko, matua tamahahine","koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine,matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","koro, matua tamaaroa"
8,0.22251676174768176,0.5195798391305154,0.29706307738283366,"tua-hine, tua-kana tamaahine, vovo","taina, hangupotu","taina, tua-hine","taina, hangupotu, tua-kana","tua-kana, tua-kana tamaahine","ata-riki, koro, taina-atariki","taina, tua-kana",matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,"koro, matua tamaaroa","matu'a poreko, matua tamahahine",matua tamahahine,"matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine,matua tamahahine,"matua keke, koro, matua tamaaroa","matu'a poreko, matua tamahahine","koro, matua tamaaroa"
9,0.22251676174768176,0.5195798391305154,0.29706307738283366,"taina, hangupotu, tua-kana","tua-kana, tua-kana tamaahine","tua-hine, tua-kana tamaahine, vovo","taina, tua-kana","ata-riki, koro, taina-atariki","taina, hangupotu","taina, tua-hine","koro, matua tamaaroa",matua tamahahine,matua tamahahine,matua tamahahine,"matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,"koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa","matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine,"matua keke, koro, matua tamaaroa",matua tamahahine,matua tamahahine,"matu'a poreko, matua tamahahine","matua keke, koro, matua tamaaroa","matu'a poreko, matua tamahahine","matua keke, koro, matua tamaaroa"
