simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mFeB,mFyB,mFeZ,mFyZ,fF,fM,fFB,fFZ,fFeB,fFyB,fFeZ,fFyZ
0,0.05859689440732896,0.7022460111906874,0.6436491167833585,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,are-seles,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwotaḳ,yerwotaḳ,c̷ap,yerwotaḳ,c̷ewal,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ewal,yerwotaḳ,c̷ap,yerwotaḳ
1,0.02813585457734935,0.7731496325577547,0.7450137779804054,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,taḳsoḳte,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,yerwasḳe,yerwasḳe,yerwasḳe,yerwotaḳ,yerwotaḳ,c̷ewal,c̷ewal,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ap,c̷ap
2,0.058538005524450765,0.8361297538407415,0.7775917483162907,taḳsoḳte-seles,yerwasḳe,are,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,c̷ap,yerwotaḳ,yerwotaḳ,c̷ap,yerwotaḳ,yerwotaḳ,c̷ewal,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ewal,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ
3,0.05821149733757258,0.8361297538407415,0.7779182565031689,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,c̷ewal,yerwotaḳ,yerwotaḳ,c̷ap,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ewal,c̷ap,yerwotaḳ,yerwotaḳ,yerwotaḳ
4,0.04553040644960449,0.7625160394559622,0.7169856330063578,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are-seles,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,are,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwotaḳ,yerwotaḳ,c̷ap,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ewal,c̷ewal,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ap
5,0.04924221031377718,0.8135598932716903,0.7643176829579131,yerwasḳe,yerwasḳe,yerwasḳe,are,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ewal,c̷ewal,c̷ap,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ap
6,0.06950804067545258,0.7890776672573232,0.7195696265818706,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,taḳsoḳte,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ap,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ap,yerwotaḳ,yerwotaḳ,c̷ewal,yerwotaḳ,c̷ewal,yerwotaḳ,yerwotaḳ,yerwotaḳ
7,0.09647288532193254,0.8135598932716903,0.7170870079497578,yerwasḳe,yerwasḳe,are,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are-seles,are,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ewal,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ap,yerwotaḳ,yerwotaḳ,c̷ap,c̷ewal,yerwotaḳ,yerwotaḳ,yerwotaḳ
8,0.06791827184794053,0.6747074674188231,0.6067891955708826,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,yerwasḳe,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,yerwasḳe,c̷ewal,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ewal,c̷ap,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ap,yerwotaḳ
9,0.15270349703707553,0.7022460111906874,0.5495425141536119,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,are,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,are-seles,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,taḳsoḳte-seles,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwasḳe,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ewal,c̷ap,c̷ewal,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,yerwotaḳ,c̷ap
