simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mFZS,mFeZS,mFyZS,mFZeS,mFZyS,fFZS,fFeZS,fFyZS,fFZeS,fFZyS,mF,fF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.020643930033955704,0.8487506669319027,0.828106736897947,handeru,broder,whor,whor,handeru,broder,broder,handeru,whor,broder,handeru,handeru,handeru,handeru,whor,whor,whor,broder,handeru,broder,handeru,handeru,éviter,sîra,éviter,modereb,modereb,éviter,modereb,dama,modereb,éviter,modereb,modereb,modereb,éviter,modereb,éviter,éviter,modereb,éviter,éviter,modereb,dama,éviter,éviter,sîra,éviter,modereb,modereb
1,0.045738312278871596,0.7982042955798663,0.7524659833009947,handeru,handeru,broder,whor,broder,handeru,broder,whor,whor,broder,handeru,handeru,handeru,broder,whor,handeru,broder,handeru,handeru,handeru,whor,whor,éviter,modereb,éviter,modereb,dama,éviter,modereb,éviter,sîra,modereb,éviter,dama,éviter,sîra,modereb,éviter,modereb,éviter,modereb,éviter,éviter,éviter,modereb,modereb,modereb,éviter,modereb,modereb
2,0.09184774240748639,0.7400661909751662,0.6482184485676799,whor,handeru,broder,handeru,handeru,handeru,whor,broder,handeru,broder,broder,handeru,handeru,broder,whor,whor,handeru,broder,handeru,whor,whor,handeru,modereb,éviter,modereb,sîra,éviter,dama,éviter,modereb,éviter,éviter,dama,éviter,modereb,éviter,éviter,modereb,sîra,modereb,modereb,éviter,modereb,modereb,modereb,éviter,modereb,modereb,éviter,éviter
3,0.41877769209084703,1.1163670752893367,0.6975893831984896,whor,handeru,whor,whor,broder,broder,broder,handeru,handeru,handeru,broder,handeru,broder,handeru,whor,whor,whor,handeru,broder,handeru,handeru,handeru,éviter,sîra,éviter,éviter,éviter,éviter,modereb,modereb,éviter,modereb,éviter,modereb,sîra,éviter,éviter,modereb,modereb,dama,modereb,modereb,modereb,éviter,éviter,modereb,éviter,modereb,dama,modereb
4,0.03661035564451148,0.5195798391305154,0.48296948348600394,handeru,broder,whor,broder,handeru,whor,whor,handeru,handeru,handeru,broder,whor,broder,broder,handeru,whor,handeru,broder,handeru,whor,handeru,handeru,éviter,éviter,éviter,modereb,éviter,modereb,sîra,modereb,modereb,éviter,modereb,sîra,éviter,modereb,dama,modereb,éviter,éviter,éviter,modereb,dama,modereb,modereb,éviter,modereb,modereb,éviter,éviter
5,0.10595138048700703,0.7363093244249479,0.6303579439379409,handeru,whor,handeru,whor,handeru,whor,broder,broder,broder,handeru,whor,whor,whor,handeru,handeru,broder,handeru,handeru,handeru,handeru,broder,broder,éviter,éviter,éviter,éviter,dama,éviter,modereb,modereb,éviter,modereb,sîra,modereb,modereb,éviter,modereb,éviter,sîra,éviter,éviter,éviter,éviter,modereb,modereb,dama,modereb,modereb,modereb,modereb
6,0.10402925736215707,1.2396593920543855,1.1356301346922284,whor,whor,handeru,broder,whor,broder,handeru,broder,whor,broder,handeru,whor,handeru,handeru,whor,handeru,broder,handeru,handeru,broder,handeru,handeru,sîra,éviter,éviter,modereb,dama,modereb,modereb,éviter,éviter,modereb,modereb,éviter,éviter,éviter,éviter,modereb,éviter,éviter,dama,modereb,modereb,modereb,modereb,modereb,modereb,sîra,éviter,éviter
7,0.17684020877397866,0.950465821103777,0.7736256123297983,handeru,whor,handeru,handeru,handeru,whor,broder,handeru,handeru,whor,whor,broder,handeru,whor,broder,handeru,handeru,broder,broder,handeru,whor,broder,éviter,modereb,éviter,éviter,modereb,éviter,éviter,dama,éviter,modereb,sîra,éviter,modereb,modereb,éviter,modereb,sîra,modereb,modereb,modereb,éviter,éviter,éviter,dama,modereb,modereb,éviter,modereb
8,0.0775626279465198,0.7059182060870963,0.6283555781405765,whor,broder,whor,handeru,broder,broder,handeru,handeru,handeru,whor,handeru,handeru,broder,broder,whor,handeru,handeru,handeru,whor,broder,whor,handeru,modereb,modereb,modereb,éviter,éviter,éviter,modereb,modereb,modereb,éviter,modereb,modereb,éviter,éviter,modereb,éviter,dama,modereb,modereb,éviter,éviter,éviter,sîra,modereb,sîra,éviter,dama,éviter
9,0.12589244270730937,1.0012628283087175,0.8753703856014081,broder,whor,handeru,whor,whor,whor,whor,whor,handeru,broder,broder,broder,broder,handeru,handeru,handeru,handeru,broder,handeru,handeru,handeru,handeru,éviter,modereb,modereb,éviter,modereb,modereb,dama,éviter,éviter,éviter,modereb,modereb,sîra,éviter,éviter,sîra,dama,éviter,modereb,modereb,éviter,modereb,éviter,éviter,modereb,modereb,éviter,modereb
