simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mB,mZ,fB,fZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.0667045214739137,1.372362711605728,1.3056581901318143,parnkurti,parnkurti,kawurlu,parnkurti,karlaty,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,parnkurti,papa,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,papa,papa,kawurlu,parnkurti,parnkurti,karlaty,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,kawurlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,papa,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,kawurlu,parnkurti,parnkurti,parnkurti,ngamirni,ngamayi,ngamirni,ngatyi,ngamirni,ngatyi,ngamirni,ngamayi,ngamayi,mukurla,ngatyi,mukurla,ngatyi,ngamayi,mukurla,ngamirni,ngatyi,ngamirni,mukurla,ngatinyan,ngatyi,mukurla,ngatyi,ngamayi,ngatinyan,ngamayi,mukurla,ngatyi
1,0.12243392504889172,1.4059678690931032,1.2835339440442115,parnkurti,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,parnkurti,karlaty,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,papa,parnkurti,parnkurti,parnkurti,parnkurti,kawurlu,karlaty,parnkurti,parnkurti,parnkurti,parnkurti,papa,parnkurti,papa,parnkurti,parnkurti,parnkurti,kawurlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,kawurlu,parnkurti,parnkurti,parnkurti,papa,parnkurti,kawurlu,parnkurti,parnkurti,mukurla,mukurla,ngamirni,ngamirni,ngatyi,ngatyi,ngamayi,ngamirni,ngatyi,ngatinyan,ngatinyan,mukurla,ngamayi,ngamirni,mukurla,ngatyi,ngamayi,ngatyi,mukurla,ngatyi,ngatyi,ngamirni,ngamayi,ngamayi,ngamirni,ngamayi,ngatyi,mukurla
2,0.18639085933391963,1.4736718899807,1.2872810306467803,parnkurti,karlaty,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,parnkurti,parnkurti,parnkurti,papa,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,papa,karlaty,parnkurti,kawurlu,parnkurti,kawurlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,papa,kawurlu,parnkurti,parnkurti,parnkurti,kawurlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,papa,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,ngamayi,mukurla,mukurla,ngatyi,ngatinyan,ngamirni,ngamayi,ngatyi,ngamirni,ngatyi,ngamirni,ngamirni,ngamirni,ngatyi,ngatyi,ngamayi,mukurla,ngatyi,ngamayi,ngamirni,mukurla,ngatyi,ngatyi,ngatinyan,ngamayi,mukurla,ngamayi,mukurla
3,0.16727328052494927,1.4823207519071897,1.3150474713822404,karlaty,kawurlu,papa,parnkurti,parnkurti,parnkurti,papa,parnkurti,parnkurti,parnkurti,parnkurti,papa,parnkurti,parnkurti,karlaty,parnkurti,parnkurti,kawurlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,parnkurti,parnkurti,parnkurti,kawurlu,parnkurti,parnkurti,papa,parnkurti,karlaty,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,kawurlu,parnkurti,parnkurti,ngatyi,ngatinyan,ngamirni,ngamayi,ngamayi,ngatinyan,ngamayi,mukurla,ngatyi,ngatyi,mukurla,ngamirni,ngatyi,mukurla,ngamirni,ngamayi,ngatyi,mukurla,ngamayi,ngatyi,ngamirni,ngamayi,ngatyi,ngatyi,ngamirni,mukurla,ngamirni,mukurla
4,0.1570568432572068,1.4726957474674591,1.3156389042102523,parnkurti,parnkurti,parnkurti,papa,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,papa,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,kawurlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,kawurlu,kawurlu,parnkurti,parnkurti,karlaty,papa,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlaty,kawurlu,parnkurti,karlaty,parnkurti,parnkurti,parnkurti,papa,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,ngatyi,ngamirni,ngamirni,ngamayi,ngamayi,ngamirni,mukurla,ngatinyan,mukurla,ngatyi,mukurla,ngatyi,mukurla,ngamayi,ngatyi,ngatyi,ngamirni,ngamirni,mukurla,ngatyi,mukurla,ngamirni,ngatyi,ngamayi,ngamayi,ngatyi,ngamayi,ngatinyan
5,0.11941351807888823,1.3408461255260735,1.2214326074471853,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,parnkurti,karlaty,papa,parnkurti,parnkurti,parnkurti,papa,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,karlaty,papa,kawurlu,parnkurti,parnkurti,kawurlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,papa,kawurlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,kawurlu,parnkurti,ngamayi,ngamirni,ngamayi,ngamirni,mukurla,mukurla,ngatinyan,ngamayi,ngatyi,mukurla,mukurla,ngamayi,mukurla,ngamirni,ngamirni,ngatyi,ngatyi,mukurla,ngatyi,ngamirni,ngatinyan,ngamirni,ngamayi,ngatyi,ngamayi,ngatyi,ngatyi,ngatyi
6,0.13329124064508702,1.5208211675636523,1.3875299269185652,kawurlu,parnkurti,parnkurti,papa,parnkurti,parnkurti,karlaty,parnkurti,parnkurti,karlaty,kawurlu,kawurlu,parnkurti,kawurlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,papa,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,papa,parnkurti,papa,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,ngamirni,mukurla,ngatinyan,ngatinyan,ngamirni,ngatyi,ngamayi,ngamirni,ngatyi,ngatyi,ngamayi,ngamayi,ngamayi,ngatyi,ngamirni,ngatyi,mukurla,ngatyi,mukurla,ngamirni,ngamirni,mukurla,ngamayi,ngamayi,ngatyi,mukurla,ngatyi,mukurla
7,0.10638612692127736,1.44960910407162,1.3432229771503426,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,kawurlu,kawurlu,parnkurti,karlaty,kawurlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,papa,parnkurti,papa,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,papa,parnkurti,karlaty,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,kawurlu,papa,parnkurti,parnkurti,mukurla,ngamayi,mukurla,ngatinyan,ngatyi,ngamirni,mukurla,ngamayi,ngamayi,ngamirni,ngamirni,ngamirni,ngatyi,ngatinyan,mukurla,ngatyi,ngatyi,ngamayi,ngamayi,ngamirni,ngamirni,mukurla,ngatyi,ngatyi,ngamayi,ngatyi,mukurla,ngatyi
8,0.15914218361967047,1.5612715814728582,1.4021293978531877,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,parnkurti,kawurlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlaty,parnkurti,papa,kawurlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,karlaty,papa,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,papa,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,kawurlu,papa,parnkurti,parnkurti,parnkurti,parnkurti,karlaty,kawurlu,parnkurti,parnkurti,ngatinyan,ngatyi,ngamirni,ngatinyan,ngamayi,ngatyi,ngamirni,ngatyi,ngamirni,ngamirni,ngamayi,mukurla,ngamayi,ngatyi,ngatyi,ngamirni,mukurla,ngatyi,mukurla,ngatyi,ngamayi,mukurla,ngatyi,mukurla,ngamayi,ngamayi,mukurla,ngamirni
9,0.11416699876297098,1.5752468766398264,1.4610798778768554,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,kawurlu,papa,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,kawurlu,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,papa,parnkurti,parnkurti,parnkurti,parnkurti,papa,karlaty,parnkurti,parnkurti,parnkurti,parnkurti,karlaty,papa,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,parnkurti,kawurlu,karlaty,parnkurti,kawurlu,karlaty,mukurla,ngamirni,mukurla,ngamayi,ngatyi,ngamayi,ngatyi,ngamayi,ngamirni,ngamirni,ngatyi,ngatyi,ngamirni,ngamayi,ngatinyan,ngamayi,ngatyi,ngatinyan,ngatyi,ngamirni,ngatyi,mukurla,mukurla,ngamirni,mukurla,mukurla,ngamayi,ngatyi
