simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.139579633275986,1.0320388504971314,0.8924592172211454,neba gatzea,lehengusina,lehengusua,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,anaia,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,lehengusua,arreba nagusia,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,neba,lehengusina,lehengusina,lehengusua,lehengusina,lehengusina,arreba,neba nagusia,lehengusina,lehengusina,ahizpa,lehengusua,lehengusua,lehengusua,arreba gaztea,lehengusua,lehengusina,ahizpa,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,anaia,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,lehengusina,lehengusua,lehengusua,lehengusina,ahizpa,osaba,izeko,osaba,izeko,izeko,izeko,osaba,osaba,osaba,osaba,izeko,izeko,aita,osaba,izeko,izeko,osaba,osaba,izeko,izeko,ama,izeko,osaba,osaba,izeko,ama,osaba,aita
1,0.14439095180427342,1.1338096288475135,0.98941867704324,lehengusina,lehengusua,lehengusua,neba gatzea,lehengusina,anaia,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,neba nagusia,lehengusua,arreba gaztea,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,neba,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,lehengusua,lehengusina,lehengusua,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,ahizpa,ahizpa,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,ahizpa,lehengusua,lehengusua,arreba,lehengusina,lehengusua,arreba nagusia,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,anaia,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusina,osaba,osaba,izeko,izeko,aita,osaba,ama,izeko,osaba,osaba,izeko,izeko,izeko,osaba,osaba,osaba,izeko,osaba,izeko,ama,osaba,izeko,osaba,aita,izeko,izeko,izeko,osaba
2,0.08732774899279272,1.0867910088751427,0.99946325988235,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,lehengusua,lehengusina,neba nagusia,arreba gaztea,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,ahizpa,lehengusua,neba,lehengusina,lehengusina,arreba,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,anaia,lehengusina,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusina,lehengusua,ahizpa,lehengusina,lehengusina,arreba nagusia,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusina,ahizpa,lehengusina,anaia,lehengusua,lehengusua,neba gatzea,lehengusina,lehengusina,izeko,izeko,izeko,izeko,izeko,izeko,izeko,osaba,osaba,izeko,osaba,osaba,izeko,osaba,izeko,aita,osaba,izeko,osaba,aita,ama,osaba,osaba,izeko,osaba,ama,osaba,osaba
3,0.20275389421478662,1.068455228939799,0.8657013347250124,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,neba nagusia,ahizpa,neba,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,lehengusua,ahizpa,lehengusina,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,arreba gaztea,lehengusina,lehengusua,lehengusina,lehengusua,arreba nagusia,lehengusua,anaia,lehengusua,lehengusua,lehengusina,ahizpa,lehengusina,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,arreba,lehengusina,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,neba gatzea,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,anaia,lehengusua,aita,osaba,osaba,osaba,izeko,izeko,aita,izeko,izeko,izeko,osaba,izeko,izeko,osaba,osaba,osaba,izeko,izeko,osaba,osaba,osaba,osaba,ama,osaba,izeko,izeko,ama,izeko
4,0.1600039956078354,1.138628495601476,0.9786244999936407,arreba nagusia,lehengusua,lehengusua,lehengusina,lehengusua,lehengusua,anaia,lehengusua,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,ahizpa,lehengusina,arreba gaztea,lehengusina,lehengusua,lehengusua,lehengusina,ahizpa,lehengusua,anaia,lehengusua,lehengusua,arreba,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,neba nagusia,lehengusina,lehengusua,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,lehengusua,lehengusina,ahizpa,lehengusua,lehengusina,neba gatzea,lehengusua,lehengusua,lehengusina,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,neba,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,izeko,izeko,izeko,osaba,izeko,ama,osaba,izeko,izeko,aita,izeko,osaba,osaba,osaba,izeko,aita,osaba,ama,izeko,izeko,osaba,izeko,osaba,osaba,izeko,osaba,osaba,osaba
5,0.12633005164322975,1.172577849046131,1.0462477974029012,lehengusina,lehengusina,lehengusua,lehengusina,lehengusina,ahizpa,ahizpa,lehengusina,lehengusua,lehengusina,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,neba gatzea,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,anaia,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,ahizpa,lehengusua,lehengusua,lehengusua,arreba,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,anaia,lehengusua,lehengusua,lehengusua,arreba nagusia,lehengusua,lehengusina,neba nagusia,lehengusina,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusina,arreba gaztea,lehengusua,lehengusina,lehengusua,lehengusua,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,lehengusina,neba,izeko,osaba,osaba,osaba,izeko,ama,osaba,izeko,osaba,izeko,izeko,aita,osaba,osaba,osaba,izeko,ama,izeko,aita,izeko,izeko,osaba,izeko,osaba,izeko,osaba,izeko,osaba
6,0.10041269371647488,1.1186315558181645,1.0182188621016897,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusua,arreba gaztea,neba,lehengusua,lehengusina,ahizpa,lehengusina,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,anaia,lehengusua,lehengusina,lehengusina,anaia,arreba,lehengusina,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,lehengusua,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusina,lehengusua,arreba nagusia,lehengusina,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,neba nagusia,lehengusua,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,ahizpa,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,lehengusina,neba gatzea,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,ahizpa,izeko,ama,osaba,osaba,izeko,izeko,izeko,izeko,izeko,izeko,aita,izeko,osaba,izeko,osaba,osaba,osaba,osaba,aita,izeko,osaba,osaba,izeko,osaba,ama,osaba,osaba,izeko
7,0.1150171670956861,1.0669964895670623,0.9519793224713762,lehengusua,neba,lehengusina,lehengusua,lehengusina,lehengusua,ahizpa,lehengusua,lehengusina,lehengusina,lehengusina,lehengusua,lehengusina,anaia,lehengusua,arreba,lehengusina,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusina,ahizpa,lehengusua,lehengusua,lehengusina,neba nagusia,lehengusina,lehengusua,lehengusina,lehengusua,lehengusua,lehengusina,arreba nagusia,lehengusina,lehengusua,anaia,lehengusina,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,neba gatzea,lehengusina,lehengusua,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,ahizpa,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,arreba gaztea,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,lehengusua,izeko,aita,izeko,izeko,osaba,izeko,osaba,osaba,osaba,ama,izeko,osaba,izeko,osaba,izeko,izeko,osaba,osaba,osaba,izeko,ama,osaba,aita,izeko,osaba,izeko,izeko,osaba
8,0.12321230684882889,1.1292379276231805,1.0060256207743516,ahizpa,lehengusina,lehengusua,lehengusina,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,ahizpa,lehengusina,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,lehengusina,anaia,lehengusina,lehengusua,lehengusua,lehengusua,lehengusua,lehengusua,neba gatzea,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,arreba gaztea,lehengusina,lehengusua,lehengusua,lehengusua,lehengusina,anaia,lehengusua,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,neba nagusia,neba,lehengusua,lehengusua,lehengusua,lehengusina,arreba nagusia,ahizpa,arreba,lehengusua,lehengusina,lehengusua,lehengusua,lehengusua,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,lehengusina,lehengusina,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,lehengusua,lehengusua,lehengusua,aita,osaba,izeko,osaba,izeko,osaba,izeko,izeko,osaba,ama,osaba,osaba,osaba,izeko,osaba,ama,aita,izeko,izeko,izeko,izeko,izeko,izeko,osaba,osaba,osaba,izeko,osaba
9,0.10164655681978496,1.0248681492225122,0.9232215924027273,lehengusina,arreba,lehengusua,lehengusua,anaia,lehengusina,lehengusina,lehengusua,lehengusua,neba nagusia,lehengusina,lehengusua,lehengusua,lehengusua,lehengusina,arreba gaztea,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,ahizpa,lehengusua,neba,lehengusua,lehengusua,lehengusua,lehengusua,lehengusina,lehengusua,lehengusua,ahizpa,lehengusina,lehengusua,neba gatzea,lehengusua,lehengusua,lehengusina,ahizpa,lehengusua,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusua,lehengusua,anaia,lehengusua,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,lehengusina,lehengusina,lehengusua,lehengusina,lehengusua,lehengusua,lehengusina,lehengusua,lehengusina,arreba nagusia,lehengusina,lehengusua,lehengusina,lehengusina,lehengusina,lehengusina,lehengusua,lehengusua,lehengusina,osaba,izeko,osaba,osaba,osaba,osaba,izeko,aita,osaba,osaba,izeko,osaba,osaba,ama,osaba,izeko,izeko,izeko,osaba,osaba,izeko,izeko,izeko,izeko,aita,izeko,izeko,ama
