simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.2993827128199751,2.0054779423254994,1.7060952295055243,anggi,anggi,anggi,akang boru,akang boru,anggi,anggi,akang bawa,akang boru,akang boru,pariban,pariban,akang bawa,akang bawa,anggi,pariban,anggi,akang bawa,akang boru,akang boru,akang bawa,anggi,pariban,akang bawa,anggi,akang boru,anggi,anggi,anggi,anggi,akang boru,anggi,akang bawa,akang bawa,anggi,akang boru,anggi,anggi,tulang,"inangbaju, inanguda",namboru,"inangbaju, inanguda",amonguda,among,tulang,tulang,inangtua,namboru,among tua,inang,inangtua,amonguda,among,namboru,inang,tulang,among tua,namboru
1,0.36711612209329036,2.0054779423254994,1.638361820232209,anggi,akang bawa,anggi,anggi,anggi,anggi,anggi,akang bawa,anggi,pariban,anggi,akang boru,anggi,anggi,anggi,anggi,akang boru,akang bawa,anggi,akang boru,akang bawa,anggi,akang boru,anggi,anggi,anggi,pariban,akang bawa,akang bawa,akang boru,akang bawa,pariban,pariban,akang boru,akang bawa,akang boru,akang boru,akang boru,among tua,namboru,inangtua,namboru,among,namboru,"inangbaju, inanguda",inang,tulang,namboru,tulang,tulang,among,"inangbaju, inanguda",inangtua,inang,tulang,among tua,amonguda,amonguda
2,0.3903661625104482,2.0054779423255,1.6151117798150516,anggi,akang bawa,anggi,akang bawa,anggi,akang bawa,akang boru,akang boru,pariban,anggi,akang bawa,anggi,akang bawa,pariban,akang boru,akang boru,pariban,akang boru,anggi,akang boru,anggi,akang boru,anggi,anggi,anggi,akang bawa,anggi,anggi,anggi,anggi,pariban,akang bawa,anggi,anggi,akang bawa,akang boru,akang boru,anggi,namboru,amonguda,tulang,inang,inangtua,tulang,among tua,inangtua,tulang,namboru,inang,among tua,among,"inangbaju, inanguda","inangbaju, inanguda",namboru,amonguda,tulang,namboru,among
3,0.2827905890570386,2.0054779423255,1.7226873532684612,anggi,anggi,anggi,anggi,anggi,akang boru,akang bawa,anggi,akang bawa,pariban,akang boru,anggi,anggi,pariban,anggi,pariban,akang boru,akang bawa,akang bawa,anggi,akang bawa,akang boru,akang boru,anggi,anggi,akang bawa,anggi,akang boru,akang boru,pariban,akang boru,akang boru,akang bawa,anggi,anggi,anggi,akang bawa,anggi,among,inang,tulang,"inangbaju, inanguda",among tua,inangtua,inangtua,namboru,tulang,among tua,tulang,amonguda,namboru,amonguda,among,inang,namboru,"inangbaju, inanguda",tulang,namboru
4,0.3387914670021568,2.031938767269279,1.6931473002671222,akang boru,anggi,anggi,akang boru,anggi,akang bawa,anggi,akang boru,pariban,anggi,akang boru,anggi,akang bawa,akang boru,akang boru,akang bawa,anggi,anggi,anggi,anggi,anggi,akang bawa,akang bawa,anggi,pariban,anggi,akang bawa,anggi,pariban,anggi,akang bawa,akang boru,pariban,anggi,akang boru,akang boru,anggi,akang bawa,inangtua,amonguda,namboru,inang,tulang,inang,inangtua,amonguda,"inangbaju, inanguda",tulang,among,among,namboru,tulang,"inangbaju, inanguda",among tua,among tua,namboru,namboru,tulang
5,0.35658684492279913,2.0428495609613644,1.6862627160385653,akang boru,anggi,pariban,akang bawa,akang boru,anggi,pariban,anggi,akang bawa,anggi,akang boru,anggi,akang bawa,anggi,anggi,pariban,anggi,akang boru,akang bawa,anggi,akang boru,anggi,akang bawa,akang boru,anggi,anggi,akang bawa,anggi,anggi,akang bawa,anggi,akang bawa,pariban,anggi,akang boru,akang boru,anggi,akang boru,namboru,amonguda,"inangbaju, inanguda",inangtua,among,among tua,namboru,tulang,tulang,namboru,inangtua,among,"inangbaju, inanguda",tulang,among tua,inang,tulang,amonguda,namboru,inang
6,0.23429469399893987,2.0428495609613644,1.8085548669624245,pariban,anggi,anggi,anggi,akang boru,anggi,anggi,anggi,akang bawa,anggi,akang boru,akang bawa,anggi,anggi,anggi,pariban,anggi,akang boru,akang boru,akang boru,akang boru,akang boru,anggi,anggi,akang bawa,akang bawa,akang bawa,pariban,anggi,pariban,akang bawa,anggi,anggi,anggi,akang boru,akang bawa,akang bawa,akang boru,inang,namboru,among tua,"inangbaju, inanguda",inangtua,amonguda,inangtua,namboru,amonguda,among,tulang,among tua,tulang,namboru,among,"inangbaju, inanguda",tulang,tulang,namboru,inang
7,0.32816777700292343,2.031938767269279,1.7037709902663556,akang bawa,anggi,akang boru,akang boru,akang bawa,akang bawa,anggi,anggi,anggi,pariban,anggi,akang boru,anggi,akang bawa,anggi,pariban,anggi,akang bawa,anggi,pariban,akang boru,akang boru,akang boru,akang boru,anggi,pariban,akang bawa,akang bawa,anggi,anggi,anggi,anggi,akang bawa,akang boru,anggi,anggi,anggi,akang boru,namboru,"inangbaju, inanguda",among,tulang,inangtua,among tua,amonguda,inangtua,inang,inang,tulang,"inangbaju, inanguda",among,namboru,namboru,amonguda,among tua,tulang,tulang,namboru
8,0.25171499951046195,2.0428495609613644,1.7911345614509024,anggi,akang bawa,anggi,akang boru,anggi,anggi,akang bawa,akang boru,akang boru,anggi,akang boru,anggi,anggi,anggi,pariban,pariban,akang boru,anggi,akang boru,anggi,anggi,akang bawa,akang bawa,akang bawa,anggi,akang boru,akang boru,anggi,anggi,akang bawa,akang bawa,anggi,akang bawa,anggi,anggi,pariban,pariban,akang boru,"inangbaju, inanguda","inangbaju, inanguda",inangtua,inang,tulang,among tua,among,tulang,namboru,inangtua,amonguda,among,inang,namboru,amonguda,namboru,tulang,tulang,namboru,among tua
9,0.3476895981047379,2.0239357198889,1.676246121784162,anggi,anggi,pariban,akang boru,pariban,anggi,akang bawa,anggi,anggi,akang boru,anggi,akang boru,anggi,akang boru,akang boru,anggi,anggi,akang bawa,akang boru,akang bawa,anggi,pariban,anggi,anggi,anggi,pariban,akang bawa,akang boru,akang boru,anggi,akang boru,anggi,anggi,akang bawa,akang bawa,akang bawa,akang bawa,anggi,inangtua,namboru,namboru,tulang,inang,among,among tua,among tua,tulang,"inangbaju, inanguda",inangtua,namboru,among,namboru,tulang,amonguda,inang,tulang,amonguda,"inangbaju, inanguda"
