simulation_number,mutual_information,entropy,conditional_entropy,myB,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,feB,fyB,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,mB,mZ,meB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFeBD,mFyBD,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,mFBeD,mFByD,mFZeD,mFZyD,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFeBD,fFeZD,fFyZD,fMeBD,fMyBD,fMeZD,fMyZD,fFBeD,fFByD,fFZeD,fFZyD,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mMB,mMeB,mMyB,fF,fM,fFB,fMB,fMeB,fMyB,mFZ,mMZ,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,fFZ,fMZ,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ
0,0.17484305476291295,2.190234500415832,2.015391445652919,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,nkana,leki ya mobali,ndeko,ndeko,ndeko,ndeko,leki ya mobali,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,nkana,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,ndeko,ndeko,ndeko,ndeko,tatá mokóló,tata-leki,tata-muasi,tata-leki,tata-kulutu,mamå,tata-muasi,tata-muasi,sango,mama-kulutu,noko,noko,sango,tatá mokóló,mama-kulutu,noko,tata-muasi,tata-muasi,mama,mamå,mama-leki,mama-leki,noko,tata-kulutu,tata-muasi,noko,noko,mama
1,0.1688862934769877,2.1589013916181425,1.9900150981411548,ndeko,ndeko,ndeko,nkana,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mobali,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,ndeko,ndeko,ndeko,ndeko,nkana,ndeko,leki ya mobali,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,tatá mokóló,noko,mama-kulutu,sango,mama-leki,tata-muasi,tata-muasi,mamå,tatá mokóló,noko,noko,tata-muasi,mama,mama,tata-muasi,noko,tata-leki,noko,tata-muasi,tata-leki,mama-leki,noko,mamå,tata-kulutu,mama-kulutu,tata-kulutu,tata-muasi,sango
2,0.20157228912664715,2.1819134537810196,1.9803411646543725,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,nkana,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,nkana,ndeko,ndeko,ndeko,leki ya mobali,ndeko,ndeko,leki ya mwasi,leki ya mwasi,ndeko,ndeko,ndeko,leki ya mobali,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,sango,mama,tatá mokóló,noko,sango,noko,mama-kulutu,tata-leki,mamå,tata-muasi,mama-leki,noko,tatá mokóló,mama-leki,noko,mamå,tata-muasi,noko,tata-muasi,mama-kulutu,tata-muasi,noko,tata-kulutu,tata-muasi,mama,tata-muasi,tata-leki,tata-kulutu
3,0.16124590286289386,2.2339771424265216,2.0727312395636277,leki ya mobali,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mobali,ndeko,ndeko,ndeko,yaya,ndeko,yaya,ndeko,ndeko,ndeko,nkana,ndeko,yaya,ndeko,ndeko,ndeko,nkana,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,tata-kulutu,mamå,noko,tata-leki,tatá mokóló,noko,mama,tata-muasi,sango,tata-leki,tatá mokóló,noko,mama-leki,mama-kulutu,noko,noko,tata-muasi,mama-leki,tata-muasi,tata-muasi,sango,mama-kulutu,noko,tata-muasi,mama,tata-kulutu,mamå,tata-muasi
4,0.2446720301876235,2.105931247272698,1.8612592170850744,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mobali,ndeko,ndeko,ndeko,nkana,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mobali,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,nkana,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,tata-kulutu,noko,mama-kulutu,mama-leki,noko,tata-leki,mama,tata-muasi,noko,noko,tatá mokóló,mamå,noko,tata-muasi,tata-muasi,sango,mama-kulutu,noko,mama-leki,tata-muasi,tatá mokóló,tata-kulutu,sango,mamå,mama,tata-muasi,tata-muasi,tata-leki
5,0.1663418676395505,2.1183181594853404,1.95197629184579,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mobali,ndeko,ndeko,nkana,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mobali,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,nkana,ndeko,noko,mamå,tata-leki,tata-kulutu,tata-kulutu,sango,tata-muasi,mama-leki,mama,mama,tata-muasi,tatá mokóló,tata-muasi,tata-muasi,tatá mokóló,mamå,noko,mama-kulutu,mama-leki,sango,noko,tata-muasi,tata-muasi,tata-leki,noko,mama-kulutu,noko,noko
6,0.11023616612894838,2.1582627829630274,2.048026616834079,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,leki ya mobali,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,nkana,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,nkana,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mobali,ndeko,ndeko,tata-muasi,mama-leki,mama-kulutu,tata-muasi,tatá mokóló,tata-muasi,mamå,tata-leki,tata-kulutu,noko,noko,noko,sango,tatá mokóló,tata-kulutu,noko,mama,mama,mama-leki,tata-muasi,mama-kulutu,noko,tata-leki,mamå,sango,noko,tata-muasi,tata-muasi
7,0.22426017132882414,2.161319765110686,1.937059593781862,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mobali,ndeko,ndeko,ndeko,ndeko,ndeko,nkana,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,ndeko,nkana,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mobali,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,sango,noko,sango,tata-muasi,tata-muasi,noko,tata-leki,noko,mama,mama-kulutu,mama-leki,tata-muasi,mama,tata-leki,mama-kulutu,tata-muasi,noko,noko,tata-kulutu,mama-leki,tata-muasi,mamå,tata-muasi,tatá mokóló,mamå,tata-kulutu,tatá mokóló,noko
8,0.19533234070789462,2.128273610627505,1.9329412699196105,leki ya mwasi,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mobali,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,nkana,ndeko,ndeko,leki ya mwasi,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,nkana,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mobali,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,tata-muasi,tata-muasi,tata-leki,mamå,mamå,mama,noko,tata-kulutu,tata-muasi,mama-kulutu,mama,mama-kulutu,mama-leki,noko,tata-muasi,tatá mokóló,tata-muasi,noko,noko,tata-muasi,noko,tatá mokóló,sango,tata-leki,tata-kulutu,mama-leki,noko,sango
9,0.1999201615824311,2.122440099320305,1.9225199377378739,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,nkana,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,yaya,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,nkana,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mobali,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,yaya,ndeko,ndeko,ndeko,leki ya mwasi,ndeko,ndeko,leki ya mobali,ndeko,ndeko,mamå,mamå,tata-muasi,mama-kulutu,tata-muasi,tata-leki,tata-muasi,tata-muasi,noko,tata-leki,noko,noko,tata-kulutu,tata-muasi,sango,tatá mokóló,tata-muasi,mama-kulutu,mama,sango,tata-kulutu,noko,mama,mama-leki,mama-leki,tatá mokóló,noko,noko
