simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFBD,mFZD,mMBD,mMZD,fFZS,fMBS,fFBD,fFZD,fMBD,fMZD,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.15715796635966184,1.3819580597651746,1.2248000934055128,yukuyuku,yapa,yapa,dhuway,"galay, gunydjuy",yapa,"galay, gunydjuy",dhuway,yapa,yapa,"galay, gunydjuy",yapa,dhuway,dhuway,yapa,"galay, gunydjuy",dhuway,wäwa,dhuway,dhuway,yapa,yapa,"galay, gunydjuy",yapa,"galay, gunydjuy",dhuway,yapa,yapa,dhuway,yukuyuku,dhuway,dhuway,yapa,yapa,yukuyuku,"galay, gunydjuy","galay, gunydjuy",yapa,dhuway,"galay, gunydjuy","galay, gunydjuy",yapa,dhuway,"galay, gunydjuy","galay, gunydjuy",yapa,yapa,yapa,"galay, gunydjuy","galay, gunydjuy","galay, gunydjuy",dhuway,yapa,dhuway,"galay, gunydjuy",yapa,"galay, gunydjuy",yapa,dhuway,dhuway,dhuway,dhuway,"galay, gunydjuy","galay, gunydjuy","galay, gunydjuy",dhuway,mukul bäpa,mukul bäpa,"ŋapipi, gawal",mukul bäpa,ŋandi,bäpa,"ŋapipi, gawal","ŋapipi, gawal","ŋapipi, gawal",ŋandi,ŋandi,bäpa,mukul bäpa,ŋandi,bäpa,bäpa,bäpa,ŋandi,bäpa,ŋandi
1,0.10293034576747995,1.373129907581153,1.270199561813673,yapa,"galay, gunydjuy",yapa,yapa,yapa,"galay, gunydjuy","galay, gunydjuy",yapa,"galay, gunydjuy",yapa,yapa,dhuway,dhuway,dhuway,yukuyuku,wäwa,dhuway,yapa,yapa,dhuway,dhuway,"galay, gunydjuy","galay, gunydjuy","galay, gunydjuy",yapa,dhuway,"galay, gunydjuy",dhuway,dhuway,dhuway,dhuway,yapa,yapa,"galay, gunydjuy",dhuway,yapa,yapa,"galay, gunydjuy","galay, gunydjuy",dhuway,"galay, gunydjuy",yapa,"galay, gunydjuy",yapa,dhuway,dhuway,"galay, gunydjuy",dhuway,yapa,yapa,dhuway,dhuway,"galay, gunydjuy","galay, gunydjuy",dhuway,"galay, gunydjuy",yapa,"galay, gunydjuy",yapa,dhuway,yapa,yukuyuku,"galay, gunydjuy",yukuyuku,yapa,"galay, gunydjuy",ŋandi,"ŋapipi, gawal",bäpa,bäpa,ŋandi,ŋandi,mukul bäpa,"ŋapipi, gawal",ŋandi,"ŋapipi, gawal",ŋandi,"ŋapipi, gawal",ŋandi,bäpa,bäpa,bäpa,mukul bäpa,mukul bäpa,mukul bäpa,bäpa
2,0.19492735832475794,1.3713792397766853,1.1764518814519274,dhuway,yapa,"galay, gunydjuy","galay, gunydjuy",dhuway,yapa,yapa,yapa,yukuyuku,dhuway,"galay, gunydjuy",dhuway,"galay, gunydjuy",dhuway,yapa,dhuway,dhuway,yapa,dhuway,"galay, gunydjuy",dhuway,yapa,"galay, gunydjuy",yapa,dhuway,"galay, gunydjuy",dhuway,yapa,yukuyuku,yukuyuku,wäwa,yapa,yapa,"galay, gunydjuy","galay, gunydjuy",yapa,"galay, gunydjuy",dhuway,"galay, gunydjuy",dhuway,"galay, gunydjuy",dhuway,yapa,yapa,yapa,yapa,"galay, gunydjuy",yapa,"galay, gunydjuy","galay, gunydjuy","galay, gunydjuy",dhuway,yapa,dhuway,yapa,dhuway,"galay, gunydjuy",dhuway,"galay, gunydjuy","galay, gunydjuy",yapa,"galay, gunydjuy",dhuway,yapa,dhuway,yapa,ŋandi,mukul bäpa,mukul bäpa,ŋandi,bäpa,"ŋapipi, gawal",bäpa,"ŋapipi, gawal","ŋapipi, gawal",bäpa,ŋandi,"ŋapipi, gawal",mukul bäpa,bäpa,bäpa,mukul bäpa,bäpa,ŋandi,ŋandi,ŋandi
3,0.15890156585995063,1.3485440241382878,1.1896424582783371,yapa,"galay, gunydjuy","galay, gunydjuy","galay, gunydjuy",dhuway,"galay, gunydjuy","galay, gunydjuy",dhuway,yapa,dhuway,yapa,"galay, gunydjuy",dhuway,"galay, gunydjuy",yapa,"galay, gunydjuy",yapa,yapa,dhuway,dhuway,"galay, gunydjuy","galay, gunydjuy",dhuway,yapa,yapa,yapa,dhuway,dhuway,yapa,yapa,"galay, gunydjuy","galay, gunydjuy",yapa,yapa,dhuway,"galay, gunydjuy","galay, gunydjuy",dhuway,"galay, gunydjuy",yapa,dhuway,dhuway,"galay, gunydjuy",yapa,dhuway,"galay, gunydjuy",dhuway,yapa,yapa,dhuway,yukuyuku,"galay, gunydjuy",yukuyuku,yapa,dhuway,yapa,dhuway,yapa,yukuyuku,wäwa,yapa,"galay, gunydjuy",yapa,dhuway,"galay, gunydjuy",dhuway,ŋandi,bäpa,ŋandi,ŋandi,bäpa,"ŋapipi, gawal",mukul bäpa,mukul bäpa,ŋandi,bäpa,ŋandi,"ŋapipi, gawal",mukul bäpa,bäpa,"ŋapipi, gawal",bäpa,"ŋapipi, gawal",ŋandi,mukul bäpa,bäpa
4,0.11462975481318383,1.3504784878817444,1.2358487330685606,yapa,yapa,"galay, gunydjuy",dhuway,dhuway,"galay, gunydjuy",yapa,dhuway,yapa,dhuway,yapa,dhuway,"galay, gunydjuy","galay, gunydjuy",yapa,yapa,"galay, gunydjuy",yukuyuku,dhuway,"galay, gunydjuy",dhuway,yapa,yapa,yukuyuku,yapa,dhuway,dhuway,dhuway,"galay, gunydjuy","galay, gunydjuy",dhuway,"galay, gunydjuy",yapa,dhuway,"galay, gunydjuy","galay, gunydjuy",dhuway,dhuway,yapa,yukuyuku,dhuway,yapa,dhuway,yapa,yapa,"galay, gunydjuy",dhuway,"galay, gunydjuy",yapa,dhuway,yapa,yapa,"galay, gunydjuy","galay, gunydjuy",dhuway,"galay, gunydjuy","galay, gunydjuy",wäwa,yapa,"galay, gunydjuy","galay, gunydjuy",yapa,yapa,yapa,dhuway,"galay, gunydjuy",bäpa,"ŋapipi, gawal","ŋapipi, gawal",ŋandi,ŋandi,"ŋapipi, gawal",bäpa,mukul bäpa,ŋandi,"ŋapipi, gawal",bäpa,bäpa,ŋandi,mukul bäpa,ŋandi,bäpa,mukul bäpa,ŋandi,mukul bäpa,bäpa
5,0.12200384285976185,1.3669192665988854,1.2449154237391236,dhuway,dhuway,yapa,dhuway,dhuway,yapa,"galay, gunydjuy",dhuway,"galay, gunydjuy","galay, gunydjuy",dhuway,dhuway,"galay, gunydjuy",yapa,"galay, gunydjuy",dhuway,yapa,dhuway,dhuway,yapa,yapa,"galay, gunydjuy",yapa,"galay, gunydjuy",yapa,yapa,yapa,"galay, gunydjuy",dhuway,dhuway,dhuway,yapa,yapa,yapa,"galay, gunydjuy",yapa,dhuway,dhuway,dhuway,dhuway,yapa,"galay, gunydjuy",yapa,wäwa,"galay, gunydjuy","galay, gunydjuy",yukuyuku,"galay, gunydjuy","galay, gunydjuy",yukuyuku,"galay, gunydjuy","galay, gunydjuy",yapa,yapa,yapa,dhuway,yapa,yapa,"galay, gunydjuy",yapa,"galay, gunydjuy","galay, gunydjuy",dhuway,dhuway,"galay, gunydjuy",yukuyuku,bäpa,ŋandi,mukul bäpa,"ŋapipi, gawal","ŋapipi, gawal",bäpa,ŋandi,mukul bäpa,mukul bäpa,"ŋapipi, gawal",ŋandi,bäpa,"ŋapipi, gawal",mukul bäpa,bäpa,bäpa,bäpa,ŋandi,ŋandi,ŋandi
6,0.22083375592980703,1.3365072330884393,1.1156734771586323,"galay, gunydjuy",dhuway,yapa,dhuway,yapa,yapa,yapa,yapa,dhuway,yapa,"galay, gunydjuy",dhuway,yapa,yapa,"galay, gunydjuy","galay, gunydjuy","galay, gunydjuy","galay, gunydjuy",dhuway,yapa,dhuway,dhuway,"galay, gunydjuy",dhuway,yapa,yukuyuku,dhuway,yapa,dhuway,dhuway,yapa,dhuway,"galay, gunydjuy",yukuyuku,"galay, gunydjuy",dhuway,"galay, gunydjuy",yapa,yapa,"galay, gunydjuy",yapa,yapa,yukuyuku,dhuway,yapa,"galay, gunydjuy",yapa,dhuway,"galay, gunydjuy","galay, gunydjuy","galay, gunydjuy","galay, gunydjuy","galay, gunydjuy",dhuway,"galay, gunydjuy",wäwa,"galay, gunydjuy",dhuway,yapa,dhuway,"galay, gunydjuy",dhuway,yapa,dhuway,yapa,yapa,ŋandi,bäpa,ŋandi,mukul bäpa,bäpa,ŋandi,ŋandi,bäpa,mukul bäpa,ŋandi,ŋandi,bäpa,mukul bäpa,"ŋapipi, gawal",bäpa,bäpa,"ŋapipi, gawal",mukul bäpa,"ŋapipi, gawal","ŋapipi, gawal"
7,0.12947570770938777,1.3660978529376566,1.2366221452282689,dhuway,"galay, gunydjuy",dhuway,dhuway,"galay, gunydjuy","galay, gunydjuy","galay, gunydjuy",yapa,"galay, gunydjuy",yapa,yapa,dhuway,"galay, gunydjuy",dhuway,dhuway,"galay, gunydjuy",dhuway,yapa,"galay, gunydjuy",yapa,yapa,dhuway,yapa,yapa,yapa,yapa,"galay, gunydjuy",dhuway,yapa,"galay, gunydjuy",dhuway,"galay, gunydjuy",yukuyuku,yukuyuku,dhuway,dhuway,yapa,"galay, gunydjuy",dhuway,"galay, gunydjuy","galay, gunydjuy",dhuway,yapa,"galay, gunydjuy",dhuway,yapa,yapa,dhuway,wäwa,yukuyuku,dhuway,yapa,"galay, gunydjuy",dhuway,yapa,yapa,yapa,yapa,yapa,yapa,"galay, gunydjuy",dhuway,"galay, gunydjuy","galay, gunydjuy",dhuway,"galay, gunydjuy",bäpa,"ŋapipi, gawal","ŋapipi, gawal","ŋapipi, gawal",ŋandi,bäpa,ŋandi,"ŋapipi, gawal",bäpa,ŋandi,mukul bäpa,mukul bäpa,mukul bäpa,bäpa,ŋandi,bäpa,ŋandi,mukul bäpa,bäpa,ŋandi
8,0.10525983304974296,1.3692694013214313,1.2640095682716883,dhuway,yapa,dhuway,"galay, gunydjuy",dhuway,yukuyuku,yapa,yapa,"galay, gunydjuy",yapa,dhuway,wäwa,yapa,dhuway,dhuway,yapa,yapa,yapa,dhuway,"galay, gunydjuy","galay, gunydjuy",yapa,dhuway,yapa,yapa,dhuway,"galay, gunydjuy",yapa,"galay, gunydjuy",dhuway,"galay, gunydjuy","galay, gunydjuy",dhuway,"galay, gunydjuy",yapa,dhuway,"galay, gunydjuy",dhuway,"galay, gunydjuy",yapa,dhuway,"galay, gunydjuy","galay, gunydjuy",yapa,"galay, gunydjuy",dhuway,dhuway,dhuway,yapa,dhuway,dhuway,yukuyuku,yapa,yapa,yapa,yukuyuku,yapa,"galay, gunydjuy","galay, gunydjuy","galay, gunydjuy",yapa,dhuway,"galay, gunydjuy","galay, gunydjuy","galay, gunydjuy",yapa,"ŋapipi, gawal",mukul bäpa,ŋandi,bäpa,ŋandi,ŋandi,"ŋapipi, gawal",ŋandi,mukul bäpa,bäpa,mukul bäpa,"ŋapipi, gawal",ŋandi,ŋandi,bäpa,mukul bäpa,bäpa,"ŋapipi, gawal",bäpa,bäpa
9,0.0845591704599411,1.3504784878817444,1.2659193174218033,yukuyuku,"galay, gunydjuy","galay, gunydjuy","galay, gunydjuy",dhuway,yapa,"galay, gunydjuy",yapa,"galay, gunydjuy","galay, gunydjuy","galay, gunydjuy",wäwa,dhuway,dhuway,"galay, gunydjuy",dhuway,dhuway,yapa,"galay, gunydjuy",dhuway,yapa,dhuway,yapa,"galay, gunydjuy",yapa,yapa,dhuway,"galay, gunydjuy",yapa,yapa,dhuway,yapa,dhuway,yapa,"galay, gunydjuy",dhuway,dhuway,dhuway,yukuyuku,dhuway,yapa,yapa,"galay, gunydjuy",dhuway,"galay, gunydjuy","galay, gunydjuy",dhuway,yapa,"galay, gunydjuy","galay, gunydjuy",yukuyuku,yapa,yapa,yapa,dhuway,"galay, gunydjuy",yapa,"galay, gunydjuy",yapa,dhuway,yapa,yapa,dhuway,yapa,dhuway,"galay, gunydjuy",bäpa,"ŋapipi, gawal",mukul bäpa,bäpa,ŋandi,mukul bäpa,ŋandi,bäpa,ŋandi,"ŋapipi, gawal",ŋandi,bäpa,ŋandi,"ŋapipi, gawal",mukul bäpa,ŋandi,bäpa,mukul bäpa,"ŋapipi, gawal",bäpa
