simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fM,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB,mF,mFB,mFeB,mFyB,fF,fFB,fFeB,fFyB,mMZ,mMeZ,mMyZ,fMZ,fMeZ,fMyZ
0,0.1853158617287305,1.3140601962157077,1.1287443344869772,nyarrumpa,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,mal̪anypa,watyirra,watyirra,kut̪a,watyirra,mal̪anypa,watyirra,watyirra,watyirra,watyirra,pinku,watyirra,watyirra,watyirra,watyirra,pinku,nyarrumpa,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,kut̪a,watyirra,watyirra,watyirra,watyirra,puratya,watyirra,watyirra,mal̪anypa,watyirra,watyirra,watyirra,watyirra,watyirra,mal̪anypa,watyirra,watyirra,mama,mama,mama,kun̪t̪ili,mama,kamuru,ngunytju,kamuru,ngunytju,ngunytju,kamuru,ngunytju,ngunytju,kun̪t̪ili,kun̪t̪ili,mama,kamuru,mama,ngunytju,ngunytju,kun̪t̪ili,kamuru,ngunytju,kun̪t̪ili,kamuru,mama,mama,kun̪t̪ili
1,0.164407378599021,1.3416354441325533,1.1772280655335323,watyirra,watyirra,watyirra,kut̪a,pinku,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,pinku,watyirra,watyirra,watyirra,puratya,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,nyarrumpa,watyirra,watyirra,mal̪anypa,watyirra,kut̪a,watyirra,watyirra,watyirra,watyirra,watyirra,mal̪anypa,watyirra,watyirra,watyirra,nyarrumpa,watyirra,watyirra,watyirra,watyirra,mal̪anypa,watyirra,mal̪anypa,watyirra,watyirra,watyirra,ngunytju,mama,kun̪t̪ili,kun̪t̪ili,mama,kun̪t̪ili,ngunytju,kamuru,kun̪t̪ili,ngunytju,mama,mama,mama,ngunytju,kamuru,ngunytju,kamuru,ngunytju,mama,kamuru,kamuru,mama,kun̪t̪ili,kun̪t̪ili,ngunytju,ngunytju,mama,kamuru
2,0.10463234676759936,1.3705217273832866,1.2658893806156872,mal̪anypa,watyirra,kut̪a,watyirra,mal̪anypa,mal̪anypa,nyarrumpa,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,puratya,watyirra,kut̪a,watyirra,watyirra,mal̪anypa,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,pinku,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,pinku,nyarrumpa,watyirra,mama,kun̪t̪ili,kamuru,kamuru,mama,kun̪t̪ili,kun̪t̪ili,ngunytju,mama,mama,ngunytju,ngunytju,ngunytju,kamuru,kamuru,kun̪t̪ili,kun̪t̪ili,mama,ngunytju,mama,ngunytju,ngunytju,kamuru,kun̪t̪ili,mama,ngunytju,mama,kamuru
3,0.14024965903780373,1.2409206627512064,1.1006710037134027,watyirra,watyirra,watyirra,watyirra,puratya,kut̪a,nyarrumpa,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,kut̪a,watyirra,watyirra,watyirra,nyarrumpa,watyirra,watyirra,watyirra,pinku,pinku,watyirra,watyirra,watyirra,watyirra,mal̪anypa,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,mal̪anypa,mal̪anypa,watyirra,watyirra,watyirra,watyirra,mal̪anypa,watyirra,watyirra,ngunytju,kamuru,kamuru,mama,ngunytju,ngunytju,mama,kamuru,kamuru,kamuru,ngunytju,kun̪t̪ili,kamuru,ngunytju,mama,ngunytju,kun̪t̪ili,mama,kun̪t̪ili,mama,kun̪t̪ili,ngunytju,mama,kun̪t̪ili,mama,kun̪t̪ili,ngunytju,mama
4,0.0898625006641316,1.2897805764329884,1.1999180757688568,watyirra,watyirra,watyirra,kut̪a,watyirra,watyirra,watyirra,nyarrumpa,watyirra,watyirra,kut̪a,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,puratya,watyirra,watyirra,mal̪anypa,watyirra,mal̪anypa,watyirra,nyarrumpa,pinku,watyirra,watyirra,watyirra,watyirra,mal̪anypa,mal̪anypa,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,pinku,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,ngunytju,ngunytju,kun̪t̪ili,mama,kun̪t̪ili,mama,ngunytju,mama,kamuru,ngunytju,kun̪t̪ili,kun̪t̪ili,kamuru,mama,ngunytju,kun̪t̪ili,kamuru,ngunytju,ngunytju,mama,ngunytju,mama,mama,kamuru,kamuru,kamuru,mama,kun̪t̪ili
5,0.18846919310002375,1.302616649862753,1.1141474567627292,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,nyarrumpa,pinku,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,mal̪anypa,watyirra,watyirra,watyirra,watyirra,watyirra,nyarrumpa,watyirra,watyirra,mal̪anypa,watyirra,pinku,watyirra,kut̪a,mal̪anypa,watyirra,watyirra,watyirra,watyirra,mal̪anypa,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,kut̪a,puratya,kun̪t̪ili,kun̪t̪ili,ngunytju,ngunytju,mama,mama,mama,kun̪t̪ili,mama,kun̪t̪ili,ngunytju,kamuru,kamuru,ngunytju,ngunytju,mama,mama,ngunytju,mama,kun̪t̪ili,kamuru,mama,kamuru,ngunytju,kun̪t̪ili,kamuru,kamuru,ngunytju
6,0.24837990979242042,1.2239473235840976,0.9755674137916772,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,mal̪anypa,watyirra,kut̪a,watyirra,nyarrumpa,watyirra,watyirra,watyirra,puratya,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,mal̪anypa,watyirra,mal̪anypa,mal̪anypa,watyirra,watyirra,nyarrumpa,watyirra,watyirra,kut̪a,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,pinku,watyirra,watyirra,watyirra,watyirra,watyirra,pinku,kamuru,kun̪t̪ili,kamuru,mama,kamuru,ngunytju,kun̪t̪ili,kamuru,ngunytju,ngunytju,kun̪t̪ili,ngunytju,ngunytju,ngunytju,kun̪t̪ili,mama,kamuru,kun̪t̪ili,kamuru,mama,ngunytju,mama,mama,kun̪t̪ili,mama,ngunytju,mama,mama
7,0.15488401263131313,1.1779997464665615,1.0231157338352483,watyirra,watyirra,watyirra,kut̪a,watyirra,watyirra,watyirra,watyirra,nyarrumpa,mal̪anypa,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,kut̪a,watyirra,watyirra,watyirra,pinku,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,mal̪anypa,mal̪anypa,watyirra,watyirra,watyirra,pinku,nyarrumpa,watyirra,mal̪anypa,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,puratya,watyirra,ngunytju,ngunytju,mama,kun̪t̪ili,ngunytju,mama,ngunytju,mama,ngunytju,mama,ngunytju,ngunytju,mama,kamuru,kamuru,kun̪t̪ili,kamuru,kamuru,kamuru,ngunytju,kun̪t̪ili,mama,kun̪t̪ili,kamuru,mama,kun̪t̪ili,mama,kun̪t̪ili
8,0.16901305366721786,1.2284149018993242,1.0594018482321064,watyirra,watyirra,watyirra,mal̪anypa,watyirra,watyirra,mal̪anypa,watyirra,watyirra,watyirra,pinku,mal̪anypa,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,kut̪a,watyirra,watyirra,watyirra,watyirra,puratya,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,pinku,watyirra,watyirra,watyirra,mal̪anypa,watyirra,kut̪a,nyarrumpa,watyirra,watyirra,nyarrumpa,ngunytju,mama,ngunytju,ngunytju,mama,kamuru,kamuru,kamuru,mama,ngunytju,ngunytju,kamuru,mama,kun̪t̪ili,kamuru,ngunytju,kun̪t̪ili,kun̪t̪ili,mama,kun̪t̪ili,kun̪t̪ili,kun̪t̪ili,mama,mama,ngunytju,ngunytju,kamuru,mama
9,0.2609855267640002,1.2979412748991705,1.0369557481351703,watyirra,puratya,watyirra,nyarrumpa,watyirra,mal̪anypa,watyirra,mal̪anypa,watyirra,watyirra,kut̪a,watyirra,kut̪a,watyirra,pinku,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,pinku,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,nyarrumpa,watyirra,watyirra,mal̪anypa,watyirra,watyirra,watyirra,watyirra,mal̪anypa,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,watyirra,kamuru,kamuru,ngunytju,kun̪t̪ili,kamuru,ngunytju,mama,kamuru,ngunytju,mama,kamuru,ngunytju,mama,kun̪t̪ili,mama,kamuru,ngunytju,kun̪t̪ili,ngunytju,mama,kun̪t̪ili,kun̪t̪ili,mama,kun̪t̪ili,mama,ngunytju,ngunytju,mama
