simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mMeB,mMyB,fMeB,fMyB
0,0.16087060336515724,0.5195798391305154,0.3587092357653582,"tuak, tūnahin","tuak, monen, monali","tīme, tuak, tuen, uan tūnali","tuak, ahinali","tuak, ahinali","tuak, monen, monali","tuak, tūnahin","avon, matuen","itet, tāta, tamen, ulmatu","avon, matuen","avon, matuen","itau, māma, latin, nāna","itau, māma, latin, nāna","itet, tāta, tamen, ulmatu","avon, matuen"
1,0.484866053111916,1.0789922078775833,0.5941261547656673,"tuak, monen, monali","tuak, ahinali","tuak, tūnahin","tuak, monen, monali","tuak, tūnahin","tuak, ahinali","tīme, tuak, tuen, uan tūnali","avon, matuen","avon, matuen","itet, tāta, tamen, ulmatu","itau, māma, latin, nāna","itau, māma, latin, nāna","avon, matuen","itet, tāta, tamen, ulmatu","avon, matuen"
2,0.14341200076168037,1.0346012329101812,0.8911892321485009,"tuak, tūnahin","tuak, tūnahin","tuak, ahinali","tuak, monen, monali","tīme, tuak, tuen, uan tūnali","tuak, ahinali","tuak, monen, monali","avon, matuen","itet, tāta, tamen, ulmatu","itau, māma, latin, nāna","itet, tāta, tamen, ulmatu","avon, matuen","avon, matuen","avon, matuen","itau, māma, latin, nāna"
3,0.14341200076168037,1.0346012329101812,0.8911892321485009,"tīme, tuak, tuen, uan tūnali","tuak, tūnahin","tuak, ahinali","tuak, tūnahin","tuak, monen, monali","tuak, ahinali","tuak, monen, monali","itet, tāta, tamen, ulmatu","avon, matuen","itau, māma, latin, nāna","avon, matuen","avon, matuen","itau, māma, latin, nāna","itet, tāta, tamen, ulmatu","avon, matuen"
4,0.0887819499348046,1.0789922078775833,0.9902102579427787,"tuak, tūnahin","tīme, tuak, tuen, uan tūnali","tuak, tūnahin","tuak, monen, monali","tuak, ahinali","tuak, ahinali","tuak, monen, monali","avon, matuen","avon, matuen","itet, tāta, tamen, ulmatu","itau, māma, latin, nāna","avon, matuen","itet, tāta, tamen, ulmatu","itau, māma, latin, nāna","avon, matuen"
5,0.484866053111916,0.9799711820833055,0.4951051289713895,"tuak, tūnahin","tīme, tuak, tuen, uan tūnali","tuak, ahinali","tuak, tūnahin","tuak, ahinali","tuak, monen, monali","tuak, monen, monali","itau, māma, latin, nāna","itet, tāta, tamen, ulmatu","avon, matuen","avon, matuen","avon, matuen","itau, māma, latin, nāna","avon, matuen","itet, tāta, tamen, ulmatu"
6,0.14341200076168037,1.0346012329101812,0.8911892321485009,"tuak, ahinali","tuak, monen, monali","tuak, tūnahin","tīme, tuak, tuen, uan tūnali","tuak, monen, monali","tuak, ahinali","tuak, tūnahin","itet, tāta, tamen, ulmatu","avon, matuen","itau, māma, latin, nāna","itet, tāta, tamen, ulmatu","itau, māma, latin, nāna","avon, matuen","avon, matuen","avon, matuen"
7,0.14053932702562122,0.5982695885852573,0.45773026155963603,"tuak, monen, monali","tīme, tuak, tuen, uan tūnali","tuak, tūnahin","tuak, ahinali","tuak, monen, monali","tuak, tūnahin","tuak, ahinali","avon, matuen","avon, matuen","avon, matuen","itet, tāta, tamen, ulmatu","itau, māma, latin, nāna","avon, matuen","itet, tāta, tamen, ulmatu","itau, māma, latin, nāna"
8,0.4848660531119159,0.9799711820833054,0.4951051289713895,"tuak, monen, monali","tuak, ahinali","tuak, tūnahin","tuak, monen, monali","tuak, tūnahin","tuak, ahinali","tīme, tuak, tuen, uan tūnali","itet, tāta, tamen, ulmatu","avon, matuen","itau, māma, latin, nāna","itau, māma, latin, nāna","avon, matuen","avon, matuen","itet, tāta, tamen, ulmatu","avon, matuen"
9,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,"tuak, monen, monali","tuak, tūnahin","tuak, ahinali","tīme, tuak, tuen, uan tūnali","tuak, tūnahin","tuak, ahinali","tuak, monen, monali","itet, tāta, tamen, ulmatu","avon, matuen","itet, tāta, tamen, ulmatu","avon, matuen","avon, matuen","itau, māma, latin, nāna","avon, matuen","itau, māma, latin, nāna"
