simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFZS,mMBS,mFBeS,mFByS,mMZeS,mMZyS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fB,fFZD,fFBD,fMBD,fMZD,fFZS,fMBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,mM,mFB,mFZ,mMB,mMZ,mFeZ,mFyZ,mMeB,mMyB,fM,fFB,fFZ,fMB,fMZ,fFeZ,fFyZ,fMeB,fMyB,mFeB,mFyB,mMeZ,mMyZ,fFeB,fFyB,fMeZ,fMyZ,mF,fF
0,0.23405053557939848,2.0174426028785133,1.7833920672991148,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,yaya,musonoi,manakwami,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,muhela,muhela,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,yaya,mwanyikami,muhela,musonoi,musonoi,muhela,muhela,musonoi,musonoi,muhela,muhela,yaya,muhela,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,muhela,mwanyikami,musonoi,musonoi,musonoi,musonoi,mwanyikami,mwanyikami,muhela,musonoi,muhela,musonoi,muhela,yaya,musonoi,muhela,mama,mama wakansi,tata wakansi,tata wamukulumpi,tata,tata,mama,tata wakansi,tatankaji,mandumi,mandumi,tatankaji,mandumi,tatankaji,tata wamukulumpi,mandumi,tatankaji,mama wamukulumpi,tatankaji,tata,mama wakansi,mama,tatankaji,mama,mandumi,tata,mama wamukulumpi,mandumi
1,0.2751680233857239,1.872090652743927,1.596922629358203,musonoi,muhela,musonoi,muhela,muhela,muhela,muhela,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,muhela,musonoi,yaya,musonoi,musonoi,mwanyikami,yaya,musonoi,musonoi,musonoi,mwanyikami,musonoi,muhela,musonoi,muhela,musonoi,muhela,yaya,musonoi,musonoi,muhela,muhela,musonoi,musonoi,muhela,musonoi,muhela,musonoi,musonoi,musonoi,muhela,manakwami,muhela,mwanyikami,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,mwanyikami,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,yaya,musonoi,musonoi,tata wakansi,tatankaji,mama,mama wamukulumpi,mandumi,tata wamukulumpi,tata,mandumi,mandumi,mama wakansi,mandumi,mama,tatankaji,mandumi,tata wakansi,tatankaji,mama wakansi,tata,tatankaji,mama,tata,mandumi,tata,mama,tatankaji,mama wamukulumpi,tatankaji,tata wamukulumpi
2,0.27036257025584365,1.8207428001450037,1.55038022988916,musonoi,muhela,muhela,musonoi,mwanyikami,mwanyikami,musonoi,musonoi,muhela,muhela,musonoi,musonoi,musonoi,muhela,manakwami,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,yaya,musonoi,yaya,musonoi,muhela,muhela,musonoi,muhela,musonoi,musonoi,muhela,muhela,mwanyikami,musonoi,muhela,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,yaya,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,mwanyikami,musonoi,muhela,musonoi,musonoi,muhela,yaya,muhela,muhela,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,mama wakansi,tatankaji,mandumi,tatankaji,tata,mama,tatankaji,mama,tata,tata,mama wamukulumpi,tatankaji,mama,mandumi,tata wakansi,tata,mandumi,mandumi,mama,tatankaji,mama wakansi,tata wakansi,tata wamukulumpi,mama wamukulumpi,mandumi,tatankaji,mandumi,tata wamukulumpi
3,0.18023357236090654,1.9716147258458294,1.7913811534849229,muhela,musonoi,muhela,muhela,musonoi,musonoi,musonoi,muhela,musonoi,yaya,musonoi,musonoi,muhela,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,muhela,musonoi,yaya,musonoi,muhela,musonoi,yaya,musonoi,muhela,musonoi,musonoi,musonoi,muhela,muhela,musonoi,muhela,musonoi,muhela,muhela,musonoi,musonoi,musonoi,manakwami,musonoi,mwanyikami,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,yaya,musonoi,musonoi,muhela,musonoi,muhela,musonoi,mwanyikami,muhela,musonoi,mwanyikami,mwanyikami,muhela,musonoi,musonoi,mama wamukulumpi,tata wakansi,mama wakansi,tatankaji,mama,mama,tata,mandumi,tata wamukulumpi,tata,mandumi,tata,tatankaji,tata wamukulumpi,tatankaji,mandumi,mama wakansi,mama,tatankaji,tatankaji,tatankaji,tata,mama wamukulumpi,tata wakansi,mandumi,mama,mandumi,mandumi
4,0.2598309667284968,1.9506501345586056,1.6908191678301088,musonoi,muhela,musonoi,muhela,musonoi,muhela,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,muhela,yaya,musonoi,mwanyikami,musonoi,musonoi,musonoi,muhela,muhela,musonoi,musonoi,muhela,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,muhela,muhela,musonoi,musonoi,muhela,musonoi,yaya,muhela,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,manakwami,musonoi,muhela,musonoi,muhela,muhela,musonoi,musonoi,muhela,mwanyikami,mwanyikami,mwanyikami,musonoi,yaya,yaya,musonoi,mama wakansi,mandumi,mama,tata wamukulumpi,mandumi,tatankaji,tata wakansi,mama,tatankaji,tatankaji,tata wamukulumpi,mama wakansi,mama,tata,mama,tata wakansi,mandumi,tatankaji,tata,mama wamukulumpi,tatankaji,mandumi,tatankaji,tata,mandumi,mandumi,tata,mama wamukulumpi
5,0.24690473449302153,1.9677729272271829,1.7208681927341614,muhela,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,yaya,musonoi,musonoi,mwanyikami,muhela,musonoi,muhela,muhela,musonoi,yaya,muhela,muhela,musonoi,manakwami,muhela,musonoi,musonoi,mwanyikami,muhela,yaya,muhela,musonoi,muhela,musonoi,mwanyikami,muhela,musonoi,musonoi,muhela,musonoi,muhela,musonoi,yaya,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,muhela,musonoi,mwanyikami,musonoi,tata wakansi,tatankaji,tata,mama wakansi,tata,mandumi,tatankaji,tata wamukulumpi,tata,tatankaji,mama wakansi,mama,mandumi,mama,mama wamukulumpi,mandumi,tatankaji,mandumi,mandumi,mama,mama wamukulumpi,tata,mandumi,tatankaji,tata wakansi,tata wamukulumpi,tatankaji,mama
6,0.29778508560397343,1.9375234879332017,1.6397384023292283,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,muhela,yaya,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,muhela,muhela,manakwami,musonoi,musonoi,muhela,musonoi,muhela,musonoi,musonoi,muhela,musonoi,musonoi,yaya,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,muhela,musonoi,muhela,muhela,musonoi,musonoi,muhela,musonoi,musonoi,muhela,musonoi,yaya,musonoi,musonoi,muhela,musonoi,mwanyikami,musonoi,muhela,mwanyikami,musonoi,mwanyikami,muhela,yaya,mwanyikami,tatankaji,mama wakansi,tatankaji,tatankaji,mama wamukulumpi,tata,mama,tata wamukulumpi,mama,mandumi,mama wamukulumpi,tata wakansi,tatankaji,tata,tatankaji,mama,tata wakansi,tatankaji,tata,tata wamukulumpi,mandumi,mama,mandumi,tata,mama wakansi,mandumi,mandumi,mandumi
7,0.15204133973188516,1.8885390109183042,1.736497671186419,muhela,yaya,musonoi,musonoi,muhela,muhela,musonoi,musonoi,musonoi,mwanyikami,musonoi,yaya,musonoi,musonoi,musonoi,muhela,musonoi,muhela,muhela,muhela,musonoi,musonoi,musonoi,musonoi,muhela,yaya,manakwami,musonoi,mwanyikami,musonoi,musonoi,musonoi,mwanyikami,muhela,muhela,muhela,musonoi,musonoi,mwanyikami,muhela,muhela,muhela,yaya,muhela,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,tata,tatankaji,mama wakansi,mama,tata,mama wamukulumpi,tatankaji,mandumi,mandumi,tata wamukulumpi,mandumi,tatankaji,tatankaji,mama wamukulumpi,mama,mandumi,mama,mama wakansi,tatankaji,tata wamukulumpi,mandumi,tata,tata,tatankaji,tata wakansi,tata wakansi,mandumi,mama
8,0.3033722021755971,1.9332523651235465,1.6298801629479494,musonoi,mwanyikami,muhela,yaya,musonoi,musonoi,musonoi,muhela,musonoi,mwanyikami,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,muhela,mwanyikami,muhela,muhela,manakwami,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,yaya,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,muhela,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,yaya,musonoi,yaya,muhela,musonoi,muhela,musonoi,muhela,muhela,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,muhela,musonoi,muhela,musonoi,musonoi,musonoi,mwanyikami,mandumi,mama wakansi,mandumi,mama wamukulumpi,tata wakansi,mama wamukulumpi,mama,tatankaji,mandumi,tatankaji,mama,tatankaji,tata,mandumi,mandumi,mama,tata,tata wakansi,tatankaji,tatankaji,tata,mama wakansi,tatankaji,tata wamukulumpi,mandumi,tata wamukulumpi,tata,mama
9,0.19048076639217681,1.9036809925117497,1.713200226119573,musonoi,musonoi,muhela,musonoi,musonoi,yaya,musonoi,muhela,musonoi,mwanyikami,yaya,musonoi,musonoi,musonoi,muhela,musonoi,mwanyikami,musonoi,musonoi,mwanyikami,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,muhela,muhela,musonoi,muhela,musonoi,yaya,muhela,musonoi,muhela,musonoi,musonoi,musonoi,mwanyikami,muhela,musonoi,musonoi,muhela,muhela,muhela,manakwami,musonoi,muhela,musonoi,musonoi,muhela,musonoi,muhela,yaya,musonoi,musonoi,musonoi,musonoi,muhela,muhela,musonoi,musonoi,musonoi,musonoi,mama,tata,mama,tata wamukulumpi,tata,mama,mandumi,tata,mandumi,tatankaji,mandumi,mandumi,tatankaji,mama wamukulumpi,mandumi,tatankaji,mama,tatankaji,tatankaji,mama wakansi,mama wamukulumpi,tata wakansi,mandumi,tata wakansi,mama wakansi,tatankaji,tata wamukulumpi,tata
