simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,feB,fyB,feZ,fyZ,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mFB,mMB,mFeB,mFyB,mMeB,mMyB,fFB,fMB,fFeB,fFyB,fMeB,fMyB,mF,mM,mFZ,mMZ,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFZ,fMZ,fFeZ,fFyZ,fMeZ,fMyZ
0,0.14756074907086858,1.366849621164584,1.2192888720937154,monedzan,ndômzam,nyamôre,kadzam,kadzam,monedzan,kadzam,kadzam,ndômzam,kadzam,ndômzam,kadzam,monedzan,monedzan,kadzam,monedzan,monedzan,kadzam,kadzam,kadzam,kadzam,kadzam,monedzan,ndômzam,monedzan,mvara,kadzam,kadzam,monedzan,ndômzam,ndômzam,monedzan,monedzan,ndômzam,monedzan,monedzan,monedzan,monedzan,ndômzam,kadzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,monedzan,ndômzam,ñkîa,ndômzam,kadzam,monedzan,monedzan,monedzan,kadzam,monedzan,monedzan,kadzam,monedzan,monedzan,ndômzam,monedzan,monedzan,monedzan,nyamôre,ñgo zam,mvara,monedzan,monedzan,monedzan,monedzan,monedzan,ñkîa,monedzan,ndômzam,ndômzam,ndômzam,monedzan,ndômzam,kadzam,ñgo zam,monedzan,ndômzam,ndômzam,kadzam,ndômzam,kadzam,monedzan,monedzan,monedzan,monedzan,tare,nya,nyandôm,nyandôm,tare,nyandôm,nyandôm,son'a,tare,nya,son'a,nyandôm,tare,tare,tare,son'a,nya,nya,nya,tare,son'a,son'a,nya,nya,tare,nyandôm,son'a,nya
1,0.09983570251069196,1.3303296546709646,1.2304939521602727,kadzam,kadzam,ndômzam,monedzan,ñkîa,monedzan,monedzan,monedzan,monedzan,monedzan,ndômzam,kadzam,monedzan,ndômzam,monedzan,monedzan,monedzan,monedzan,nyamôre,monedzan,monedzan,monedzan,kadzam,monedzan,ndômzam,kadzam,ndômzam,kadzam,ndômzam,ndômzam,ndômzam,monedzan,monedzan,monedzan,monedzan,ndômzam,ndômzam,monedzan,monedzan,kadzam,monedzan,mvara,kadzam,monedzan,monedzan,ndômzam,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,ndômzam,kadzam,ndômzam,monedzan,ñkîa,kadzam,kadzam,monedzan,kadzam,monedzan,monedzan,ñgo zam,monedzan,ndômzam,ndômzam,monedzan,kadzam,mvara,monedzan,ñgo zam,kadzam,monedzan,monedzan,ndômzam,nyamôre,ndômzam,monedzan,kadzam,ndômzam,kadzam,ndômzam,monedzan,kadzam,monedzan,monedzan,kadzam,ndômzam,monedzan,tare,nyandôm,tare,son'a,son'a,nya,tare,nya,nyandôm,son'a,son'a,nyandôm,tare,tare,nya,tare,son'a,son'a,nya,nya,nya,nyandôm,nyandôm,tare,nya,nyandôm,tare,nya
2,0.10871641002883026,1.371404074244613,1.2626876642157827,kadzam,ñgo zam,monedzan,ndômzam,mvara,ñkîa,ndômzam,kadzam,monedzan,monedzan,ndômzam,monedzan,monedzan,monedzan,monedzan,monedzan,monedzan,monedzan,ndômzam,monedzan,kadzam,monedzan,monedzan,kadzam,monedzan,ndômzam,monedzan,ndômzam,ndômzam,kadzam,ndômzam,monedzan,monedzan,kadzam,monedzan,monedzan,kadzam,ndômzam,monedzan,kadzam,ndômzam,kadzam,kadzam,monedzan,ndômzam,kadzam,ñkîa,ndômzam,monedzan,kadzam,monedzan,monedzan,monedzan,kadzam,kadzam,ñgo zam,ndômzam,mvara,monedzan,kadzam,monedzan,monedzan,ndômzam,monedzan,ndômzam,monedzan,kadzam,ndômzam,monedzan,monedzan,monedzan,monedzan,monedzan,kadzam,kadzam,monedzan,monedzan,monedzan,kadzam,kadzam,ndômzam,monedzan,ndômzam,nyamôre,ndômzam,nyamôre,ndômzam,kadzam,monedzan,monedzan,son'a,tare,nya,tare,son'a,son'a,nya,nya,tare,tare,nya,tare,tare,nyandôm,tare,nya,tare,nya,son'a,nyandôm,nyandôm,nya,nyandôm,nyandôm,son'a,nya,son'a,nyandôm
3,0.15113100730195228,1.3684222330778837,1.2172912257759314,ndômzam,kadzam,kadzam,monedzan,kadzam,ndômzam,ndômzam,kadzam,monedzan,kadzam,nyamôre,ndômzam,monedzan,ndômzam,kadzam,monedzan,kadzam,monedzan,monedzan,ndômzam,kadzam,monedzan,kadzam,monedzan,monedzan,monedzan,ñgo zam,monedzan,monedzan,ñkîa,ndômzam,kadzam,ñgo zam,ndômzam,kadzam,monedzan,monedzan,kadzam,kadzam,monedzan,monedzan,kadzam,monedzan,monedzan,kadzam,ndômzam,monedzan,monedzan,ndômzam,monedzan,kadzam,monedzan,monedzan,monedzan,kadzam,kadzam,monedzan,ndômzam,nyamôre,monedzan,ndômzam,monedzan,kadzam,ndômzam,ñkîa,ndômzam,monedzan,monedzan,monedzan,monedzan,ndômzam,ndômzam,monedzan,ndômzam,monedzan,monedzan,kadzam,monedzan,mvara,monedzan,ndômzam,monedzan,ndômzam,mvara,monedzan,monedzan,kadzam,monedzan,monedzan,ndômzam,nya,nya,nya,nya,nyandôm,son'a,nyandôm,tare,nyandôm,nya,son'a,tare,tare,nyandôm,nya,son'a,tare,son'a,nya,son'a,nyandôm,nyandôm,tare,nya,son'a,tare,tare,tare
4,0.14333809789724072,1.362774857353416,1.2194367594561752,monedzan,ndômzam,monedzan,kadzam,monedzan,ñgo zam,kadzam,monedzan,monedzan,monedzan,nyamôre,kadzam,monedzan,mvara,monedzan,ndômzam,monedzan,ñgo zam,kadzam,monedzan,ñkîa,kadzam,monedzan,mvara,ndômzam,nyamôre,monedzan,kadzam,monedzan,kadzam,ndômzam,kadzam,ndômzam,monedzan,monedzan,kadzam,ndômzam,monedzan,ndômzam,ndômzam,kadzam,ñkîa,monedzan,kadzam,monedzan,monedzan,monedzan,monedzan,monedzan,monedzan,monedzan,kadzam,kadzam,monedzan,monedzan,kadzam,monedzan,monedzan,ndômzam,kadzam,monedzan,kadzam,ndômzam,ndômzam,ndômzam,monedzan,ndômzam,ndômzam,monedzan,kadzam,kadzam,ndômzam,monedzan,kadzam,monedzan,ndômzam,kadzam,monedzan,kadzam,monedzan,ndômzam,monedzan,ndômzam,monedzan,monedzan,monedzan,ndômzam,monedzan,ndômzam,monedzan,nyandôm,son'a,tare,nyandôm,nyandôm,tare,nyandôm,nya,son'a,son'a,nyandôm,son'a,son'a,nya,nya,tare,nya,tare,nya,tare,son'a,tare,nya,nya,nya,tare,tare,nyandôm
5,0.12912798882134524,1.3798998559462643,1.250771867124919,monedzan,kadzam,kadzam,ndômzam,ndômzam,ndômzam,ndômzam,monedzan,monedzan,mvara,monedzan,monedzan,monedzan,ndômzam,ndômzam,kadzam,monedzan,ndômzam,monedzan,monedzan,monedzan,kadzam,ndômzam,monedzan,monedzan,kadzam,ndômzam,kadzam,ndômzam,monedzan,monedzan,monedzan,ndômzam,ndômzam,kadzam,monedzan,ndômzam,kadzam,kadzam,ndômzam,monedzan,ndômzam,monedzan,monedzan,ndômzam,monedzan,mvara,monedzan,kadzam,kadzam,kadzam,ñkîa,kadzam,ndômzam,kadzam,monedzan,ñgo zam,monedzan,ndômzam,monedzan,monedzan,monedzan,monedzan,monedzan,monedzan,monedzan,kadzam,kadzam,monedzan,nyamôre,ndômzam,kadzam,kadzam,monedzan,monedzan,kadzam,monedzan,monedzan,ñkîa,kadzam,monedzan,monedzan,ñgo zam,monedzan,monedzan,monedzan,nyamôre,ndômzam,monedzan,kadzam,son'a,tare,nyandôm,tare,nya,son'a,nyandôm,nyandôm,nya,tare,nya,son'a,tare,son'a,tare,nya,son'a,nyandôm,nyandôm,nyandôm,nya,nya,nya,son'a,nya,tare,tare,tare
6,0.16906699400349412,1.3735634437279267,1.2044964497244326,monedzan,ndômzam,ndômzam,ndômzam,monedzan,monedzan,ndômzam,ndômzam,kadzam,monedzan,ndômzam,monedzan,ndômzam,kadzam,kadzam,kadzam,kadzam,monedzan,monedzan,kadzam,monedzan,monedzan,monedzan,kadzam,kadzam,ñgo zam,monedzan,kadzam,monedzan,mvara,ndômzam,monedzan,monedzan,monedzan,kadzam,monedzan,ndômzam,monedzan,monedzan,kadzam,kadzam,monedzan,ndômzam,kadzam,ñkîa,kadzam,ñgo zam,monedzan,monedzan,monedzan,monedzan,kadzam,kadzam,monedzan,monedzan,ndômzam,monedzan,monedzan,ndômzam,ndômzam,monedzan,kadzam,kadzam,monedzan,ndômzam,ndômzam,monedzan,monedzan,ndômzam,monedzan,monedzan,ndômzam,monedzan,monedzan,ndômzam,ñkîa,monedzan,kadzam,nyamôre,ndômzam,monedzan,monedzan,monedzan,ndômzam,monedzan,monedzan,kadzam,nyamôre,kadzam,mvara,tare,nyandôm,son'a,nya,nyandôm,tare,tare,son'a,nyandôm,tare,nya,tare,nya,nyandôm,nya,tare,nya,nyandôm,nya,son'a,nya,son'a,tare,nyandôm,son'a,son'a,tare,nya
7,0.10560765177169484,1.3808081979321065,1.2752005461604117,kadzam,monedzan,monedzan,kadzam,ndômzam,monedzan,monedzan,ñkîa,monedzan,monedzan,monedzan,monedzan,monedzan,monedzan,kadzam,monedzan,ndômzam,monedzan,kadzam,ñgo zam,ndômzam,kadzam,monedzan,monedzan,monedzan,ndômzam,monedzan,monedzan,ndômzam,kadzam,ñgo zam,ndômzam,ndômzam,ndômzam,kadzam,monedzan,monedzan,ndômzam,ndômzam,mvara,kadzam,kadzam,kadzam,ndômzam,monedzan,kadzam,kadzam,monedzan,nyamôre,kadzam,kadzam,monedzan,monedzan,ndômzam,monedzan,monedzan,monedzan,monedzan,monedzan,kadzam,ndômzam,ñkîa,monedzan,ndômzam,kadzam,monedzan,kadzam,kadzam,monedzan,monedzan,monedzan,ndômzam,mvara,kadzam,monedzan,monedzan,nyamôre,monedzan,ndômzam,monedzan,ndômzam,monedzan,monedzan,kadzam,ndômzam,monedzan,ndômzam,kadzam,monedzan,ndômzam,nya,tare,tare,nyandôm,son'a,nyandôm,son'a,nyandôm,tare,nya,nya,tare,nya,son'a,nyandôm,son'a,nyandôm,nyandôm,nya,son'a,nya,tare,nya,son'a,tare,nya,tare,tare
8,0.12519548064504504,1.3699173326337402,1.2447218519886951,kadzam,ñkîa,kadzam,monedzan,kadzam,mvara,kadzam,ndômzam,kadzam,monedzan,ñkîa,kadzam,ndômzam,nyamôre,monedzan,ndômzam,kadzam,kadzam,monedzan,monedzan,ndômzam,monedzan,kadzam,monedzan,ndômzam,monedzan,monedzan,kadzam,monedzan,monedzan,ñgo zam,nyamôre,monedzan,monedzan,kadzam,kadzam,ndômzam,monedzan,monedzan,monedzan,monedzan,kadzam,ndômzam,ndômzam,ndômzam,monedzan,monedzan,monedzan,ñgo zam,ndômzam,monedzan,monedzan,kadzam,kadzam,monedzan,ndômzam,monedzan,monedzan,monedzan,ndômzam,monedzan,mvara,monedzan,kadzam,kadzam,ndômzam,monedzan,kadzam,ndômzam,ndômzam,monedzan,monedzan,monedzan,ndômzam,monedzan,monedzan,ndômzam,ndômzam,kadzam,monedzan,ndômzam,monedzan,ndômzam,kadzam,monedzan,monedzan,kadzam,monedzan,monedzan,monedzan,tare,tare,tare,son'a,tare,nya,nyandôm,nyandôm,son'a,nya,tare,son'a,nyandôm,son'a,nya,tare,nya,nya,son'a,nya,nya,son'a,nyandôm,tare,nya,tare,nyandôm,nyandôm
9,0.09305549014503045,1.3699173326337402,1.2768618424887097,monedzan,monedzan,kadzam,ndômzam,ndômzam,ñkîa,ñgo zam,kadzam,monedzan,kadzam,ndômzam,kadzam,kadzam,monedzan,ñgo zam,nyamôre,nyamôre,monedzan,kadzam,monedzan,kadzam,monedzan,kadzam,ndômzam,monedzan,monedzan,monedzan,monedzan,monedzan,monedzan,monedzan,ndômzam,kadzam,monedzan,mvara,monedzan,kadzam,kadzam,ndômzam,ndômzam,ndômzam,monedzan,monedzan,monedzan,monedzan,monedzan,ndômzam,kadzam,ndômzam,kadzam,monedzan,mvara,monedzan,ndômzam,ndômzam,monedzan,monedzan,monedzan,ndômzam,kadzam,monedzan,kadzam,kadzam,ndômzam,monedzan,monedzan,monedzan,ndômzam,kadzam,ndômzam,ndômzam,monedzan,monedzan,kadzam,monedzan,kadzam,monedzan,ndômzam,monedzan,ñkîa,ndômzam,kadzam,monedzan,kadzam,ndômzam,monedzan,monedzan,monedzan,monedzan,monedzan,nya,tare,nya,tare,nya,tare,son'a,nya,nya,son'a,tare,nyandôm,son'a,nyandôm,tare,tare,nya,nyandôm,son'a,nya,nyandôm,nyandôm,tare,nyandôm,son'a,son'a,tare,nya
