simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,meB,myB,meZ,myZ,mMeBS,mMyBS,mMBeS,mMByS,feB,fyB,feZ,fyZ,fMeBS,fMyBS,fMBeS,fMByS,mF,mM,fF,fM,mMZ,mMeZ,mMyZ,fMZ,fMeZ,fMyZ
0,0.07914594067947289,0.9444311966697673,0.8652852559902944,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,annin(n)iyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,ŠEŠ (*nana-),NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,annin(n)iyami-,anninniyami-,anna-,atta-,annaneka-,annaneka-,annaneka-,atta-,annaneka-,annaneka-,annaneka-,anna-
1,0.10816248352668811,1.0263900001734478,0.9182275166467597,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,annin(n)iyami-,NIN,NIN,anninniyami-,anninniyami-,NIN,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,annin(n)iyami-,ŠEŠ (*nana-),ŠEŠ (*nana-),ŠEŠ (*nana-),anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annaneka-,atta-,annaneka-,annaneka-,atta-,anna-,annaneka-,anna-,annaneka-,annaneka-
2,0.0662968947924435,0.9699922549085167,0.9036953601160732,ŠEŠ (*nana-),NIN,NIN,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,NIN,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,annaneka-,anna-,annaneka-,annaneka-,annaneka-,annaneka-,anna-,atta-,atta-,annaneka-
3,0.09828084395243408,0.9699922549085167,0.8717114109560826,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,ŠEŠ (*nana-),ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,annin(n)iyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,NIN,ŠEŠ (*nana-),anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annaneka-,atta-,annaneka-,annaneka-,annaneka-,anna-,atta-,anna-,annaneka-,annaneka-
4,0.11794899067276698,0.9444311966697673,0.8264822059970003,anninniyami-,anninniyami-,ŠEŠ (*nana-),ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,NIN,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,annaneka-,annaneka-,atta-,atta-,anna-,annaneka-,anna-,annaneka-,annaneka-,annaneka-
5,0.03506295616699573,0.9920335097792106,0.9569705536122148,anninniyami-,annin(n)iyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,annin(n)iyami-,NIN,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,annin(n)iyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annaneka-,anna-,anna-,annaneka-,annaneka-,annaneka-,annaneka-,atta-,atta-,annaneka-
6,0.053685299194459524,0.9277602365142849,0.8740749373198253,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,NIN,anninniyami-,annin(n)iyami-,annin(n)iyami-,anninniyami-,NIN,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),ŠEŠ (*nana-),anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,atta-,annaneka-,annaneka-,annaneka-,atta-,annaneka-,anna-,annaneka-,annaneka-,anna-
7,0.1064388930937471,0.9150608686812356,0.8086219755874885,anninniyami-,anninniyami-,annin(n)iyami-,annin(n)iyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,annin(n)iyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,annin(n)iyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,NIN,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,annaneka-,annaneka-,atta-,annaneka-,annaneka-,annaneka-,atta-,anna-,annaneka-,anna-
8,0.054371599739080234,1.0263900001734478,0.9720184004343676,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,annin(n)iyami-,NIN,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,annin(n)iyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annaneka-,atta-,annaneka-,annaneka-,atta-,annaneka-,annaneka-,anna-,annaneka-,anna-
9,0.05907178752058373,0.9699922549085167,0.910920467387933,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,NIN,anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,annin(n)iyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,anninniyami-,ŠEŠ (*nana-),anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,annin(n)iyami-,annin(n)iyami-,anninniyami-,anninniyami-,anninniyami-,NIN,anninniyami-,anninniyami-,anninniyami-,annin(n)iyami-,anninniyami-,annaneka-,atta-,annaneka-,annaneka-,anna-,atta-,annaneka-,annaneka-,annaneka-,anna-
