simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.07555848197135284,1.0366279688586069,0.961069486887254,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,wawo,wata,wama munini,wawo,umwisyo,wawo,wama munini,nyinalume,nyinalume,nyinalume,wama munini,umwisyo,umwisyo,wama munini,umwisyo,wata,nyinalume,umwisyo,wawo,wama munini,wawo,wawo,umwisyo,nyinalume,wama munini,nyinalume,wama,wama
1,0.07555848197135306,1.036627968858607,0.961069486887254,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,nyinalume,wawo,wama munini,wama munini,umwisyo,nyinalume,wata,umwisyo,nyinalume,umwisyo,wama,wama munini,wawo,wata,wawo,umwisyo,wama munini,nyinalume,wama munini,wawo,wawo,nyinalume,umwisyo,umwisyo,wama,wama munini,wawo,nyinalume
2,0.04014310725488901,1.0366279688586069,0.9964848616037179,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,wawo,umwisyo,nyinalume,wawo,wama munini,nyinalume,nyinalume,nyinalume,wawo,umwisyo,umwisyo,wama munini,wama munini,wama,wawo,wama,wata,wawo,umwisyo,wama munini,umwisyo,wata,nyinalume,wama munini,umwisyo,wawo,wama munini,nyinalume
3,0.03395750329226721,0.9950269901795212,0.961069486887254,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,nyinalume,nyinalume,wama munini,wama munini,umwisyo,wata,wawo,nyinalume,umwisyo,wawo,wawo,wawo,umwisyo,umwisyo,wama munini,umwisyo,nyinalume,wama munini,wama munini,wama,wama munini,wawo,nyinalume,wata,wawo,nyinalume,umwisyo,wama
4,0.07555848197135284,1.0366279688586069,0.961069486887254,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,wama munini,wawo,umwisyo,nyinalume,wama munini,umwisyo,umwisyo,nyinalume,wama,wawo,wama munini,wata,wama,wama munini,umwisyo,wawo,wata,wawo,wawo,umwisyo,wawo,nyinalume,wama munini,nyinalume,wama munini,nyinalume,umwisyo,nyinalume
5,0.07555848197135306,0.5908422462755826,0.5152837643042295,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,wata,wawo,wama munini,umwisyo,wama munini,umwisyo,wama munini,umwisyo,wama,wama munini,nyinalume,wama,wama munini,wata,wawo,wawo,nyinalume,umwisyo,wawo,nyinalume,nyinalume,umwisyo,wawo,wawo,nyinalume,wama munini,nyinalume,umwisyo
6,0.07555848197135284,1.3801087571572686,1.3045502751859157,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,nyinalume,wawo,wama munini,umwisyo,wama munini,umwisyo,wama,nyinalume,wama munini,umwisyo,wawo,wawo,nyinalume,wawo,wama,wama munini,wawo,nyinalume,wama munini,umwisyo,umwisyo,wata,wama munini,nyinalume,wata,umwisyo,wawo,nyinalume
7,0.07555848197135306,1.3801087571572688,1.3045502751859157,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,wawo,wama,nyinalume,umwisyo,wawo,umwisyo,umwisyo,nyinalume,wawo,wata,wama,wawo,wawo,wama munini,nyinalume,umwisyo,nyinalume,wata,wama munini,umwisyo,nyinalume,wama munini,wama munini,nyinalume,wama munini,wawo,umwisyo,wama munini
8,0.07555848197135284,1.0366279688586069,0.961069486887254,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,wama,wawo,wama munini,wawo,nyinalume,nyinalume,wama munini,wama munini,nyinalume,wata,wawo,umwisyo,wama munini,umwisyo,umwisyo,wawo,wawo,umwisyo,wata,nyinalume,nyinalume,wawo,umwisyo,wama munini,wama,umwisyo,nyinalume,wama munini
9,0.07555848197135284,1.0366279688586069,0.961069486887254,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,uwesu,wama munini,wama,nyinalume,wata,umwisyo,umwisyo,wawo,wawo,wama munini,wama munini,wawo,wama munini,wawo,wama munini,wata,wama,wawo,umwisyo,nyinalume,nyinalume,wawo,nyinalume,umwisyo,umwisyo,umwisyo,nyinalume,wama munini,nyinalume
