simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFBD,mMZD,mFBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,fB,fZ,fFBD,fMZD,fFBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.029193133206151023,0.957055624553381,0.92786249134723,moengai,bwisi,bwisi,bwisi,bwisi,moengai,moengai,bwisi,moengai,bwisi,bwisi,moengai,bwisi,bwisi,moengai,bwisi,moengai,bwisi,moengai,moengai,moengai,moengai,bwisi,moengai,moengai,moengai,moengai,moengai,moengai,moengai,bwisi,bwisi,moengai,bwisi,bwisi,bwisi,bwisi,moengai,bwisi,bwisi,moengai,bwisi,bwisi,bwisi,moengai,moengai,moengai,moengai,bwisi,silei,silei,silei,manenepai,silei,manenepai,manenepai,silei,tamai,tamai,silei,tamai,silei,tamai,tamai,manenepai,tamai,tamai,manenepai,silei,silei,silei,silei,manenepai,silei,silei,silei,tamai
1,0.01774357700036633,0.8407728828014273,0.8230293058010609,moengai,moengai,bwisi,moengai,moengai,bwisi,bwisi,moengai,bwisi,moengai,bwisi,bwisi,moengai,bwisi,moengai,bwisi,moengai,bwisi,moengai,moengai,moengai,bwisi,moengai,moengai,bwisi,bwisi,moengai,moengai,moengai,moengai,moengai,bwisi,moengai,moengai,bwisi,moengai,bwisi,bwisi,bwisi,moengai,bwisi,bwisi,bwisi,moengai,bwisi,moengai,bwisi,bwisi,bwisi,tamai,silei,silei,silei,silei,silei,silei,tamai,manenepai,silei,silei,silei,manenepai,silei,tamai,manenepai,tamai,tamai,manenepai,silei,silei,silei,tamai,manenepai,tamai,silei,manenepai,tamai
2,0.023467464054642062,0.9344359631484513,0.9109684990938093,moengai,bwisi,moengai,bwisi,bwisi,bwisi,moengai,bwisi,moengai,bwisi,moengai,moengai,bwisi,bwisi,bwisi,moengai,moengai,moengai,moengai,moengai,moengai,bwisi,bwisi,moengai,bwisi,bwisi,moengai,moengai,moengai,bwisi,moengai,moengai,moengai,bwisi,moengai,bwisi,bwisi,moengai,bwisi,moengai,bwisi,moengai,bwisi,bwisi,moengai,moengai,bwisi,bwisi,bwisi,silei,silei,tamai,silei,silei,tamai,tamai,tamai,manenepai,manenepai,silei,manenepai,silei,silei,tamai,silei,silei,silei,manenepai,silei,silei,tamai,silei,silei,manenepai,tamai,manenepai,tamai
3,0.03612546698096364,1.0498260561123014,1.0137005891313378,bwisi,moengai,bwisi,moengai,bwisi,moengai,bwisi,bwisi,bwisi,moengai,moengai,moengai,moengai,moengai,bwisi,moengai,moengai,bwisi,moengai,moengai,moengai,bwisi,moengai,moengai,moengai,bwisi,moengai,bwisi,bwisi,bwisi,moengai,moengai,moengai,bwisi,bwisi,bwisi,moengai,moengai,bwisi,bwisi,bwisi,bwisi,bwisi,bwisi,moengai,moengai,moengai,bwisi,bwisi,manenepai,silei,silei,silei,silei,tamai,tamai,silei,tamai,silei,manenepai,silei,manenepai,tamai,silei,silei,manenepai,silei,manenepai,tamai,silei,tamai,tamai,silei,manenepai,silei,tamai,silei
4,0.12515656319614388,1.0383738574671821,0.9132172942710383,moengai,moengai,bwisi,bwisi,bwisi,bwisi,bwisi,bwisi,moengai,bwisi,moengai,moengai,moengai,bwisi,bwisi,bwisi,moengai,moengai,moengai,moengai,bwisi,bwisi,bwisi,bwisi,bwisi,moengai,moengai,moengai,moengai,bwisi,moengai,moengai,moengai,bwisi,moengai,moengai,bwisi,bwisi,moengai,bwisi,bwisi,bwisi,bwisi,bwisi,moengai,moengai,moengai,moengai,moengai,silei,tamai,tamai,tamai,tamai,manenepai,silei,silei,silei,silei,manenepai,silei,tamai,manenepai,silei,silei,tamai,silei,silei,silei,manenepai,manenepai,silei,manenepai,tamai,silei,tamai,silei
5,0.037895983906916175,1.0752094963414276,1.0373135124345114,bwisi,bwisi,moengai,bwisi,bwisi,moengai,bwisi,moengai,moengai,bwisi,moengai,moengai,bwisi,bwisi,bwisi,moengai,bwisi,bwisi,moengai,bwisi,moengai,moengai,moengai,moengai,moengai,moengai,bwisi,bwisi,moengai,moengai,moengai,bwisi,bwisi,bwisi,moengai,moengai,bwisi,bwisi,moengai,bwisi,moengai,bwisi,bwisi,bwisi,moengai,moengai,moengai,bwisi,moengai,manenepai,silei,manenepai,tamai,tamai,tamai,silei,silei,manenepai,silei,tamai,manenepai,silei,silei,silei,tamai,tamai,silei,silei,tamai,manenepai,manenepai,silei,silei,silei,tamai,silei,silei
6,0.042604945313976406,1.011926421908029,0.9693214765940527,moengai,bwisi,bwisi,moengai,bwisi,bwisi,moengai,bwisi,moengai,moengai,moengai,moengai,moengai,moengai,bwisi,moengai,bwisi,bwisi,moengai,moengai,moengai,bwisi,bwisi,bwisi,moengai,moengai,moengai,bwisi,bwisi,bwisi,moengai,moengai,bwisi,moengai,moengai,bwisi,moengai,moengai,bwisi,moengai,bwisi,bwisi,bwisi,moengai,bwisi,bwisi,bwisi,bwisi,moengai,manenepai,silei,manenepai,tamai,tamai,silei,manenepai,tamai,silei,manenepai,silei,silei,silei,silei,tamai,silei,silei,manenepai,tamai,silei,tamai,silei,tamai,silei,tamai,manenepai,silei,silei
7,0.01951972342765229,1.093998650161157,1.0744789267335046,moengai,moengai,moengai,bwisi,moengai,moengai,bwisi,moengai,bwisi,bwisi,moengai,bwisi,bwisi,moengai,moengai,moengai,moengai,moengai,moengai,moengai,bwisi,moengai,moengai,bwisi,bwisi,moengai,bwisi,bwisi,bwisi,bwisi,bwisi,bwisi,moengai,moengai,moengai,bwisi,bwisi,bwisi,moengai,bwisi,bwisi,moengai,bwisi,bwisi,moengai,moengai,bwisi,bwisi,moengai,manenepai,silei,tamai,silei,manenepai,tamai,silei,tamai,silei,silei,manenepai,silei,silei,silei,manenepai,silei,silei,tamai,silei,manenepai,tamai,manenepai,silei,tamai,silei,tamai,tamai,silei
8,0.050792243333429354,1.015063083244053,0.9642708399106237,bwisi,bwisi,moengai,moengai,bwisi,bwisi,moengai,moengai,bwisi,moengai,bwisi,moengai,moengai,moengai,moengai,bwisi,moengai,bwisi,bwisi,bwisi,moengai,bwisi,moengai,moengai,bwisi,bwisi,bwisi,moengai,bwisi,bwisi,moengai,bwisi,bwisi,bwisi,moengai,bwisi,moengai,moengai,bwisi,moengai,moengai,moengai,bwisi,bwisi,moengai,moengai,moengai,bwisi,moengai,manenepai,manenepai,tamai,silei,silei,silei,manenepai,silei,silei,manenepai,silei,silei,tamai,tamai,silei,tamai,silei,manenepai,tamai,tamai,silei,manenepai,tamai,silei,silei,silei,tamai,silei
9,0.02096295355255895,0.9630280186054356,0.9420650650528767,moengai,moengai,bwisi,moengai,moengai,moengai,moengai,bwisi,moengai,bwisi,moengai,moengai,bwisi,bwisi,bwisi,bwisi,moengai,bwisi,bwisi,bwisi,moengai,bwisi,moengai,moengai,bwisi,bwisi,moengai,bwisi,moengai,moengai,moengai,moengai,moengai,bwisi,bwisi,moengai,bwisi,bwisi,moengai,bwisi,moengai,moengai,bwisi,bwisi,bwisi,moengai,bwisi,bwisi,moengai,silei,manenepai,tamai,silei,silei,tamai,silei,tamai,silei,manenepai,tamai,tamai,manenepai,tamai,silei,silei,silei,manenepai,manenepai,silei,manenepai,tamai,silei,tamai,silei,silei,silei,silei
