simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,meB,meZ,fB,fZ,fyB,fyZ,feB,feZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.08170881002752872,0.9502705392332347,0.868561729205706,al-kʷeya,a-na,a-na,al-lakʷa,al-kʷeya,a-na,al-lakʷa,al-kʷeya,al-lakʷa,a-na,al-lakʷa,al-kʷeya,yayaʔa,yayaʔa,yayaʔa,aiku,aiku,yayaʔa,aiku,yayaʔa,yayaʔa,aiku,paʔa,aiku,aiku,yayaʔa,maʔa,aiku,paʔa,aiku,yayaʔa,aiku,aiku,yayaʔa,yayaʔa,aiku,aiku,maʔa,yayaʔa,yayaʔa
1,0.08887044192097526,0.9502705392332347,0.8614000973122594,a-na,al-kʷeya,a-na,al-lakʷa,a-na,al-kʷeya,al-lakʷa,al-kʷeya,a-na,al-lakʷa,al-lakʷa,al-kʷeya,yayaʔa,yayaʔa,aiku,aiku,aiku,yayaʔa,paʔa,aiku,aiku,paʔa,yayaʔa,aiku,aiku,yayaʔa,maʔa,aiku,maʔa,aiku,yayaʔa,yayaʔa,yayaʔa,yayaʔa,aiku,aiku,aiku,yayaʔa,yayaʔa,yayaʔa
2,0.06607400968582444,0.5004024235381879,0.4343284138523634,al-lakʷa,a-na,al-kʷeya,al-kʷeya,a-na,al-lakʷa,al-lakʷa,al-lakʷa,a-na,a-na,al-kʷeya,al-kʷeya,yayaʔa,yayaʔa,yayaʔa,yayaʔa,maʔa,aiku,yayaʔa,yayaʔa,yayaʔa,yayaʔa,aiku,aiku,yayaʔa,maʔa,aiku,yayaʔa,paʔa,yayaʔa,yayaʔa,aiku,aiku,aiku,paʔa,aiku,aiku,aiku,aiku,aiku
3,0.054335685991696026,1.0296530140645737,0.9753173280728776,a-na,al-kʷeya,a-na,al-lakʷa,al-kʷeya,a-na,al-lakʷa,al-lakʷa,a-na,al-lakʷa,al-kʷeya,al-kʷeya,aiku,yayaʔa,yayaʔa,aiku,yayaʔa,aiku,yayaʔa,yayaʔa,yayaʔa,aiku,yayaʔa,aiku,aiku,yayaʔa,paʔa,aiku,paʔa,yayaʔa,yayaʔa,aiku,aiku,aiku,aiku,aiku,yayaʔa,maʔa,maʔa,yayaʔa
4,0.2571233586732893,0.6730116670092565,0.41588830833596724,al-lakʷa,al-lakʷa,a-na,al-kʷeya,a-na,al-lakʷa,al-lakʷa,a-na,a-na,al-kʷeya,al-kʷeya,al-kʷeya,aiku,aiku,yayaʔa,aiku,maʔa,aiku,yayaʔa,maʔa,aiku,aiku,aiku,paʔa,yayaʔa,aiku,yayaʔa,yayaʔa,yayaʔa,yayaʔa,aiku,paʔa,yayaʔa,yayaʔa,aiku,yayaʔa,aiku,yayaʔa,yayaʔa,aiku
5,0.05053430784314117,0.5004024235381879,0.4498681156950467,a-na,al-lakʷa,al-kʷeya,al-kʷeya,a-na,al-lakʷa,al-lakʷa,al-lakʷa,a-na,a-na,al-kʷeya,al-kʷeya,aiku,aiku,yayaʔa,yayaʔa,aiku,aiku,yayaʔa,paʔa,yayaʔa,yayaʔa,yayaʔa,yayaʔa,aiku,aiku,aiku,yayaʔa,aiku,yayaʔa,yayaʔa,aiku,aiku,yayaʔa,aiku,maʔa,aiku,paʔa,yayaʔa,maʔa
6,0.08887044192097537,0.9502705392332347,0.8614000973122593,al-lakʷa,al-lakʷa,a-na,a-na,a-na,al-kʷeya,al-kʷeya,al-lakʷa,a-na,al-kʷeya,al-kʷeya,al-lakʷa,aiku,aiku,aiku,aiku,yayaʔa,aiku,aiku,aiku,yayaʔa,yayaʔa,yayaʔa,yayaʔa,yayaʔa,maʔa,maʔa,yayaʔa,paʔa,aiku,paʔa,aiku,yayaʔa,yayaʔa,yayaʔa,aiku,aiku,aiku,yayaʔa,yayaʔa
7,0.03969123741566938,0.6931471805599453,0.6534559431442759,al-kʷeya,al-lakʷa,a-na,al-kʷeya,a-na,a-na,al-lakʷa,al-kʷeya,al-lakʷa,a-na,al-lakʷa,al-kʷeya,yayaʔa,aiku,aiku,aiku,yayaʔa,aiku,paʔa,yayaʔa,aiku,maʔa,yayaʔa,yayaʔa,aiku,yayaʔa,aiku,yayaʔa,maʔa,yayaʔa,yayaʔa,aiku,aiku,aiku,aiku,aiku,yayaʔa,yayaʔa,yayaʔa,paʔa
8,0.14891755796926115,0.5004024235381879,0.3514848655689267,al-lakʷa,al-kʷeya,al-lakʷa,al-kʷeya,al-kʷeya,al-lakʷa,al-lakʷa,a-na,a-na,a-na,al-kʷeya,a-na,aiku,aiku,maʔa,aiku,yayaʔa,aiku,aiku,yayaʔa,aiku,yayaʔa,paʔa,yayaʔa,yayaʔa,paʔa,yayaʔa,aiku,yayaʔa,aiku,yayaʔa,yayaʔa,aiku,aiku,aiku,maʔa,yayaʔa,yayaʔa,yayaʔa,aiku
9,0.06987538783437941,0.6108643020548935,0.5409889142205141,al-kʷeya,a-na,a-na,al-kʷeya,al-lakʷa,al-lakʷa,a-na,al-lakʷa,al-lakʷa,a-na,al-kʷeya,al-kʷeya,aiku,yayaʔa,yayaʔa,aiku,aiku,yayaʔa,yayaʔa,aiku,aiku,aiku,yayaʔa,yayaʔa,aiku,yayaʔa,yayaʔa,yayaʔa,yayaʔa,aiku,paʔa,aiku,yayaʔa,yayaʔa,aiku,maʔa,aiku,aiku,maʔa,paʔa
