simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1735898308614945,1.372362711605728,1.1987728807442335,yinkarni,yinkarni,yinkarni,marrka,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,yinkarni,marrka,yinkarni,yinkarni,marrka,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,murrkanguya,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,yinkarni,waltyi,murrkanguya,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,marrka,paparla,yinkarni,paparla,yinkarni,tyinartu,kurlu-kaka,pipi,tyapartu,tyapartu,kurlu-kaka,pipi,tyapartu,tyapartu,tyinartu,tyapartu,kurlu-kaka,kurlu-kaka,pipi,tyapartu,pipi,tyinartu,kurlu-kaka,pipi,kurlu-kaka,tyinartu,pipi,tyinartu,tyinartu,pipi,tyapartu,tyapartu,pipi
1,0.16213128140594812,1.3408461255260735,1.1787148441201254,marrka,yinkarni,yinkarni,yinkarni,marrka,yinkarni,yinkarni,yinkarni,murrkanguya,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,murrkanguya,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,waltyi,waltyi,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,marrka,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,paparla,yinkarni,paparla,yinkarni,marrka,yinkarni,tyinartu,kurlu-kaka,pipi,kurlu-kaka,tyapartu,pipi,tyapartu,tyapartu,kurlu-kaka,tyapartu,tyapartu,pipi,tyapartu,kurlu-kaka,tyinartu,kurlu-kaka,pipi,tyapartu,tyinartu,tyinartu,kurlu-kaka,tyapartu,tyinartu,pipi,pipi,tyinartu,pipi,pipi
2,0.16614104235452798,1.3634793968039534,1.1973383544494254,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,marrka,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,paparla,marrka,yinkarni,yinkarni,waltyi,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,paparla,yinkarni,murrkanguya,yinkarni,yinkarni,marrka,yinkarni,yinkarni,yinkarni,marrka,yinkarni,murrkanguya,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,pipi,kurlu-kaka,tyapartu,pipi,tyinartu,tyapartu,pipi,tyinartu,kurlu-kaka,kurlu-kaka,tyapartu,pipi,pipi,pipi,tyinartu,pipi,tyapartu,tyinartu,tyapartu,pipi,tyapartu,tyinartu,tyapartu,kurlu-kaka,tyinartu,kurlu-kaka,kurlu-kaka,tyapartu
3,0.10908298623799872,1.3528627879933763,1.2437798017553776,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,paparla,yinkarni,yinkarni,yinkarni,yinkarni,marrka,murrkanguya,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,yinkarni,marrka,yinkarni,yinkarni,waltyi,yinkarni,yinkarni,marrka,yinkarni,yinkarni,paparla,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,marrka,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,murrkanguya,yinkarni,yinkarni,yinkarni,tyapartu,pipi,tyinartu,tyinartu,tyapartu,tyapartu,pipi,tyapartu,tyinartu,kurlu-kaka,kurlu-kaka,pipi,tyinartu,tyinartu,kurlu-kaka,pipi,pipi,pipi,tyapartu,kurlu-kaka,tyapartu,tyapartu,tyinartu,tyapartu,kurlu-kaka,pipi,kurlu-kaka,pipi
4,0.14579750547055426,1.3785835412602672,1.232786035789713,yinkarni,yinkarni,yinkarni,yinkarni,paparla,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,marrka,yinkarni,yinkarni,murrkanguya,marrka,marrka,waltyi,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,murrkanguya,paparla,yinkarni,yinkarni,marrka,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,tyapartu,tyinartu,tyinartu,tyinartu,kurlu-kaka,pipi,tyapartu,tyapartu,pipi,kurlu-kaka,tyapartu,kurlu-kaka,kurlu-kaka,tyapartu,pipi,pipi,pipi,tyinartu,pipi,kurlu-kaka,pipi,tyinartu,pipi,kurlu-kaka,tyinartu,tyapartu,tyapartu,tyapartu
5,0.14933507364156973,1.1847109926392514,1.0353759189976817,yinkarni,yinkarni,paparla,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,murrkanguya,yinkarni,yinkarni,waltyi,marrka,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,murrkanguya,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,paparla,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,marrka,yinkarni,marrka,yinkarni,yinkarni,yinkarni,yinkarni,marrka,pipi,tyapartu,kurlu-kaka,pipi,tyapartu,pipi,kurlu-kaka,tyinartu,kurlu-kaka,tyapartu,pipi,tyinartu,tyinartu,pipi,pipi,tyapartu,pipi,tyapartu,kurlu-kaka,kurlu-kaka,tyinartu,kurlu-kaka,tyinartu,tyapartu,pipi,tyinartu,tyapartu,tyapartu
6,0.1485002809801177,1.3762420355375145,1.2277417545573968,waltyi,yinkarni,yinkarni,marrka,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,marrka,waltyi,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,marrka,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,murrkanguya,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,paparla,marrka,yinkarni,yinkarni,yinkarni,murrkanguya,yinkarni,waltyi,yinkarni,paparla,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,tyinartu,tyapartu,tyinartu,pipi,pipi,tyapartu,tyinartu,kurlu-kaka,kurlu-kaka,tyapartu,tyapartu,pipi,pipi,tyapartu,tyapartu,tyinartu,pipi,kurlu-kaka,kurlu-kaka,tyinartu,kurlu-kaka,tyapartu,kurlu-kaka,pipi,pipi,pipi,tyinartu,tyapartu
7,0.12535047102867924,1.336360707811704,1.2110102367830247,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,murrkanguya,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,yinkarni,paparla,waltyi,yinkarni,yinkarni,yinkarni,marrka,yinkarni,marrka,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,murrkanguya,yinkarni,paparla,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,marrka,yinkarni,marrka,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,pipi,tyinartu,tyinartu,pipi,kurlu-kaka,tyinartu,kurlu-kaka,pipi,pipi,tyapartu,pipi,tyapartu,tyapartu,tyapartu,tyinartu,pipi,pipi,tyinartu,pipi,kurlu-kaka,kurlu-kaka,tyapartu,kurlu-kaka,tyinartu,tyapartu,tyapartu,tyapartu,kurlu-kaka
8,0.1464377693083092,1.3478467053006558,1.2014089359923465,yinkarni,paparla,yinkarni,waltyi,waltyi,marrka,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,murrkanguya,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,marrka,yinkarni,yinkarni,murrkanguya,yinkarni,yinkarni,waltyi,paparla,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,marrka,marrka,yinkarni,yinkarni,pipi,pipi,tyinartu,pipi,tyapartu,tyinartu,tyapartu,pipi,tyinartu,kurlu-kaka,kurlu-kaka,tyapartu,pipi,tyapartu,tyinartu,pipi,tyapartu,tyinartu,kurlu-kaka,pipi,pipi,tyapartu,kurlu-kaka,tyapartu,tyapartu,kurlu-kaka,kurlu-kaka,tyinartu
9,0.1617856187471518,1.2618870742995425,1.1001014555523907,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,yinkarni,murrkanguya,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,marrka,yinkarni,yinkarni,yinkarni,marrka,yinkarni,yinkarni,paparla,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,yinkarni,yinkarni,waltyi,yinkarni,yinkarni,murrkanguya,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,yinkarni,marrka,yinkarni,yinkarni,paparla,yinkarni,marrka,yinkarni,yinkarni,yinkarni,kurlu-kaka,tyinartu,pipi,tyapartu,tyapartu,tyapartu,tyinartu,kurlu-kaka,pipi,tyapartu,tyinartu,pipi,tyinartu,pipi,tyapartu,tyapartu,kurlu-kaka,tyapartu,pipi,pipi,kurlu-kaka,kurlu-kaka,kurlu-kaka,tyinartu,pipi,tyinartu,pipi,tyapartu
