simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.4350082186782942,1.8259233001488653,1.390915081470571,ierikeýt,0,0,0,iekiwýt,iereinýt,iereinýt,0,iekiwýt,iekypiýt,0,0,0,0,ieriwýt,ieriwýt,iereinýt,0,ieriwýt,0,iereinýt,0,0,0,0,ieriwýt,ierikét,0,iereinýt,iekiwýt,0,0,iekypiýt,0,0,0,0,iereinýt,0,0,0,0,0,0,0,0,ierikeýt,0,0,ierikét,0,0,ierikét,ierikét,0,0,iekiwýt,0,iereinýt,iekypiýt,0,iekypiýt,iereinýt,0,ieriwýt,iekypiýt,iereinýt,iekiwýt,0,iereinýt,0,0,0,0,iekiwýt,0,iekiwýt,0,ierikeýt,ierikét,iekiwýt,ierikeýt,0,0,0,iekiwýt,ierikeýt,0,0,0,aikamá,aikamá,paí,ieý,apí,apí,ieaié,paí,ieý,aikamá,paí,ieaié,ierúp,ietutý,ieaié,ierúp,aikamá,paí,ieaié,ietutý
1,0.33071956504998323,1.8725593481676277,1.5418397831176445,0,0,iekiwýt,iereinýt,iereinýt,0,ierikét,ieriwýt,0,0,ieriwýt,0,0,iekiwýt,0,0,0,iekiwýt,iekypiýt,0,0,ierikeýt,0,ierikét,0,0,0,0,iekiwýt,iereinýt,0,0,ierikét,ieriwýt,iekypiýt,0,iekiwýt,0,iekiwýt,0,ieriwýt,0,0,iekiwýt,0,0,ierikeýt,iereinýt,iekiwýt,0,iereinýt,0,iereinýt,0,0,iekiwýt,0,ierikét,0,0,iereinýt,0,0,0,0,iekypiýt,0,0,0,0,iekypiýt,0,ierikeýt,ierikeýt,iekypiýt,iereinýt,iereinýt,0,0,ierikét,0,0,0,0,ieriwýt,iereinýt,0,0,0,ierikeýt,ierúp,aikamá,ieý,apí,paí,ieaié,paí,apí,ieý,ietutý,paí,aikamá,ieaié,ieaié,paí,ierúp,ieaié,aikamá,aikamá,ietutý
2,0.29327482683028605,1.8933783452953525,1.6001035184650665,iereinýt,iekypiýt,0,iekypiýt,0,iereinýt,ierikeýt,0,iekiwýt,ierikeýt,iereinýt,iekypiýt,0,iereinýt,iekiwýt,iekiwýt,0,0,0,0,0,iereinýt,iekiwýt,ierikét,ieriwýt,0,0,0,ierikét,0,iereinýt,0,iekiwýt,0,iekiwýt,0,0,0,ierikeýt,0,0,0,0,0,iekypiýt,ieriwýt,ierikét,iekiwýt,ieriwýt,iekiwýt,0,0,0,iereinýt,0,0,0,0,0,0,0,ieriwýt,0,0,0,0,0,0,0,0,iereinýt,0,0,iekypiýt,0,0,ierikét,0,iereinýt,ierikeýt,0,ierikeýt,0,ieriwýt,iekiwýt,0,0,iereinýt,0,ierikét,ierúp,paí,aikamá,ieaié,paí,ierúp,aikamá,ietutý,ietutý,paí,ieaié,ieý,ieý,paí,aikamá,apí,ieaié,apí,aikamá,ieaié
3,0.3572561595157202,1.8457834877602866,1.4885273282445664,iekypiýt,0,0,iekiwýt,0,0,0,ierikeýt,0,ierikét,0,0,0,ierikeýt,0,0,iekiwýt,iereinýt,iekiwýt,ieriwýt,ierikét,0,0,0,0,iekiwýt,ierikét,0,iereinýt,0,0,0,0,0,ieriwýt,iekiwýt,0,iekiwýt,0,iereinýt,iereinýt,0,0,ieriwýt,iekiwýt,iekypiýt,0,0,ierikeýt,0,ieriwýt,ierikét,ierikeýt,ierikeýt,0,0,0,iekypiýt,0,iekiwýt,iekypiýt,0,0,0,iereinýt,0,0,ieriwýt,0,0,0,iereinýt,0,iekiwýt,0,0,iereinýt,0,0,0,iereinýt,iereinýt,0,0,0,iekypiýt,ierikét,0,iereinýt,0,paí,ieaié,aikamá,apí,ietutý,ierúp,paí,ieaié,ietutý,aikamá,ieý,paí,aikamá,ieý,aikamá,paí,ieaié,apí,ieaié,ierúp
4,0.2986920858930848,1.8390832070262597,1.540391121133175,iekypiýt,0,ierikeýt,0,0,0,0,ierikeýt,0,ierikeýt,0,0,iekiwýt,ierikeýt,0,0,0,iekiwýt,0,0,ierikét,0,0,0,0,0,0,iekypiýt,0,0,0,0,0,iekiwýt,iereinýt,ierikét,0,0,iekypiýt,0,iekiwýt,0,iekypiýt,ierikeýt,iereinýt,0,0,iereinýt,0,ieriwýt,0,0,iereinýt,ieriwýt,0,0,ierikét,0,0,iereinýt,iekiwýt,0,ierikét,0,0,iereinýt,0,iekypiýt,0,iekiwýt,iereinýt,0,iekiwýt,0,0,iekiwýt,ierikét,0,iekiwýt,iereinýt,ieriwýt,ieriwýt,iereinýt,0,ieriwýt,0,iereinýt,0,0,0,aikamá,ieaié,paí,ierúp,aikamá,ieaié,apí,paí,ieý,aikamá,ierúp,ieaié,ieaié,apí,ieý,ietutý,ietutý,paí,paí,aikamá
5,0.29617651184373117,1.875412678387903,1.5792361665441719,0,0,0,iekiwýt,ierikeýt,ierikeýt,iereinýt,0,0,0,0,0,iereinýt,0,0,iereinýt,iekypiýt,0,0,ierikét,0,0,ieriwýt,0,iekiwýt,0,iereinýt,0,ierikét,0,0,0,0,0,iereinýt,0,0,0,iekypiýt,0,0,0,iereinýt,iekiwýt,iereinýt,0,0,iekiwýt,iekiwýt,iekypiýt,0,0,0,ierikét,0,iekiwýt,0,0,ieriwýt,ierikeýt,0,ierikét,ierikét,iekiwýt,0,ierikeýt,0,iereinýt,0,iereinýt,0,ieriwýt,iekiwýt,0,0,iekypiýt,0,iekiwýt,iereinýt,ieriwýt,0,0,0,0,0,0,0,ieriwýt,ierikeýt,iekypiýt,ieaié,ietutý,aikamá,paí,paí,ieaié,ieaié,paí,aikamá,ierúp,ieý,aikamá,aikamá,ieý,ierúp,apí,apí,ieaié,ietutý,paí
6,0.4898714119242644,1.8267272658893265,1.3368558539650621,0,iekypiýt,iereinýt,0,0,ierikeýt,0,0,0,iekypiýt,0,0,0,0,0,0,ieriwýt,iereinýt,0,0,0,0,iereinýt,0,0,0,iekypiýt,0,0,0,ierikeýt,0,iereinýt,0,0,iekiwýt,iereinýt,0,iereinýt,iereinýt,0,0,ierikét,ierikét,0,0,ierikeýt,ieriwýt,0,iekiwýt,ierikeýt,iekiwýt,iereinýt,iekiwýt,0,ieriwýt,ieriwýt,0,ieriwýt,iekiwýt,iekiwýt,iekiwýt,0,0,ierikeýt,0,iereinýt,ierikét,iekiwýt,0,0,0,0,0,iekypiýt,0,ierikét,0,0,0,0,0,0,iereinýt,iekiwýt,0,0,ierikét,0,iekypiýt,aikamá,paí,ierúp,ieaié,paí,paí,aikamá,ierúp,apí,paí,aikamá,aikamá,ietutý,ietutý,ieaié,apí,ieaié,ieý,ieý,ieaié
7,0.34636787982281514,1.8401096091398568,1.4937417293170416,0,0,0,0,0,iereinýt,0,0,iereinýt,0,iereinýt,ierikeýt,ierikét,0,0,0,0,0,iereinýt,0,0,0,0,0,iekiwýt,iekiwýt,iekiwýt,ierikeýt,0,0,iekiwýt,iekypiýt,0,ieriwýt,ierikeýt,0,0,ierikeýt,iekiwýt,iereinýt,0,0,iereinýt,0,0,0,0,0,iekiwýt,ierikét,iekypiýt,ieriwýt,0,iekiwýt,ierikét,0,0,0,0,0,0,iekiwýt,0,0,0,0,ierikeýt,iereinýt,0,0,0,ierikét,ieriwýt,iekypiýt,ieriwýt,iereinýt,0,ierikét,iekypiýt,0,0,iereinýt,0,0,ieriwýt,iereinýt,iekypiýt,0,iekiwýt,0,aikamá,paí,apí,ierúp,ieaié,ietutý,paí,apí,ieaié,paí,ieý,aikamá,ieaié,ietutý,ierúp,aikamá,paí,ieý,ieaié,aikamá
8,0.4315836968195952,1.8993163912485325,1.4677326944289373,iereinýt,ierikét,0,ieriwýt,iekiwýt,0,iekiwýt,ieriwýt,iekypiýt,ierikét,iereinýt,0,ierikeýt,0,0,0,0,0,iekypiýt,0,0,0,0,0,iekypiýt,iekiwýt,0,iereinýt,0,0,iekiwýt,iekiwýt,ieriwýt,ierikét,0,0,0,iekiwýt,0,iekiwýt,0,0,0,0,0,iekiwýt,0,iereinýt,iereinýt,0,0,ierikét,0,0,0,iereinýt,0,0,0,iereinýt,0,iekiwýt,iekypiýt,0,0,0,ierikeýt,0,iereinýt,iereinýt,0,ierikeýt,ierikeýt,iekypiýt,0,0,ierikeýt,0,0,0,ieriwýt,iereinýt,0,0,0,0,0,0,ierikét,ieriwýt,paí,ieý,ieaié,aikamá,ietutý,aikamá,ieaié,aikamá,paí,ieý,aikamá,ierúp,ieaié,paí,ierúp,ieaié,paí,ietutý,apí,apí
9,0.33348138528132765,1.8933783452953525,1.559896960014025,0,0,iekiwýt,ierikét,0,0,iekiwýt,0,0,0,0,0,ierikeýt,0,iekiwýt,0,iereinýt,0,0,ierikét,0,iereinýt,iekiwýt,iekypiýt,ieriwýt,iekypiýt,0,0,iekiwýt,iekiwýt,0,0,0,0,ieriwýt,ieriwýt,iekypiýt,ierikeýt,iereinýt,iekiwýt,ieriwýt,iereinýt,iekypiýt,0,iereinýt,0,0,0,0,ierikeýt,iereinýt,0,0,ierikét,0,0,iekiwýt,0,0,iekiwýt,0,0,ierikeýt,0,0,ierikeýt,ierikét,0,0,0,0,ierikét,0,0,iereinýt,iereinýt,0,0,iereinýt,0,0,iekypiýt,iereinýt,0,0,0,0,0,ieriwýt,0,apí,aikamá,ieaié,ierúp,ietutý,paí,ieý,aikamá,paí,ieaié,ieaié,ieý,apí,aikamá,paí,aikamá,ierúp,ietutý,ieaié,paí
