simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mB,mFBD,mFBS,mFeBS,mFyBS,mFeBD,mFyBD,mFBeS,mFByS,mFBeD,mFByD,fFBD,fFBS,fFeBS,fFyBS,fFeBD,fFBeS,fFByS,fFBeD,fFByD,mFZD,mMBD,mMZD,mFZS,mMBS,mMZS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fMBD,fMZD,fFZS,fMBS,fMZS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.29596348747783163,1.6973164720850593,1.4013529846072277,xāhar,pesær-æmu,doxtær-xale,doxtær-æmu,pesær-xale,pesær-æmme,doxtær-xale,pesær-æmu,doxtær-dayi,pesær-æmu,doxtær-æmme,pesær-xale,doxtær-æmu,barādar,pesær-æmu,pesær-xale,doxtær-æmu,doxtær-dayi,barādar,pesær-xale,doxtær-æmu,doxtær-æmme,pesær-æmme,doxtær-dayi,pesær-æmme,xāhar,doxtær-dayi,doxtær-dayi,pesær-æmu,doxtær-xale,pesær-dayi,pesær-dayi,pesær-xale,xāhar,pesær-dayi,pesær-xale,pesær-xale,doxtær-dayi,barādar,doxtær-æmu,doxtær-xale,doxtær-xale,pesær-æmme,doxtær-æmme,pesær-æmu,pesær-æmu,doxtær-æmme,doxtær-æmu,pesær-æmme,doxtær-æmme,pesær-dayi,xāhar,pesær-æmme,doxtær-dayi,pesær-æmu,barādar,doxtær-æmme,doxtær-xale,doxtær-xale,doxtær-æmu,doxtær-xale,pesær-dayi,barādar,doxtær-æmu,barādar,doxtær-æmme,doxtær-æmme,doxtær-æmme,pesær-æmu,pesær-dayi,pesær-æmme,doxtær-æmu,pesær-dayi,doxtær-æmme,pesær-dayi,pesær-xale,doxtær-xale,xāhar,doxtær-dayi,pesær-xale,pesær-æmme,doxtær-xale,doxtær-dayi,pesær-æmme,pesær-æmme,xāhar,pesær-dayi,pesær-æmu,doxtær-dayi,pesær-dayi,amme,amme,mādar,dāi,amu,amu,xāle,xāle,dāi,mādar,pedar,amme,xāle,amu,xāle,dāi,pedar,amu,amme,amme,amu,dāi,dāi,dāi,amme,xāle,xāle,amu
1,0.3625848611308342,1.6639893271246282,1.301404465993794,pesær-dayi,pesær-æmme,pesær-dayi,doxtær-æmu,xāhar,pesær-æmu,doxtær-æmu,pesær-æmu,xāhar,doxtær-æmu,pesær-æmu,pesær-dayi,doxtær-dayi,barādar,pesær-æmu,pesær-xale,doxtær-dayi,doxtær-æmu,doxtær-dayi,pesær-æmme,doxtær-dayi,doxtær-æmme,doxtær-xale,pesær-æmu,pesær-æmme,doxtær-æmme,xāhar,pesær-dayi,pesær-dayi,doxtær-æmme,barādar,pesær-xale,doxtær-xale,pesær-æmu,pesær-æmu,pesær-dayi,barādar,pesær-æmme,pesær-æmu,doxtær-xale,doxtær-dayi,doxtær-æmu,doxtær-æmme,xāhar,doxtær-æmme,pesær-æmme,doxtær-xale,pesær-æmme,pesær-æmu,doxtær-æmu,pesær-xale,pesær-xale,doxtær-xale,pesær-æmu,xāhar,doxtær-æmme,pesær-dayi,doxtær-æmu,pesær-dayi,doxtær-dayi,doxtær-xale,doxtær-æmme,doxtær-æmme,pesær-dayi,doxtær-xale,doxtær-xale,doxtær-xale,doxtær-æmme,pesær-æmme,doxtær-æmu,pesær-xale,xāhar,pesær-æmme,pesær-dayi,pesær-xale,doxtær-xale,doxtær-æmme,doxtær-dayi,doxtær-æmu,pesær-xale,doxtær-dayi,barādar,pesær-æmme,pesær-xale,pesær-æmme,pesær-xale,barādar,barādar,doxtær-dayi,doxtær-dayi,dāi,amu,dāi,pedar,dāi,amme,mādar,xāle,amme,pedar,amme,amu,amme,mādar,amme,amu,dāi,amme,dāi,xāle,amu,amu,xāle,amu,xāle,xāle,dāi,xāle
2,0.3174143893508172,1.7252291998293785,1.4078148104785613,pesær-dayi,doxtær-dayi,pesær-æmu,xāhar,doxtær-æmme,barādar,pesær-æmu,doxtær-æmu,doxtær-æmu,doxtær-xale,doxtær-æmme,pesær-dayi,barādar,doxtær-xale,pesær-xale,pesær-dayi,doxtær-æmu,xāhar,xāhar,doxtær-xale,pesær-dayi,pesær-æmme,doxtær-xale,doxtær-xale,pesær-xale,doxtær-æmme,pesær-xale,doxtær-æmu,xāhar,pesær-æmu,doxtær-æmme,doxtær-dayi,doxtær-dayi,pesær-æmu,doxtær-dayi,doxtær-æmu,pesær-dayi,pesær-æmme,pesær-dayi,doxtær-æmu,doxtær-dayi,pesær-æmme,pesær-æmu,pesær-æmme,doxtær-dayi,doxtær-dayi,barādar,pesær-æmme,pesær-æmme,barādar,pesær-xale,barādar,doxtær-dayi,doxtær-dayi,pesær-xale,pesær-xale,pesær-æmu,pesær-æmme,xāhar,doxtær-æmu,doxtær-æmu,doxtær-xale,pesær-æmu,pesær-xale,pesær-æmu,pesær-dayi,xāhar,pesær-dayi,doxtær-xale,doxtær-xale,barādar,pesær-xale,doxtær-æmme,pesær-æmme,doxtær-æmme,doxtær-æmu,doxtær-xale,doxtær-æmme,pesær-æmu,pesær-xale,pesær-æmme,doxtær-æmme,doxtær-xale,pesær-dayi,pesær-æmme,doxtær-dayi,pesær-æmu,pesær-dayi,doxtær-æmme,doxtær-æmme,amu,mādar,xāle,amme,dāi,amme,xāle,xāle,xāle,dāi,amu,dāi,dāi,dāi,pedar,mādar,amu,amme,pedar,dāi,amme,amu,amu,xāle,amme,amme,amu,xāle
3,0.41292301551129995,1.6972057831092882,1.2842827675979882,doxtær-dayi,pesær-dayi,doxtær-æmme,doxtær-xale,pesær-æmu,pesær-æmu,doxtær-æmu,pesær-æmu,barādar,pesær-dayi,doxtær-dayi,pesær-dayi,pesær-dayi,xāhar,doxtær-æmu,doxtær-xale,doxtær-æmme,doxtær-dayi,pesær-dayi,doxtær-xale,doxtær-dayi,pesær-dayi,pesær-æmme,pesær-æmme,pesær-xale,pesær-æmme,doxtær-dayi,doxtær-æmme,pesær-æmu,barādar,pesær-xale,pesær-æmme,pesær-æmu,doxtær-dayi,doxtær-xale,doxtær-xale,pesær-dayi,xāhar,pesær-æmu,doxtær-æmme,pesær-æmu,pesær-dayi,pesær-xale,barādar,pesær-xale,pesær-æmme,barādar,doxtær-xale,doxtær-æmu,pesær-æmu,doxtær-æmme,pesær-xale,doxtær-æmme,doxtær-æmme,barādar,pesær-æmme,xāhar,doxtær-æmu,doxtær-æmme,doxtær-xale,pesær-xale,pesær-æmme,doxtær-xale,doxtær-æmme,pesær-dayi,doxtær-æmu,xāhar,doxtær-dayi,xāhar,doxtær-æmu,doxtær-æmu,pesær-dayi,pesær-xale,xāhar,doxtær-æmu,pesær-xale,barādar,pesær-xale,doxtær-æmu,pesær-æmme,doxtær-dayi,doxtær-dayi,pesær-æmu,doxtær-æmme,doxtær-dayi,pesær-æmme,doxtær-xale,pesær-æmme,pesær-æmu,doxtær-xale,amme,dāi,dāi,amme,mādar,amu,xāle,amu,amme,dāi,pedar,xāle,amu,pedar,amu,amme,xāle,amu,mādar,dāi,amu,xāle,dāi,xāle,amme,xāle,amme,dāi
4,0.39044312012816307,1.6483118614344776,1.2578687413063145,pesær-æmu,doxtær-æmme,pesær-æmme,doxtær-xale,doxtær-dayi,xāhar,doxtær-æmu,barādar,pesær-xale,doxtær-xale,barādar,pesær-dayi,doxtær-æmme,pesær-æmme,pesær-æmu,pesær-æmu,doxtær-æmu,xāhar,pesær-xale,barādar,pesær-dayi,doxtær-æmme,pesær-dayi,doxtær-æmu,doxtær-xale,doxtær-dayi,doxtær-æmme,pesær-xale,pesær-æmu,doxtær-æmme,pesær-æmme,xāhar,doxtær-dayi,pesær-æmu,pesær-xale,doxtær-xale,pesær-æmu,pesær-xale,doxtær-xale,doxtær-xale,pesær-æmme,doxtær-dayi,doxtær-æmme,xāhar,doxtær-æmme,pesær-dayi,doxtær-æmme,pesær-xale,pesær-æmu,doxtær-æmme,doxtær-dayi,pesær-æmu,xāhar,pesær-xale,pesær-xale,pesær-dayi,barādar,pesær-æmme,barādar,pesær-æmu,pesær-dayi,doxtær-xale,doxtær-dayi,doxtær-dayi,pesær-xale,doxtær-æmu,doxtær-dayi,pesær-æmme,doxtær-xale,doxtær-æmu,xāhar,pesær-dayi,pesær-æmme,barādar,doxtær-dayi,pesær-æmme,doxtær-æmme,pesær-dayi,doxtær-xale,doxtær-dayi,pesær-dayi,pesær-æmu,pesær-æmme,doxtær-xale,doxtær-æmu,pesær-dayi,doxtær-æmu,doxtær-æmu,doxtær-æmu,pesær-æmme,amu,amme,xāle,dāi,amu,amme,mādar,amme,pedar,amme,dāi,amme,dāi,amme,xāle,xāle,mādar,amu,amu,dāi,dāi,pedar,xāle,dāi,amu,xāle,amu,xāle
5,0.2987195379832941,1.6713828156031472,1.372663277619853,pesær-dayi,xāhar,pesær-dayi,doxtær-xale,pesær-æmme,doxtær-æmme,pesær-æmme,pesær-dayi,pesær-æmme,pesær-æmu,pesær-xale,pesær-æmu,doxtær-æmme,doxtær-xale,barādar,doxtær-dayi,doxtær-dayi,doxtær-æmu,pesær-xale,pesær-dayi,pesær-æmu,doxtær-dayi,pesær-dayi,pesær-æmme,xāhar,doxtær-æmu,doxtær-xale,pesær-æmu,doxtær-æmme,pesær-æmu,pesær-æmme,doxtær-æmu,pesær-æmu,doxtær-dayi,doxtær-xale,pesær-æmme,barādar,pesær-æmme,xāhar,pesær-dayi,pesær-xale,pesær-dayi,doxtær-dayi,doxtær-dayi,doxtær-æmu,doxtær-æmme,pesær-dayi,barādar,doxtær-æmme,pesær-xale,barādar,doxtær-xale,pesær-xale,doxtær-æmme,pesær-æmme,xāhar,doxtær-dayi,doxtær-æmu,barādar,pesær-æmme,doxtær-æmme,xāhar,pesær-æmu,doxtær-æmu,pesær-xale,doxtær-xale,doxtær-dayi,doxtær-xale,doxtær-xale,pesær-xale,doxtær-æmme,pesær-æmme,doxtær-dayi,pesær-dayi,doxtær-æmu,pesær-xale,doxtær-dayi,pesær-dayi,xāhar,doxtær-æmu,doxtær-xale,doxtær-æmme,pesær-æmu,doxtær-æmu,pesær-æmu,doxtær-æmme,barādar,doxtær-xale,pesær-xale,pesær-æmu,amu,xāle,xāle,amme,amu,xāle,xāle,mādar,amme,amme,pedar,amu,dāi,amme,dāi,xāle,dāi,xāle,pedar,amu,dāi,amu,amu,amme,dāi,amme,mādar,dāi
6,0.28761686292463406,1.6802797825178521,1.392662919593218,pesær-æmme,pesær-æmu,doxtær-xale,pesær-xale,pesær-dayi,doxtær-dayi,pesær-æmme,pesær-xale,xāhar,doxtær-xale,doxtær-dayi,pesær-dayi,doxtær-dayi,barādar,doxtær-æmu,pesær-æmme,doxtær-dayi,pesær-dayi,doxtær-æmme,doxtær-æmme,pesær-æmu,doxtær-xale,pesær-dayi,doxtær-æmme,pesær-dayi,pesær-xale,pesær-æmme,barādar,pesær-dayi,doxtær-dayi,pesær-æmme,doxtær-æmme,doxtær-æmu,doxtær-xale,pesær-æmme,doxtær-æmu,doxtær-xale,doxtær-æmu,xāhar,pesær-æmme,pesær-dayi,pesær-æmu,pesær-æmu,pesær-æmu,doxtær-dayi,pesær-æmme,pesær-æmu,pesær-xale,barādar,doxtær-æmu,doxtær-æmme,doxtær-æmu,xāhar,pesær-æmu,pesær-æmu,doxtær-æmme,doxtær-dayi,doxtær-xale,doxtær-æmme,doxtær-dayi,doxtær-xale,pesær-dayi,doxtær-æmu,pesær-xale,doxtær-æmu,doxtær-dayi,doxtær-xale,doxtær-æmme,xāhar,barādar,pesær-xale,pesær-dayi,barādar,doxtær-xale,pesær-xale,xāhar,doxtær-æmme,pesær-æmme,pesær-æmu,doxtær-dayi,pesær-æmu,barādar,pesær-xale,doxtær-æmme,pesær-æmme,pesær-dayi,xāhar,pesær-xale,doxtær-xale,doxtær-æmu,amme,amme,xāle,xāle,amu,mādar,pedar,mādar,dāi,amme,dāi,pedar,amme,amu,amu,amme,amu,dāi,dāi,xāle,xāle,amu,xāle,xāle,dāi,dāi,amu,amme
7,0.340158466623937,1.677373301623426,1.337214834999489,doxtær-æmu,pesær-dayi,doxtær-æmme,pesær-æmu,barādar,pesær-æmu,pesær-xale,pesær-xale,barādar,pesær-æmme,pesær-dayi,pesær-xale,doxtær-dayi,pesær-æmme,doxtær-dayi,xāhar,doxtær-dayi,pesær-æmu,barādar,doxtær-dayi,doxtær-æmme,pesær-æmu,doxtær-xale,pesær-æmu,pesær-æmme,doxtær-xale,pesær-dayi,doxtær-æmme,pesær-æmme,doxtær-xale,doxtær-dayi,doxtær-dayi,doxtær-æmu,pesær-æmu,pesær-dayi,doxtær-xale,pesær-xale,doxtær-æmu,xāhar,barādar,pesær-xale,pesær-xale,pesær-æmu,doxtær-æmu,pesær-æmme,xāhar,pesær-æmme,doxtær-dayi,doxtær-xale,doxtær-æmme,doxtær-æmme,pesær-æmme,doxtær-æmme,pesær-dayi,xāhar,xāhar,doxtær-æmu,pesær-xale,doxtær-æmme,pesær-æmme,pesær-æmme,doxtær-xale,doxtær-dayi,pesær-xale,pesær-xale,pesær-æmu,pesær-dayi,doxtær-dayi,doxtær-xale,barādar,doxtær-æmu,doxtær-æmu,doxtær-æmme,doxtær-æmu,pesær-dayi,pesær-dayi,pesær-æmu,doxtær-xale,doxtær-æmme,doxtær-æmu,pesær-æmu,doxtær-æmme,barādar,pesær-æmme,doxtær-xale,pesær-dayi,doxtær-xale,xāhar,doxtær-dayi,pesær-dayi,pedar,amu,amme,dāi,amu,dāi,amu,amu,amme,xāle,amme,dāi,dāi,amme,dāi,amu,xāle,dāi,xāle,xāle,amme,xāle,amme,mādar,xāle,amu,mādar,pedar
8,0.32262108085157637,1.6461522651195202,1.3235311842679438,pesær-dayi,pesær-æmu,doxtær-æmme,doxtær-æmme,pesær-æmme,pesær-dayi,doxtær-dayi,doxtær-xale,xāhar,doxtær-æmme,barādar,pesær-xale,pesær-xale,pesær-æmme,xāhar,doxtær-xale,pesær-æmme,pesær-xale,doxtær-dayi,pesær-xale,pesær-xale,doxtær-æmme,xāhar,pesær-dayi,doxtær-æmu,doxtær-æmme,pesær-æmme,pesær-æmu,pesær-xale,pesær-æmme,doxtær-xale,barādar,pesær-æmu,doxtær-dayi,doxtær-xale,doxtær-æmu,doxtær-æmu,pesær-æmu,doxtær-dayi,pesær-dayi,pesær-æmu,doxtær-xale,pesær-xale,pesær-æmme,pesær-dayi,doxtær-dayi,doxtær-dayi,doxtær-dayi,xāhar,pesær-dayi,pesær-dayi,pesær-æmu,pesær-dayi,doxtær-dayi,doxtær-xale,pesær-æmu,pesær-æmme,doxtær-æmu,doxtær-æmme,doxtær-æmme,barādar,doxtær-xale,barādar,barādar,pesær-dayi,doxtær-æmme,doxtær-æmu,doxtær-dayi,doxtær-xale,pesær-æmme,pesær-æmu,pesær-æmme,xāhar,pesær-dayi,barādar,pesær-æmu,doxtær-æmu,doxtær-æmu,doxtær-æmu,xāhar,pesær-æmu,pesær-æmme,pesær-xale,doxtær-dayi,pesær-xale,doxtær-xale,doxtær-æmme,doxtær-xale,doxtær-æmu,doxtær-æmme,xāle,dāi,dāi,xāle,amme,amme,amme,dāi,pedar,dāi,amme,mādar,amu,xāle,amu,amme,dāi,xāle,amu,amme,xāle,xāle,pedar,dāi,amu,mādar,amu,amu
9,0.32137809953463403,1.6763671534279796,1.3549890538933456,pesær-æmu,pesær-xale,pesær-æmme,doxtær-æmme,doxtær-æmu,barādar,pesær-dayi,doxtær-dayi,xāhar,pesær-æmu,pesær-æmu,pesær-dayi,doxtær-dayi,doxtær-æmu,xāhar,doxtær-xale,doxtær-xale,xāhar,xāhar,pesær-æmme,doxtær-dayi,pesær-dayi,pesær-dayi,pesær-æmme,pesær-xale,pesær-æmme,doxtær-xale,doxtær-æmme,doxtær-æmu,doxtær-xale,doxtær-æmme,doxtær-æmme,barādar,pesær-dayi,pesær-æmu,doxtær-dayi,doxtær-xale,pesær-æmme,doxtær-dayi,barādar,pesær-æmu,xāhar,pesær-æmme,doxtær-æmu,barādar,doxtær-æmu,pesær-xale,pesær-dayi,doxtær-æmu,barādar,pesær-xale,pesær-æmu,doxtær-æmu,doxtær-æmme,doxtær-xale,pesær-æmme,pesær-æmme,doxtær-æmme,doxtær-dayi,doxtær-dayi,doxtær-æmme,doxtær-xale,pesær-æmu,pesær-xale,pesær-æmu,doxtær-xale,doxtær-dayi,doxtær-æmu,pesær-dayi,pesær-dayi,pesær-dayi,barādar,pesær-dayi,pesær-æmme,pesær-xale,doxtær-æmme,pesær-xale,pesær-xale,pesær-æmme,pesær-xale,doxtær-xale,pesær-æmu,doxtær-dayi,pesær-æmu,doxtær-æmu,doxtær-æmme,xāhar,doxtær-xale,doxtær-dayi,doxtær-æmme,xāle,dāi,pedar,amme,dāi,dāi,dāi,amme,xāle,amu,mādar,dāi,xāle,amme,xāle,amme,amu,amme,amme,amu,amu,amu,amu,xāle,mādar,pedar,dāi,xāle
