simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFeBD,mFyBS,mFeZS,mFyZS,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFeBD,fFyBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09719010213026524,1.6781492583184427,1.5809591561881775,dade,mfo,mzala,ukanina,ukanina,mzala,mzala,mzala,dade,dade,mzala,mfo,mfo,mfo,mzala,mzala,mzala,ukanina,mzala,mzala,ukanina,mzala,mzala,mzala,mzala,mzala,ukanina,mzala,mzala,ukanina,mzala,mzala,mzala,mzala,ukanina,mne,mzala,mzala,mzala,ukanina,ukanina,mfo,mzala,mfo,ukanina,dade,mzala,mfo,ukanina,dade,dade,mzala,mzala,ukanina,mzala,mzala,mfo,mzala,mzala,mzala,ukanina,dade,dade,mfo,mzala,mzala,mzala,ukanina,dade,dade,ukanina,mfo,ukanina,mzala,dade,mfo,dade,mzala,dade,ukanina,ukanina,mzala,mzala,mfo,ukanina,malume,malume,baba,malume,babakazi,malume,malume,baba,malume,mame,mame,baba omncane,mame,baba,baba omncane,baba omukulu,mame,babakazi,babakazi,baba omukulu,mame,baba,mame,mame,mame,babakazi,babakazi,babakazi
1,0.1583987206569295,1.6482120309609172,1.4898133103039877,mfo,dade,mfo,mzala,mfo,ukanina,mfo,mfo,mzala,mzala,mzala,mzala,dade,mzala,mzala,ukanina,ukanina,mzala,mfo,ukanina,mzala,mzala,ukanina,ukanina,mzala,mzala,mzala,dade,dade,mzala,dade,mzala,ukanina,dade,ukanina,mfo,ukanina,dade,dade,mfo,mzala,dade,mfo,mzala,dade,ukanina,mzala,mzala,mzala,mfo,ukanina,mzala,mzala,mzala,ukanina,mzala,ukanina,mzala,ukanina,ukanina,mzala,mzala,mzala,ukanina,mzala,mzala,mzala,mzala,mfo,mne,mzala,mzala,mzala,dade,mzala,dade,mzala,mzala,mzala,dade,ukanina,mzala,ukanina,ukanina,mfo,baba,mame,baba,babakazi,mame,malume,mame,babakazi,baba omukulu,mame,mame,malume,baba omncane,babakazi,mame,baba omukulu,malume,baba,malume,mame,malume,babakazi,malume,mame,babakazi,baba omncane,baba,babakazi
2,0.11577229863754424,1.6287586772735583,1.512986378636014,mzala,ukanina,mzala,mzala,mzala,dade,ukanina,mzala,mfo,dade,mfo,mzala,mzala,mzala,ukanina,mzala,ukanina,mzala,ukanina,ukanina,mzala,ukanina,ukanina,ukanina,ukanina,dade,dade,mzala,mne,mzala,mzala,mzala,dade,ukanina,mzala,dade,mzala,mzala,mfo,mzala,ukanina,ukanina,mzala,mfo,dade,mzala,mfo,mzala,mzala,ukanina,mzala,mzala,mzala,mfo,mzala,mzala,mfo,mzala,dade,mfo,mfo,mzala,mzala,mfo,ukanina,ukanina,dade,mzala,mzala,dade,dade,dade,mzala,mfo,mzala,ukanina,mfo,dade,mzala,mzala,mzala,mzala,ukanina,mzala,ukanina,malume,malume,malume,mame,mame,baba omncane,baba,babakazi,babakazi,babakazi,malume,babakazi,baba,mame,malume,mame,baba,malume,mame,mame,baba omukulu,babakazi,baba,mame,babakazi,mame,baba omncane,baba omukulu
3,0.15230568793716337,1.68352169796605,1.5312160100288865,dade,mfo,mzala,dade,mzala,dade,mfo,ukanina,mzala,ukanina,mzala,mzala,mzala,mzala,ukanina,mzala,ukanina,mzala,mfo,mzala,mzala,mzala,mzala,mzala,dade,dade,mzala,mzala,mzala,mfo,dade,mzala,mne,mzala,ukanina,mzala,ukanina,dade,mzala,mzala,mzala,mzala,mzala,mzala,mfo,mzala,mzala,ukanina,dade,mfo,ukanina,mzala,mzala,ukanina,mzala,mfo,mzala,mzala,ukanina,ukanina,mfo,ukanina,mfo,mfo,mzala,dade,dade,mzala,ukanina,mzala,mzala,mzala,mfo,ukanina,ukanina,mfo,dade,ukanina,mzala,ukanina,mzala,dade,ukanina,ukanina,dade,malume,babakazi,malume,mame,malume,babakazi,malume,baba omncane,baba,mame,mame,baba omukulu,malume,baba,malume,babakazi,babakazi,baba omukulu,baba omncane,babakazi,mame,mame,baba,baba,babakazi,mame,mame,mame
4,0.15517637936418538,1.6420461650775242,1.4868697857133388,mfo,mfo,mzala,dade,ukanina,mfo,mfo,ukanina,mzala,mzala,dade,mzala,mzala,mzala,dade,mzala,mzala,ukanina,mzala,mzala,mfo,mzala,dade,mzala,mzala,mzala,ukanina,mzala,mfo,mzala,ukanina,mfo,ukanina,mzala,mzala,mzala,mzala,mzala,mzala,ukanina,mzala,dade,dade,ukanina,ukanina,mzala,mzala,dade,mzala,ukanina,mzala,mzala,mzala,dade,mzala,mzala,mfo,ukanina,ukanina,mfo,mzala,mzala,ukanina,dade,mzala,dade,mfo,mzala,mzala,ukanina,mne,dade,dade,mzala,ukanina,ukanina,dade,mzala,ukanina,mfo,mzala,mfo,ukanina,ukanina,mzala,mame,baba omukulu,malume,baba,babakazi,mame,mame,malume,mame,baba omncane,babakazi,mame,baba omukulu,mame,malume,baba,malume,mame,babakazi,baba,babakazi,babakazi,baba omncane,malume,baba,babakazi,malume,mame
5,0.13047258545177787,1.7132583427918062,1.5827857573400284,ukanina,mfo,ukanina,mzala,mzala,mzala,mzala,mfo,mfo,dade,mzala,ukanina,mzala,ukanina,mzala,ukanina,dade,mzala,ukanina,ukanina,dade,mzala,mzala,mzala,mzala,mzala,mzala,dade,mfo,mzala,mzala,mfo,mfo,mzala,mzala,ukanina,dade,dade,mzala,mfo,mzala,mfo,ukanina,mne,mzala,mzala,ukanina,mzala,mzala,mfo,mzala,mzala,dade,mfo,dade,mzala,ukanina,dade,dade,dade,mzala,dade,mzala,mzala,mzala,dade,ukanina,ukanina,mzala,mzala,ukanina,mzala,ukanina,ukanina,mfo,mzala,mzala,mzala,ukanina,ukanina,ukanina,mfo,mzala,mzala,mzala,malume,mame,malume,baba omncane,babakazi,baba,babakazi,baba,mame,baba omncane,babakazi,babakazi,mame,mame,baba,mame,baba omukulu,baba,malume,malume,mame,malume,malume,babakazi,babakazi,mame,mame,baba omukulu
6,0.06597245611571645,1.696599648267497,1.6306271921517805,ukanina,mzala,mfo,ukanina,dade,ukanina,dade,mzala,mzala,mfo,mzala,mzala,mzala,ukanina,ukanina,mzala,mzala,mzala,ukanina,mzala,mfo,mzala,ukanina,ukanina,ukanina,dade,mzala,mzala,ukanina,mzala,mzala,mzala,mzala,mzala,mfo,mfo,mzala,dade,mfo,mzala,dade,ukanina,dade,mfo,ukanina,mzala,dade,mfo,dade,dade,mfo,mne,mzala,mzala,mzala,mfo,mfo,mzala,dade,mzala,dade,mzala,mzala,dade,mzala,ukanina,ukanina,dade,ukanina,mzala,mfo,mzala,mzala,mzala,mzala,mzala,mzala,ukanina,ukanina,mzala,mzala,ukanina,mzala,ukanina,mzala,mame,malume,baba,babakazi,baba omncane,malume,mame,baba,baba omukulu,mame,babakazi,baba omncane,babakazi,mame,babakazi,mame,mame,mame,baba omukulu,baba,baba,malume,mame,malume,malume,babakazi,malume,babakazi
7,0.13412650575391782,1.6590110977052293,1.5248845919513114,mfo,ukanina,dade,ukanina,dade,mfo,ukanina,ukanina,dade,ukanina,mzala,mzala,dade,mzala,ukanina,mzala,ukanina,mzala,ukanina,mfo,mzala,mzala,mzala,mzala,mne,mzala,mzala,mzala,mzala,dade,mzala,mzala,mzala,mzala,mzala,mzala,mzala,mzala,mzala,mfo,mfo,ukanina,dade,mzala,mzala,dade,dade,mfo,mzala,ukanina,mzala,mfo,mzala,ukanina,ukanina,dade,dade,mzala,ukanina,dade,mzala,mzala,mfo,mfo,mzala,ukanina,dade,mzala,ukanina,mzala,mzala,mzala,mfo,ukanina,dade,mfo,mzala,mfo,ukanina,ukanina,mzala,mzala,ukanina,mzala,mzala,mame,malume,baba omukulu,babakazi,malume,babakazi,mame,baba omncane,baba omukulu,mame,babakazi,mame,baba omncane,babakazi,mame,malume,mame,baba,mame,malume,babakazi,babakazi,malume,mame,baba,baba,malume,baba
8,0.183304285715163,1.6339173522381092,1.4506130665229462,dade,mzala,ukanina,mfo,ukanina,mzala,dade,ukanina,dade,dade,ukanina,mzala,mzala,mfo,ukanina,mzala,ukanina,mzala,mzala,mfo,dade,mfo,ukanina,dade,ukanina,mzala,ukanina,mzala,mzala,mfo,mzala,mne,mzala,mzala,mfo,dade,ukanina,ukanina,dade,mzala,mzala,dade,mfo,mfo,ukanina,mzala,mzala,dade,dade,mzala,mzala,mzala,mzala,mzala,mzala,ukanina,mfo,mzala,mfo,mzala,mzala,mzala,ukanina,mzala,mzala,ukanina,dade,mfo,mzala,dade,mzala,mzala,mzala,ukanina,mzala,mzala,mzala,mzala,mfo,mzala,mzala,ukanina,ukanina,ukanina,mzala,baba,baba,mame,mame,malume,babakazi,mame,mame,baba omncane,baba omukulu,malume,baba,malume,babakazi,mame,malume,babakazi,babakazi,malume,baba,mame,babakazi,babakazi,baba omukulu,mame,baba omncane,malume,mame
9,0.14070182759335204,1.7145753318402184,1.5738735042468663,mfo,mzala,mfo,mzala,mzala,ukanina,dade,ukanina,mzala,mzala,ukanina,dade,dade,mzala,ukanina,mfo,ukanina,mzala,ukanina,mzala,ukanina,mzala,mzala,mzala,mzala,dade,ukanina,mzala,dade,mzala,mfo,mzala,mzala,ukanina,dade,mfo,dade,mfo,dade,ukanina,mzala,mzala,mzala,mfo,mzala,mzala,ukanina,ukanina,mfo,ukanina,dade,mzala,mfo,mzala,mfo,mzala,mzala,mzala,ukanina,ukanina,ukanina,mzala,dade,mzala,mzala,mzala,mzala,ukanina,mzala,mzala,mne,dade,mfo,ukanina,mzala,mzala,mfo,mzala,ukanina,mzala,mzala,mzala,dade,mzala,dade,babakazi,babakazi,mame,baba,baba omukulu,mame,mame,babakazi,mame,babakazi,baba,baba omukulu,mame,babakazi,malume,malume,malume,baba omncane,baba omncane,malume,mame,malume,baba,malume,babakazi,mame,baba,mame
