simulation_number,mutual_information,entropy,conditional_entropy,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,meB,meZ,fB,fZ,feB,feZ,mF,mM,fF,fM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.05321273900858081,1.0745032984683225,1.0212905594597417,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuahine,Kaikuahine,Kaikuane,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuane,Kaikuahine,Kaikuane,Kaikuahine,kaikuaʔana,kaikaina,Kaikuahine,Kaikuane,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaina,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,kaikuaʔana,kaina,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,kaikuaʔana,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuahine,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuahine,Kaikuane,Kaikuane,kaikaina,kaikuaʔana,Kaikuahine,makua kāne,makua,makua kāne,makuahine,makua kāne,makua kāne,makuahine,makuahine,māmā,makua kāne,makuahine,makuahine,makua kāne,makua kāne,makua,makuahine,makuahine,makua kāne,makua kāne,makua kāne,makuahine,makuahine,makuahine,makuahine,makua kāne,makuahine,māmā,makua kāne
1,0.08805033089925762,1.0472879586365091,0.9592376277372515,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,kaina,kaikaina,kaikuaʔana,Kaikuane,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaikaina,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,kaina,kaikuaʔana,Kaikuahine,Kaikuane,Kaikuahine,Kaikuane,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuahine,Kaikuahine,Kaikuahine,Kaikuahine,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,kaikuaʔana,Kaikuane,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuahine,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,makuahine,makua kāne,makuahine,makua kāne,makuahine,makua,makua kāne,makua kāne,makuahine,makua kāne,makuahine,makua kāne,makua kāne,makuahine,makuahine,makua kāne,makuahine,makua kāne,makuahine,makuahine,māmā,makua,māmā,makua kāne,makuahine,makua kāne,makuahine,makua kāne
2,0.0880257361026886,1.0067745087186921,0.9187487726160035,Kaikuahine,Kaikuahine,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuane,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuahine,Kaikuahine,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuahine,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaina,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,kaikaina,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuahine,Kaikuane,Kaikuane,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuahine,kaikaina,kaikuaʔana,Kaikuane,Kaikuahine,Kaikuahine,Kaikuane,kaina,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuane,Kaikuahine,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,makua kāne,makua kāne,makuahine,māmā,makuahine,makua kāne,makuahine,makuahine,makua kāne,makua,makuahine,makua kāne,makuahine,makuahine,makua kāne,makuahine,makuahine,makua kāne,makua kāne,makuahine,makua kāne,makua,makua kāne,makua kāne,makuahine,māmā,makuahine,makua kāne
3,0.06656510873762733,1.0543447139704265,0.9877796052327992,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaina,Kaikuahine,Kaikuahine,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuane,Kaikuane,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuahine,Kaikuahine,kaikuaʔana,kaikaina,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuahine,Kaikuahine,Kaikuane,kaina,kaikaina,Kaikuahine,Kaikuane,Kaikuahine,Kaikuahine,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,makua kāne,māmā,makua kāne,makuahine,makua kāne,makua kāne,māmā,makua kāne,makua kāne,makuahine,makuahine,makuahine,makuahine,makuahine,makuahine,makuahine,makua kāne,makua kāne,makua kāne,makua kāne,makua kāne,makua,makuahine,makua,makuahine,makua kāne,makuahine,makuahine
4,0.08558155180271187,1.0787669689383437,0.9931854171356318,Kaikuahine,kaina,Kaikuane,Kaikuane,Kaikuane,kaikuaʔana,Kaikuahine,Kaikuahine,Kaikuane,kaikaina,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuahine,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikaina,Kaikuane,Kaikuahine,Kaikuahine,Kaikuahine,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuahine,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,Kaikuahine,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuahine,kaina,Kaikuane,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuahine,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,makuahine,māmā,makuahine,makuahine,makuahine,makuahine,makua kāne,makua kāne,makuahine,makuahine,makua,makuahine,makuahine,makua kāne,makua kāne,makua,makua kāne,makua kāne,makua kāne,makua kāne,makuahine,makua kāne,makuahine,māmā,makua kāne,makua kāne,makuahine,makua kāne
5,0.029512063393647203,1.0787669689383437,1.0492549055446965,Kaikuahine,Kaikuahine,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuane,Kaikuane,Kaikuane,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaina,kaikuaʔana,Kaikuane,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikaina,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuahine,kaina,kaikuaʔana,Kaikuahine,Kaikuane,Kaikuahine,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuane,Kaikuane,Kaikuahine,Kaikuane,kaikaina,kaikuaʔana,Kaikuahine,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuane,makuahine,makua kāne,makuahine,makua kāne,makua kāne,makuahine,makua kāne,māmā,makuahine,makuahine,makua kāne,makua kāne,makua kāne,makua,makuahine,makuahine,makuahine,makuahine,makua kāne,makuahine,māmā,makua kāne,makua kāne,makuahine,makua kāne,makua,makua kāne,makuahine
6,0.1068024726893575,1.113771263348911,1.0069687906595535,Kaikuane,Kaikuahine,Kaikuane,Kaikuane,kaina,Kaikuahine,Kaikuane,Kaikuane,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,Kaikuahine,Kaikuane,Kaikuane,kaikuaʔana,Kaikuane,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaina,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,Kaikuahine,Kaikuane,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikaina,kaikuaʔana,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuahine,Kaikuahine,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikaina,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuahine,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,makuahine,makua,makua kāne,makua kāne,makuahine,makuahine,makua,makuahine,makua kāne,makuahine,makua kāne,makuahine,makua kāne,makuahine,māmā,makuahine,makua kāne,makuahine,makua kāne,makuahine,makua kāne,makua kāne,makuahine,makua kāne,māmā,makuahine,makua kāne,makua kāne
7,0.12162287695840845,1.168554925967082,1.0469320490086735,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuahine,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuahine,Kaikuahine,Kaikuane,kaikuaʔana,Kaikuane,Kaikuahine,Kaikuane,Kaikuahine,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuahine,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,Kaikuahine,Kaikuane,Kaikuane,kaikuaʔana,Kaikuahine,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,Kaikuane,kaina,kaikuaʔana,kaikuaʔana,kaikaina,Kaikuahine,Kaikuahine,Kaikuahine,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,kaikaina,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,kaina,kaikuaʔana,Kaikuahine,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,makuahine,makuahine,makuahine,makuahine,makua kāne,makua kāne,makua,makuahine,makua kāne,makuahine,makua kāne,makua kāne,makua kāne,makua kāne,makuahine,makuahine,māmā,māmā,makuahine,makua kāne,makuahine,makuahine,makua,makua kāne,makua kāne,makua kāne,makuahine,makua kāne
8,0.08431722856464163,1.2076053981680581,1.1232881696034165,kaikuaʔana,Kaikuahine,Kaikuane,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuahine,kaikuaʔana,Kaikuahine,Kaikuahine,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,kaina,Kaikuane,Kaikuane,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,Kaikuane,Kaikuahine,Kaikuahine,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuahine,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikaina,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuahine,kaina,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,kaikaina,Kaikuahine,māmā,makua kāne,makuahine,makuahine,makua kāne,makuahine,makua kāne,makuahine,makua kāne,makua kāne,makuahine,makuahine,makuahine,makua kāne,makuahine,makuahine,māmā,makua,makua,makua kāne,makua kāne,makua kāne,makua kāne,makuahine,makuahine,makuahine,makua kāne,makua kāne
9,0.08108400770060409,1.0969314590197012,1.0158474513190971,kaikuaʔana,Kaikuahine,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,Kaikuahine,Kaikuahine,Kaikuane,kaikaina,kaikuaʔana,Kaikuahine,Kaikuahine,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,Kaikuahine,kaina,Kaikuane,kaikuaʔana,Kaikuahine,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,Kaikuahine,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,kaikuaʔana,Kaikuahine,Kaikuane,kaikuaʔana,Kaikuahine,Kaikuane,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,Kaikuahine,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuane,Kaikuahine,kaikuaʔana,kaikaina,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,Kaikuane,kaina,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuahine,Kaikuane,kaikuaʔana,Kaikuahine,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,kaikuaʔana,kaikuaʔana,kaikuaʔana,Kaikuane,Kaikuahine,makuahine,makua kāne,makuahine,makuahine,makua kāne,makuahine,makua,makua kāne,makuahine,makua kāne,makua kāne,makuahine,makuahine,māmā,makuahine,makuahine,māmā,makua kāne,makuahine,makua kāne,makua kāne,makua,makuahine,makua kāne,makua kāne,makua kāne,makua kāne,makuahine
