simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fMBS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,myB,fyB,fFBS,fFZS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fMZyS,mB,mM,mFB,mFZ,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fM,fFB,fFZ,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,mF,mMZ,mMeZ,mMyZ,fF,fMZ,fMeZ,fMyZ
0,0.2755523261352135,1.7169153931676253,1.4413630670324118,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋgan,yirbuŋ,ji:rbuŋgan,yirpung,yirpung,ji:rbuŋgan,ji:rbuŋgan,yirpung,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,yirpung,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,yirpung,wabunj,kakuung,gaguhng,ji:rbuŋ,yirbuŋ,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,yirbuŋ,gaguhng,bana:m,yirbuŋ,ji:rbuŋ,ji:rbuŋ,wabunj,ji:rbuŋgan,yirpung,ji:rbuŋ,ji:rbuŋ,yirrkung,ji:rbuŋ,yirpung,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋ,panaam,yirrkung,bana:m,ji:rbuŋgan,ji:rbuŋ,yirbuŋ,ji:rbuŋ,ji:rbuŋ,yirpung,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,yirpung,yirpung,yirpung,nana:ŋ,yirpung,ji:rbuŋ,ji:rbuŋgan,nunang,ji:rbuŋgan,yirpung,ji:rbuŋgan,yirpung,yirbuŋ,yirbuŋ,yirpung,ji:rbuŋ,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,yirpung,ji:rbuŋgan,ji:rbuŋ,yirbuŋ,ji:rbuŋ,yirbuŋ,yirpung,yirpung,yirpung,ji:rbuŋgan,yirpung,yirbuŋ,watyu,ga:waŋ,ma:maŋ,ga:waŋ,ŋaruɲ,waduŋ,ma:maŋ,ga:waŋ,ma:maŋ,ma:maŋ,waduŋ,ŋaruɲ,taari,ga:waŋ,waduŋ,ŋaruɲ,ma:maŋ,ma:maŋ,ga:waŋ,ga:waŋ,waduŋ,ŋaruɲ,taari,ŋaruɲ,watyu,waduŋ,waduŋ,ŋaruɲ
1,0.26043460378759975,1.648304386224293,1.3878697824366932,yirbuŋ,ji:rbuŋgan,ji:rbuŋ,kakuung,yirpung,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,yirpung,ji:rbuŋgan,yirpung,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,yirbuŋ,yirbuŋ,gaguhng,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋ,yirrkung,ji:rbuŋ,yirbuŋ,ji:rbuŋgan,ji:rbuŋgan,yirpung,yirpung,ji:rbuŋ,nana:ŋ,yirpung,yirpung,panaam,ji:rbuŋ,ji:rbuŋ,yirrkung,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,nunang,ji:rbuŋ,yirbuŋ,yirbuŋ,bana:m,yirpung,ji:rbuŋgan,wabunj,yirpung,yirpung,wabunj,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋgan,yirpung,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋgan,bana:m,ji:rbuŋ,ji:rbuŋ,yirpung,ji:rbuŋgan,yirpung,ji:rbuŋgan,yirpung,ji:rbuŋgan,ji:rbuŋ,yirpung,yirbuŋ,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋ,yirpung,yirbuŋ,yirbuŋ,yirpung,ji:rbuŋ,yirbuŋ,yirpung,ji:rbuŋgan,yirpung,ji:rbuŋ,gaguhng,yirpung,ma:maŋ,ga:waŋ,waduŋ,ga:waŋ,ga:waŋ,waduŋ,ŋaruɲ,watyu,ŋaruɲ,ma:maŋ,ŋaruɲ,ŋaruɲ,ŋaruɲ,waduŋ,waduŋ,ma:maŋ,ŋaruɲ,taari,ga:waŋ,ma:maŋ,waduŋ,ma:maŋ,taari,watyu,waduŋ,ma:maŋ,ga:waŋ,ga:waŋ
2,0.3054900195171588,1.7231951757585193,1.4177051562413605,ji:rbuŋ,yirpung,wabunj,yirbuŋ,yirpung,yirbuŋ,bana:m,ji:rbuŋ,yirbuŋ,yirbuŋ,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋgan,yirpung,yirpung,panaam,yirrkung,ji:rbuŋ,ji:rbuŋ,yirpung,ji:rbuŋgan,yirpung,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,yirbuŋ,ji:rbuŋgan,yirpung,ji:rbuŋ,yirbuŋ,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,nana:ŋ,yirpung,yirpung,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋgan,yirpung,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋgan,yirbuŋ,ji:rbuŋ,kakuung,ji:rbuŋgan,gaguhng,yirpung,ji:rbuŋ,yirpung,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋgan,gaguhng,ji:rbuŋgan,yirbuŋ,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,wabunj,ji:rbuŋ,ji:rbuŋ,yirpung,bana:m,ji:rbuŋ,ji:rbuŋ,yirbuŋ,ji:rbuŋ,yirpung,yirpung,yirrkung,yirbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,yirpung,yirpung,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,ji:rbuŋgan,yirpung,nunang,yirpung,yirpung,taari,ga:waŋ,waduŋ,ŋaruɲ,taari,waduŋ,ga:waŋ,waduŋ,ŋaruɲ,ga:waŋ,ma:maŋ,ŋaruɲ,waduŋ,ŋaruɲ,ma:maŋ,waduŋ,ma:maŋ,ma:maŋ,waduŋ,ga:waŋ,watyu,ŋaruɲ,ga:waŋ,ŋaruɲ,ma:maŋ,watyu,ma:maŋ,ga:waŋ
3,0.2876948478195893,1.7294232927022821,1.4417284448826928,yirbuŋ,yirpung,ji:rbuŋ,ji:rbuŋ,yirbuŋ,yirpung,ji:rbuŋ,ji:rbuŋ,yirpung,yirbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋgan,yirrkung,ji:rbuŋgan,yirbuŋ,ji:rbuŋ,ji:rbuŋ,yirbuŋ,yirpung,ji:rbuŋ,ji:rbuŋ,kakuung,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋgan,yirpung,ji:rbuŋ,yirpung,yirpung,yirpung,yirpung,ji:rbuŋ,nana:ŋ,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋgan,yirbuŋ,ji:rbuŋ,panaam,nunang,yirpung,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋgan,yirpung,yirpung,yirpung,ji:rbuŋgan,yirrkung,gaguhng,ji:rbuŋ,bana:m,ji:rbuŋgan,yirbuŋ,ji:rbuŋgan,gaguhng,ji:rbuŋ,ji:rbuŋ,wabunj,ji:rbuŋ,ji:rbuŋgan,wabunj,yirpung,yirpung,ji:rbuŋ,yirpung,ji:rbuŋgan,yirbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋgan,yirbuŋ,yirpung,yirpung,yirpung,ji:rbuŋgan,ji:rbuŋ,yirpung,bana:m,yirbuŋ,ji:rbuŋ,ji:rbuŋgan,ga:waŋ,waduŋ,ma:maŋ,watyu,ŋaruɲ,ma:maŋ,ga:waŋ,taari,waduŋ,waduŋ,ŋaruɲ,watyu,taari,ma:maŋ,ŋaruɲ,ma:maŋ,waduŋ,ga:waŋ,ŋaruɲ,ŋaruɲ,ga:waŋ,waduŋ,waduŋ,ga:waŋ,ŋaruɲ,ga:waŋ,ma:maŋ,ma:maŋ
4,0.40659248353522104,1.726407274843761,1.31981479130854,yirpung,yirbuŋ,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋgan,nunang,yirrkung,yirbuŋ,yirpung,ji:rbuŋ,ji:rbuŋ,yirbuŋ,ji:rbuŋgan,yirpung,panaam,bana:m,yirpung,yirpung,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,yirpung,yirpung,ji:rbuŋgan,ji:rbuŋgan,yirpung,yirpung,yirbuŋ,ji:rbuŋ,ji:rbuŋgan,yirbuŋ,yirpung,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋ,yirpung,ji:rbuŋgan,yirpung,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,yirbuŋ,kakuung,gaguhng,ji:rbuŋgan,ji:rbuŋ,yirpung,yirbuŋ,yirpung,yirbuŋ,yirpung,yirbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋgan,nana:ŋ,bana:m,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋ,yirpung,yirbuŋ,ji:rbuŋgan,gaguhng,yirpung,yirpung,yirrkung,ji:rbuŋ,ji:rbuŋ,wabunj,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,yirpung,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋgan,yirpung,wabunj,ji:rbuŋgan,ŋaruɲ,waduŋ,waduŋ,taari,waduŋ,ŋaruɲ,ma:maŋ,ga:waŋ,ma:maŋ,waduŋ,ga:waŋ,watyu,watyu,ga:waŋ,ga:waŋ,ma:maŋ,ma:maŋ,ga:waŋ,waduŋ,taari,ŋaruɲ,ma:maŋ,waduŋ,ma:maŋ,ŋaruɲ,ŋaruɲ,ŋaruɲ,ga:waŋ
5,0.3162529272847001,1.6689290667747416,1.3526761394900415,ji:rbuŋ,ji:rbuŋ,yirbuŋ,nana:ŋ,ji:rbuŋ,yirpung,ji:rbuŋgan,ji:rbuŋ,yirpung,ji:rbuŋ,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,kakuung,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,panaam,yirpung,ji:rbuŋgan,ji:rbuŋgan,yirpung,ji:rbuŋ,yirbuŋ,yirpung,wabunj,ji:rbuŋ,yirbuŋ,yirbuŋ,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,yirpung,ji:rbuŋ,yirrkung,ji:rbuŋ,yirbuŋ,ji:rbuŋ,yirpung,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋgan,yirpung,ji:rbuŋgan,yirbuŋ,yirbuŋ,ji:rbuŋgan,ji:rbuŋ,bana:m,wabunj,ji:rbuŋ,ji:rbuŋ,ji:rbuŋgan,yirpung,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,yirpung,bana:m,yirpung,ji:rbuŋgan,ji:rbuŋ,yirpung,ji:rbuŋ,ji:rbuŋ,yirpung,ji:rbuŋ,gaguhng,yirpung,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,yirrkung,yirpung,yirpung,nunang,ji:rbuŋgan,gaguhng,ji:rbuŋ,yirbuŋ,yirpung,yirpung,ji:rbuŋ,yirpung,ji:rbuŋgan,ji:rbuŋgan,yirbuŋ,yirbuŋ,yirpung,ŋaruɲ,ma:maŋ,ma:maŋ,ga:waŋ,waduŋ,watyu,waduŋ,ga:waŋ,ga:waŋ,waduŋ,waduŋ,ma:maŋ,ŋaruɲ,ma:maŋ,ma:maŋ,ŋaruɲ,ŋaruɲ,ga:waŋ,waduŋ,ŋaruɲ,ga:waŋ,watyu,ga:waŋ,taari,ma:maŋ,ŋaruɲ,taari,waduŋ
6,0.29956615108017215,1.6418129071808596,1.3422467561006874,ji:rbuŋ,kakuung,yirbuŋ,yirpung,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,wabunj,ji:rbuŋ,ji:rbuŋgan,yirpung,yirpung,ji:rbuŋ,yirpung,yirpung,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,nunang,panaam,yirpung,yirbuŋ,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,gaguhng,ji:rbuŋgan,ji:rbuŋgan,yirpung,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋ,yirpung,yirpung,ji:rbuŋ,yirpung,yirbuŋ,ji:rbuŋgan,yirpung,gaguhng,yirpung,ji:rbuŋgan,yirpung,yirpung,ji:rbuŋgan,ji:rbuŋgan,yirpung,yirpung,ji:rbuŋgan,yirrkung,yirbuŋ,ji:rbuŋ,yirbuŋ,yirbuŋ,ji:rbuŋ,nana:ŋ,yirpung,ji:rbuŋ,ji:rbuŋgan,yirbuŋ,yirpung,ji:rbuŋgan,ji:rbuŋ,bana:m,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,yirbuŋ,ji:rbuŋ,yirpung,ji:rbuŋgan,bana:m,yirpung,ji:rbuŋ,wabunj,ji:rbuŋ,ji:rbuŋ,yirrkung,ji:rbuŋ,ji:rbuŋ,yirbuŋ,yirbuŋ,ji:rbuŋ,ji:rbuŋgan,ga:waŋ,waduŋ,waduŋ,ga:waŋ,watyu,ŋaruɲ,ga:waŋ,ma:maŋ,ga:waŋ,ma:maŋ,ŋaruɲ,waduŋ,waduŋ,ŋaruɲ,ga:waŋ,watyu,ŋaruɲ,ma:maŋ,waduŋ,ma:maŋ,taari,ga:waŋ,waduŋ,ŋaruɲ,ma:maŋ,ŋaruɲ,ma:maŋ,taari
7,0.30869282329946635,1.7180613660769524,1.409368542777486,ji:rbuŋ,yirbuŋ,ji:rbuŋ,yirbuŋ,yirbuŋ,gaguhng,yirpung,yirbuŋ,ji:rbuŋ,ji:rbuŋ,yirrkung,yirpung,ji:rbuŋgan,ji:rbuŋ,yirpung,yirbuŋ,ji:rbuŋ,ji:rbuŋgan,yirpung,ji:rbuŋ,ji:rbuŋ,yirrkung,ji:rbuŋ,ji:rbuŋ,yirpung,ji:rbuŋgan,wabunj,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋ,yirbuŋ,ji:rbuŋgan,yirpung,yirpung,ji:rbuŋgan,ji:rbuŋgan,yirpung,ji:rbuŋgan,ji:rbuŋgan,yirpung,yirpung,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,nunang,bana:m,yirpung,yirpung,ji:rbuŋ,ji:rbuŋ,yirpung,yirbuŋ,ji:rbuŋ,ji:rbuŋ,kakuung,ji:rbuŋgan,yirpung,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,panaam,ji:rbuŋgan,yirbuŋ,nana:ŋ,ji:rbuŋgan,ji:rbuŋ,yirpung,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,yirbuŋ,ji:rbuŋgan,ji:rbuŋ,yirpung,ji:rbuŋgan,gaguhng,yirpung,bana:m,yirpung,yirbuŋ,ji:rbuŋ,ji:rbuŋgan,wabunj,ji:rbuŋgan,yirpung,ji:rbuŋgan,yirpung,ma:maŋ,taari,ŋaruɲ,watyu,taari,ga:waŋ,ga:waŋ,ŋaruɲ,ga:waŋ,waduŋ,watyu,waduŋ,ga:waŋ,waduŋ,ma:maŋ,ŋaruɲ,ma:maŋ,ma:maŋ,waduŋ,waduŋ,ŋaruɲ,ga:waŋ,ŋaruɲ,ŋaruɲ,ma:maŋ,ga:waŋ,waduŋ,ma:maŋ
8,0.3253045136098134,1.6616357350199258,1.3363312214101124,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,ji:rbuŋgan,yirpung,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,wabunj,ji:rbuŋgan,yirrkung,nunang,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,yirpung,ji:rbuŋgan,yirbuŋ,gaguhng,ji:rbuŋ,yirpung,yirbuŋ,ji:rbuŋ,bana:m,yirpung,yirpung,ji:rbuŋ,yirpung,gaguhng,ji:rbuŋgan,yirpung,yirrkung,yirpung,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,yirpung,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,yirpung,ji:rbuŋ,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋgan,yirbuŋ,ji:rbuŋ,ji:rbuŋgan,panaam,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,ji:rbuŋ,yirpung,yirbuŋ,bana:m,yirpung,yirpung,ji:rbuŋgan,ji:rbuŋgan,yirbuŋ,yirpung,ji:rbuŋ,ji:rbuŋ,yirpung,wabunj,ji:rbuŋgan,yirbuŋ,nana:ŋ,kakuung,yirbuŋ,yirpung,ji:rbuŋ,yirpung,yirbuŋ,yirbuŋ,ji:rbuŋ,yirpung,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋ,yirpung,yirbuŋ,ji:rbuŋ,yirpung,ji:rbuŋ,ji:rbuŋ,ma:maŋ,ga:waŋ,ma:maŋ,ma:maŋ,ga:waŋ,waduŋ,ga:waŋ,ŋaruɲ,taari,ga:waŋ,waduŋ,ma:maŋ,ŋaruɲ,ma:maŋ,ga:waŋ,ŋaruɲ,taari,watyu,ŋaruɲ,ga:waŋ,watyu,waduŋ,waduŋ,ŋaruɲ,waduŋ,waduŋ,ma:maŋ,ŋaruɲ
9,0.23916449510142734,1.693727871348258,1.4545633762468306,yirbuŋ,gaguhng,yirbuŋ,yirpung,yirpung,kakuung,ji:rbuŋ,yirbuŋ,ji:rbuŋ,yirpung,yirpung,yirbuŋ,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋgan,yirpung,ji:rbuŋgan,yirpung,ji:rbuŋ,bana:m,ji:rbuŋ,gaguhng,yirpung,yirbuŋ,ji:rbuŋ,ji:rbuŋgan,yirpung,ji:rbuŋ,yirpung,yirpung,ji:rbuŋ,ji:rbuŋ,ji:rbuŋgan,yirbuŋ,ji:rbuŋ,yirpung,yirpung,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋgan,yirpung,ji:rbuŋ,yirbuŋ,ji:rbuŋ,wabunj,ji:rbuŋgan,yirpung,ji:rbuŋ,yirbuŋ,ji:rbuŋgan,ji:rbuŋ,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,wabunj,yirpung,ji:rbuŋgan,ji:rbuŋgan,ji:rbuŋ,yirpung,ji:rbuŋgan,yirpung,ji:rbuŋgan,yirpung,ji:rbuŋgan,yirpung,ji:rbuŋgan,ji:rbuŋ,nana:ŋ,ji:rbuŋ,yirbuŋ,ji:rbuŋ,yirrkung,ji:rbuŋ,ji:rbuŋgan,ji:rbuŋ,panaam,ji:rbuŋ,ji:rbuŋ,yirrkung,ji:rbuŋ,yirpung,yirbuŋ,ji:rbuŋ,nunang,ji:rbuŋ,bana:m,ji:rbuŋ,ŋaruɲ,watyu,ma:maŋ,ga:waŋ,waduŋ,ma:maŋ,taari,ga:waŋ,waduŋ,ŋaruɲ,ma:maŋ,ga:waŋ,ŋaruɲ,ga:waŋ,ma:maŋ,ŋaruɲ,waduŋ,ma:maŋ,waduŋ,taari,ma:maŋ,ŋaruɲ,ga:waŋ,ŋaruɲ,ga:waŋ,watyu,waduŋ,waduŋ
