simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.037440880811177135,0.6931471805599453,0.6557062997487682,cìtcìt'łá,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cìtcìt'łá,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cíkà'á,cì'àˑcé,cìbédjé,cìbédjé,cíkà'á,cìbáˑyé',cì'àˑcé,cì'nàˑdéˑ',cì'àˑcé,cìbáˑyé',cíkà'á,cìbédjé,cìbáˑyé',cì'àˑcé,cì'àˑcé,cíkà'á,cìbáˑyé',cì'àˑcé,cìbédjé,cíkà'á,cì'nàˑdéˑ',cìbédjé,cì'àˑcé,cìbédjé,cì'àˑcé,cíkà'á,cìbáˑyé',cìbáˑyé'
1,0.06706436145150207,1.3661588475692017,1.2990944861176996,cì'dèˑt'càˑ,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cìtcìt'łá,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'àˑcé,cíkà'á,cìbédjé,cì'àˑcé,cíkà'á,cìbédjé,cìbáˑyé',cì'àˑcé,cì'àˑcé,cì'àˑcé,cíkà'á,cì'àˑcé,cì'nàˑdéˑ',cìbédjé,cìbáˑyé',cì'nàˑdéˑ',cì'àˑcé,cìbáˑyé',cìbáˑyé',cì'àˑcé,cíkà'á,cíkà'á,cíkà'á,cìbáˑyé',cìbáˑyé',cìbédjé,cìbédjé,cìbédjé
2,0.10881376541524035,1.0888999753452238,0.9800862099299834,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'nàˑdéˑ',cì'àˑcé,cìbáˑyé',cíkà'á,cì'nàˑdéˑ',cíkà'á,cìbáˑyé',cì'àˑcé,cìbáˑyé',cìbáˑyé',cì'àˑcé,cíkà'á,cì'àˑcé,cìbédjé,cìbáˑyé',cìbáˑyé',cíkà'á,cì'àˑcé,cìbédjé,cíkà'á,cìbédjé,cìbédjé,cíkà'á,cì'àˑcé,cì'àˑcé,cì'àˑcé,cìbédjé,cìbédjé
3,0.0854150896770628,0.6108643020548935,0.5254492123778307,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cìtcìt'łá,cìtcìt'łá,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cíkà'á,cì'àˑcé,cì'nàˑdéˑ',cíkà'á,cìbáˑyé',cì'nàˑdéˑ',cìbédjé,cìbáˑyé',cì'àˑcé,cìbédjé,cì'àˑcé,cì'àˑcé,cíkà'á,cìbédjé,cì'àˑcé,cì'àˑcé,cíkà'á,cìbédjé,cíkà'á,cìbáˑyé',cìbáˑyé',cìbédjé,cì'àˑcé,cíkà'á,cìbédjé,cìbáˑyé',cì'àˑcé,cìbáˑyé'
4,0.025415268561604143,0.6108643020548935,0.5854490334932894,cìtcìt'łá,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cì'dèˑt'càˑ,cì'àˑcé,cìbáˑyé',cìbédjé,cìbáˑyé',cìbédjé,cíkà'á,cì'nàˑdéˑ',cíkà'á,cìbáˑyé',cíkà'á,cíkà'á,cìbédjé,cìbáˑyé',cìbédjé,cì'àˑcé,cì'àˑcé,cì'àˑcé,cì'àˑcé,cìbáˑyé',cìbédjé,cì'àˑcé,cì'àˑcé,cì'àˑcé,cì'nàˑdéˑ',cìbáˑyé',cíkà'á,cìbédjé,cíkà'á
5,0.05302787758668792,1.0296530140645737,0.9766251364778857,cìtcìt'łá,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cìtcìt'łá,cíkà'á,cìbédjé,cíkà'á,cíkà'á,cíkà'á,cìbáˑyé',cìbédjé,cìbédjé,cì'àˑcé,cìbáˑyé',cì'àˑcé,cìbédjé,cì'àˑcé,cì'àˑcé,cì'àˑcé,cíkà'á,cìbáˑyé',cíkà'á,cìbáˑyé',cìbédjé,cìbáˑyé',cìbáˑyé',cì'àˑcé,cì'àˑcé,cì'nàˑdéˑ',cìbédjé,cì'àˑcé,cì'nàˑdéˑ'
6,0.24884610843125854,1.0296530140645737,0.7808069056333151,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cìtcìt'łá,cìtcìt'łá,cì'nàˑdéˑ',cíkà'á,cìbáˑyé',cìbédjé,cìbédjé,cìbáˑyé',cìbédjé,cì'àˑcé,cì'àˑcé,cìbédjé,cìbáˑyé',cíkà'á,cì'àˑcé,cìbáˑyé',cì'nàˑdéˑ',cì'àˑcé,cíkà'á,cíkà'á,cì'àˑcé,cìbédjé,cìbédjé,cíkà'á,cì'àˑcé,cì'àˑcé,cìbáˑyé',cíkà'á,cìbáˑyé',cì'àˑcé
7,0.035237819139512405,0.6730116670092565,0.6377738478697441,cìtcìt'łá,cìtcìt'łá,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cíkà'á,cíkà'á,cì'nàˑdéˑ',cì'àˑcé,cíkà'á,cì'àˑcé,cìbáˑyé',cì'àˑcé,cíkà'á,cìbáˑyé',cìbáˑyé',cíkà'á,cìbédjé,cìbédjé,cì'àˑcé,cì'àˑcé,cìbédjé,cìbédjé,cìbáˑyé',cìbédjé,cì'àˑcé,cíkà'á,cìbédjé,cìbáˑyé',cì'àˑcé,cì'àˑcé,cìbáˑyé',cì'nàˑdéˑ'
8,0.06655670781413014,1.0296530140645737,0.9630963062504435,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cìbédjé,cíkà'á,cì'àˑcé,cíkà'á,cìbáˑyé',cìbédjé,cì'àˑcé,cì'àˑcé,cíkà'á,cì'àˑcé,cìbáˑyé',cìbáˑyé',cì'àˑcé,cìbáˑyé',cíkà'á,cìbáˑyé',cìbáˑyé',cì'àˑcé,cì'nàˑdéˑ',cì'àˑcé,cì'nàˑdéˑ',cìbédjé,cìbédjé,cìbédjé,cíkà'á,cíkà'á,cì'àˑcé,cìbédjé
9,0.13637907950749695,1.0296530140645737,0.8932739345570767,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cìtcìt'łá,cì'dèˑt'càˑ,cìtcìt'łá,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cì'dèˑt'càˑ,cìtcìt'łá,cìbáˑyé',cíkà'á,cìbédjé,cì'àˑcé,cíkà'á,cíkà'á,cìbáˑyé',cìbédjé,cì'àˑcé,cì'àˑcé,cìbáˑyé',cì'àˑcé,cìbáˑyé',cìbáˑyé',cíkà'á,cì'nàˑdéˑ',cì'àˑcé,cìbédjé,cìbédjé,cì'àˑcé,cìbáˑyé',cìbédjé,cíkà'á,cì'àˑcé,cì'nàˑdéˑ',cì'àˑcé,cìbédjé,cíkà'á
