simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.04814117906453208,0.8752589385161158,0.8271177594515837,waa,óxo',waa,óxo',waa,waa,waa,waa,waa,pí'ic,waa,waa,waa,waa,waa,waa,waa,pí'ic,waa,waa,waa,waa,waa,waa,pé'ec,waa,pé'ec,kukma,(ny)ó'oš,kukma,-nák,kukma,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,kukma,(ny)ó'oš,kukma,kukma,(ny)ó'oš,kukma,(ny)ó'oš,kukma,(ny)ó'oš,más,más,(ny)ó'oš,kukma,-nák,(ne)-ók,(ny)ó'oš,kukma,(ny)ó'oš,(ny)ó'oš,(ne)-ók
1,0.14182106563659203,0.9185806373011125,0.7767595716645205,waa,waa,waa,óxo',waa,waa,waa,waa,waa,waa,pí'ic,waa,waa,waa,pé'ec,waa,waa,waa,waa,waa,waa,waa,waa,óxo',pí'ic,waa,pé'ec,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,kukma,(ny)ó'oš,kukma,más,kukma,(ny)ó'oš,(ne)-ók,kukma,(ny)ó'oš,kukma,(ny)ó'oš,kukma,kukma,-nák,kukma,(ny)ó'oš,(ny)ó'oš,(ne)-ók,más,kukma,(ny)ó'oš,kukma,(ny)ó'oš,(ny)ó'oš,-nák
2,0.1499612068920816,0.6995144908036166,0.549553283911535,waa,waa,waa,waa,waa,waa,waa,waa,pí'ic,waa,waa,waa,óxo',waa,óxo',waa,waa,waa,waa,waa,waa,waa,pí'ic,waa,pé'ec,pé'ec,waa,(ny)ó'oš,(ny)ó'oš,kukma,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,kukma,kukma,(ne)-ók,más,kukma,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,kukma,kukma,(ny)ó'oš,kukma,kukma,más,-nák,(ne)-ók,kukma,(ny)ó'oš,kukma,-nák
3,0.22815832429363914,1.051331792501681,0.8231734682080418,pí'ic,waa,waa,waa,waa,waa,waa,óxo',waa,waa,waa,waa,waa,óxo',waa,waa,waa,waa,waa,waa,waa,pí'ic,waa,pé'ec,waa,pé'ec,waa,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,kukma,kukma,kukma,(ny)ó'oš,kukma,(ny)ó'oš,(ny)ó'oš,kukma,(ny)ó'oš,kukma,(ne)-ók,kukma,-nák,más,kukma,(ny)ó'oš,kukma,(ny)ó'oš,(ne)-ók,más,kukma,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,-nák
4,0.18747694974896434,1.3139023094519822,1.1264253597030178,waa,óxo',waa,pé'ec,waa,waa,waa,waa,waa,waa,waa,waa,waa,waa,waa,waa,waa,waa,waa,waa,waa,pí'ic,pé'ec,pí'ic,óxo',waa,waa,más,kukma,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,kukma,más,(ne)-ók,kukma,(ny)ó'oš,kukma,(ne)-ók,-nák,(ny)ó'oš,kukma,kukma,(ny)ó'oš,(ny)ó'oš,kukma,kukma,(ny)ó'oš,kukma,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,-nák,kukma,(ny)ó'oš
5,0.30449308906133543,1.0025261447280631,0.6980330556667277,waa,waa,waa,pé'ec,pé'ec,waa,óxo',waa,waa,pí'ic,waa,waa,waa,waa,waa,óxo',waa,waa,waa,waa,waa,pí'ic,waa,waa,waa,waa,waa,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,-nák,kukma,(ny)ó'oš,(ny)ó'oš,más,kukma,más,(ny)ó'oš,(ne)-ók,(ny)ó'oš,kukma,(ny)ó'oš,(ny)ó'oš,kukma,kukma,(ny)ó'oš,kukma,kukma,kukma,(ny)ó'oš,(ne)-ók,kukma,kukma,-nák,(ny)ó'oš
6,0.11151343327179042,1.1509169205883507,1.0394034873165603,waa,waa,pé'ec,waa,pí'ic,pí'ic,waa,waa,waa,óxo',waa,waa,waa,waa,waa,waa,waa,waa,waa,waa,waa,waa,óxo',waa,waa,waa,pé'ec,-nák,(ny)ó'oš,kukma,(ny)ó'oš,(ny)ó'oš,kukma,(ne)-ók,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,kukma,-nák,(ny)ó'oš,kukma,kukma,(ny)ó'oš,(ne)-ók,(ny)ó'oš,kukma,más,(ny)ó'oš,(ny)ó'oš,más,kukma,kukma,kukma,kukma
7,0.17967171477459765,1.44445649843165,1.2647847836570523,waa,pé'ec,waa,óxo',waa,waa,waa,pí'ic,waa,waa,waa,waa,pí'ic,waa,waa,waa,pé'ec,waa,waa,waa,waa,óxo',waa,waa,waa,waa,waa,(ne)-ók,-nák,(ny)ó'oš,kukma,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,más,kukma,kukma,-nák,(ne)-ók,kukma,más,(ny)ó'oš,kukma,(ny)ó'oš,kukma,(ny)ó'oš,kukma,(ny)ó'oš,(ny)ó'oš,kukma,kukma,kukma
8,0.20478502822781441,1.0446066459467005,0.8398216177188861,waa,waa,waa,waa,pé'ec,waa,waa,óxo',waa,waa,pí'ic,waa,waa,pé'ec,pí'ic,waa,waa,óxo',waa,waa,waa,waa,waa,waa,waa,waa,waa,kukma,(ny)ó'oš,-nák,kukma,kukma,(ny)ó'oš,(ny)ó'oš,más,kukma,-nák,kukma,kukma,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,kukma,(ne)-ók,kukma,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,kukma,(ny)ó'oš,(ne)-ók,más,(ny)ó'oš,kukma
9,0.11432732214772323,1.0929931149604253,0.978665792812702,waa,pí'ic,waa,óxo',waa,waa,waa,waa,waa,waa,waa,waa,pé'ec,waa,waa,waa,pé'ec,waa,waa,waa,waa,waa,waa,óxo',waa,waa,pí'ic,(ny)ó'oš,kukma,(ny)ó'oš,más,(ny)ó'oš,kukma,(ny)ó'oš,(ny)ó'oš,kukma,(ny)ó'oš,(ny)ó'oš,-nák,kukma,(ne)-ók,(ny)ó'oš,kukma,-nák,(ny)ó'oš,(ny)ó'oš,(ny)ó'oš,kukma,kukma,(ny)ó'oš,más,kukma,kukma,(ne)-ók,kukma
