simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.08718921042388672,1.5602709790488856,1.4730817686249988,nkana,nkana,bokune,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botmolo,nkana,nkana,botomolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nyangobika,isomoto,isomoto,ise,nyango,ise,nyango,nyango,isomoto,ise,nyangobika,nyango,nyangobika,ise,nyango,nyango,isomoto,nyangobika,fafa,isomoto,nyango,ise,nyangobika,isomoto,nyangobika,fafa,ise,nyango
1,0.1219234769692179,1.5376813628101216,1.4157578858409037,nkana,nkana,botmolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botomolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,bokune,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,ise,ise,fafa,nyangobika,isomoto,nyangobika,nyango,ise,isomoto,nyango,ise,ise,nyango,nyangobika,nyango,nyango,nyangobika,isomoto,nyango,nyangobika,isomoto,ise,nyango,nyango,nyangobika,isomoto,fafa,isomoto
2,0.0769792058905805,1.5012365444473437,1.4242573385567632,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botmolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,bokune,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botomolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,ise,fafa,nyango,nyangobika,ise,nyangobika,nyangobika,fafa,nyango,nyango,nyango,nyangobika,isomoto,isomoto,isomoto,ise,nyangobika,ise,nyangobika,isomoto,nyango,nyango,nyango,isomoto,isomoto,nyango,ise,ise
3,0.0916101934689244,1.5050990953863512,1.4134889019174268,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botmolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botomolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,bokune,nkana,nkana,nkana,nkana,nkana,ise,nyangobika,ise,nyango,ise,isomoto,isomoto,nyango,isomoto,nyangobika,ise,nyango,nyangobika,ise,nyangobika,nyangobika,nyango,isomoto,nyangobika,nyango,fafa,nyango,nyango,ise,isomoto,fafa,isomoto,nyango
4,0.05796166194462771,1.5027449189667679,1.4447832570221402,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botmolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botomolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,bokune,nkana,nkana,nkana,nkana,nkana,nyango,nyangobika,nyango,ise,nyango,isomoto,ise,ise,ise,isomoto,nyango,fafa,nyango,nyango,isomoto,nyangobika,nyango,ise,isomoto,nyangobika,nyango,isomoto,ise,nyangobika,nyangobika,nyangobika,isomoto,fafa
5,0.05477644367503065,1.5139117487293878,1.4591353050543572,nkana,nkana,nkana,nkana,botmolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,bokune,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botomolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nyango,ise,isomoto,nyango,ise,nyango,isomoto,nyangobika,isomoto,ise,nyangobika,isomoto,isomoto,nyangobika,nyangobika,fafa,nyango,nyangobika,fafa,ise,ise,nyangobika,nyango,nyango,isomoto,nyango,ise,nyango
6,0.07044798979794087,1.5170077756842755,1.4465597858863346,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botomolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,bokune,nkana,nkana,nkana,nkana,botmolo,fafa,nyangobika,nyangobika,isomoto,isomoto,ise,ise,nyangobika,ise,isomoto,ise,fafa,nyango,nyango,isomoto,isomoto,nyango,nyango,ise,nyangobika,nyango,nyangobika,nyangobika,nyango,isomoto,ise,nyango,nyango
7,0.06704709678940324,1.5583102071522026,1.4912631103627993,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,bokune,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botomolo,botmolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nyangobika,nyango,isomoto,ise,ise,isomoto,nyangobika,isomoto,ise,nyango,fafa,ise,nyango,nyango,nyango,isomoto,fafa,nyangobika,nyangobika,isomoto,nyangobika,nyango,nyango,isomoto,nyangobika,nyango,ise,ise
8,0.06574615124587035,1.5353103240978339,1.4695641728519635,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botomolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botmolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,bokune,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,ise,nyango,nyango,nyango,nyangobika,isomoto,isomoto,isomoto,nyangobika,ise,nyango,fafa,nyango,isomoto,ise,ise,isomoto,fafa,nyango,ise,isomoto,nyangobika,ise,nyangobika,nyangobika,nyango,nyangobika,nyango
9,0.05745814042699737,1.5265797064172977,1.4691215659903003,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,bokune,nkana,nkana,nkana,nkana,botmolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botomolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nyangobika,isomoto,isomoto,nyangobika,ise,nyangobika,nyangobika,ise,nyango,nyango,fafa,isomoto,nyango,nyangobika,isomoto,nyango,nyango,nyango,isomoto,isomoto,ise,nyango,fafa,ise,nyango,nyangobika,ise,ise
