simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.014032215111297486,1.0789922078775833,1.0649599927662858,tuai,tukaka,tukaka,tuai,tukaka,tuai,tuai,lakiama,lakiama,lakiˀina,bae,lakiama,lakiˀina,lakiˀina,lakiˀina,lakiama,lakiˀina,tama,lakiama,lakiˀina,bae,tama,lakiama,lakiˀina,lakiama,lakiama,lakiˀina
1,0.007016107555648743,1.0346012329101812,1.0275851253545325,tukaka,tuai,tukaka,tuai,tuai,tukaka,tuai,lakiama,bae,bae,lakiˀina,lakiama,lakiama,lakiama,lakiama,lakiˀina,lakiˀina,lakiama,tama,tama,lakiˀina,lakiˀina,lakiama,lakiˀina,lakiˀina,lakiama,lakiˀina
2,0.014032215111297708,1.376055285260417,1.3620230701491194,tukaka,tuai,tukaka,tuai,tuai,tuai,tukaka,bae,lakiˀina,lakiama,tama,lakiˀina,lakiama,lakiama,lakiˀina,lakiama,lakiˀina,lakiˀina,lakiˀina,bae,lakiama,lakiˀina,lakiama,lakiama,tama,lakiˀina,lakiama
3,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,tukaka,tuai,tuai,tukaka,tukaka,tuai,tuai,tama,lakiama,lakiama,tama,bae,lakiˀina,lakiˀina,lakiama,lakiˀina,lakiˀina,bae,lakiama,lakiama,lakiama,lakiama,lakiˀina,lakiˀina,lakiˀina,lakiama,lakiˀina
4,0.007016107555648743,1.0346012329101812,1.0275851253545325,tuai,tukaka,tuai,tuai,tukaka,tukaka,tuai,lakiama,lakiˀina,lakiama,tama,lakiˀina,lakiˀina,tama,lakiama,lakiˀina,bae,lakiama,lakiama,lakiˀina,lakiˀina,lakiama,bae,lakiˀina,lakiama,lakiˀina,lakiama
5,0.08878194993480437,1.3760552852604169,1.2872733353256125,tukaka,tuai,tukaka,tuai,tukaka,tuai,tuai,tama,bae,lakiˀina,lakiama,lakiˀina,lakiˀina,lakiama,bae,lakiama,lakiˀina,lakiama,lakiˀina,lakiˀina,lakiama,lakiama,lakiˀina,lakiˀina,tama,lakiama,lakiama
6,0.34145405235023607,1.0346012329101812,0.6931471805599452,tukaka,tuai,tuai,tukaka,tukaka,tuai,tuai,lakiˀina,lakiama,lakiama,tama,lakiama,lakiˀina,lakiˀina,bae,tama,lakiˀina,lakiˀina,bae,lakiˀina,lakiama,lakiˀina,lakiama,lakiˀina,lakiama,lakiama,lakiama
7,0.027135791552279853,0.5982695885852573,0.5711337970329774,tukaka,tuai,tukaka,tukaka,tuai,tuai,tuai,lakiˀina,lakiˀina,lakiˀina,lakiama,lakiama,lakiˀina,lakiama,lakiama,lakiˀina,lakiˀina,lakiˀina,lakiama,tama,lakiama,lakiama,lakiˀina,lakiama,tama,bae,bae
8,0.0443909749674023,1.0346012329101812,0.990210257942779,tukaka,tuai,tuai,tuai,tukaka,tukaka,tuai,bae,lakiama,lakiˀina,bae,lakiˀina,tama,lakiama,lakiama,lakiama,lakiˀina,lakiama,lakiˀina,lakiama,lakiˀina,lakiˀina,tama,lakiama,lakiˀina,lakiˀina,lakiama
9,0.04439097496740241,1.0346012329101812,0.9902102579427788,tuai,tuai,tuai,tukaka,tukaka,tukaka,tuai,lakiˀina,lakiama,tama,lakiama,lakiˀina,lakiama,lakiˀina,bae,tama,lakiama,lakiama,bae,lakiama,lakiˀina,lakiama,lakiˀina,lakiˀina,lakiama,lakiˀina,lakiˀina
