simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.7341524607055904,1.7026028097512458,0.9684503490456554,yeé basúke,yeé basúko,yeé kabi,mami,mejkésa majkó,yeé pajkó majké,yeé utamún majsé,nijiá,nijiá,uaméu majkó,yeé basúke,uaméu majkó,uaméu majké,yeé mamió,mamió,uaméu majké,yeé basúko,uaméu majkó,yeé basúko,yeé majké,yeé mamió,yeé basúko,yeé basúke,yeé pajkó majko,yeé pajkó majko,yeé mami,yeé utamún majsé,yeé pajkó majko,yeé kabio,numió-ká,yeé majko,yeé basúke,yeé utamún majsé,yeé kabi,yeé basúko,mejkésa majkó,mejkésa majké,mami,yeé basúke,mejkésa majké,yeé basúko,yeé pajkó majké,uaméu majké,yeé basúko,yeé utamún majsé,mejkésa majké,yeé majko,mejkésa majkó,yeé kabio,mejkésa majké,uaméu majkó,uaméu majké,yeé basúko,yeé pajkó majké,yeé utamún majsé,uaméu majkó,mamió,yeé basúko,uaméu majké,mejkésa majké,yeé pajkó majko,yeé pajkó majké,yeé mami,mejkésa majkó,yeé basúko,mejkésa majkó,yeé pajko páume,yeé pajkó,mengó,yeé pajké mami,yeé uaméu,yeé pajké mami,yeé uaméu,mengó,yeé pajko páume,yeé uaméu,yeé pajko páume,yeé pajko páume,yeé pajko páume,mengó,mengó,yeé pajké mami,yeé uaméu,yeé pajké mami,yeé pajké,yeé pajko páume,yeé pajkó,yeé pajké,mengó,yeé uaméu,yeé uaméu,mengó
1,0.699792908585596,1.677721009683731,0.977928101098135,yeé basúko,uaméu majkó,yeé pajkó majko,yeé pajkó majké,yeé pajkó majké,mejkésa majké,mamió,yeé kabi,nijiá,yeé mamió,yeé majko,mejkésa majké,yeé basúko,uaméu majkó,yeé basúko,yeé pajkó majko,yeé pajkó majké,mami,uaméu majké,mejkésa majké,nijiá,yeé basúke,yeé utamún majsé,yeé basúko,mamió,uaméu majké,yeé utamún majsé,uaméu majké,mejkésa majkó,yeé mamió,mejkésa majké,yeé utamún majsé,yeé basúko,yeé utamún majsé,yeé basúko,numió-ká,yeé mami,yeé pajkó majko,mami,yeé basúke,uaméu majkó,mejkésa majké,yeé mami,yeé majko,yeé kabio,mejkésa majkó,yeé basúko,yeé basúko,mejkésa majkó,yeé pajkó majké,yeé pajkó majko,uaméu majké,yeé basúke,yeé kabio,yeé kabi,yeé utamún majsé,uaméu majké,yeé basúke,uaméu majkó,yeé basúke,yeé basúko,yeé majké,mejkésa majkó,yeé basúko,uaméu majkó,mejkésa majkó,mengó,yeé pajké,yeé pajkó,yeé pajko páume,yeé pajkó,yeé uaméu,yeé pajko páume,yeé uaméu,yeé pajké mami,yeé pajké mami,yeé pajké mami,yeé pajko páume,mengó,mengó,mengó,yeé pajké mami,yeé pajko páume,mengó,yeé uaméu,yeé pajké,yeé uaméu,yeé pajko páume,yeé pajko páume,yeé uaméu,mengó,yeé uaméu
2,0.6071014030647202,1.6817603588025953,1.0746589557378752,yeé kabio,yeé pajkó majko,yeé basúko,mejkésa majké,mamió,yeé mami,mejkésa majké,yeé basúko,yeé utamún majsé,yeé majké,yeé mami,yeé basúke,yeé pajkó majko,yeé pajkó majké,uaméu majkó,yeé kabi,yeé basúko,yeé pajkó majké,yeé majko,yeé kabio,nijiá,yeé mamió,yeé utamún majsé,mami,yeé basúko,mejkésa majké,mejkésa majkó,yeé pajkó majko,yeé pajkó majké,mejkésa majkó,mejkésa majké,mami,mejkésa majkó,numió-ká,yeé basúke,yeé kabi,yeé basúko,yeé basúko,yeé pajkó majké,mejkésa majkó,yeé mamió,mejkésa majkó,uaméu majké,yeé basúke,uaméu majké,nijiá,yeé basúke,uaméu majkó,uaméu majkó,uaméu majkó,yeé basúko,yeé utamún majsé,uaméu majkó,yeé utamún majsé,yeé basúko,mamió,yeé pajkó majko,mejkésa majké,uaméu majké,yeé basúke,yeé basúko,yeé majko,yeé utamún majsé,uaméu majké,yeé basúko,uaméu majké,yeé pajkó,yeé pajko páume,yeé pajké mami,yeé uaméu,yeé uaméu,yeé pajko páume,yeé pajké mami,yeé pajko páume,mengó,yeé uaméu,yeé pajko páume,yeé pajko páume,mengó,yeé uaméu,yeé pajké mami,mengó,yeé pajké mami,mengó,yeé pajko páume,yeé pajké,yeé pajkó,yeé uaméu,mengó,yeé uaméu,yeé pajké,mengó
3,0.71778248316511,1.6837849185776794,0.9660024354125695,mejkésa majkó,yeé utamún majsé,yeé mamió,yeé basúke,yeé basúko,uaméu majké,uaméu majké,uaméu majké,yeé basúke,mejkésa majkó,mejkésa majké,yeé mamió,uaméu majkó,mejkésa majké,mamió,yeé kabi,mejkésa majkó,yeé basúko,yeé pajkó majko,uaméu majké,uaméu majkó,yeé pajkó majké,yeé pajkó majko,yeé majko,yeé pajkó majko,nijiá,yeé basúko,yeé utamún majsé,mejkésa majké,yeé majké,yeé basúko,yeé basúke,yeé utamún majsé,mejkésa majké,yeé kabio,yeé mami,mami,yeé mami,uaméu majké,yeé pajkó majké,yeé basúke,yeé utamún majsé,yeé pajkó majké,yeé basúko,mejkésa majkó,yeé basúko,mamió,numió-ká,mejkésa majké,yeé kabi,yeé basúko,yeé basúko,yeé utamún majsé,yeé basúke,mami,uaméu majkó,yeé pajkó majké,nijiá,yeé kabio,yeé majko,uaméu majkó,uaméu majkó,mejkésa majkó,yeé pajkó majko,yeé basúko,yeé basúko,yeé pajko páume,yeé pajko páume,yeé uaméu,yeé pajké mami,yeé uaméu,yeé pajko páume,yeé pajkó,yeé pajké,mengó,yeé pajko páume,yeé uaméu,yeé uaméu,yeé pajké mami,yeé uaméu,mengó,mengó,yeé pajkó,mengó,yeé pajko páume,yeé pajké,mengó,yeé pajko páume,mengó,yeé pajké mami,yeé uaméu,yeé pajké mami
4,0.5920928907569003,1.6057186149523959,1.0136257241954956,uaméu majké,yeé basúke,yeé basúke,yeé basúko,mejkésa majkó,mejkésa majké,mejkésa majkó,numió-ká,uaméu majkó,yeé pajkó majké,yeé basúko,yeé basúko,yeé kabio,yeé basúko,yeé mami,yeé utamún majsé,mami,yeé majké,yeé pajkó majko,yeé mamió,yeé basúko,yeé utamún majsé,yeé majko,yeé mamió,yeé pajkó majké,nijiá,yeé basúko,yeé pajkó majko,yeé basúko,yeé majko,uaméu majkó,uaméu majké,uaméu majkó,yeé basúke,mejkésa majké,yeé kabi,yeé utamún majsé,yeé mami,yeé kabio,yeé pajkó majké,mejkésa majké,uaméu majkó,yeé basúko,yeé utamún majsé,mejkésa majké,uaméu majké,yeé pajkó majko,nijiá,yeé kabi,yeé basúko,yeé basúke,mami,yeé utamún majsé,uaméu majkó,mamió,yeé basúke,uaméu majké,yeé pajkó majko,uaméu majké,mamió,yeé pajkó majké,yeé basúko,mejkésa majkó,mejkésa majké,mejkésa majkó,mejkésa majkó,mengó,yeé pajké mami,yeé uaméu,yeé pajko páume,yeé pajké mami,yeé uaméu,yeé pajké mami,yeé pajké,mengó,yeé pajkó,yeé pajko páume,yeé pajkó,yeé uaméu,yeé uaméu,mengó,mengó,yeé pajko páume,yeé pajké,mengó,yeé pajko páume,yeé uaméu,yeé pajké mami,mengó,yeé pajko páume,yeé pajko páume,yeé uaméu
5,0.6324002007166494,1.6427477241180313,1.010347523401382,yeé basúke,yeé basúko,mejkésa majkó,mejkésa majkó,mamió,yeé utamún majsé,yeé pajkó majko,yeé kabio,yeé pajkó majké,yeé majko,mejkésa majké,mejkésa majkó,yeé basúko,yeé pajkó majké,yeé pajkó majké,yeé kabi,yeé pajkó majké,mejkésa majké,yeé pajkó majko,yeé mamió,yeé basúke,uaméu majké,yeé kabi,uaméu majkó,yeé utamún majsé,yeé utamún majsé,yeé pajkó majko,yeé basúko,mami,yeé mamió,uaméu majké,yeé basúko,yeé basúke,yeé basúko,yeé pajkó majko,yeé basúko,yeé basúke,yeé majko,yeé utamún majsé,mejkésa majké,nijiá,yeé basúko,nijiá,mami,yeé basúke,yeé mami,uaméu majkó,uaméu majkó,yeé basúko,yeé mami,mejkésa majké,uaméu majkó,numió-ká,mejkésa majkó,uaméu majké,uaméu majké,mejkésa majkó,yeé utamún majsé,mamió,yeé basúko,mejkésa majké,uaméu majkó,yeé kabio,uaméu majké,yeé basúko,yeé majké,yeé uaméu,yeé pajko páume,yeé pajko páume,yeé pajko páume,yeé pajko páume,yeé pajké,yeé pajké mami,mengó,yeé pajké mami,yeé uaméu,yeé pajkó,yeé pajko páume,yeé pajké mami,mengó,mengó,yeé uaméu,mengó,yeé pajké mami,mengó,mengó,yeé uaméu,yeé pajkó,yeé pajko páume,yeé pajké,yeé uaméu,yeé uaméu
6,0.6910700884975468,1.6620036876811075,0.9709335991835607,yeé pajkó majko,yeé basúko,yeé kabi,yeé basúko,mamió,yeé utamún majsé,mami,mejkésa majké,mamió,yeé basúko,yeé mamió,yeé utamún majsé,yeé basúke,yeé pajkó majko,yeé majko,uaméu majké,mejkésa majkó,yeé basúke,mejkésa majké,yeé pajkó majké,uaméu majké,uaméu majké,nijiá,yeé mami,yeé utamún majsé,yeé majké,uaméu majkó,mejkésa majkó,uaméu majkó,yeé kabio,yeé pajkó majko,mami,yeé basúko,yeé basúko,yeé utamún majsé,yeé basúko,mejkésa majkó,yeé utamún majsé,yeé basúko,mejkésa majké,uaméu majké,yeé pajkó majké,yeé mami,yeé basúke,yeé mamió,yeé basúke,yeé pajkó majké,uaméu majkó,uaméu majkó,yeé pajkó majko,nijiá,mejkésa majké,uaméu majkó,mejkésa majkó,yeé pajkó majké,uaméu majké,numió-ká,mejkésa majkó,yeé basúke,yeé basúko,yeé basúko,yeé basúko,mejkésa majké,yeé kabio,yeé kabi,yeé majko,mengó,yeé pajko páume,mengó,mengó,yeé pajkó,mengó,yeé uaméu,yeé pajké mami,yeé pajké mami,yeé pajké mami,mengó,yeé pajké,yeé pajko páume,yeé uaméu,yeé uaméu,yeé pajké mami,yeé pajké,mengó,yeé pajkó,yeé pajko páume,yeé uaméu,yeé pajko páume,yeé pajko páume,yeé uaméu,yeé pajko páume,yeé uaméu
7,0.6726235651258717,1.5971301137776701,0.9245065486517984,mejkésa majké,yeé pajkó majké,yeé utamún majsé,yeé pajkó majko,yeé kabio,yeé pajkó majké,numió-ká,mejkésa majkó,yeé pajkó majké,yeé pajkó majko,yeé basúke,yeé mami,mami,yeé mamió,yeé basúko,mejkésa majkó,yeé utamún majsé,yeé kabio,yeé basúko,nijiá,uaméu majké,yeé basúko,yeé utamún majsé,mejkésa majkó,uaméu majkó,yeé basúko,nijiá,yeé kabi,yeé basúko,uaméu majkó,yeé basúko,uaméu majké,yeé basúko,mejkésa majké,mamió,yeé pajkó majko,uaméu majké,yeé kabi,mejkésa majké,uaméu majké,uaméu majkó,mamió,mejkésa majkó,yeé basúke,yeé basúke,yeé majko,mejkésa majké,yeé mamió,yeé basúke,yeé utamún majsé,yeé basúko,uaméu majkó,yeé basúko,yeé majké,yeé basúko,yeé mami,yeé utamún majsé,yeé majko,yeé basúke,yeé pajkó majké,mejkésa majkó,uaméu majké,uaméu majkó,mami,yeé pajkó majko,mejkésa majké,yeé pajko páume,mengó,yeé pajko páume,mengó,yeé pajko páume,mengó,yeé pajké mami,yeé pajko páume,yeé pajko páume,yeé uaméu,yeé pajké,mengó,yeé pajké mami,yeé uaméu,yeé uaméu,mengó,mengó,yeé pajkó,yeé uaméu,yeé uaméu,yeé pajké mami,yeé pajké,yeé pajkó,yeé pajko páume,yeé uaméu,yeé pajké mami
8,0.5782478388665722,1.6673120043584189,1.0890641654918467,mejkésa majkó,mejkésa majkó,yeé pajkó majko,uaméu majkó,yeé basúko,mejkésa majkó,yeé pajkó majké,yeé basúko,yeé basúke,yeé kabi,yeé basúko,uaméu majké,yeé utamún majsé,yeé basúke,mami,yeé pajkó majké,yeé majké,numió-ká,yeé basúke,yeé pajkó majko,yeé basúko,nijiá,yeé utamún majsé,yeé basúke,yeé basúko,yeé kabio,uaméu majkó,uaméu majké,mamió,yeé basúko,nijiá,mejkésa majké,yeé pajkó majko,mejkésa majké,uaméu majké,yeé basúko,yeé basúko,yeé basúke,yeé pajkó majké,uaméu majké,yeé utamún majsé,yeé majko,mejkésa majké,yeé mami,mamió,yeé mamió,yeé utamún majsé,uaméu majkó,yeé kabio,yeé pajkó majko,yeé mami,yeé basúko,uaméu majké,yeé utamún majsé,yeé pajkó majké,mejkésa majké,yeé kabi,uaméu majkó,yeé mamió,yeé basúko,yeé majko,mejkésa majké,mejkésa majkó,uaméu majkó,mami,mejkésa majkó,mengó,yeé pajkó,yeé pajké mami,yeé uaméu,yeé pajké,yeé pajkó,yeé uaméu,yeé pajké mami,yeé uaméu,yeé pajké mami,mengó,yeé uaméu,mengó,yeé uaméu,yeé pajké,mengó,yeé pajko páume,yeé pajko páume,mengó,yeé pajko páume,yeé pajko páume,mengó,yeé uaméu,yeé pajko páume,yeé pajké mami,yeé pajko páume
9,0.6176882354137869,1.686116249539868,1.0684280141260811,yeé kabi,yeé utamún majsé,yeé pajkó majké,yeé basúko,yeé basúke,yeé basúko,mejkésa majké,uaméu majké,yeé kabio,yeé kabi,numió-ká,yeé basúko,yeé basúko,yeé mami,yeé basúke,uaméu majkó,mamió,uaméu majké,mami,nijiá,yeé basúko,yeé basúko,mejkésa majké,yeé mamió,yeé basúke,yeé pajkó majko,mejkésa majkó,mejkésa majké,yeé basúke,yeé utamún majsé,yeé pajkó majké,uaméu majké,mejkésa majkó,yeé pajkó majko,uaméu majkó,nijiá,yeé pajkó majké,mejkésa majkó,yeé basúko,yeé basúko,mami,mejkésa majké,yeé mami,mamió,yeé utamún majsé,yeé basúko,yeé pajkó majko,yeé kabio,uaméu majkó,yeé majko,mejkésa majké,uaméu majké,mejkésa majkó,yeé utamún majsé,uaméu majkó,yeé majké,yeé basúko,yeé pajkó majké,yeé majko,mejkésa majkó,yeé utamún majsé,yeé pajkó majko,yeé basúke,uaméu majkó,yeé mamió,uaméu majké,yeé pajko páume,yeé pajké,mengó,yeé uaméu,yeé uaméu,yeé pajké mami,yeé pajké mami,mengó,mengó,mengó,yeé uaméu,mengó,yeé pajko páume,yeé uaméu,yeé pajké mami,mengó,yeé uaméu,yeé pajko páume,yeé pajké,yeé pajko páume,yeé pajko páume,yeé pajkó,yeé pajko páume,yeé uaméu,yeé pajkó,yeé pajké mami
