simulation_number,mutual_information,entropy,conditional_entropy,meZ,feZ,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,meB,myZ,feB,fyZ,mMZS,mMeZS,mMyZS,mMZeS,mMZyS,fMZS,fMeZS,fMyZS,fMZyS,myB,fyB,mF,mM,mFB,mFZ,mFyB,mFeB,mFeZ,mFyZ,fF,fM,fFB,fFZ,fFyB,fFeB,fFeZ,fFyZ,mMB,mMZ,mMeZ,mMyZ,mMeB,mMyB,fMB,fMZ,fMeZ,fMyZ,fMeB,fMyB
0,0.436964720457673,1.8294783717061773,1.3925136512485043,baṛa bhai,mameri bahan,caceri bahan,cacera bhai,cacera bhai,cacera bhai,phuphera bhai,phuphera bhai,bhāī,cacera bhai,phuphera bhai,mɔsera bhai,mɔsera bhai,phupheri bahan,phupheri bahan,mamera bhai,phuphera bhai,cacera bhai,mɔsera bhai,mameri bahan,phuphera bhai,mamera bhai,phuphera bhai,mamera bhai,mɔseri bahan,caceri bahan,phupheri bahan,choṭā bhāī,phupheri bahan,mameri bahan,bahan,mɔsera bhai,mameri bahan,mɔsera bhai,mɔseri bahan,mɔseri bahan,cacera bhai,choṭī bhan,phuphera bhai,cacera bhai,phuphera bhai,mamera bhai,caceri bahan,mɔseri bahan,phupheri bahan,mɔseri bahan,mɔseri bahan,dīdī,mamera bhai,phuphera bhai,baṛa bhai,phupheri bahan,choṭā bhāī,caceri bahan,mamera bhai,mɔseri bahan,caceri bahan,mamera bhai,caceri bahan,caceri bahan,mameri bahan,mɔsera bhai,cacera bhai,phuphera bhai,mɔsera bhai,mameri bahan,phupheri bahan,mameri bahan,mɔseri bahan,caceri bahan,mamera bhai,phupheri bahan,mɔseri bahan,mɔseri bahan,mameri bahan,phupheri bahan,choṭī bhan,bahan,cacera bhai,cacera bhai,dīdī,mamera bhai,mɔsera bhai,phupheri bahan,mamera bhai,mameri bahan,mameri bahan,caceri bahan,mɔsera bhai,bhāī,tāū,mātā,bāp,mausī,buā,cācā,cācā,māmā,buā,mausī,māmā,mātā,māmā,māmā,buā,mausī,mausī,mausī,bāp,māmā,tāū,tāū,māmā,mausī,buā,buā,tāū,buā
1,0.36044188943550814,1.8537340511487155,1.4932921617132073,phupheri bahan,mameri bahan,mamera bhai,mamera bhai,cacera bhai,phuphera bhai,mɔsera bhai,caceri bahan,bahan,mameri bahan,choṭā bhāī,mɔsera bhai,phuphera bhai,phuphera bhai,mɔseri bahan,mɔseri bahan,mameri bahan,mɔseri bahan,cacera bhai,mamera bhai,mɔsera bhai,mamera bhai,caceri bahan,caceri bahan,mɔsera bhai,mamera bhai,phupheri bahan,mɔseri bahan,caceri bahan,choṭā bhāī,phuphera bhai,phuphera bhai,cacera bhai,mɔsera bhai,mameri bahan,mɔseri bahan,phuphera bhai,cacera bhai,cacera bhai,dīdī,mameri bahan,cacera bhai,mamera bhai,mɔseri bahan,mɔseri bahan,phuphera bhai,mamera bhai,phupheri bahan,choṭī bhan,mamera bhai,phuphera bhai,phupheri bahan,caceri bahan,phupheri bahan,cacera bhai,baṛa bhai,mɔsera bhai,caceri bahan,mameri bahan,mɔseri bahan,mameri bahan,phupheri bahan,bhāī,mameri bahan,phuphera bhai,caceri bahan,mamera bhai,phupheri bahan,mameri bahan,caceri bahan,phuphera bhai,phupheri bahan,mɔsera bhai,choṭī bhan,bahan,mɔseri bahan,dīdī,mɔseri bahan,mɔsera bhai,mamera bhai,mameri bahan,phupheri bahan,mɔsera bhai,cacera bhai,phupheri bahan,bhāī,cacera bhai,caceri bahan,baṛa bhai,cacera bhai,tāū,māmā,buā,bāp,māmā,buā,mausī,mausī,māmā,buā,cācā,tāū,māmā,mausī,mausī,mātā,mausī,buā,māmā,mausī,bāp,tāū,cācā,tāū,buā,buā,mātā,māmā
2,0.4358493713019833,1.8562729454198126,1.4204235741178293,dīdī,mamera bhai,mamera bhai,phuphera bhai,choṭī bhan,caceri bahan,bahan,phuphera bhai,phupheri bahan,phupheri bahan,mamera bhai,caceri bahan,phuphera bhai,cacera bhai,mamera bhai,baṛa bhai,phupheri bahan,cacera bhai,mɔseri bahan,phuphera bhai,mamera bhai,bhāī,choṭā bhāī,bahan,phupheri bahan,mameri bahan,phupheri bahan,mɔseri bahan,mameri bahan,mɔseri bahan,phupheri bahan,bhāī,mɔsera bhai,caceri bahan,mameri bahan,phuphera bhai,choṭā bhāī,cacera bhai,phuphera bhai,mameri bahan,baṛa bhai,mɔsera bhai,mɔsera bhai,mɔseri bahan,mamera bhai,mɔsera bhai,mamera bhai,cacera bhai,cacera bhai,cacera bhai,caceri bahan,phupheri bahan,mɔsera bhai,mɔseri bahan,phupheri bahan,choṭī bhan,cacera bhai,mɔseri bahan,mɔsera bhai,mamera bhai,mɔseri bahan,mɔseri bahan,cacera bhai,phuphera bhai,mɔsera bhai,mameri bahan,dīdī,cacera bhai,mameri bahan,phupheri bahan,caceri bahan,caceri bahan,mɔseri bahan,phuphera bhai,mamera bhai,caceri bahan,phupheri bahan,phuphera bhai,mameri bahan,mamera bhai,caceri bahan,caceri bahan,mameri bahan,mɔsera bhai,mameri bahan,mɔseri bahan,mɔsera bhai,phuphera bhai,cacera bhai,mameri bahan,mausī,mātā,māmā,mausī,mausī,māmā,buā,tāū,buā,cācā,māmā,mātā,mausī,tāū,māmā,buā,cācā,mausī,buā,mausī,bāp,māmā,tāū,tāū,māmā,buā,buā,bāp
3,0.41428987811503126,1.7518556405035788,1.3375657623885475,choṭī bhan,mameri bahan,caceri bahan,phuphera bhai,mameri bahan,bhāī,phuphera bhai,phupheri bahan,mamera bhai,mɔseri bahan,mamera bhai,caceri bahan,caceri bahan,baṛa bhai,mɔseri bahan,phupheri bahan,bahan,caceri bahan,cacera bhai,mamera bhai,cacera bhai,mameri bahan,mɔsera bhai,mɔsera bhai,mɔseri bahan,phuphera bhai,phupheri bahan,mamera bhai,phuphera bhai,mɔseri bahan,cacera bhai,mɔsera bhai,baṛa bhai,dīdī,bhāī,choṭā bhāī,mɔsera bhai,mɔseri bahan,cacera bhai,mameri bahan,mameri bahan,phupheri bahan,mɔseri bahan,phuphera bhai,choṭā bhāī,mɔseri bahan,cacera bhai,mɔseri bahan,mameri bahan,phuphera bhai,phuphera bhai,caceri bahan,cacera bhai,phuphera bhai,mamera bhai,cacera bhai,mɔsera bhai,mɔsera bhai,mameri bahan,cacera bhai,phupheri bahan,mamera bhai,mɔsera bhai,mamera bhai,mameri bahan,phupheri bahan,mamera bhai,caceri bahan,phupheri bahan,phupheri bahan,caceri bahan,mamera bhai,mameri bahan,phuphera bhai,phupheri bahan,dīdī,mɔseri bahan,mɔsera bhai,mɔsera bhai,mamera bhai,caceri bahan,mameri bahan,mɔseri bahan,caceri bahan,phupheri bahan,phuphera bhai,cacera bhai,bahan,cacera bhai,choṭī bhan,mātā,mausī,māmā,māmā,tāū,bāp,bāp,tāū,mausī,buā,mausī,māmā,tāū,māmā,māmā,mātā,buā,mausī,buā,cācā,māmā,mausī,buā,mausī,cācā,buā,buā,tāū
4,0.42590903758118026,1.8494317791627324,1.4235227415815521,mɔsera bhai,mameri bahan,phupheri bahan,phupheri bahan,caceri bahan,cacera bhai,mɔsera bhai,mɔseri bahan,phuphera bhai,phuphera bhai,mɔseri bahan,mɔseri bahan,bhāī,caceri bahan,mamera bhai,phuphera bhai,cacera bhai,mamera bhai,mameri bahan,bahan,phupheri bahan,cacera bhai,choṭī bhan,cacera bhai,mɔseri bahan,mɔseri bahan,mɔseri bahan,mamera bhai,mɔsera bhai,caceri bahan,phuphera bhai,mɔsera bhai,cacera bhai,mɔsera bhai,caceri bahan,phupheri bahan,phuphera bhai,mamera bhai,phupheri bahan,mɔseri bahan,phupheri bahan,baṛa bhai,phupheri bahan,mameri bahan,mameri bahan,cacera bhai,mɔsera bhai,mɔseri bahan,choṭī bhan,caceri bahan,caceri bahan,caceri bahan,mameri bahan,cacera bhai,mɔsera bhai,dīdī,cacera bhai,caceri bahan,mɔseri bahan,mamera bhai,caceri bahan,mameri bahan,mameri bahan,mɔsera bhai,choṭā bhāī,dīdī,mamera bhai,baṛa bhai,mamera bhai,mɔsera bhai,bhāī,mamera bhai,phuphera bhai,phupheri bahan,phupheri bahan,phuphera bhai,phupheri bahan,choṭā bhāī,mameri bahan,mɔseri bahan,phuphera bhai,mamera bhai,phuphera bhai,cacera bhai,cacera bhai,phuphera bhai,mamera bhai,mameri bahan,bahan,mameri bahan,tāū,buā,cācā,mātā,bāp,mātā,mausī,māmā,mausī,māmā,bāp,mausī,māmā,tāū,tāū,cācā,mausī,mausī,buā,māmā,mausī,māmā,tāū,buā,buā,buā,buā,māmā
5,0.5227759212030463,1.8246477897520934,1.3018718685490471,phuphera bhai,mamera bhai,baṛa bhai,phuphera bhai,caceri bahan,dīdī,caceri bahan,cacera bhai,phupheri bahan,mamera bhai,mameri bahan,mɔsera bhai,caceri bahan,cacera bhai,mamera bhai,phupheri bahan,mameri bahan,phupheri bahan,mameri bahan,phupheri bahan,bhāī,bhāī,mɔseri bahan,mɔsera bhai,bahan,phuphera bhai,mɔsera bhai,mɔseri bahan,mamera bhai,mameri bahan,caceri bahan,choṭī bhan,mameri bahan,caceri bahan,mɔsera bhai,mɔsera bhai,mameri bahan,phuphera bhai,mɔsera bhai,caceri bahan,caceri bahan,phuphera bhai,mamera bhai,mamera bhai,baṛa bhai,phuphera bhai,mameri bahan,cacera bhai,mɔseri bahan,bahan,mɔseri bahan,mɔsera bhai,phupheri bahan,cacera bhai,phupheri bahan,phuphera bhai,mamera bhai,phupheri bahan,choṭā bhāī,mɔseri bahan,mɔseri bahan,mɔseri bahan,cacera bhai,caceri bahan,phupheri bahan,mɔsera bhai,mameri bahan,mɔseri bahan,mamera bhai,dīdī,mameri bahan,phupheri bahan,cacera bhai,phuphera bhai,caceri bahan,mɔsera bhai,cacera bhai,phuphera bhai,phuphera bhai,mɔseri bahan,mameri bahan,cacera bhai,mamera bhai,mamera bhai,choṭā bhāī,mɔseri bahan,cacera bhai,phupheri bahan,cacera bhai,choṭī bhan,bāp,māmā,mausī,tāū,mātā,bāp,buā,buā,māmā,mausī,tāū,mātā,mausī,buā,buā,tāū,mausī,mausī,māmā,māmā,māmā,cācā,buā,mausī,cācā,buā,tāū,māmā
6,0.5038465968286558,1.8284453745529754,1.3245987777243196,phuphera bhai,cacera bhai,caceri bahan,mɔsera bhai,mamera bhai,phupheri bahan,mɔseri bahan,dīdī,mamera bhai,mɔseri bahan,mɔseri bahan,caceri bahan,cacera bhai,mɔseri bahan,mɔsera bhai,mamera bhai,phupheri bahan,caceri bahan,mɔsera bhai,caceri bahan,mameri bahan,mɔseri bahan,dīdī,phuphera bhai,phupheri bahan,mameri bahan,mamera bhai,mɔseri bahan,cacera bhai,caceri bahan,mameri bahan,mɔsera bhai,cacera bhai,mamera bhai,choṭī bhan,mamera bhai,choṭī bhan,cacera bhai,mɔseri bahan,mɔseri bahan,phuphera bhai,bahan,baṛa bhai,mamera bhai,phuphera bhai,cacera bhai,mameri bahan,choṭā bhāī,mameri bahan,mɔsera bhai,phuphera bhai,phuphera bhai,choṭā bhāī,phuphera bhai,caceri bahan,phupheri bahan,bhāī,phupheri bahan,cacera bhai,mamera bhai,caceri bahan,bhāī,mɔseri bahan,mɔsera bhai,mameri bahan,phuphera bhai,mamera bhai,bahan,phupheri bahan,caceri bahan,baṛa bhai,mameri bahan,phupheri bahan,phuphera bhai,mɔseri bahan,cacera bhai,phupheri bahan,phupheri bahan,cacera bhai,mameri bahan,phupheri bahan,mɔsera bhai,phuphera bhai,mameri bahan,mamera bhai,mɔsera bhai,cacera bhai,caceri bahan,mameri bahan,mɔsera bhai,mausī,māmā,tāū,tāū,māmā,mausī,tāū,mausī,mausī,māmā,mausī,bāp,mātā,buā,bāp,mātā,cācā,buā,buā,māmā,mausī,māmā,cācā,tāū,māmā,buā,buā,buā
7,0.4151773219479997,1.8249782559820613,1.4098009340340616,phupheri bahan,mɔseri bahan,mameri bahan,mɔsera bhai,caceri bahan,phupheri bahan,mɔsera bhai,mɔseri bahan,mamera bhai,mɔseri bahan,mamera bhai,caceri bahan,caceri bahan,cacera bhai,phuphera bhai,phuphera bhai,cacera bhai,mameri bahan,mɔsera bhai,bhāī,mɔseri bahan,mɔseri bahan,mɔseri bahan,phupheri bahan,phuphera bhai,baṛa bhai,cacera bhai,mɔsera bhai,cacera bhai,choṭī bhan,choṭā bhāī,mameri bahan,phuphera bhai,bahan,mɔseri bahan,phuphera bhai,cacera bhai,mameri bahan,mɔseri bahan,mameri bahan,cacera bhai,cacera bhai,phupheri bahan,phuphera bhai,caceri bahan,mameri bahan,bahan,phupheri bahan,mɔseri bahan,mamera bhai,mamera bhai,phuphera bhai,phupheri bahan,cacera bhai,dīdī,caceri bahan,mamera bhai,mameri bahan,mameri bahan,mɔsera bhai,caceri bahan,choṭī bhan,mɔsera bhai,cacera bhai,phuphera bhai,mamera bhai,phupheri bahan,mameri bahan,mameri bahan,phuphera bhai,mɔsera bhai,choṭā bhāī,caceri bahan,mɔsera bhai,mamera bhai,phupheri bahan,phupheri bahan,cacera bhai,phupheri bahan,mɔseri bahan,mɔsera bhai,dīdī,caceri bahan,mamera bhai,phuphera bhai,mamera bhai,baṛa bhai,bhāī,mamera bhai,caceri bahan,māmā,māmā,mausī,mātā,tāū,buā,buā,māmā,tāū,buā,cācā,mausī,mausī,mātā,tāū,māmā,buā,buā,buā,bāp,mausī,bāp,mausī,tāū,cācā,māmā,mausī,māmā
8,0.4482622519395614,1.804735880274536,1.3564736283349745,mamera bhai,bhāī,mɔsera bhai,mɔseri bahan,caceri bahan,phupheri bahan,caceri bahan,mɔsera bhai,mamera bhai,phuphera bhai,choṭī bhan,mɔsera bhai,mamera bhai,cacera bhai,phupheri bahan,mameri bahan,mameri bahan,cacera bhai,mamera bhai,mɔseri bahan,phupheri bahan,mamera bhai,mamera bhai,phuphera bhai,phupheri bahan,caceri bahan,mɔseri bahan,mɔseri bahan,mɔseri bahan,cacera bhai,baṛa bhai,mɔsera bhai,caceri bahan,mɔsera bhai,mameri bahan,phupheri bahan,choṭā bhāī,mɔsera bhai,bahan,mɔseri bahan,mameri bahan,mameri bahan,cacera bhai,phuphera bhai,caceri bahan,cacera bhai,bhāī,mameri bahan,mameri bahan,phupheri bahan,phupheri bahan,caceri bahan,mɔsera bhai,mɔseri bahan,mameri bahan,bahan,dīdī,mɔseri bahan,mameri bahan,choṭī bhan,phuphera bhai,caceri bahan,mameri bahan,cacera bhai,phupheri bahan,mɔsera bhai,mɔseri bahan,choṭā bhāī,mamera bhai,phuphera bhai,baṛa bhai,cacera bhai,cacera bhai,cacera bhai,phupheri bahan,phuphera bhai,mamera bhai,phuphera bhai,dīdī,caceri bahan,mamera bhai,phuphera bhai,phuphera bhai,caceri bahan,phupheri bahan,mamera bhai,phuphera bhai,mɔseri bahan,cacera bhai,mɔsera bhai,māmā,tāū,mausī,mausī,bāp,tāū,cācā,buā,māmā,mātā,mausī,tāū,māmā,tāū,mausī,buā,mātā,buā,buā,buā,cācā,bāp,māmā,māmā,mausī,buā,mausī,māmā
9,0.4209278629615849,1.7620187887172694,1.3410909257556844,mamera bhai,choṭī bhan,caceri bahan,phupheri bahan,mameri bahan,mameri bahan,mameri bahan,mɔsera bhai,phupheri bahan,phupheri bahan,mɔseri bahan,mamera bhai,choṭā bhāī,mɔseri bahan,mɔsera bhai,phuphera bhai,mɔseri bahan,cacera bhai,baṛa bhai,mamera bhai,cacera bhai,phuphera bhai,choṭī bhan,mameri bahan,baṛa bhai,mamera bhai,bahan,phuphera bhai,dīdī,cacera bhai,mameri bahan,mɔseri bahan,bahan,caceri bahan,cacera bhai,mamera bhai,mamera bhai,phupheri bahan,phuphera bhai,caceri bahan,mameri bahan,mɔseri bahan,phupheri bahan,phuphera bhai,cacera bhai,phuphera bhai,phuphera bhai,mameri bahan,phuphera bhai,mameri bahan,cacera bhai,mɔseri bahan,mɔsera bhai,cacera bhai,phuphera bhai,caceri bahan,cacera bhai,cacera bhai,mɔseri bahan,phupheri bahan,caceri bahan,caceri bahan,phupheri bahan,caceri bahan,phuphera bhai,mamera bhai,caceri bahan,phupheri bahan,bhāī,mameri bahan,mɔseri bahan,mɔsera bhai,mɔsera bhai,phupheri bahan,mamera bhai,cacera bhai,mɔseri bahan,bhāī,mɔsera bhai,mameri bahan,mɔseri bahan,phupheri bahan,mamera bhai,mɔsera bhai,mɔsera bhai,mamera bhai,mɔsera bhai,caceri bahan,choṭā bhāī,dīdī,māmā,mausī,buā,māmā,mātā,māmā,tāū,buā,tāū,māmā,tāū,māmā,buā,mausī,bāp,mausī,buā,tāū,bāp,cācā,mātā,buā,māmā,buā,mausī,cācā,mausī,mausī
