simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.36157373634686696,0.9799711820833054,0.6183974457364384,tʃuai,tʃukaka,tʃukaka,tʃuai,tʃuai,tʃuai,tʃukaka,lakiˀina,tama,lakiama,lakiama,lakiama,lakiama,lakiˀina,lakiama,lakiˀina,bae,lakiama,tama,lakiama,lakiˀina,lakiama,lakiˀina,lakiˀina,lakiˀina,lakiˀina,bae
1,0.014032215111297486,1.0789922078775833,1.0649599927662858,tʃuai,tʃukaka,tʃukaka,tʃuai,tʃukaka,tʃuai,tʃuai,lakiama,lakiama,tama,lakiˀina,bae,bae,lakiama,lakiama,lakiama,lakiama,lakiˀina,lakiama,lakiˀina,lakiˀina,lakiˀina,lakiˀina,lakiˀina,lakiama,tama,lakiˀina
2,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,tʃukaka,tʃuai,tʃuai,tʃuai,tʃukaka,tʃuai,tʃukaka,lakiama,lakiˀina,lakiama,lakiˀina,bae,lakiˀina,lakiˀina,lakiama,tama,lakiˀina,lakiama,lakiama,lakiama,lakiama,lakiˀina,bae,lakiˀina,lakiˀina,tama,lakiama
3,0.004143433819589815,0.5982695885852573,0.5941261547656674,tʃuai,tʃuai,tʃukaka,tʃukaka,tʃuai,tʃukaka,tʃuai,lakiama,lakiama,lakiama,tama,lakiˀina,lakiˀina,lakiama,lakiˀina,lakiˀina,lakiama,bae,tama,lakiama,bae,lakiama,lakiˀina,lakiˀina,lakiama,lakiˀina,lakiˀina
4,0.04439097496740241,1.0346012329101812,0.9902102579427788,tʃukaka,tʃuai,tʃukaka,tʃukaka,tʃuai,tʃuai,tʃuai,lakiama,tama,lakiˀina,lakiama,lakiama,lakiˀina,tama,lakiama,lakiama,lakiˀina,lakiˀina,lakiˀina,bae,lakiˀina,lakiama,lakiˀina,lakiama,lakiama,lakiˀina,bae
5,0.014032215111297486,1.376055285260417,1.3620230701491196,tʃukaka,tʃuai,tʃukaka,tʃuai,tʃuai,tʃukaka,tʃuai,bae,lakiama,tama,lakiˀina,bae,lakiˀina,lakiama,lakiama,lakiama,lakiˀina,lakiˀina,lakiama,lakiama,lakiˀina,lakiˀina,tama,lakiˀina,lakiˀina,lakiama,lakiama
6,0.0443909749674023,1.0346012329101812,0.990210257942779,tʃukaka,tʃukaka,tʃuai,tʃuai,tʃukaka,tʃuai,tʃuai,lakiˀina,lakiama,tama,lakiˀina,lakiama,lakiˀina,lakiama,bae,tama,lakiˀina,lakiama,lakiama,lakiˀina,lakiama,lakiˀina,lakiama,bae,lakiˀina,lakiˀina,lakiama
7,0.005147809834208705,0.5195798391305154,0.5144320292963067,tʃuai,tʃuai,tʃukaka,tʃuai,tʃukaka,tʃuai,tʃukaka,lakiama,lakiˀina,lakiˀina,lakiˀina,lakiˀina,lakiˀina,lakiama,lakiama,lakiˀina,bae,lakiama,lakiˀina,lakiama,lakiama,lakiˀina,lakiama,tama,lakiama,tama,bae
8,0.005147809834208705,0.5195798391305154,0.5144320292963067,tʃuai,tʃukaka,tʃuai,tʃukaka,tʃuai,tʃukaka,tʃuai,bae,lakiama,lakiama,lakiama,lakiama,lakiˀina,lakiama,lakiˀina,lakiˀina,lakiˀina,lakiama,lakiˀina,tama,lakiˀina,lakiama,lakiama,tama,lakiˀina,lakiˀina,bae
9,0.014032215111297486,0.9799711820833054,0.9659389669720079,tʃukaka,tʃukaka,tʃuai,tʃuai,tʃuai,tʃuai,tʃukaka,tama,lakiama,lakiˀina,lakiˀina,lakiama,lakiama,lakiˀina,tama,lakiama,lakiˀina,lakiama,lakiˀina,lakiˀina,bae,lakiˀina,bae,lakiˀina,lakiama,lakiama,lakiama
