simulation_number,mutual_information,entropy,conditional_entropy,mFBeS,fFBeS,meB,feB,mFZeS,mFZyS,mMBeS,mMByS,fMZyS,myB,fyB,myZ,fyZ,fFByS,fFByD,mMZyD,fMZyD,fFZeS,fFZyS,mFZeD,mFZyD,fMBeS,mMBeD,mMByD,fMByS,meZ,feZ,fFBeD,fMZeD,mMZeS,mMZyS,mFByS,mFBeD,mFByD,mMZeD,fMBeD,fMByD,fFZeD,fFZyD,fF,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB,mMeZ,mMyZ,fMeZ,fMyZ,mFeB,mFyB,fFeB,fFyB,mM,fM
0,0.087208023960758,0.6365141682948128,0.5493061443340548,n'-do-wa-mǎʼ,n'-do-wa-mǎʼ,ne-ne-moo-shǎʼ,n'-do-wa-mǎʼ,ne-täʼ-wis,ne-she-mǎʼ,ne-mis-sǎʼ,n'-dän̤-gwush-ǎʼ,ne-she-mäʼ,ne-täʼ-wis,ne-mis-sǎʼ,ne-mis-sǎʼ,ne-ne-moo-shǎ,nis-si-yǎʼ,ne-käʼ-nis,n'-dän̤-gwush-ǎʼ,ne-ne-moo-shǎʼ,ne-she-mǎʼ,ne-kǎ-nisʼ,ne-ne-moo-shǎʼ,ne-she-mǎʼ,ne-mis-sǎʼ,ne-täʼ-wis,ne-she-mǎʼ,ne-she-mǎʼ,nis-si-yǎʼ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,ne-käʼ-nis,ne-she-mǎʼ,ne-ne-moo-shǎʼ,n'-dan̤-gwush-ǎʼ,nis-siʼ-yǎ,ne-she-mǎʼ,nis-siʼ-yǎ,ne-täʼ-wis,ne-she-mǎʼ,n'-dan̤-gwush-ǎʼ,ne-ne-moo-shǎʼ,ne-mish-shoʼ-mǎ,ne-gä-shaʼ,ne-zhishʼ-shǎ,ne-zhishʼ-shǎ,nis-zee-gǔssʼ,nis-zee-gǔssʼ,ne-mish-shoʼ-mǎ,nis-zee-gǔssʼ,ne-mish-shoʼ-mǎ,ne-zhishʼ-shǎ,nis-zee-gǔssʼ,ne-zhishʼ-shǎ,ne-noʼ-shǎ,ne-noʼ-shǎ,ne-noʼ-shǎ,ne-gä-shaʼ,ne-noʼ-shǎ,ne-mish-shoʼ-mǎ,noss
1,0.24633656603446097,1.0986122886681096,0.8522757226336486,ne-mis-sǎʼ,n'-dan̤-gwush-ǎʼ,ne-she-mǎʼ,ne-täʼ-wis,ne-täʼ-wis,n'-dan̤-gwush-ǎʼ,ne-käʼ-nis,ne-täʼ-wis,ne-mis-sǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-mis-sǎʼ,ne-she-mǎʼ,ne-mis-sǎʼ,n'-do-wa-mǎʼ,ne-täʼ-wis,nis-si-yǎʼ,ne-ne-moo-shǎʼ,ne-she-mǎʼ,n'-do-wa-mǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,nis-siʼ-yǎ,n'-do-wa-mǎʼ,ne-ne-moo-shǎʼ,n'-dän̤-gwush-ǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,nis-siʼ-yǎ,nis-si-yǎʼ,ne-kǎ-nisʼ,ne-ne-moo-shǎʼ,ne-käʼ-nis,n'-dän̤-gwush-ǎʼ,ne-ne-moo-shǎ,ne-she-mǎʼ,ne-she-mäʼ,ne-she-mǎʼ,noss,ne-noʼ-shǎ,ne-zhishʼ-shǎ,nis-zee-gǔssʼ,nis-zee-gǔssʼ,ne-gä-shaʼ,ne-mish-shoʼ-mǎ,ne-gä-shaʼ,ne-mish-shoʼ-mǎ,ne-zhishʼ-shǎ,ne-noʼ-shǎ,ne-zhishʼ-shǎ,nis-zee-gǔssʼ,ne-mish-shoʼ-mǎ,ne-zhishʼ-shǎ,nis-zee-gǔssʼ,ne-noʼ-shǎ,ne-mish-shoʼ-mǎ,ne-noʼ-shǎ
2,0.10249552980857068,0.6365141682948128,0.5340186384862421,nis-siʼ-yǎ,ne-she-mǎʼ,ne-täʼ-wis,n'-dan̤-gwush-ǎʼ,nis-siʼ-yǎ,ne-she-mǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-täʼ-wis,ne-mis-sǎʼ,ne-ne-moo-shǎʼ,ne-kǎ-nisʼ,n'-do-wa-mǎʼ,ne-täʼ-wis,ne-mis-sǎʼ,ne-täʼ-wis,n'-do-wa-mǎʼ,ne-mis-sǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,ne-käʼ-nis,ne-ne-moo-shǎ,ne-she-mäʼ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,nis-si-yǎʼ,ne-ne-moo-shǎʼ,n'-do-wa-mǎʼ,ne-käʼ-nis,n'-dän̤-gwush-ǎʼ,nis-si-yǎʼ,ne-she-mǎʼ,n'-dän̤-gwush-ǎʼ,ne-mis-sǎʼ,ne-ne-moo-shǎʼ,n'-dan̤-gwush-ǎʼ,nis-zee-gǔssʼ,ne-noʼ-shǎ,nis-zee-gǔssʼ,ne-mish-shoʼ-mǎ,ne-noʼ-shǎ,ne-zhishʼ-shǎ,nis-zee-gǔssʼ,ne-zhishʼ-shǎ,nis-zee-gǔssʼ,ne-gä-shaʼ,ne-zhishʼ-shǎ,ne-zhishʼ-shǎ,ne-mish-shoʼ-mǎ,ne-noʼ-shǎ,ne-noʼ-shǎ,noss,ne-gä-shaʼ,ne-mish-shoʼ-mǎ,ne-mish-shoʼ-mǎ
3,0.08720802396075789,0.6365141682948128,0.5493061443340549,nis-si-yǎʼ,ne-she-mǎʼ,ne-täʼ-wis,ne-ne-moo-shǎʼ,nis-siʼ-yǎ,ne-ne-moo-shǎʼ,ne-täʼ-wis,ne-täʼ-wis,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-ne-moo-shǎ,ne-she-mäʼ,ne-she-mǎʼ,n'-dän̤-gwush-ǎʼ,n'-dan̤-gwush-ǎʼ,ne-she-mǎʼ,ne-mis-sǎʼ,nis-si-yǎʼ,ne-käʼ-nis,ne-ne-moo-shǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,n'-do-wa-mǎʼ,n'-do-wa-mǎʼ,ne-kǎ-nisʼ,ne-she-mǎʼ,n'-dan̤-gwush-ǎʼ,ne-käʼ-nis,ne-ne-moo-shǎʼ,nis-siʼ-yǎ,ne-mis-sǎʼ,n'-do-wa-mǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,n'-dän̤-gwush-ǎʼ,ne-mis-sǎʼ,ne-ne-moo-shǎʼ,ne-mis-sǎʼ,ne-ne-moo-shǎʼ,ne-zhishʼ-shǎ,ne-gä-shaʼ,ne-noʼ-shǎ,ne-mish-shoʼ-mǎ,ne-mish-shoʼ-mǎ,ne-gä-shaʼ,ne-zhishʼ-shǎ,nis-zee-gǔssʼ,ne-noʼ-shǎ,ne-mish-shoʼ-mǎ,ne-noʼ-shǎ,ne-zhishʼ-shǎ,nis-zee-gǔssʼ,nis-zee-gǔssʼ,ne-noʼ-shǎ,ne-mish-shoʼ-mǎ,noss,ne-zhishʼ-shǎ,nis-zee-gǔssʼ
4,0.40546510810816416,1.0986122886681096,0.6931471805599454,ne-ne-moo-shǎʼ,nis-si-yǎʼ,ne-mis-sǎʼ,ne-she-mǎʼ,ne-she-mäʼ,ne-käʼ-nis,nis-siʼ-yǎ,n'-do-wa-mǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,nis-siʼ-yǎ,ne-she-mǎʼ,n'-dan̤-gwush-ǎʼ,n'-do-wa-mǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,ne-täʼ-wis,ne-mis-sǎʼ,ne-täʼ-wis,ne-mis-sǎʼ,n'-dän̤-gwush-ǎʼ,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-kǎ-nisʼ,ne-täʼ-wis,ne-she-mǎʼ,n'-dän̤-gwush-ǎʼ,ne-käʼ-nis,ne-ne-moo-shǎʼ,ne-ne-moo-shǎ,n'-do-wa-mǎʼ,ne-mis-sǎʼ,ne-she-mǎʼ,n'-dan̤-gwush-ǎʼ,nis-si-yǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-gä-shaʼ,nis-zee-gǔssʼ,ne-zhishʼ-shǎ,ne-mish-shoʼ-mǎ,ne-zhishʼ-shǎ,ne-noʼ-shǎ,ne-mish-shoʼ-mǎ,ne-noʼ-shǎ,ne-gä-shaʼ,ne-zhishʼ-shǎ,ne-mish-shoʼ-mǎ,nis-zee-gǔssʼ,nis-zee-gǔssʼ,nis-zee-gǔssʼ,ne-noʼ-shǎ,ne-zhishʼ-shǎ,ne-mish-shoʼ-mǎ,noss,ne-noʼ-shǎ
5,0.47738562622110947,1.0986122886681096,0.6212266624470001,ne-mis-sǎʼ,n'-dan̤-gwush-ǎʼ,n'-do-wa-mǎʼ,ne-täʼ-wis,ne-mis-sǎʼ,ne-ne-moo-shǎ,ne-ne-moo-shǎʼ,ne-käʼ-nis,ne-ne-moo-shǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,n'-do-wa-mǎʼ,nis-si-yǎʼ,ne-ne-moo-shǎʼ,n'-dän̤-gwush-ǎʼ,n'-do-wa-mǎʼ,nis-siʼ-yǎ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,n'-dän̤-gwush-ǎʼ,ne-she-mäʼ,ne-kǎ-nisʼ,ne-she-mǎʼ,nis-siʼ-yǎ,ne-käʼ-nis,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-täʼ-wis,ne-mis-sǎʼ,ne-mis-sǎʼ,ne-she-mǎʼ,n'-dan̤-gwush-ǎʼ,ne-she-mǎʼ,nis-si-yǎʼ,ne-täʼ-wis,ne-noʼ-shǎ,ne-gä-shaʼ,ne-mish-shoʼ-mǎ,ne-noʼ-shǎ,ne-zhishʼ-shǎ,ne-zhishʼ-shǎ,ne-noʼ-shǎ,ne-mish-shoʼ-mǎ,ne-noʼ-shǎ,ne-zhishʼ-shǎ,nis-zee-gǔssʼ,ne-mish-shoʼ-mǎ,ne-zhishʼ-shǎ,nis-zee-gǔssʼ,nis-zee-gǔssʼ,ne-mish-shoʼ-mǎ,ne-gä-shaʼ,noss,nis-zee-gǔssʼ
6,0.17441604792151594,0.6365141682948128,0.46209812037329684,n'-dan̤-gwush-ǎʼ,ne-mis-sǎʼ,ne-mis-sǎʼ,ne-she-mäʼ,nis-siʼ-yǎ,ne-she-mǎʼ,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-she-mǎʼ,nis-si-yǎʼ,ne-käʼ-nis,n'-do-wa-mǎʼ,ne-täʼ-wis,ne-täʼ-wis,ne-mis-sǎʼ,ne-ne-moo-shǎʼ,ne-kǎ-nisʼ,ne-ne-moo-shǎʼ,n'-do-wa-mǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,nis-si-yǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-she-mǎʼ,ne-käʼ-nis,ne-ne-moo-shǎ,ne-mis-sǎʼ,ne-ne-moo-shǎʼ,ne-täʼ-wis,n'-dän̤-gwush-ǎʼ,ne-ne-moo-shǎʼ,n'-dan̤-gwush-ǎʼ,n'-dän̤-gwush-ǎʼ,ne-she-mǎʼ,n'-do-wa-mǎʼ,nis-siʼ-yǎ,ne-mish-shoʼ-mǎ,ne-zhishʼ-shǎ,ne-noʼ-shǎ,nis-zee-gǔssʼ,ne-noʼ-shǎ,ne-zhishʼ-shǎ,ne-noʼ-shǎ,nis-zee-gǔssʼ,nis-zee-gǔssʼ,ne-noʼ-shǎ,ne-gä-shaʼ,ne-mish-shoʼ-mǎ,ne-zhishʼ-shǎ,ne-mish-shoʼ-mǎ,noss,ne-gä-shaʼ,nis-zee-gǔssʼ,ne-mish-shoʼ-mǎ,ne-zhishʼ-shǎ
7,0.4054651081081643,1.0986122886681096,0.6931471805599453,ne-she-mäʼ,n'-do-wa-mǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-käʼ-nis,ne-mis-sǎʼ,ne-she-mǎʼ,n'-dan̤-gwush-ǎʼ,nis-siʼ-yǎ,ne-she-mǎʼ,n'-dän̤-gwush-ǎʼ,ne-ne-moo-shǎ,ne-she-mǎʼ,n'-dan̤-gwush-ǎʼ,nis-si-yǎʼ,ne-she-mǎʼ,ne-mis-sǎʼ,n'-dän̤-gwush-ǎʼ,ne-käʼ-nis,ne-täʼ-wis,ne-kǎ-nisʼ,ne-täʼ-wis,n'-do-wa-mǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-mis-sǎʼ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,ne-täʼ-wis,nis-siʼ-yǎ,n'-do-wa-mǎʼ,ne-ne-moo-shǎʼ,ne-she-mǎʼ,ne-täʼ-wis,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,ne-mis-sǎʼ,nis-si-yǎʼ,nis-zee-gǔssʼ,ne-noʼ-shǎ,ne-zhishʼ-shǎ,ne-mish-shoʼ-mǎ,nis-zee-gǔssʼ,nis-zee-gǔssʼ,ne-gä-shaʼ,ne-mish-shoʼ-mǎ,ne-gä-shaʼ,ne-noʼ-shǎ,ne-mish-shoʼ-mǎ,ne-mish-shoʼ-mǎ,ne-zhishʼ-shǎ,ne-noʼ-shǎ,ne-zhishʼ-shǎ,ne-noʼ-shǎ,nis-zee-gǔssʼ,ne-zhishʼ-shǎ,noss
8,0.08143956820726184,0.6365141682948128,0.5550746000875509,n'-do-wa-mǎʼ,ne-ne-moo-shǎʼ,ne-mis-sǎʼ,ne-täʼ-wis,ne-she-mǎʼ,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-she-mǎʼ,ne-täʼ-wis,ne-täʼ-wis,ne-she-mǎʼ,ne-ne-moo-shǎʼ,n'-do-wa-mǎʼ,n'-dan̤-gwush-ǎʼ,nis-siʼ-yǎ,ne-she-mǎʼ,n'-do-wa-mǎʼ,n'-dan̤-gwush-ǎʼ,ne-käʼ-nis,ne-kǎ-nisʼ,nis-si-yǎʼ,ne-ne-moo-shǎʼ,ne-she-mäʼ,ne-mis-sǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,ne-she-mǎʼ,nis-siʼ-yǎ,n'-dän̤-gwush-ǎʼ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎ,ne-käʼ-nis,n'-dän̤-gwush-ǎʼ,ne-mis-sǎʼ,ne-she-mǎʼ,ne-mis-sǎʼ,ne-ne-moo-shǎʼ,nis-si-yǎʼ,ne-noʼ-shǎ,nis-zee-gǔssʼ,nis-zee-gǔssʼ,ne-noʼ-shǎ,ne-gä-shaʼ,ne-zhishʼ-shǎ,nis-zee-gǔssʼ,ne-zhishʼ-shǎ,nis-zee-gǔssʼ,ne-gä-shaʼ,ne-mish-shoʼ-mǎ,ne-noʼ-shǎ,ne-mish-shoʼ-mǎ,ne-mish-shoʼ-mǎ,ne-zhishʼ-shǎ,noss,ne-zhishʼ-shǎ,ne-noʼ-shǎ,ne-mish-shoʼ-mǎ
9,0.6365141682948128,1.0986122886681096,0.46209812037329684,n'-dän̤-gwush-ǎʼ,ne-ne-moo-shǎ,n'-do-wa-mǎʼ,ne-mis-sǎʼ,ne-täʼ-wis,ne-täʼ-wis,ne-kǎ-nisʼ,ne-she-mäʼ,n'-dän̤-gwush-ǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-she-mǎʼ,ne-mis-sǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-käʼ-nis,n'-dan̤-gwush-ǎʼ,ne-she-mǎʼ,nis-siʼ-yǎ,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,ne-she-mǎʼ,nis-si-yǎʼ,ne-täʼ-wis,ne-käʼ-nis,nis-si-yǎʼ,n'-do-wa-mǎʼ,ne-ne-moo-shǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-mis-sǎʼ,ne-mis-sǎʼ,ne-she-mǎʼ,n'-do-wa-mǎʼ,nis-siʼ-yǎ,n'-dan̤-gwush-ǎʼ,ne-gä-shaʼ,ne-noʼ-shǎ,ne-gä-shaʼ,nis-zee-gǔssʼ,ne-noʼ-shǎ,ne-mish-shoʼ-mǎ,ne-zhishʼ-shǎ,ne-mish-shoʼ-mǎ,nis-zee-gǔssʼ,nis-zee-gǔssʼ,ne-zhishʼ-shǎ,ne-noʼ-shǎ,nis-zee-gǔssʼ,ne-zhishʼ-shǎ,noss,ne-zhishʼ-shǎ,ne-mish-shoʼ-mǎ,ne-noʼ-shǎ,ne-mish-shoʼ-mǎ
