simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,myB,myZ,fyB,fyZ,mF,mFB,mFZ,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fF,fFB,fFZ,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,mM,mMZ,mMeZ,mMyZ,fM,fMZ,fMeZ,fMyZ
0,0.1472980752117825,1.6981950078198353,1.5508969326080528,mardi,celle,mardalu,mardalu,mardalu,celle,celle,bhagini,tammuḍu,celle,tammuḍu,mardi,mardi,celle,mardalu,celle,tammuḍu,mardalu,mardalu,mardalu,celle,tammuḍu,tammuDu,celle,celle,mardalu,tammuḍu,tammuḍu,tammuḍu,mardalu,tammuḍu,tammuḍu,celle,bhagini,mardalu,tammuḍu,mardalu,mardi,celle,tammuDu,celle,tammuḍu,tammuḍu,bhagini,mardalu,celle,tammuḍu,mardi,celle,tammuḍu,celle,mardalu,mardalu,tammuḍu,mardi,celle,mardi,mardalu,tammuḍu,mardi,mardalu,mardi,tammuḍu,mardi,mardi,mardalu,mardi,tammuḍu,celle,celle,mardi,mardi,celle,bhagini,celle,mardalu,mardi,mardi,mardi,mardi,mardalu,tammuḍu,tammuḍu,tammuḍu,tammuḍu,mardalu,mardi,celle,mardi,tammuḍu,pinni,pinni,atta,pita,māma,pinni,pinni,māma,pinni,māma,atta,māma,pita,māma,peddayya,peddayya,peddayya,atta,atta,amma,atta,peddayya,amma,māma,peddayya,atta,peddayya,pinni
1,0.12569030516277135,1.6424030435615486,1.5167127383987773,mardalu,mardi,mardalu,tammuḍu,mardalu,mardi,celle,mardi,tammuDu,celle,mardi,mardi,mardi,celle,mardi,celle,celle,bhagini,tammuḍu,mardalu,mardi,mardi,mardi,celle,tammuḍu,tammuḍu,celle,mardi,tammuḍu,mardalu,mardi,mardalu,mardi,tammuḍu,celle,mardalu,celle,tammuḍu,tammuḍu,tammuḍu,tammuḍu,mardalu,mardi,celle,bhagini,tammuḍu,tammuḍu,mardi,celle,mardalu,mardalu,celle,bhagini,celle,tammuḍu,tammuḍu,celle,tammuḍu,mardalu,tammuḍu,mardalu,celle,mardi,tammuDu,bhagini,tammuḍu,mardi,celle,mardalu,mardalu,celle,celle,mardi,tammuḍu,tammuḍu,mardi,mardalu,celle,tammuḍu,tammuḍu,mardalu,mardalu,mardalu,mardi,mardalu,tammuḍu,mardalu,tammuḍu,celle,celle,atta,peddayya,māma,māma,amma,atta,pinni,peddayya,amma,māma,atta,pinni,peddayya,atta,pita,pinni,pinni,peddayya,atta,māma,atta,māma,pita,pinni,pinni,peddayya,peddayya,māma
2,0.2177456458367557,1.6689761700878734,1.4512305242511176,mardalu,mardalu,mardalu,mardi,mardalu,mardi,celle,mardi,mardi,mardi,mardi,mardalu,mardi,mardalu,tammuḍu,tammuḍu,celle,mardalu,mardalu,tammuDu,tammuḍu,celle,mardi,mardalu,tammuḍu,tammuḍu,tammuḍu,tammuḍu,mardalu,mardi,mardalu,mardalu,tammuḍu,mardalu,mardalu,celle,celle,tammuḍu,mardalu,celle,celle,celle,mardi,mardi,celle,celle,mardi,tammuḍu,bhagini,mardalu,mardi,tammuḍu,celle,mardi,celle,bhagini,tammuḍu,celle,bhagini,mardalu,tammuḍu,celle,mardi,tammuḍu,mardi,tammuḍu,tammuḍu,mardalu,tammuḍu,mardi,celle,celle,mardi,mardalu,tammuḍu,celle,tammuḍu,mardalu,tammuḍu,tammuDu,celle,bhagini,tammuḍu,tammuḍu,celle,celle,mardi,tammuḍu,mardi,celle,māma,pinni,pinni,atta,peddayya,pinni,atta,peddayya,peddayya,amma,māma,māma,atta,amma,pinni,māma,pita,peddayya,atta,peddayya,māma,māma,peddayya,atta,atta,pinni,pinni,pita
3,0.2154176761732809,1.730621531657266,1.515203855483985,mardi,celle,tammuḍu,mardi,mardi,mardi,tammuḍu,mardi,mardalu,bhagini,tammuḍu,tammuDu,tammuḍu,mardi,celle,mardi,celle,celle,mardi,celle,mardalu,celle,tammuḍu,celle,celle,tammuDu,tammuḍu,tammuḍu,tammuḍu,mardi,mardi,tammuḍu,mardi,mardalu,mardalu,tammuḍu,celle,mardalu,mardalu,mardalu,celle,tammuḍu,mardi,mardalu,mardalu,mardalu,tammuḍu,mardi,mardalu,celle,celle,tammuḍu,mardalu,mardalu,mardalu,celle,bhagini,mardalu,mardi,mardi,mardalu,mardi,bhagini,bhagini,tammuḍu,mardalu,celle,tammuḍu,mardi,celle,tammuḍu,tammuḍu,mardi,mardalu,tammuḍu,tammuḍu,celle,tammuḍu,mardi,celle,tammuḍu,mardalu,celle,tammuḍu,tammuḍu,celle,celle,mardi,celle,mardalu,amma,pinni,atta,peddayya,pita,atta,pinni,māma,atta,atta,māma,peddayya,māma,peddayya,peddayya,māma,pinni,pinni,māma,pinni,māma,amma,pinni,atta,atta,pita,peddayya,peddayya
4,0.10919369077710983,1.6911799471184539,1.581986256341344,tammuḍu,celle,tammuḍu,celle,mardalu,mardalu,tammuḍu,celle,mardalu,tammuḍu,mardalu,celle,tammuḍu,mardi,tammuḍu,mardi,tammuDu,mardalu,mardi,mardi,tammuḍu,mardi,celle,mardi,celle,tammuḍu,mardalu,mardi,mardi,tammuḍu,tammuDu,celle,tammuḍu,mardi,mardi,celle,celle,celle,mardi,celle,bhagini,celle,mardi,celle,celle,mardalu,celle,mardalu,mardalu,celle,celle,mardalu,tammuḍu,mardalu,mardi,mardi,tammuḍu,tammuḍu,mardalu,mardalu,bhagini,tammuḍu,mardi,mardi,celle,mardi,mardalu,mardalu,tammuḍu,tammuḍu,tammuḍu,celle,celle,bhagini,tammuḍu,tammuḍu,mardalu,tammuḍu,tammuḍu,tammuḍu,mardalu,tammuḍu,mardi,mardalu,celle,mardalu,bhagini,mardi,mardalu,mardi,māma,atta,peddayya,peddayya,māma,peddayya,māma,pinni,atta,peddayya,pinni,pinni,amma,peddayya,māma,pita,māma,amma,pinni,peddayya,pinni,pita,atta,atta,atta,māma,atta,pinni
5,0.20291221315391472,1.6860978030840181,1.4831855899301034,tammuḍu,mardi,tammuḍu,mardalu,tammuḍu,mardi,celle,bhagini,mardi,celle,celle,mardalu,tammuḍu,mardi,mardi,celle,tammuḍu,tammuDu,tammuḍu,mardalu,mardi,tammuḍu,celle,bhagini,mardalu,mardi,celle,mardalu,mardi,mardi,tammuḍu,mardalu,mardi,mardalu,tammuḍu,tammuḍu,mardi,mardi,celle,celle,celle,tammuḍu,celle,celle,celle,tammuḍu,mardalu,celle,bhagini,tammuḍu,celle,mardalu,celle,mardi,mardi,mardi,mardalu,bhagini,mardalu,celle,tammuḍu,celle,mardalu,mardi,celle,mardalu,mardalu,celle,tammuDu,mardalu,mardalu,mardi,tammuḍu,mardalu,tammuḍu,mardi,tammuḍu,mardi,mardi,tammuḍu,tammuḍu,tammuḍu,tammuḍu,celle,mardalu,mardalu,tammuḍu,tammuḍu,celle,mardalu,peddayya,amma,peddayya,māma,pita,peddayya,atta,māma,atta,pinni,atta,pinni,peddayya,pinni,māma,pinni,amma,atta,pinni,māma,peddayya,māma,māma,pinni,pita,atta,atta,peddayya
6,0.17171479306182635,1.6493177827982797,1.4776029897364533,tammuḍu,celle,mardalu,celle,mardalu,bhagini,tammuḍu,celle,mardi,mardalu,celle,tammuḍu,tammuDu,mardalu,mardi,bhagini,mardalu,mardalu,mardi,mardi,tammuḍu,celle,tammuḍu,celle,tammuḍu,celle,celle,mardi,bhagini,tammuḍu,mardi,celle,mardalu,tammuḍu,celle,tammuḍu,mardi,tammuḍu,mardalu,tammuḍu,bhagini,celle,celle,tammuḍu,tammuḍu,mardi,tammuḍu,mardalu,tammuḍu,mardalu,celle,tammuḍu,mardi,celle,mardi,tammuḍu,mardalu,tammuDu,celle,mardi,mardalu,mardalu,celle,mardi,tammuḍu,mardalu,mardi,mardi,mardi,celle,celle,mardalu,mardalu,mardi,mardi,mardi,mardalu,mardi,celle,mardalu,mardalu,tammuḍu,tammuḍu,mardalu,celle,tammuḍu,celle,mardi,tammuḍu,tammuḍu,atta,atta,pinni,pinni,māma,amma,māma,atta,peddayya,atta,pinni,māma,peddayya,māma,pita,atta,peddayya,māma,pinni,pinni,peddayya,peddayya,pinni,amma,māma,atta,pita,peddayya
7,0.13889571772410436,1.6489668119781113,1.510071094254007,mardi,tammuDu,tammuḍu,mardi,celle,mardi,tammuḍu,tammuḍu,mardi,mardi,mardalu,tammuDu,mardi,celle,celle,mardalu,celle,mardi,mardalu,celle,celle,mardi,mardi,mardalu,tammuḍu,celle,mardi,tammuḍu,tammuḍu,tammuḍu,tammuḍu,mardalu,tammuḍu,tammuḍu,tammuḍu,tammuḍu,mardalu,celle,celle,celle,mardalu,mardalu,mardalu,celle,tammuḍu,mardalu,mardalu,celle,mardi,bhagini,mardalu,mardi,bhagini,mardalu,tammuḍu,tammuḍu,celle,tammuḍu,mardalu,tammuḍu,mardalu,tammuḍu,mardi,celle,mardi,mardalu,bhagini,mardalu,mardalu,mardi,tammuḍu,mardi,mardi,celle,mardi,tammuḍu,bhagini,mardi,celle,mardalu,tammuḍu,mardi,mardalu,celle,celle,tammuḍu,tammuḍu,celle,celle,celle,māma,peddayya,māma,peddayya,pinni,pita,māma,pita,peddayya,māma,pinni,atta,atta,māma,peddayya,atta,atta,amma,atta,peddayya,pinni,atta,māma,amma,pinni,pinni,peddayya,pinni
8,0.14842977782509115,1.711548709699804,1.563118931874713,mardi,tammuDu,celle,tammuḍu,mardalu,celle,mardi,celle,celle,tammuḍu,mardalu,tammuḍu,tammuḍu,mardi,mardalu,celle,celle,mardi,mardi,tammuḍu,mardi,mardi,celle,bhagini,mardalu,mardalu,mardalu,mardi,mardalu,tammuḍu,celle,tammuḍu,celle,celle,tammuḍu,mardalu,tammuḍu,mardi,bhagini,tammuḍu,mardalu,celle,mardi,tammuḍu,mardalu,mardi,celle,mardi,mardi,bhagini,mardalu,mardalu,tammuḍu,tammuḍu,mardalu,celle,mardi,tammuḍu,celle,mardi,mardi,mardi,celle,celle,celle,mardalu,mardalu,mardalu,tammuḍu,mardi,tammuḍu,tammuḍu,tammuḍu,celle,celle,celle,tammuḍu,tammuḍu,mardi,tammuḍu,mardi,mardalu,celle,tammuDu,mardalu,bhagini,tammuḍu,tammuḍu,mardalu,mardalu,peddayya,peddayya,māma,amma,pinni,māma,māma,pinni,pita,pinni,peddayya,pinni,pinni,pita,māma,atta,peddayya,atta,atta,atta,māma,atta,amma,māma,peddayya,atta,peddayya,pinni
9,0.1999396428550504,1.6606140879898261,1.4606744451347757,tammuḍu,celle,mardi,mardi,mardi,mardi,mardi,celle,tammuḍu,mardalu,mardalu,tammuḍu,mardi,mardalu,tammuḍu,tammuḍu,tammuDu,tammuḍu,mardi,tammuḍu,tammuḍu,mardalu,celle,tammuḍu,bhagini,mardi,tammuḍu,mardalu,celle,tammuḍu,celle,celle,celle,celle,mardalu,mardi,mardalu,celle,mardi,celle,mardi,tammuḍu,tammuḍu,mardi,tammuḍu,tammuḍu,mardalu,mardalu,tammuḍu,celle,celle,mardalu,mardi,mardalu,celle,mardalu,mardalu,tammuḍu,celle,mardi,celle,tammuḍu,bhagini,mardi,mardi,mardi,tammuḍu,bhagini,celle,celle,celle,mardalu,tammuḍu,bhagini,mardalu,mardalu,mardalu,celle,mardi,tammuDu,mardi,celle,tammuḍu,tammuḍu,mardalu,celle,mardalu,mardi,mardalu,tammuḍu,pinni,amma,māma,māma,māma,atta,peddayya,atta,pita,pita,pinni,peddayya,atta,atta,peddayya,amma,atta,māma,atta,māma,peddayya,peddayya,pinni,māma,pinni,pinni,peddayya,pinni
