simulation_number,mutual_information,entropy,conditional_entropy,mZ,meZ,myZ,fB,fZ,meB,myB,feB,fyB,fyZ,mF,mM,mFB,mMZ,mMeZ,mMyZ,fF,fM,fFB,fMZ,fMeZ,fMyZ,mFZ,mMB,fFZ,fMB,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB
0,0.08664339756999317,0.6931471805599453,0.6065037829899521,sau,pïnni'(a),boso,sau,pïnni'(a),waná,waná,pabí,hama,pabí,nawa,páhwa,pu',pu',páhwa,nawa,páhwa,nawa,vi^e,páhwa,vi^e,nawa,píya,nawa,nawa,pu',vi^e,vi^e,pu',nawa,nawa,vi^e,páhwa,páhwa,pu',píya,pu',vi^e
1,0.05394038858470884,0.6931471805599453,0.6392067919752364,pabí,sau,pïnni'(a),boso,sau,hama,waná,pïnni'(a),pabí,waná,pu',páhwa,vi^e,pu',páhwa,nawa,páhwa,pu',nawa,páhwa,páhwa,pu',nawa,píya,pu',nawa,píya,nawa,pu',nawa,vi^e,vi^e,nawa,vi^e,páhwa,vi^e,nawa,vi^e
2,0.16663200710585457,0.6210863745552451,0.4544543674493905,sau,pabí,boso,pïnni'(a),hama,waná,pïnni'(a),pabí,sau,waná,nawa,pu',nawa,pu',vi^e,vi^e,pu',pu',nawa,páhwa,píya,páhwa,vi^e,vi^e,nawa,vi^e,páhwa,pu',pu',nawa,píya,páhwa,páhwa,nawa,nawa,páhwa,vi^e,nawa
3,0.05394038858470884,0.6931471805599453,0.6392067919752364,pïnni'(a),waná,pabí,hama,boso,sau,waná,pïnni'(a),sau,pabí,pu',páhwa,páhwa,nawa,píya,páhwa,páhwa,pu',vi^e,páhwa,nawa,nawa,nawa,vi^e,vi^e,vi^e,nawa,píya,pu',nawa,vi^e,vi^e,páhwa,nawa,pu',nawa,pu',pu'
4,0.7482066357279752,1.3547104187179273,0.6065037829899521,pïnni'(a),pabí,sau,pïnni'(a),pabí,boso,sau,waná,waná,hama,pu',vi^e,píya,nawa,nawa,nawa,páhwa,píya,pu',vi^e,páhwa,vi^e,páhwa,pu',nawa,pu',nawa,páhwa,nawa,pu',vi^e,páhwa,vi^e,nawa,pu',vi^e,nawa,páhwa
5,0.5422168316027047,1.094780226007948,0.5525633944052433,waná,waná,sau,pabí,sau,pïnni'(a),pabí,hama,pïnni'(a),boso,nawa,vi^e,vi^e,pu',nawa,píya,pu',pu',vi^e,páhwa,vi^e,pu',páhwa,nawa,pu',vi^e,píya,páhwa,nawa,páhwa,vi^e,pu',páhwa,páhwa,nawa,nawa,nawa,nawa
6,0.13600397489703941,0.48257756517701206,0.34657359027997264,pabí,sau,pïnni'(a),boso,waná,sau,hama,pïnni'(a),pabí,waná,pu',pu',vi^e,píya,píya,nawa,nawa,pu',páhwa,vi^e,nawa,páhwa,nawa,vi^e,nawa,páhwa,pu',nawa,páhwa,páhwa,pu',pu',vi^e,vi^e,nawa,páhwa,vi^e,nawa
7,0.08664339756999317,0.6931471805599453,0.6065037829899521,boso,hama,pabí,waná,sau,waná,pïnni'(a),pabí,pïnni'(a),sau,vi^e,pu',páhwa,pu',nawa,píya,vi^e,pu',páhwa,vi^e,pu',nawa,nawa,vi^e,nawa,pu',pu',píya,nawa,nawa,nawa,nawa,vi^e,páhwa,páhwa,páhwa,vi^e,páhwa
8,0.7155036267426911,1.3547104187179275,0.6392067919752364,pïnni'(a),pabí,pïnni'(a),sau,hama,pabí,sau,waná,boso,waná,páhwa,pu',pu',vi^e,píya,vi^e,vi^e,nawa,páhwa,pu',pu',nawa,nawa,vi^e,vi^e,nawa,píya,vi^e,páhwa,páhwa,pu',páhwa,nawa,pu',nawa,nawa,nawa,páhwa
9,0.6615632381579821,0.9214934308679616,0.25993019270997947,waná,waná,sau,sau,hama,pabí,pabí,boso,pïnni'(a),pïnni'(a),nawa,nawa,nawa,vi^e,vi^e,páhwa,vi^e,pu',vi^e,nawa,páhwa,nawa,píya,pu',páhwa,pu',páhwa,vi^e,vi^e,páhwa,pu',píya,nawa,nawa,nawa,pu',páhwa,pu'
