simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,meB,meZ,fB,fZ,fyB,fyZ,feB,feZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.07951674962276334,1.036627968858607,0.9571112192358437,-éekˀ,-dlaakˀ,-kéekˀ,-kéekˀ,-éekˀ,-dlaakˀ,-dlaakˀ,-kéekˀ,-éekˀ,-kéekˀ,-dlaakˀ,-aat,-tláa,-sáni,-tláakˀʷ,-káak,-aat,-tláakˀʷ,-tláakˀʷ,-éeš,-káak,-aat,-sáni,-éeš,-aat,-tláa,-sáni,-aat,-káak,-tláakˀʷ,-káak,-tláakˀʷ,-tláakˀʷ,-káak,-sáni,-sáni,-káak,-sáni,-aat
1,0.1031291183997336,1.072043343575071,0.9689142251753373,-kéekˀ,-kéekˀ,-éekˀ,-dlaakˀ,-éekˀ,-dlaakˀ,-dlaakˀ,-dlaakˀ,-kéekˀ,-éekˀ,-kéekˀ,-tláakˀʷ,-sáni,-sáni,-káak,-aat,-tláa,-aat,-sáni,-tláakˀʷ,-sáni,-káak,-éeš,-tláakˀʷ,-sáni,-káak,-káak,-éeš,-tláa,-aat,-tláakˀʷ,-tláakˀʷ,-tláakˀʷ,-aat,-káak,-sáni,-káak,-aat,-aat
2,0.1305871243457012,0.5297061990576545,0.3991190747119533,-dlaakˀ,-kéekˀ,-kéekˀ,-kéekˀ,-éekˀ,-dlaakˀ,-kéekˀ,-éekˀ,-dlaakˀ,-dlaakˀ,-éekˀ,-aat,-aat,-sáni,-káak,-sáni,-sáni,-tláakˀʷ,-tláakˀʷ,-aat,-éeš,-sáni,-káak,-tláakˀʷ,-sáni,-tláakˀʷ,-aat,-tláakˀʷ,-tláakˀʷ,-káak,-aat,-aat,-tláa,-káak,-sáni,-tláa,-éeš,-káak,-káak
3,0.1856024443385652,1.0366279688586069,0.8510255245200417,-kéekˀ,-dlaakˀ,-dlaakˀ,-dlaakˀ,-kéekˀ,-kéekˀ,-éekˀ,-éekˀ,-dlaakˀ,-kéekˀ,-éekˀ,-tláa,-aat,-tláakˀʷ,-káak,-káak,-káak,-tláakˀʷ,-aat,-káak,-aat,-sáni,-tláakˀʷ,-sáni,-aat,-aat,-sáni,-tláakˀʷ,-sáni,-aat,-káak,-tláa,-éeš,-sáni,-tláakˀʷ,-káak,-éeš,-sáni,-tláakˀʷ
4,0.044101374906299506,0.6931471805599453,0.6490458056536458,-dlaakˀ,-dlaakˀ,-kéekˀ,-kéekˀ,-éekˀ,-dlaakˀ,-kéekˀ,-éekˀ,-dlaakˀ,-kéekˀ,-éekˀ,-aat,-tláakˀʷ,-tláakˀʷ,-aat,-káak,-káak,-éeš,-sáni,-káak,-tláa,-sáni,-éeš,-aat,-káak,-aat,-tláakˀʷ,-káak,-aat,-aat,-tláa,-sáni,-sáni,-sáni,-tláakˀʷ,-tláakˀʷ,-káak,-tláakˀʷ,-sáni
5,0.09421781203875074,0.5908422462755826,0.49662443423683184,-kéekˀ,-dlaakˀ,-kéekˀ,-dlaakˀ,-éekˀ,-dlaakˀ,-éekˀ,-éekˀ,-kéekˀ,-dlaakˀ,-kéekˀ,-aat,-káak,-sáni,-tláa,-aat,-tláakˀʷ,-tláakˀʷ,-káak,-aat,-sáni,-sáni,-tláa,-éeš,-aat,-káak,-káak,-tláakˀʷ,-éeš,-tláakˀʷ,-tláakˀʷ,-sáni,-káak,-aat,-káak,-sáni,-aat,-tláakˀʷ,-sáni
6,0.18560244433856532,1.0366279688586069,0.8510255245200415,-dlaakˀ,-éekˀ,-kéekˀ,-kéekˀ,-kéekˀ,-éekˀ,-dlaakˀ,-éekˀ,-kéekˀ,-dlaakˀ,-dlaakˀ,-sáni,-aat,-aat,-káak,-tláa,-aat,-tláakˀʷ,-sáni,-aat,-éeš,-tláakˀʷ,-éeš,-tláakˀʷ,-tláakˀʷ,-káak,-aat,-káak,-aat,-sáni,-sáni,-tláakˀʷ,-tláakˀʷ,-sáni,-káak,-sáni,-káak,-káak,-tláa
7,0.5479609033922713,1.3801087571572688,0.8321478537649974,-dlaakˀ,-éekˀ,-éekˀ,-éekˀ,-dlaakˀ,-kéekˀ,-dlaakˀ,-kéekˀ,-kéekˀ,-dlaakˀ,-kéekˀ,-tláa,-káak,-éeš,-aat,-káak,-sáni,-tláa,-tláakˀʷ,-aat,-sáni,-káak,-aat,-tláakˀʷ,-aat,-tláakˀʷ,-sáni,-sáni,-aat,-tláakˀʷ,-sáni,-aat,-sáni,-káak,-éeš,-tláakˀʷ,-káak,-káak,-tláakˀʷ
8,0.09678308500352228,1.0366279688586069,0.9398448838550846,-kéekˀ,-éekˀ,-dlaakˀ,-kéekˀ,-dlaakˀ,-éekˀ,-dlaakˀ,-kéekˀ,-kéekˀ,-dlaakˀ,-éekˀ,-tláakˀʷ,-aat,-sáni,-káak,-éeš,-tláakˀʷ,-tláakˀʷ,-káak,-káak,-aat,-sáni,-tláa,-aat,-tláa,-sáni,-aat,-sáni,-aat,-sáni,-tláakˀʷ,-káak,-éeš,-káak,-tláakˀʷ,-káak,-tláakˀʷ,-sáni,-aat
9,0.09421781203875074,0.5908422462755826,0.49662443423683184,-kéekˀ,-kéekˀ,-dlaakˀ,-éekˀ,-dlaakˀ,-éekˀ,-dlaakˀ,-dlaakˀ,-kéekˀ,-kéekˀ,-éekˀ,-aat,-sáni,-káak,-tláakˀʷ,-tláakˀʷ,-aat,-káak,-éeš,-sáni,-tláakˀʷ,-káak,-tláakˀʷ,-éeš,-tláakˀʷ,-sáni,-sáni,-aat,-káak,-káak,-sáni,-tláakˀʷ,-tláa,-aat,-sáni,-tláa,-aat,-káak,-aat
