simulation_number,mutual_information,entropy,conditional_entropy,meB,mFZS,mMBS,mMZS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,fB,feZ,fyZ,fMZS,fyB,fMeZS,fMyZS,fMZyS,mFBD,mMZD,mFBS,mFeBS,mFyBS,mFeBD,mFyBD,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMZeD,mMZyD,fFBD,fMZD,fFBS,fFeBS,fFyBS,fFeBD,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.21363905941916594,1.4720908191037365,1.2584517596845706,-éiɲi,-iké-ʔi,-íke,-éiɲi,-éiɲi,-éiɲi,-éiɲi,-íʔi,-kíwi,-kíwi,-íke,-iké-ʔi,-íke,-éiɲi,-iké-ʔi,-iké-ʔi,-kíwi,-íʔi,-íʔi,-iké-ʔi,-íʔi,-iké-ʔi,-kíwi,-éiɲi,-íke,-íʔi,-íʔi,-iké-ʔi,-íʔi,-kíwi,-iké-ʔi,-íʔi,-íke,-íʔi,-kíwi,-íʔi,-iké-ʔi,-kíwi,-iké-ʔi,-kíwi,-éiɲi,-íke,-kíwi,-éiɲi,-íke,-éiɲi,-íke,-kíwi,-pikíʔi,-íke,-iké-ʔi,-íke,-kíwi,-túti,-túti,-átse,-hí-ʔi,-túti,-u,-hí-ʔi,-hi,-átse,-túti,-átse,-túti,-túti,-túti,-hí-ʔi,-túti,-átse,-u,-átse,-túti,-hí-ʔi,-hí-ʔi,-túti,-hí-ʔi,-hi,-túti,-átse,-túti
1,0.4101622665769924,1.5495153662020553,1.139353099625063,-íʔi,-pikíʔi,-iké-ʔi,-íke,-íʔi,-íʔi,-iké-ʔi,-íʔi,-kíwi,-kíwi,-kíwi,-íke,-kíwi,-íke,-éiɲi,-íʔi,-kíwi,-íʔi,-éiɲi,-iké-ʔi,-íʔi,-íke,-íke,-iké-ʔi,-éiɲi,-íʔi,-kíwi,-íke,-kíwi,-éiɲi,-kíwi,-éiɲi,-éiɲi,-íke,-íke,-éiɲi,-iké-ʔi,-íʔi,-éiɲi,-kíwi,-iké-ʔi,-éiɲi,-iké-ʔi,-iké-ʔi,-íʔi,-íke,-kíwi,-éiɲi,-iké-ʔi,-íke,-kíwi,-iké-ʔi,-iké-ʔi,-túti,-túti,-hi,-túti,-hí-ʔi,-hí-ʔi,-u,-átse,-túti,-hí-ʔi,-átse,-átse,-átse,-hí-ʔi,-túti,-túti,-hi,-túti,-hí-ʔi,-u,-túti,-túti,-hí-ʔi,-átse,-túti,-túti,-túti,-átse
2,0.2101168382811105,1.4244427785036178,1.2143259402225073,-éiɲi,-iké-ʔi,-éiɲi,-iké-ʔi,-íke,-kíwi,-íʔi,-kíwi,-íʔi,-éiɲi,-iké-ʔi,-éiɲi,-éiɲi,-iké-ʔi,-íke,-iké-ʔi,-kíwi,-íʔi,-iké-ʔi,-íke,-íʔi,-íke,-kíwi,-íʔi,-íʔi,-íke,-iké-ʔi,-íke,-iké-ʔi,-kíwi,-íʔi,-íʔi,-éiɲi,-íʔi,-íke,-kíwi,-éiɲi,-íke,-iké-ʔi,-éiɲi,-éiɲi,-íke,-kíwi,-íke,-pikíʔi,-iké-ʔi,-kíwi,-íʔi,-kíwi,-éiɲi,-iké-ʔi,-kíwi,-kíwi,-u,-túti,-túti,-túti,-hí-ʔi,-átse,-túti,-átse,-hí-ʔi,-túti,-hí-ʔi,-hi,-hi,-hí-ʔi,-átse,-átse,-átse,-hí-ʔi,-hí-ʔi,-u,-túti,-túti,-túti,-túti,-túti,-átse,-túti,-túti
3,0.3497518808821638,1.3715915826568537,1.0218397017746899,-iké-ʔi,-iké-ʔi,-íʔi,-kíwi,-íke,-íʔi,-éiɲi,-íke,-éiɲi,-íke,-kíwi,-kíwi,-éiɲi,-íʔi,-íke,-iké-ʔi,-íke,-kíwi,-kíwi,-éiɲi,-íʔi,-íʔi,-éiɲi,-iké-ʔi,-kíwi,-éiɲi,-éiɲi,-íʔi,-íʔi,-íke,-íʔi,-kíwi,-iké-ʔi,-iké-ʔi,-íke,-éiɲi,-íʔi,-kíwi,-iké-ʔi,-pikíʔi,-éiɲi,-íke,-iké-ʔi,-íke,-éiɲi,-iké-ʔi,-íʔi,-kíwi,-iké-ʔi,-iké-ʔi,-kíwi,-kíwi,-íke,-hi,-túti,-túti,-túti,-átse,-hí-ʔi,-túti,-átse,-hí-ʔi,-átse,-hí-ʔi,-túti,-túti,-túti,-hí-ʔi,-u,-túti,-túti,-túti,-túti,-átse,-hi,-túti,-hí-ʔi,-átse,-u,-átse,-hí-ʔi
4,0.2676045008892596,1.4359643441026195,1.16835984321336,-íke,-éiɲi,-éiɲi,-éiɲi,-íʔi,-iké-ʔi,-íʔi,-kíwi,-iké-ʔi,-kíwi,-iké-ʔi,-éiɲi,-kíwi,-kíwi,-kíwi,-kíwi,-iké-ʔi,-íʔi,-íʔi,-íke,-éiɲi,-iké-ʔi,-iké-ʔi,-íke,-íʔi,-íke,-íke,-íke,-íke,-íʔi,-pikíʔi,-íke,-kíwi,-éiɲi,-íke,-kíwi,-kíwi,-iké-ʔi,-éiɲi,-iké-ʔi,-íʔi,-éiɲi,-íʔi,-éiɲi,-iké-ʔi,-iké-ʔi,-iké-ʔi,-íʔi,-éiɲi,-íʔi,-íke,-kíwi,-kíwi,-túti,-túti,-hi,-hí-ʔi,-túti,-hí-ʔi,-átse,-hí-ʔi,-túti,-túti,-u,-túti,-túti,-átse,-túti,-hí-ʔi,-hí-ʔi,-túti,-túti,-átse,-túti,-túti,-átse,-hi,-átse,-átse,-hí-ʔi,-u
5,0.39705828758111994,1.4302648144237853,1.0332065268426653,-éiɲi,-iké-ʔi,-íʔi,-íʔi,-éiɲi,-kíwi,-íke,-iké-ʔi,-iké-ʔi,-iké-ʔi,-éiɲi,-íke,-iké-ʔi,-éiɲi,-iké-ʔi,-íʔi,-iké-ʔi,-íke,-kíwi,-kíwi,-kíwi,-éiɲi,-íke,-íʔi,-iké-ʔi,-íʔi,-íke,-éiɲi,-íke,-pikíʔi,-kíwi,-íʔi,-íke,-kíwi,-kíwi,-íʔi,-kíwi,-kíwi,-íʔi,-iké-ʔi,-iké-ʔi,-íke,-kíwi,-íʔi,-iké-ʔi,-íke,-kíwi,-éiɲi,-éiɲi,-íʔi,-éiɲi,-íke,-éiɲi,-hí-ʔi,-átse,-hí-ʔi,-túti,-átse,-hi,-átse,-túti,-túti,-túti,-hi,-u,-túti,-hí-ʔi,-hí-ʔi,-túti,-túti,-túti,-túti,-túti,-u,-átse,-hí-ʔi,-hí-ʔi,-túti,-túti,-átse,-átse
6,0.1921400815535821,1.1848637874362362,0.9927237058826541,-éiɲi,-iké-ʔi,-éiɲi,-íʔi,-íke,-íʔi,-kíwi,-íke,-íʔi,-éiɲi,-íke,-iké-ʔi,-éiɲi,-kíwi,-íke,-kíwi,-éiɲi,-íke,-iké-ʔi,-íke,-kíwi,-íke,-íke,-íʔi,-kíwi,-íʔi,-kíwi,-kíwi,-íke,-iké-ʔi,-éiɲi,-pikíʔi,-iké-ʔi,-íʔi,-éiɲi,-éiɲi,-iké-ʔi,-iké-ʔi,-íʔi,-íʔi,-kíwi,-éiɲi,-iké-ʔi,-kíwi,-kíwi,-kíwi,-iké-ʔi,-éiɲi,-íʔi,-iké-ʔi,-iké-ʔi,-íʔi,-íke,-u,-hí-ʔi,-túti,-túti,-átse,-túti,-átse,-túti,-túti,-túti,-átse,-u,-átse,-túti,-túti,-hí-ʔi,-átse,-hi,-túti,-átse,-túti,-hí-ʔi,-hi,-túti,-hí-ʔi,-túti,-hí-ʔi,-hí-ʔi
7,0.1739304962681043,1.3257559716736664,1.1518254754055621,-kíwi,-íke,-kíwi,-kíwi,-kíwi,-kíwi,-íʔi,-íʔi,-íke,-éiɲi,-éiɲi,-iké-ʔi,-kíwi,-íʔi,-íʔi,-éiɲi,-iké-ʔi,-iké-ʔi,-iké-ʔi,-íke,-íke,-íke,-éiɲi,-íke,-kíwi,-íʔi,-íʔi,-íke,-iké-ʔi,-iké-ʔi,-kíwi,-kíwi,-éiɲi,-íʔi,-iké-ʔi,-kíwi,-kíwi,-iké-ʔi,-éiɲi,-íke,-iké-ʔi,-íke,-pikíʔi,-éiɲi,-íke,-íʔi,-iké-ʔi,-éiɲi,-íʔi,-éiɲi,-éiɲi,-íʔi,-iké-ʔi,-túti,-hi,-átse,-hi,-u,-hí-ʔi,-u,-túti,-túti,-átse,-átse,-átse,-túti,-túti,-túti,-hí-ʔi,-túti,-hí-ʔi,-hí-ʔi,-túti,-túti,-hí-ʔi,-túti,-átse,-túti,-túti,-hí-ʔi,-átse
8,0.18643375537636087,1.270563420292175,1.084129664915814,-íʔi,-iké-ʔi,-kíwi,-éiɲi,-iké-ʔi,-éiɲi,-iké-ʔi,-éiɲi,-kíwi,-íke,-íke,-íʔi,-éiɲi,-éiɲi,-pikíʔi,-íke,-éiɲi,-éiɲi,-kíwi,-iké-ʔi,-kíwi,-íke,-íʔi,-kíwi,-éiɲi,-iké-ʔi,-íke,-kíwi,-kíwi,-kíwi,-íʔi,-íke,-íʔi,-íʔi,-íʔi,-iké-ʔi,-íʔi,-íke,-éiɲi,-iké-ʔi,-íʔi,-íʔi,-kíwi,-íke,-iké-ʔi,-iké-ʔi,-iké-ʔi,-kíwi,-iké-ʔi,-kíwi,-íke,-éiɲi,-íke,-túti,-u,-túti,-hí-ʔi,-átse,-túti,-túti,-túti,-átse,-átse,-átse,-túti,-hí-ʔi,-túti,-u,-túti,-túti,-hí-ʔi,-túti,-hi,-túti,-átse,-hí-ʔi,-átse,-hi,-hí-ʔi,-hí-ʔi,-túti
9,0.2112447095599015,1.4620316625956846,1.2507869530357831,-éiɲi,-íʔi,-éiɲi,-íʔi,-íʔi,-éiɲi,-éiɲi,-íʔi,-íʔi,-íʔi,-iké-ʔi,-éiɲi,-íke,-kíwi,-iké-ʔi,-kíwi,-íke,-íke,-íke,-kíwi,-kíwi,-íke,-kíwi,-íke,-éiɲi,-iké-ʔi,-iké-ʔi,-kíwi,-iké-ʔi,-kíwi,-éiɲi,-kíwi,-íke,-kíwi,-íke,-iké-ʔi,-éiɲi,-iké-ʔi,-íke,-iké-ʔi,-iké-ʔi,-kíwi,-íʔi,-pikíʔi,-íʔi,-iké-ʔi,-éiɲi,-kíwi,-iké-ʔi,-éiɲi,-íʔi,-íke,-íʔi,-átse,-u,-átse,-túti,-túti,-túti,-hí-ʔi,-átse,-átse,-túti,-u,-túti,-túti,-túti,-hi,-átse,-hí-ʔi,-túti,-túti,-hí-ʔi,-átse,-hí-ʔi,-hí-ʔi,-túti,-hi,-túti,-túti,-hí-ʔi
