simulation_number,mutual_information,entropy,conditional_entropy,fB,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mFeB,mFyB,mMeZ,mMyZ,fFeB,fFyB,fMeZ,fMyZ,mFZ,mFeZ,mFyZ,fFZ,fFeZ,fFyZ,mF,mM,mFB,mMB,mMZ,mMeB,mMyB,fF,fM,fFB,fMB,fMZ,fMeB,fMyB
0,0.17052565288977273,2.0190851076606275,1.8485594547708548,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mulêki,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi yakala,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,múkomba,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi nkento,yâya,kísoni,kísoni,mpangi,maama,tata,tata,ngwaasi,tata,mâma,ngudi mbuta,ngwaasi,ngudi mbuta,mâma,ngudi nleke,tata,ngudi nleke,taata,ngwaasi,tata,taata,taata,ngwaasi,tata mbuta,taata,ngwaasi,tata nleke,ngwaasi,tata nleke,tata mbuta,tata,maama
1,0.15637306784892946,2.0868772444014394,1.93050417655251,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi nkento,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mulêki,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,múkomba,mpangi,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,mpangi yakala,maama,tata mbuta,tata,tata,ngwaasi,ngwaasi,mâma,ngwaasi,ngwaasi,tata nleke,taata,ngudi mbuta,taata,ngwaasi,mâma,tata nleke,tata,ngwaasi,taata,taata,ngudi mbuta,ngudi nleke,ngudi nleke,tata mbuta,maama,tata,tata,tata
2,0.1856916067236727,2.034604665254288,1.8489130585306153,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mulêki,kísoni,kísoni,kísoni,kísoni,mpangi yakala,kísoni,kísoni,mpangi,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi nkento,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,múkomba,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,mâma,ngwaasi,tata mbuta,tata,ngudi nleke,ngudi nleke,taata,ngwaasi,ngudi mbuta,ngwaasi,tata,ngudi mbuta,tata nleke,tata mbuta,tata,tata,mâma,taata,ngwaasi,taata,tata nleke,tata,ngwaasi,taata,tata,maama,maama,ngwaasi
3,0.1846237878578154,2.1236656498644724,1.939041862006657,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mulêki,kísoni,kísoni,kísoni,mpangi yakala,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,mpangi nkento,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,múkomba,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,taata,tata,tata mbuta,tata mbuta,tata,ngwaasi,mâma,maama,taata,taata,ngwaasi,ngudi nleke,ngwaasi,ngwaasi,tata,taata,ngwaasi,tata nleke,ngudi mbuta,tata,tata,mâma,tata nleke,maama,ngudi nleke,ngudi mbuta,ngwaasi,tata
4,0.21087867698216023,1.9931990715083439,1.7823203945261836,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi nkento,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi yakala,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,múkomba,kísoni,kísoni,kísoni,mulêki,yâya,kísoni,kísoni,kísoni,mpangi,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,ngudi mbuta,tata nleke,ngudi nleke,tata,ngwaasi,taata,tata mbuta,ngudi nleke,tata,ngudi mbuta,maama,tata,ngwaasi,ngwaasi,tata,ngwaasi,mâma,ngwaasi,taata,tata,tata mbuta,maama,taata,ngwaasi,mâma,tata,tata nleke,taata
5,0.15572752958127944,2.085372158125092,1.9296446285438127,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi yakala,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,múkomba,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mulêki,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi nkento,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,taata,ngudi nleke,taata,tata,tata nleke,tata,ngudi mbuta,tata,tata,taata,maama,ngwaasi,tata nleke,ngwaasi,ngudi mbuta,tata mbuta,ngudi nleke,tata mbuta,maama,taata,tata,ngwaasi,mâma,mâma,ngwaasi,tata,ngwaasi,ngwaasi
6,0.21864068495282085,2.034604665254288,1.815963980301467,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi,kísoni,kísoni,yâya,kísoni,múkomba,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mulêki,kísoni,kísoni,kísoni,kísoni,mpangi yakala,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi nkento,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,ngudi mbuta,maama,ngudi nleke,tata nleke,tata,mâma,mâma,ngwaasi,ngwaasi,ngwaasi,tata,tata mbuta,ngwaasi,taata,tata,tata,taata,tata,ngudi mbuta,ngwaasi,taata,ngwaasi,tata,tata nleke,tata mbuta,taata,ngudi nleke,maama
7,0.16221249734252385,2.081147658905091,1.9189351615625672,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,mpangi,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,mulêki,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,múkomba,kísoni,kísoni,kísoni,mpangi nkento,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi yakala,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,ngudi mbuta,mâma,tata,ngudi nleke,tata,tata mbuta,tata nleke,ngwaasi,tata mbuta,tata,ngwaasi,ngwaasi,ngudi mbuta,taata,tata,maama,ngudi nleke,ngwaasi,taata,tata,ngwaasi,ngwaasi,tata,maama,tata nleke,mâma,taata,taata
8,0.1965293695818613,2.0707555890652687,1.8742262194834074,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi yakala,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,múkomba,kísoni,kísoni,mpangi,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi nkento,mulêki,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mâma,mâma,ngudi nleke,tata,ngwaasi,tata,ngudi mbuta,tata,tata nleke,ngwaasi,tata nleke,taata,ngwaasi,taata,tata,maama,tata mbuta,tata mbuta,maama,taata,ngwaasi,ngwaasi,tata,tata,taata,ngwaasi,ngudi mbuta,ngudi nleke
9,0.1853568705907438,2.0821814628733275,1.8968245922825837,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,yâya,kísoni,kísoni,mulêki,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi yakala,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,múkomba,kísoni,kísoni,mpangi nkento,yâya,yâya,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mpangi,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,kísoni,mâma,tata,ngwaasi,tata nleke,ngudi nleke,tata nleke,tata,ngwaasi,taata,ngwaasi,taata,ngudi mbuta,tata,ngwaasi,taata,ngudi mbuta,ngudi nleke,ngwaasi,mâma,tata,tata,ngwaasi,taata,tata,tata mbuta,maama,maama,tata mbuta
