simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.07467755177006763,1.0453987791920913,0.9707212274220237,otōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,imōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ane,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,imōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ani,itoko,itoko,ani,itoko,itoko,itoko,ane,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,otōto,itoko,itoko,itoko,itoko,itoko,oba,oji,oji,oji,okāsan,oba,oji,otōsan,oba,oba,oji,oji,oba,oba,oba,oba,oji,oji,oba,oba,oba,otōsan,okāsan,oji,oji,oji,oba,oji
1,0.07254793485016742,1.1009626918595385,1.0284147570093711,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,otōto,itoko,otōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ane,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ane,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,imōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ani,itoko,itoko,ani,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,imōto,itoko,oba,otōsan,oba,oba,oba,oba,oji,oba,oji,oba,oji,oji,okāsan,oba,oji,oji,oji,otōsan,oji,oji,oji,oba,oba,okāsan,oji,oba,oba,oji
2,0.04783901953410008,1.0646050106448108,1.0167659911107108,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,otōto,imōto,itoko,itoko,itoko,ani,itoko,itoko,ane,itoko,itoko,itoko,itoko,itoko,itoko,imōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ani,itoko,itoko,ane,itoko,itoko,otōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,oba,oji,oji,oji,oba,otōsan,oji,otōsan,oba,oji,oba,oji,oji,oba,oba,okāsan,oji,oba,oji,oji,oba,okāsan,oba,oba,oji,oba,oji,oba
3,0.08012524958760991,1.0862715535719039,1.006146303984294,itoko,itoko,itoko,itoko,otōto,itoko,itoko,itoko,itoko,itoko,itoko,ani,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ane,itoko,itoko,ani,itoko,itoko,itoko,itoko,itoko,itoko,otōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,imōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,imōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ane,oba,oji,oba,oji,oji,oba,oba,oba,okāsan,okāsan,oba,oba,oba,otōsan,oji,oji,oji,oji,otōsan,oba,oji,oji,oba,oji,oji,oba,oji,oba
4,0.09150242142192955,1.1498647549884722,1.0583623335665426,itoko,itoko,itoko,itoko,otōto,itoko,ane,ane,itoko,itoko,itoko,itoko,itoko,itoko,otōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,imōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,imōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ani,ani,itoko,oba,oji,oba,oji,oba,okāsan,oba,okāsan,oba,oji,oji,oji,oji,oji,oji,otōsan,otōsan,oji,oba,oba,oba,oba,oji,oji,oba,oji,oba,oba
5,0.06319200041220441,1.0834527664471807,1.0202607660349763,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ane,itoko,itoko,ane,ani,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,imōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ani,itoko,itoko,otōto,itoko,itoko,imōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,otōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,oba,oba,okāsan,oji,oji,oba,oji,otōsan,oji,oji,oba,oba,oji,okāsan,oba,oba,oji,oji,oji,oji,oba,oji,oba,oba,oba,oji,otōsan,oba
6,0.03470814818208834,1.0452149091006981,1.0105067609186098,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,otōto,itoko,itoko,itoko,itoko,ane,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ane,itoko,itoko,itoko,itoko,itoko,itoko,otōto,itoko,itoko,itoko,ani,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ani,itoko,itoko,itoko,itoko,itoko,itoko,itoko,imōto,itoko,itoko,imōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,oba,oji,okāsan,oba,oba,oji,oji,oba,oba,oba,oba,oba,oji,otōsan,oji,oji,oji,oji,oba,oba,oji,otōsan,oba,okāsan,oba,oji,oji,oji
7,0.06126141062454238,1.1040068582012328,1.0427454475766904,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,otōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ane,itoko,itoko,itoko,itoko,itoko,itoko,itoko,imōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ani,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,imōto,ani,itoko,itoko,ane,itoko,itoko,itoko,otōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,oba,okāsan,oji,oba,oji,oji,oji,oji,oji,oji,oba,oji,oba,oba,oba,oba,oba,oba,otōsan,oji,oba,oji,oji,otōsan,oba,oji,okāsan,oba
8,0.06891962532181473,1.1295075764070188,1.060587951085204,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ani,itoko,otōto,itoko,itoko,itoko,imōto,itoko,itoko,imōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ane,itoko,otōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ane,itoko,itoko,itoko,itoko,itoko,ani,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,okāsan,otōsan,oji,oba,oba,oba,oji,oba,okāsan,oji,oji,oji,oji,oji,oji,oji,oba,oba,oba,otōsan,oji,oba,oba,oba,oji,oji,oba,oba
9,0.12099155290151342,1.1053993699588598,0.9844078170573464,ani,itoko,ane,ane,itoko,itoko,imōto,imōto,itoko,itoko,itoko,itoko,itoko,itoko,otōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,otōto,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,ani,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,itoko,otōsan,oji,oba,oba,oba,oji,oba,otōsan,oba,oji,oji,oba,oji,okāsan,oba,oba,oba,oba,oba,okāsan,oji,oji,oji,oji,oji,oji,oji,oba
