simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mMB,mMeB,mMyB,fMB,fMeB,fMyB,mF,mM,mFB,mFZ,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFB,fFZ,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ
0,0.10743672165995977,1.0294709284964414,0.9220342068364816,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,bratranec,bratranec,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,bratranec,bratranec,bratranec,sestřenice,sestřenice,bratranec,sestřenice,sestřenice,sestřenice,bratranec,bratranec,bratranec,sestřenice,sestřenice,bratranec,sestřenice,bratranec,bratranec,bratranec,sestra,bratranec,sestra,bratranec,bratranec,bratranec,bratr,sestřenice,sestřenice,sestřenice,sestřenice,bratr,sestřenice,sestřenice,sestřenice,bratranec,sestřenice,bratr,bratranec,bratranec,sestra,sestřenice,bratranec,bratranec,bratranec,bratr,bratranec,bratranec,bratr,sestřenice,sestřenice,bratranec,bratranec,sestra,bratranec,bratranec,bratranec,sestřenice,bratranec,bratr,bratranec,bratranec,bratranec,sestřenice,bratranec,sestřenice,sestřenice,sestra,bratranec,sestřenice,bratranec,bratranec,sestřenice,bratranec,sestřenice,sestra,sestřenice,sestřenice,teta,strýc,otec,teta,strýc,otec,teta,strýc,strýc,strýc,strýc,teta,teta,matka,matka,teta,teta,strýc,teta,teta,strýc,teta,strýc,strýc,strýc,teta,strýc,teta
1,0.07360316834586611,1.0289547671978305,0.9553515988519644,bratranec,sestřenice,bratranec,sestřenice,bratranec,bratranec,sestřenice,sestřenice,sestřenice,bratranec,sestřenice,sestřenice,bratranec,sestřenice,bratranec,bratranec,sestřenice,bratranec,bratr,bratranec,bratranec,sestra,sestřenice,bratranec,sestra,sestřenice,bratranec,sestřenice,sestřenice,bratr,sestřenice,bratranec,sestřenice,sestřenice,bratranec,sestřenice,sestřenice,bratranec,bratranec,sestřenice,sestřenice,bratranec,sestřenice,bratranec,sestřenice,sestřenice,sestřenice,sestřenice,sestra,bratranec,bratr,bratranec,sestřenice,bratranec,bratranec,sestřenice,sestra,sestřenice,sestřenice,sestřenice,sestra,bratranec,sestřenice,bratranec,sestřenice,bratranec,bratranec,bratranec,sestřenice,sestřenice,bratranec,bratranec,bratr,bratranec,bratr,sestřenice,bratranec,bratr,bratranec,sestřenice,sestřenice,bratranec,bratranec,bratranec,bratranec,bratranec,sestřenice,sestřenice,bratranec,sestra,teta,strýc,strýc,strýc,otec,matka,teta,strýc,strýc,teta,strýc,otec,teta,teta,strýc,strýc,strýc,teta,teta,teta,strýc,teta,teta,strýc,teta,matka,teta,strýc
2,0.037400200848541676,1.2046773173663434,1.1672771165178017,bratranec,bratr,sestra,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,bratranec,sestřenice,sestra,bratranec,bratranec,sestřenice,bratranec,bratranec,bratranec,bratr,sestřenice,sestřenice,sestřenice,sestřenice,bratranec,bratranec,bratranec,bratranec,bratranec,bratranec,bratranec,sestřenice,bratranec,sestřenice,sestřenice,sestřenice,sestra,sestřenice,bratranec,bratranec,bratranec,bratranec,bratranec,sestřenice,sestřenice,bratranec,sestřenice,bratranec,sestřenice,sestra,sestra,bratranec,bratranec,sestřenice,sestřenice,bratranec,sestřenice,bratr,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,sestřenice,bratranec,sestřenice,bratranec,bratr,bratr,bratranec,sestřenice,bratranec,sestřenice,sestřenice,sestra,sestřenice,sestřenice,bratranec,sestřenice,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,bratranec,bratr,bratranec,bratranec,strýc,teta,teta,matka,teta,teta,teta,strýc,strýc,matka,otec,strýc,strýc,strýc,teta,strýc,teta,teta,strýc,otec,teta,strýc,strýc,teta,teta,strýc,strýc,teta
3,0.06510038604878621,1.1651534288302492,1.100053042781463,sestřenice,sestra,bratranec,sestřenice,sestřenice,sestřenice,sestřenice,bratr,sestřenice,sestřenice,sestřenice,bratranec,bratranec,bratranec,sestřenice,sestřenice,bratranec,bratranec,bratranec,sestřenice,sestřenice,sestřenice,bratr,bratranec,sestřenice,bratr,sestřenice,bratranec,sestřenice,bratranec,sestřenice,sestra,sestra,bratranec,bratranec,bratranec,bratranec,bratranec,sestra,bratr,sestřenice,bratranec,bratr,sestřenice,bratranec,bratranec,bratranec,sestra,bratranec,sestřenice,sestřenice,bratranec,sestřenice,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,bratranec,bratranec,bratr,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,sestřenice,sestřenice,bratranec,sestřenice,bratranec,sestřenice,sestra,sestřenice,bratranec,sestřenice,bratranec,bratranec,sestřenice,bratranec,bratranec,bratranec,sestřenice,bratranec,bratranec,sestřenice,sestřenice,teta,teta,teta,strýc,strýc,teta,teta,otec,teta,otec,matka,strýc,matka,strýc,strýc,teta,strýc,teta,teta,teta,strýc,teta,strýc,teta,strýc,strýc,strýc,strýc
4,0.105638145461866,1.0777023635861172,0.9720642181242511,bratranec,bratranec,bratranec,sestřenice,bratranec,sestra,bratr,sestra,bratranec,sestřenice,sestřenice,sestra,bratranec,bratranec,sestřenice,sestřenice,sestřenice,bratranec,sestřenice,sestřenice,sestřenice,sestřenice,bratranec,sestřenice,bratranec,sestra,sestřenice,sestřenice,bratr,bratranec,bratranec,bratranec,sestřenice,sestřenice,bratr,bratranec,sestřenice,sestřenice,bratr,bratr,bratr,bratranec,bratranec,bratranec,sestřenice,sestřenice,bratranec,sestřenice,sestřenice,bratranec,sestřenice,bratranec,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,bratranec,bratranec,bratranec,sestřenice,bratranec,sestřenice,bratranec,bratranec,bratranec,bratranec,sestřenice,sestřenice,sestřenice,sestra,bratranec,sestřenice,sestřenice,sestřenice,bratranec,bratranec,bratranec,bratranec,bratranec,bratranec,bratranec,bratranec,sestřenice,sestřenice,bratranec,sestra,sestřenice,bratranec,strýc,matka,strýc,teta,strýc,matka,teta,teta,strýc,otec,strýc,otec,strýc,teta,teta,strýc,strýc,teta,strýc,teta,teta,teta,strýc,teta,strýc,teta,teta,strýc
5,0.04822826033636707,1.1201846896171463,1.0719564292807793,sestřenice,sestřenice,bratranec,sestřenice,sestřenice,bratranec,bratr,bratranec,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,sestra,bratranec,bratr,sestřenice,bratranec,sestřenice,bratranec,sestra,bratranec,bratranec,bratranec,bratranec,bratranec,bratranec,bratranec,sestra,bratranec,sestřenice,sestřenice,bratranec,sestřenice,sestřenice,bratranec,bratranec,bratranec,sestřenice,bratranec,sestřenice,sestřenice,bratranec,bratr,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,bratranec,bratranec,sestřenice,sestřenice,sestřenice,bratr,sestřenice,bratranec,bratranec,bratranec,sestřenice,bratranec,bratranec,sestřenice,bratranec,sestřenice,sestřenice,sestřenice,sestřenice,sestra,bratranec,bratranec,bratranec,bratranec,bratranec,bratranec,bratranec,sestřenice,bratranec,sestřenice,sestra,sestra,bratranec,bratranec,sestřenice,bratr,bratranec,sestřenice,bratr,teta,strýc,teta,strýc,matka,teta,otec,teta,strýc,strýc,strýc,strýc,teta,strýc,strýc,strýc,teta,strýc,teta,teta,teta,otec,matka,teta,strýc,teta,strýc,teta
6,0.042711900626076105,1.0861390690887136,1.0434271684626375,sestřenice,bratranec,bratranec,sestřenice,bratranec,bratranec,bratr,bratr,bratranec,bratranec,bratranec,sestra,sestřenice,bratr,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,bratranec,sestra,sestřenice,bratranec,sestřenice,sestřenice,sestřenice,bratranec,bratranec,bratranec,bratranec,bratr,bratr,bratranec,sestřenice,bratranec,sestřenice,bratranec,bratranec,sestřenice,sestřenice,bratranec,bratranec,bratranec,bratranec,bratranec,bratranec,sestřenice,sestřenice,sestra,bratr,bratranec,sestřenice,sestra,bratranec,bratranec,sestřenice,sestřenice,sestra,sestřenice,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,sestřenice,bratranec,bratranec,bratranec,bratranec,bratranec,sestřenice,bratranec,sestřenice,sestřenice,bratranec,bratranec,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,sestra,sestřenice,sestřenice,teta,teta,teta,strýc,strýc,teta,strýc,strýc,strýc,otec,teta,strýc,teta,strýc,teta,otec,teta,teta,matka,strýc,strýc,strýc,strýc,teta,teta,teta,matka,strýc
7,0.047987676678978186,1.0798307037434225,1.0318430270644443,sestřenice,sestřenice,bratr,bratranec,sestřenice,bratranec,bratranec,sestřenice,bratranec,bratranec,sestra,sestřenice,bratr,bratr,bratranec,bratr,sestřenice,sestřenice,bratranec,sestřenice,bratranec,sestra,bratranec,bratranec,bratranec,bratranec,sestřenice,sestřenice,sestřenice,bratranec,sestřenice,sestřenice,bratranec,sestřenice,sestřenice,sestřenice,sestřenice,sestra,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,bratranec,sestra,bratranec,bratranec,bratranec,sestřenice,bratranec,bratranec,sestřenice,bratranec,bratranec,sestřenice,sestřenice,sestřenice,bratranec,bratranec,bratranec,sestra,sestřenice,sestra,sestřenice,sestřenice,sestřenice,bratranec,bratr,sestřenice,sestřenice,bratranec,bratranec,bratranec,bratr,sestřenice,sestřenice,bratranec,sestřenice,bratranec,bratranec,bratranec,bratranec,sestřenice,bratranec,sestřenice,bratranec,bratranec,sestřenice,bratranec,bratranec,teta,strýc,strýc,teta,teta,strýc,strýc,strýc,strýc,teta,teta,otec,teta,teta,matka,strýc,teta,teta,teta,strýc,strýc,matka,teta,strýc,strýc,otec,strýc,teta
8,0.06633597609760877,1.0775200212027198,1.011184045105111,sestřenice,sestřenice,bratranec,bratr,sestra,bratranec,sestřenice,bratranec,sestřenice,sestřenice,sestřenice,bratranec,sestřenice,bratr,sestřenice,bratranec,sestřenice,sestřenice,sestra,sestra,bratr,bratranec,sestřenice,sestřenice,sestřenice,sestřenice,bratranec,bratranec,bratranec,bratr,bratranec,sestra,bratranec,bratranec,bratranec,sestřenice,bratranec,sestra,sestřenice,bratr,sestřenice,sestřenice,bratranec,bratranec,sestra,bratranec,sestřenice,sestřenice,bratranec,sestřenice,sestřenice,bratranec,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,bratranec,bratranec,bratranec,bratranec,sestřenice,sestřenice,bratranec,sestřenice,bratr,sestřenice,bratranec,bratranec,bratranec,sestřenice,sestřenice,bratranec,sestřenice,bratranec,sestřenice,sestřenice,bratranec,bratranec,bratranec,bratranec,bratranec,sestřenice,bratranec,bratranec,sestřenice,bratranec,bratranec,bratranec,sestřenice,teta,teta,strýc,strýc,teta,strýc,strýc,strýc,matka,strýc,matka,teta,teta,otec,teta,teta,strýc,strýc,strýc,teta,teta,strýc,teta,otec,strýc,strýc,teta,teta
9,0.029100979560776397,1.0947802405230918,1.0656792609623154,sestřenice,bratranec,sestřenice,bratr,sestra,sestřenice,bratranec,sestřenice,bratranec,sestřenice,sestřenice,sestřenice,bratranec,bratr,bratranec,sestřenice,bratranec,bratranec,sestřenice,bratranec,bratranec,bratranec,sestřenice,sestřenice,sestra,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,sestřenice,bratranec,bratranec,sestřenice,bratranec,bratranec,bratr,bratranec,bratranec,bratranec,bratranec,bratranec,sestřenice,sestra,bratranec,bratranec,bratranec,sestřenice,sestřenice,sestřenice,sestřenice,bratranec,bratranec,sestřenice,bratranec,sestřenice,sestřenice,bratranec,bratranec,bratranec,bratr,bratranec,sestřenice,sestřenice,bratranec,sestřenice,sestra,bratranec,sestřenice,bratranec,sestra,bratranec,bratr,sestřenice,sestřenice,sestřenice,bratr,bratranec,sestřenice,sestřenice,bratranec,bratranec,sestřenice,bratranec,sestřenice,bratranec,bratranec,sestřenice,sestřenice,sestra,strýc,otec,teta,teta,teta,teta,strýc,teta,teta,otec,strýc,strýc,teta,strýc,matka,teta,teta,strýc,matka,strýc,strýc,strýc,teta,strýc,strýc,strýc,teta,teta
