simulation_number,mutual_information,entropy,conditional_entropy,meZ,mFBeD,mMZeD,feB,mFBeS,fFBeS,mFZeS,mMBeS,mMByS,mFZyS,fFZeS,fFZyS,fMBeS,fMByS,mFByD,mMZyD,fyZ,fFByD,fMZyD,myZ,myB,fyB,mFByS,fFByS,mMZyS,fMZyS,meB,mMZeS,mFZeD,mFZyD,mMBeD,mMByD,feZ,fFBeD,fMZeD,fFZeD,fFZyD,fMBeD,fMByD,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ,mF,fF,mFeB,mFyB,fFeB,fFyB
0,0.2599301927099794,1.0397207708399179,0.7797905781299385,chu-aʼ,täʼ-häʼ-she,chu-aʼ,cha-päʼ-she,cha-päʼ-she,me-sunkʼ-ä-lä,täʼ-häʼ-she,me-sunkʼ-ä-lä,täʼ-häʼ-she,me-sunkʼ-ä-lä,me-tonkʼ-ä,me-tunkʼ-she,cha-päʼ-she,me-sunkʼ-ä-lä,hun-käʼ-she,me-tunkʼ-she,tonk-aʼ,tä-häʼ-she,me-tänkʼ-she,hun-käʼ-she,me-cheʼ-a,tib-a-loʼ,cha-päʼ-she,me-cheʼ-a,she-chaʼ-she,me-sunkʼ-ä-lä,tib-a-loʼ,hun-käʼ-she,chu-aʼ,tib-a-loʼ,me-tonkʼ-ä,hun-käʼ-she,tonk-aʼ,she-chaʼ-she,she-chaʼ-she,me-sunkʼ-ä-lä,tonk-aʼ,me-tonkʼ-ä,she-chaʼ-she,tohʼ-we,ah-taʼ,lakeʼ-she,tohʼ-we,eʼ-nah,lakeʼ-she,eʼ-nah,eʼ-nah,lakeʼ-she,ah-taʼ,tohʼ-we,lakeʼ-she,ah-taʼ,eʼ-nah,ah-taʼ,eʼ-nah,ah-taʼ,tohʼ-we,ah-taʼ,eʼ-nah
1,0.4544543674493904,1.0397207708399179,0.5852664033905275,cha-päʼ-she,me-tonkʼ-ä,chu-aʼ,me-sunkʼ-ä-lä,tib-a-loʼ,hun-käʼ-she,täʼ-häʼ-she,hun-käʼ-she,me-tunkʼ-she,tib-a-loʼ,she-chaʼ-she,täʼ-häʼ-she,tä-häʼ-she,tonk-aʼ,chu-aʼ,cha-päʼ-she,me-sunkʼ-ä-lä,tonk-aʼ,me-tonkʼ-ä,cha-päʼ-she,me-sunkʼ-ä-lä,me-tunkʼ-she,she-chaʼ-she,hun-käʼ-she,me-sunkʼ-ä-lä,me-cheʼ-a,me-tänkʼ-she,täʼ-häʼ-she,she-chaʼ-she,she-chaʼ-she,tib-a-loʼ,cha-päʼ-she,hun-käʼ-she,chu-aʼ,me-sunkʼ-ä-lä,me-sunkʼ-ä-lä,me-cheʼ-a,me-tonkʼ-ä,tonk-aʼ,tohʼ-we,tohʼ-we,eʼ-nah,eʼ-nah,eʼ-nah,ah-taʼ,tohʼ-we,ah-taʼ,lakeʼ-she,eʼ-nah,lakeʼ-she,lakeʼ-she,eʼ-nah,ah-taʼ,lakeʼ-she,tohʼ-we,eʼ-nah,ah-taʼ,ah-taʼ,ah-taʼ
2,0.5198603854199589,1.0397207708399179,0.5198603854199589,she-chaʼ-she,hun-käʼ-she,she-chaʼ-she,me-sunkʼ-ä-lä,tib-a-loʼ,me-tonkʼ-ä,me-tunkʼ-she,me-sunkʼ-ä-lä,me-sunkʼ-ä-lä,tonk-aʼ,cha-päʼ-she,me-cheʼ-a,me-cheʼ-a,tä-häʼ-she,täʼ-häʼ-she,me-sunkʼ-ä-lä,tib-a-loʼ,me-tonkʼ-ä,hun-käʼ-she,hun-käʼ-she,täʼ-häʼ-she,cha-päʼ-she,tib-a-loʼ,täʼ-häʼ-she,me-sunkʼ-ä-lä,chu-aʼ,me-tonkʼ-ä,she-chaʼ-she,cha-päʼ-she,me-sunkʼ-ä-lä,cha-päʼ-she,hun-käʼ-she,she-chaʼ-she,tonk-aʼ,me-tunkʼ-she,tonk-aʼ,me-tänkʼ-she,chu-aʼ,chu-aʼ,tohʼ-we,lakeʼ-she,lakeʼ-she,ah-taʼ,eʼ-nah,tohʼ-we,lakeʼ-she,lakeʼ-she,ah-taʼ,tohʼ-we,ah-taʼ,eʼ-nah,tohʼ-we,ah-taʼ,ah-taʼ,eʼ-nah,ah-taʼ,eʼ-nah,eʼ-nah,eʼ-nah
3,0.1618211657541267,0.5623351446188083,0.4005139788646816,cha-päʼ-she,me-tonkʼ-ä,me-cheʼ-a,me-cheʼ-a,hun-käʼ-she,tib-a-loʼ,me-sunkʼ-ä-lä,me-tänkʼ-she,she-chaʼ-she,me-tonkʼ-ä,täʼ-häʼ-she,cha-päʼ-she,chu-aʼ,chu-aʼ,she-chaʼ-she,she-chaʼ-she,täʼ-häʼ-she,hun-käʼ-she,me-tunkʼ-she,täʼ-häʼ-she,chu-aʼ,hun-käʼ-she,tä-häʼ-she,tib-a-loʼ,cha-päʼ-she,tonk-aʼ,tonk-aʼ,me-sunkʼ-ä-lä,me-sunkʼ-ä-lä,me-sunkʼ-ä-lä,me-tonkʼ-ä,hun-käʼ-she,me-sunkʼ-ä-lä,tib-a-loʼ,tonk-aʼ,cha-päʼ-she,me-tunkʼ-she,she-chaʼ-she,me-sunkʼ-ä-lä,eʼ-nah,eʼ-nah,eʼ-nah,eʼ-nah,lakeʼ-she,lakeʼ-she,eʼ-nah,tohʼ-we,ah-taʼ,ah-taʼ,ah-taʼ,tohʼ-we,ah-taʼ,lakeʼ-she,ah-taʼ,eʼ-nah,ah-taʼ,tohʼ-we,tohʼ-we,lakeʼ-she
4,0.6931471805599453,1.3862943611198906,0.6931471805599453,me-sunkʼ-ä-lä,chu-aʼ,tä-häʼ-she,täʼ-häʼ-she,cha-päʼ-she,cha-päʼ-she,she-chaʼ-she,me-tänkʼ-she,täʼ-häʼ-she,tib-a-loʼ,chu-aʼ,tonk-aʼ,hun-käʼ-she,cha-päʼ-she,me-tunkʼ-she,täʼ-häʼ-she,me-tonkʼ-ä,she-chaʼ-she,me-cheʼ-a,tonk-aʼ,me-tunkʼ-she,cha-päʼ-she,me-sunkʼ-ä-lä,she-chaʼ-she,me-cheʼ-a,me-tonkʼ-ä,me-sunkʼ-ä-lä,me-sunkʼ-ä-lä,tonk-aʼ,me-sunkʼ-ä-lä,hun-käʼ-she,me-sunkʼ-ä-lä,she-chaʼ-she,tib-a-loʼ,tib-a-loʼ,hun-käʼ-she,hun-käʼ-she,chu-aʼ,me-tonkʼ-ä,eʼ-nah,tohʼ-we,ah-taʼ,ah-taʼ,ah-taʼ,lakeʼ-she,lakeʼ-she,eʼ-nah,ah-taʼ,lakeʼ-she,eʼ-nah,lakeʼ-she,ah-taʼ,eʼ-nah,tohʼ-we,eʼ-nah,ah-taʼ,tohʼ-we,eʼ-nah,tohʼ-we
5,0.02556372141454677,0.5623351446188083,0.5367714232042615,me-tunkʼ-she,me-tänkʼ-she,tonk-aʼ,me-tonkʼ-ä,she-chaʼ-she,täʼ-häʼ-she,cha-päʼ-she,me-tonkʼ-ä,she-chaʼ-she,tib-a-loʼ,me-cheʼ-a,she-chaʼ-she,tib-a-loʼ,she-chaʼ-she,chu-aʼ,hun-käʼ-she,me-sunkʼ-ä-lä,cha-päʼ-she,tonk-aʼ,me-sunkʼ-ä-lä,hun-käʼ-she,me-tunkʼ-she,tä-häʼ-she,me-sunkʼ-ä-lä,täʼ-häʼ-she,me-sunkʼ-ä-lä,me-sunkʼ-ä-lä,cha-päʼ-she,me-tonkʼ-ä,chu-aʼ,hun-käʼ-she,tonk-aʼ,hun-käʼ-she,me-cheʼ-a,tib-a-loʼ,täʼ-häʼ-she,chu-aʼ,cha-päʼ-she,me-sunkʼ-ä-lä,tohʼ-we,lakeʼ-she,lakeʼ-she,eʼ-nah,eʼ-nah,ah-taʼ,lakeʼ-she,ah-taʼ,ah-taʼ,ah-taʼ,eʼ-nah,tohʼ-we,tohʼ-we,ah-taʼ,ah-taʼ,eʼ-nah,lakeʼ-she,tohʼ-we,eʼ-nah,eʼ-nah
6,0.3465735902799727,1.3862943611198906,1.0397207708399179,me-tonkʼ-ä,me-cheʼ-a,me-sunkʼ-ä-lä,tä-häʼ-she,täʼ-häʼ-she,me-tänkʼ-she,chu-aʼ,cha-päʼ-she,hun-käʼ-she,me-sunkʼ-ä-lä,hun-käʼ-she,she-chaʼ-she,cha-päʼ-she,täʼ-häʼ-she,me-sunkʼ-ä-lä,she-chaʼ-she,me-sunkʼ-ä-lä,tonk-aʼ,hun-käʼ-she,chu-aʼ,she-chaʼ-she,me-tonkʼ-ä,me-sunkʼ-ä-lä,cha-päʼ-she,me-tonkʼ-ä,me-tunkʼ-she,tib-a-loʼ,tonk-aʼ,tonk-aʼ,she-chaʼ-she,me-cheʼ-a,täʼ-häʼ-she,chu-aʼ,me-tunkʼ-she,tib-a-loʼ,tib-a-loʼ,hun-käʼ-she,me-sunkʼ-ä-lä,cha-päʼ-she,ah-taʼ,eʼ-nah,tohʼ-we,tohʼ-we,lakeʼ-she,ah-taʼ,lakeʼ-she,ah-taʼ,lakeʼ-she,ah-taʼ,eʼ-nah,ah-taʼ,eʼ-nah,ah-taʼ,eʼ-nah,tohʼ-we,eʼ-nah,lakeʼ-she,tohʼ-we,eʼ-nah
7,0.2599301927099794,1.0397207708399179,0.7797905781299385,me-sunkʼ-ä-lä,chu-aʼ,tib-a-loʼ,tä-häʼ-she,me-cheʼ-a,täʼ-häʼ-she,me-sunkʼ-ä-lä,me-tunkʼ-she,tonk-aʼ,me-tonkʼ-ä,hun-käʼ-she,tib-a-loʼ,me-sunkʼ-ä-lä,me-tonkʼ-ä,she-chaʼ-she,cha-päʼ-she,me-sunkʼ-ä-lä,hun-käʼ-she,she-chaʼ-she,cha-päʼ-she,me-tunkʼ-she,she-chaʼ-she,me-sunkʼ-ä-lä,hun-käʼ-she,me-cheʼ-a,chu-aʼ,täʼ-häʼ-she,tonk-aʼ,she-chaʼ-she,chu-aʼ,tonk-aʼ,tib-a-loʼ,me-tonkʼ-ä,cha-päʼ-she,cha-päʼ-she,hun-käʼ-she,täʼ-häʼ-she,me-tänkʼ-she,me-sunkʼ-ä-lä,eʼ-nah,ah-taʼ,ah-taʼ,ah-taʼ,lakeʼ-she,tohʼ-we,eʼ-nah,lakeʼ-she,tohʼ-we,lakeʼ-she,tohʼ-we,eʼ-nah,lakeʼ-she,ah-taʼ,eʼ-nah,eʼ-nah,ah-taʼ,ah-taʼ,eʼ-nah,tohʼ-we
8,0.3465735902799726,1.0397207708399179,0.6931471805599453,me-cheʼ-a,me-tonkʼ-ä,me-sunkʼ-ä-lä,me-sunkʼ-ä-lä,she-chaʼ-she,she-chaʼ-she,täʼ-häʼ-she,me-sunkʼ-ä-lä,hun-käʼ-she,chu-aʼ,she-chaʼ-she,me-tonkʼ-ä,chu-aʼ,tib-a-loʼ,tonk-aʼ,chu-aʼ,me-sunkʼ-ä-lä,cha-päʼ-she,tib-a-loʼ,she-chaʼ-she,tonk-aʼ,täʼ-häʼ-she,me-sunkʼ-ä-lä,me-cheʼ-a,täʼ-häʼ-she,me-tunkʼ-she,cha-päʼ-she,tonk-aʼ,tä-häʼ-she,cha-päʼ-she,cha-päʼ-she,me-tänkʼ-she,hun-käʼ-she,tib-a-loʼ,me-tunkʼ-she,me-sunkʼ-ä-lä,hun-käʼ-she,hun-käʼ-she,me-tonkʼ-ä,ah-taʼ,tohʼ-we,eʼ-nah,ah-taʼ,eʼ-nah,ah-taʼ,tohʼ-we,eʼ-nah,lakeʼ-she,lakeʼ-she,ah-taʼ,eʼ-nah,lakeʼ-she,ah-taʼ,tohʼ-we,ah-taʼ,tohʼ-we,eʼ-nah,eʼ-nah,lakeʼ-she
9,0.2599301927099794,1.0397207708399179,0.7797905781299385,me-cheʼ-a,me-tonkʼ-ä,hun-käʼ-she,tib-a-loʼ,hun-käʼ-she,cha-päʼ-she,me-sunkʼ-ä-lä,cha-päʼ-she,tonk-aʼ,tonk-aʼ,täʼ-häʼ-she,täʼ-häʼ-she,me-sunkʼ-ä-lä,chu-aʼ,cha-päʼ-she,chu-aʼ,tib-a-loʼ,hun-käʼ-she,hun-käʼ-she,me-sunkʼ-ä-lä,tä-häʼ-she,she-chaʼ-she,tib-a-loʼ,me-sunkʼ-ä-lä,me-tonkʼ-ä,she-chaʼ-she,me-sunkʼ-ä-lä,me-sunkʼ-ä-lä,me-tonkʼ-ä,me-tunkʼ-she,me-tänkʼ-she,she-chaʼ-she,me-cheʼ-a,täʼ-häʼ-she,tonk-aʼ,she-chaʼ-she,me-tunkʼ-she,chu-aʼ,cha-päʼ-she,ah-taʼ,lakeʼ-she,tohʼ-we,ah-taʼ,eʼ-nah,eʼ-nah,ah-taʼ,eʼ-nah,ah-taʼ,lakeʼ-she,lakeʼ-she,tohʼ-we,lakeʼ-she,eʼ-nah,eʼ-nah,ah-taʼ,tohʼ-we,tohʼ-we,eʼ-nah,ah-taʼ
