simulation_number,mutual_information,entropy,conditional_entropy,mMBeS,fMBeS,mMByS,fMByS,mFZeD,mFZyD,myB,fyB,myZ,fyZ,mFByS,fFByS,mFByD,fFByD,mMZyS,fMZyS,mMZyD,fMZyD,mFBeS,fFBeS,mMZeS,meB,feB,meZ,feZ,mFBeD,fFBeD,mMZeD,fMZeD,mFZeS,mFZyS,fFZeS,fFZyS,mMBeD,fMBeD,mMByD,fMByD,fFZeD,fFZyD,fF,mFeB,mFyB,fFeB,fFyB,mMeB,mMyB,fMeB,fMyB,mFeZ,mFyZ,fFeZ,fFyZ,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ
0,0.4054651081081643,1.0986122886681096,0.6931471805599453,ne-me-säʼ,ne-sǎ-zä',ne-she-mäʼ,ne-läʼ-gwa-lis-sä,ne-me-säʼ,ne-ge-ahʼ,ne-she-mäʼ,n'-däʼ-nä,ne-läʼ-gwa-lis-sä,ne-me-säʼ,ne-she-mäʼ,ne-me-säʼ,ne-she-mäʼ,ne-zheʼ-san,ne-zheʼ-san,ne-zheʼ-san,ne-she-mis-säʼ,ne-ge-ahʼ,ne-gwis-säʼ,ne-she-mäʼ,ne-me-säʼ,ne-she-mis-säʼ,n'-däʼ-nä,ne-she-mäʼ,ne-she-mäʼ,ne-sǎ-zäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-gwis-säʼ,ne-ge-ahʼ,ne-she-mäʼ,ne-sǎ-zäʼ,ne-me-säʼ,ne-she-mäʼ,ne-sǎ-zäʼ,ne-sǎ-zä',ne-zheʼ-san,ne-ge-ahʼ,ne-she-mäʼ,no-säʼ,no-säʼ,ne-ge-ahʼ,ne-ge-ahʼ,ne-ge-ahʼ,no-säʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-ge-ahʼ,noʼ-säʼ,ne-sǎ-gwis-säʼ,no-säʼ,ne-zhe-sänʼ,ne-sǎ-gwis-säʼ,ne-zhe-sänʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-sǎ-gwis-säʼ,ne-sǎ-gwis-säʼ
1,0.10249552980857068,0.6365141682948128,0.5340186384862421,ne-sǎ-zä',ne-zheʼ-san,ne-me-säʼ,ne-zheʼ-san,ne-gwis-säʼ,ne-she-mäʼ,ne-she-mäʼ,ne-she-mis-säʼ,ne-me-säʼ,ne-läʼ-gwa-lis-sä,ne-she-mäʼ,ne-gwis-säʼ,ne-me-säʼ,ne-ge-ahʼ,ne-sǎ-zäʼ,ne-me-säʼ,ne-she-mis-säʼ,ne-läʼ-gwa-lis-sä,ne-she-mäʼ,ne-me-säʼ,ne-zheʼ-san,ne-she-mäʼ,ne-she-mäʼ,n'-däʼ-nä,ne-ge-ahʼ,ne-sǎ-zäʼ,ne-me-säʼ,ne-ge-ahʼ,ne-zheʼ-san,n'-däʼ-nä,ne-she-mäʼ,ne-she-mäʼ,ne-sǎ-zäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-ge-ahʼ,ne-sǎ-zä',ne-she-mäʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-zhe-sänʼ,no-säʼ,ne-sǎ-gwis-säʼ,ne-sǎ-gwis-säʼ,no-säʼ,ne-sǎ-gwis-säʼ,ne-ge-ahʼ,ne-sǎ-gwis-säʼ,no-säʼ,ne-ge-ahʼ,noʼ-säʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-zhe-sänʼ,ne-ge-ahʼ,ne-ge-ahʼ,no-säʼ
2,0.4280131584872344,1.0986122886681096,0.6705991301808751,ne-she-mis-säʼ,ne-sǎ-zä',ne-me-säʼ,ne-she-mäʼ,ne-she-mäʼ,ne-she-mis-säʼ,ne-gwis-säʼ,ne-sǎ-zäʼ,ne-she-mäʼ,ne-zheʼ-san,ne-gwis-säʼ,ne-she-mäʼ,ne-ge-ahʼ,ne-zheʼ-san,ne-ge-ahʼ,ne-ge-ahʼ,ne-sǎ-zä',ne-she-mäʼ,ne-she-mäʼ,ne-me-säʼ,ne-me-säʼ,ne-sǎ-zäʼ,ne-sǎ-zäʼ,ne-me-säʼ,ne-zheʼ-san,ne-she-mäʼ,ne-läʼ-gwa-lis-sä,ne-she-mäʼ,n'-däʼ-nä,ne-me-säʼ,ne-me-säʼ,ne-zheʼ-san,ne-läʼ-gwa-lis-sä,ne-she-mäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-ge-ahʼ,n'-däʼ-nä,ne-ge-ahʼ,no-säʼ,ne-ge-ahʼ,ne-zhe-sänʼ,noʼ-säʼ,no-säʼ,ne-sǎ-gwis-säʼ,ne-zhe-sänʼ,ne-ge-ahʼ,ne-ge-ahʼ,ne-ge-ahʼ,no-säʼ,ne-sǎ-gwis-säʼ,ne-sǎ-gwis-säʼ,no-säʼ,ne-zhe-sänʼ,ne-ge-ahʼ,ne-sǎ-gwis-säʼ,ne-zhe-sänʼ
3,0.24633656603446097,1.0986122886681096,0.8522757226336486,ne-gwis-säʼ,ne-she-mäʼ,ne-läʼ-gwa-lis-sä,ne-läʼ-gwa-lis-sä,ne-she-mäʼ,ne-sǎ-zäʼ,ne-ge-ahʼ,ne-she-mäʼ,ne-ge-ahʼ,n'-däʼ-nä,ne-me-säʼ,ne-she-mäʼ,ne-zheʼ-san,ne-gwis-säʼ,ne-me-säʼ,ne-zheʼ-san,ne-she-mäʼ,ne-she-mäʼ,ne-me-säʼ,ne-sǎ-zäʼ,ne-she-mäʼ,ne-zheʼ-san,ne-me-säʼ,ne-me-säʼ,ne-ge-ahʼ,n'-däʼ-nä,ne-she-mäʼ,ne-she-mis-säʼ,ne-she-mis-säʼ,ne-she-mäʼ,ne-sǎ-zä',ne-me-säʼ,ne-she-mäʼ,ne-zheʼ-san,ne-ge-ahʼ,ne-sǎ-zä',ne-sǎ-zäʼ,ne-she-mäʼ,ne-she-mäʼ,no-säʼ,ne-zhe-sänʼ,ne-sǎ-gwis-säʼ,ne-sǎ-gwis-säʼ,ne-sǎ-gwis-säʼ,ne-zhe-sänʼ,no-säʼ,ne-ge-ahʼ,ne-ge-ahʼ,no-säʼ,ne-zhe-sänʼ,ne-zhe-sänʼ,ne-ge-ahʼ,ne-ge-ahʼ,noʼ-säʼ,ne-sǎ-gwis-säʼ,no-säʼ,ne-ge-ahʼ,ne-ge-ahʼ
4,0.19696409830058603,0.6365141682948128,0.43955006999422674,ne-she-mäʼ,ne-she-mäʼ,ne-gwis-säʼ,n'-däʼ-nä,ne-she-mäʼ,ne-sǎ-zä',ne-ge-ahʼ,ne-she-mäʼ,ne-she-mäʼ,ne-zheʼ-san,ne-she-mis-säʼ,ne-zheʼ-san,ne-sǎ-zä',n'-däʼ-nä,ne-zheʼ-san,ne-sǎ-zäʼ,ne-läʼ-gwa-lis-sä,ne-sǎ-zäʼ,ne-she-mäʼ,ne-ge-ahʼ,ne-gwis-säʼ,ne-me-säʼ,ne-she-mäʼ,ne-me-säʼ,ne-me-säʼ,ne-she-mäʼ,ne-she-mäʼ,ne-me-säʼ,ne-ge-ahʼ,ne-sǎ-zäʼ,ne-ge-ahʼ,ne-me-säʼ,ne-me-säʼ,ne-zheʼ-san,ne-she-mis-säʼ,ne-she-mäʼ,ne-läʼ-gwa-lis-sä,ne-she-mäʼ,ne-she-mäʼ,ne-zhe-sänʼ,no-säʼ,no-säʼ,ne-zhe-sänʼ,ne-ge-ahʼ,ne-ge-ahʼ,ne-sǎ-gwis-säʼ,noʼ-säʼ,ne-ge-ahʼ,ne-sǎ-gwis-säʼ,ne-ge-ahʼ,ne-zhe-sänʼ,no-säʼ,ne-sǎ-gwis-säʼ,ne-zhe-sänʼ,ne-sǎ-gwis-säʼ,no-säʼ,ne-ge-ahʼ,ne-ge-ahʼ
5,0.17441604792151594,0.6365141682948128,0.46209812037329684,ne-ge-ahʼ,ne-she-mäʼ,ne-she-mis-säʼ,ne-gwis-säʼ,ne-ge-ahʼ,ne-ge-ahʼ,ne-sǎ-zäʼ,ne-läʼ-gwa-lis-sä,ne-she-mäʼ,ne-me-säʼ,ne-me-säʼ,ne-sǎ-zäʼ,ne-she-mäʼ,ne-zheʼ-san,ne-she-mäʼ,ne-me-säʼ,ne-me-säʼ,ne-she-mäʼ,ne-she-mäʼ,ne-zheʼ-san,ne-zheʼ-san,n'-däʼ-nä,ne-she-mis-säʼ,ne-ge-ahʼ,ne-läʼ-gwa-lis-sä,ne-me-säʼ,ne-sǎ-zäʼ,ne-gwis-säʼ,ne-she-mäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-she-mäʼ,n'-däʼ-nä,ne-she-mäʼ,ne-zheʼ-san,ne-sǎ-zä',ne-me-säʼ,ne-sǎ-zä',ne-ge-ahʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-ge-ahʼ,no-säʼ,ne-zhe-sänʼ,ne-sǎ-gwis-säʼ,ne-sǎ-gwis-säʼ,ne-zhe-sänʼ,no-säʼ,ne-ge-ahʼ,no-säʼ,no-säʼ,ne-ge-ahʼ,noʼ-säʼ,ne-ge-ahʼ,ne-sǎ-gwis-säʼ,ne-zhe-sänʼ,ne-sǎ-gwis-säʼ
6,0.6365141682948128,1.0986122886681096,0.46209812037329684,ne-she-mis-säʼ,ne-gwis-säʼ,ne-me-säʼ,ne-she-mäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-läʼ-gwa-lis-sä,ne-me-säʼ,ne-she-mis-säʼ,n'-däʼ-nä,ne-she-mäʼ,ne-she-mäʼ,ne-sǎ-zä',ne-zheʼ-san,ne-sǎ-zäʼ,ne-she-mäʼ,ne-zheʼ-san,n'-däʼ-nä,ne-ge-ahʼ,ne-she-mäʼ,ne-she-mäʼ,ne-sǎ-zäʼ,ne-she-mäʼ,ne-sǎ-zä',ne-zheʼ-san,ne-läʼ-gwa-lis-sä,ne-ge-ahʼ,ne-she-mäʼ,ne-me-säʼ,ne-she-mäʼ,ne-gwis-säʼ,ne-ge-ahʼ,ne-me-säʼ,ne-she-mäʼ,ne-ge-ahʼ,ne-me-säʼ,ne-sǎ-zäʼ,ne-me-säʼ,ne-zheʼ-san,no-säʼ,no-säʼ,ne-sǎ-gwis-säʼ,ne-zhe-sänʼ,ne-zhe-sänʼ,ne-ge-ahʼ,ne-ge-ahʼ,no-säʼ,no-säʼ,ne-zhe-sänʼ,ne-sǎ-gwis-säʼ,ne-sǎ-gwis-säʼ,ne-ge-ahʼ,ne-zhe-sänʼ,noʼ-säʼ,ne-ge-ahʼ,ne-ge-ahʼ,ne-sǎ-gwis-säʼ,ne-ge-ahʼ
7,0.6365141682948128,1.0986122886681096,0.46209812037329684,ne-sǎ-zäʼ,ne-she-mäʼ,ne-she-mis-säʼ,ne-me-säʼ,ne-me-säʼ,ne-me-säʼ,ne-me-säʼ,ne-sǎ-zäʼ,ne-she-mäʼ,n'-däʼ-nä,ne-läʼ-gwa-lis-sä,ne-she-mäʼ,ne-she-mäʼ,n'-däʼ-nä,ne-she-mäʼ,ne-läʼ-gwa-lis-sä,ne-zheʼ-san,ne-ge-ahʼ,ne-ge-ahʼ,ne-she-mäʼ,ne-sǎ-zä',ne-she-mis-säʼ,ne-zheʼ-san,ne-ge-ahʼ,ne-zheʼ-san,ne-zheʼ-san,ne-she-mäʼ,ne-she-mäʼ,ne-sǎ-zäʼ,ne-she-mäʼ,ne-gwis-säʼ,ne-gwis-säʼ,ne-she-mäʼ,ne-sǎ-zä',ne-me-säʼ,ne-she-mäʼ,ne-me-säʼ,ne-she-mäʼ,ne-ge-ahʼ,ne-ge-ahʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-ge-ahʼ,ne-sǎ-gwis-säʼ,ne-sǎ-gwis-säʼ,ne-ge-ahʼ,ne-sǎ-gwis-säʼ,no-säʼ,no-säʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-zhe-sänʼ,ne-sǎ-gwis-säʼ,noʼ-säʼ,no-säʼ,no-säʼ,ne-zhe-sänʼ,ne-ge-ahʼ
8,0.15912854207370286,1.0986122886681096,0.9394837465944067,ne-she-mäʼ,n'-däʼ-nä,ne-me-säʼ,n'-däʼ-nä,ne-she-mäʼ,ne-me-säʼ,ne-zheʼ-san,ne-me-säʼ,ne-ge-ahʼ,ne-ge-ahʼ,ne-she-mäʼ,ne-ge-ahʼ,ne-läʼ-gwa-lis-sä,ne-she-mäʼ,ne-sǎ-zäʼ,ne-läʼ-gwa-lis-sä,ne-sǎ-zäʼ,ne-me-säʼ,ne-zheʼ-san,ne-me-säʼ,ne-gwis-säʼ,ne-sǎ-zä',ne-she-mäʼ,ne-she-mäʼ,ne-sǎ-zä',ne-she-mäʼ,ne-me-säʼ,ne-she-mis-säʼ,ne-she-mäʼ,ne-she-mis-säʼ,ne-sǎ-zäʼ,ne-zheʼ-san,ne-gwis-säʼ,ne-she-mäʼ,ne-she-mäʼ,ne-she-mäʼ,ne-zheʼ-san,ne-she-mäʼ,ne-ge-ahʼ,noʼ-säʼ,ne-sǎ-gwis-säʼ,no-säʼ,no-säʼ,ne-ge-ahʼ,ne-sǎ-gwis-säʼ,ne-zhe-sänʼ,ne-ge-ahʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-sǎ-gwis-säʼ,ne-sǎ-gwis-säʼ,ne-ge-ahʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-ge-ahʼ,no-säʼ,ne-zhe-sänʼ,no-säʼ
9,0.40546510810816416,1.0986122886681096,0.6931471805599454,ne-ge-ahʼ,ne-zheʼ-san,ne-me-säʼ,ne-she-mäʼ,ne-she-mäʼ,ne-sǎ-zäʼ,ne-sǎ-zäʼ,ne-gwis-säʼ,ne-she-mäʼ,ne-läʼ-gwa-lis-sä,ne-me-säʼ,ne-she-mäʼ,ne-sǎ-zä',ne-ge-ahʼ,ne-me-säʼ,ne-she-mäʼ,ne-zheʼ-san,ne-she-mäʼ,ne-she-mäʼ,ne-sǎ-zäʼ,ne-ge-ahʼ,ne-she-mäʼ,ne-sǎ-zä',n'-däʼ-nä,ne-she-mäʼ,ne-she-mäʼ,ne-läʼ-gwa-lis-sä,n'-däʼ-nä,ne-zheʼ-san,ne-me-säʼ,ne-gwis-säʼ,ne-me-säʼ,ne-she-mis-säʼ,ne-she-mis-säʼ,ne-she-mäʼ,ne-zheʼ-san,ne-ge-ahʼ,ne-she-mäʼ,ne-me-säʼ,ne-ge-ahʼ,ne-sǎ-gwis-säʼ,ne-sǎ-gwis-säʼ,no-säʼ,no-säʼ,ne-ge-ahʼ,ne-ge-ahʼ,ne-ge-ahʼ,ne-zhe-sänʼ,ne-ge-ahʼ,no-säʼ,no-säʼ,ne-zhe-sänʼ,ne-zhe-sänʼ,ne-sǎ-gwis-säʼ,ne-sǎ-gwis-säʼ,ne-zhe-sänʼ,noʼ-säʼ,ne-ge-ahʼ
