simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZeD,mFZyD,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZeD,fFZyD,fMBeD,fMByD,fMZyS,fMZeD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.14341200076168048,1.0346012329101812,0.8911892321485008,"phôgem, 'au","sim, num",'azhim,"phôgem, 'au, küp",'azhim,nucu,"phôgem, 'au, küp","phôgem, 'au",'azhim,'azhim,'azhim,"sim, num","sim, num",'azhim,'azhim,nucu,"sim, num","sim, num",'azhim,nucu,"sim, num",'azhim,"sim, num","phôgem, 'au",nucu,nucu,'azhim,"sim, num",nucu,"phôgem, 'au, küp",'amcu,'azha,'apa,'azha,'apa,'ani,'aku,'aku,'ani,'azha,'aku,'ai,'azha,'amcu,'ani,'amcu,'ani,'ai,'aku,'amcu
1,0.21207426669985363,1.376055285260417,1.1639810185605635,"sim, num","phôgem, 'au",'azhim,"sim, num","phôgem, 'au",'azhim,"sim, num","phôgem, 'au, küp","sim, num",nucu,"sim, num",nucu,'azhim,nucu,"sim, num",'azhim,"phôgem, 'au",'azhim,'azhim,'azhim,'azhim,nucu,"sim, num",'azhim,'azhim,nucu,nucu,"phôgem, 'au, küp","sim, num","phôgem, 'au, küp",'aku,'apa,'azha,'ani,'amcu,'amcu,'amcu,'aku,'aku,'azha,'azha,'ai,'azha,'ani,'aku,'ani,'amcu,'ai,'ani,'apa
2,0.20505815914420467,1.0346012329101812,0.8295430737659766,"phôgem, 'au, küp",'azhim,'azhim,"sim, num","sim, num",'azhim,"sim, num",nucu,nucu,nucu,'azhim,'azhim,"sim, num",'azhim,"sim, num",nucu,"phôgem, 'au, küp",'azhim,'azhim,'azhim,nucu,"phôgem, 'au","sim, num","phôgem, 'au","phôgem, 'au, küp","sim, num","sim, num",'azhim,"phôgem, 'au",nucu,'amcu,'azha,'amcu,'ani,'ai,'ani,'apa,'aku,'aku,'amcu,'ani,'azha,'ani,'azha,'azha,'amcu,'ai,'aku,'aku,'apa
3,0.4848660531119159,0.9799711820833054,0.4951051289713895,nucu,"phôgem, 'au, küp",'azhim,'azhim,nucu,"sim, num","sim, num",nucu,"sim, num",'azhim,'azhim,'azhim,nucu,"phôgem, 'au","sim, num","sim, num",'azhim,'azhim,"phôgem, 'au, küp","sim, num","phôgem, 'au","sim, num",'azhim,'azhim,"phôgem, 'au",'azhim,nucu,"phôgem, 'au, küp",nucu,"sim, num",'azha,'amcu,'aku,'aku,'ai,'aku,'ani,'amcu,'azha,'amcu,'ani,'ani,'apa,'ani,'azha,'azha,'aku,'apa,'amcu,'ai
4,0.4101163182884092,1.0789922078775833,0.6688758895891741,'azhim,nucu,"phôgem, 'au, küp","phôgem, 'au",'azhim,'azhim,"sim, num",'azhim,'azhim,"phôgem, 'au",nucu,'azhim,nucu,"phôgem, 'au, küp",nucu,'azhim,"sim, num","phôgem, 'au, küp","sim, num",nucu,"sim, num",'azhim,"sim, num",nucu,"phôgem, 'au","sim, num","sim, num","sim, num",'azhim,'azhim,'azha,'azha,'amcu,'ani,'aku,'ani,'azha,'ai,'azha,'aku,'amcu,'amcu,'apa,'aku,'ani,'amcu,'ani,'aku,'apa,'ai
5,0.08878194993480482,1.376055285260417,1.2872733353256123,'azhim,"phôgem, 'au",'azhim,"phôgem, 'au, küp","phôgem, 'au","phôgem, 'au, küp",nucu,"phôgem, 'au",'azhim,nucu,"phôgem, 'au, küp",'azhim,"sim, num",nucu,"sim, num","sim, num","sim, num",'azhim,'azhim,"sim, num",'azhim,"sim, num",nucu,nucu,nucu,"sim, num",'azhim,'azhim,'azhim,"sim, num",'azha,'aku,'ai,'amcu,'azha,'aku,'aku,'ani,'ani,'azha,'apa,'amcu,'amcu,'aku,'ani,'ai,'apa,'amcu,'ani,'azha
6,0.34145405235023585,1.034601232910181,0.6931471805599452,"sim, num","phôgem, 'au, küp",nucu,"sim, num","sim, num",'azhim,'azhim,"phôgem, 'au",'azhim,"phôgem, 'au",'azhim,'azhim,'azhim,"phôgem, 'au, küp","sim, num","sim, num",nucu,nucu,'azhim,"phôgem, 'au, küp",'azhim,'azhim,nucu,"phôgem, 'au","sim, num",nucu,"sim, num","sim, num",'azhim,nucu,'apa,'ani,'aku,'ani,'aku,'azha,'aku,'ani,'azha,'ai,'ani,'amcu,'apa,'azha,'aku,'amcu,'azha,'amcu,'ai,'amcu
7,0.24243302655595822,1.0346012329101812,0.792168206354223,"phôgem, 'au, küp","phôgem, 'au",'azhim,"sim, num",nucu,"sim, num",'azhim,"sim, num",'azhim,'azhim,nucu,"phôgem, 'au, küp","phôgem, 'au, küp",'azhim,'azhim,nucu,'azhim,nucu,"sim, num","phôgem, 'au",'azhim,"phôgem, 'au",'azhim,"sim, num",nucu,"sim, num","sim, num","sim, num",nucu,'azhim,'aku,'ai,'apa,'aku,'azha,'ani,'apa,'azha,'ani,'ani,'azha,'aku,'amcu,'azha,'ai,'amcu,'amcu,'aku,'ani,'amcu
8,0.20505815914420455,1.034601232910181,0.8295430737659765,"phôgem, 'au, küp","phôgem, 'au",'azhim,'azhim,"phôgem, 'au, küp",'azhim,"sim, num",'azhim,'azhim,'azhim,"phôgem, 'au, küp","sim, num","phôgem, 'au",'azhim,"sim, num","sim, num",nucu,"phôgem, 'au",nucu,"sim, num",nucu,nucu,"sim, num",nucu,"sim, num",nucu,'azhim,"sim, num",'azhim,'azhim,'aku,'apa,'azha,'aku,'amcu,'aku,'amcu,'ani,'apa,'ai,'azha,'amcu,'ai,'ani,'ani,'azha,'ani,'aku,'azha,'amcu
9,0.41011631828840933,1.376055285260417,0.9659389669720078,'azhim,"phôgem, 'au","sim, num",nucu,'azhim,nucu,nucu,"phôgem, 'au, küp",'azhim,'azhim,"phôgem, 'au, küp",'azhim,'azhim,'azhim,nucu,nucu,'azhim,'azhim,"sim, num","sim, num","sim, num","phôgem, 'au","phôgem, 'au",'azhim,nucu,"sim, num","phôgem, 'au, küp","sim, num","sim, num","sim, num",'ai,'ani,'azha,'amcu,'amcu,'ani,'apa,'aku,'ani,'azha,'apa,'azha,'aku,'ai,'aku,'aku,'azha,'amcu,'amcu,'ani
