simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.4620981203732968,1.0397207708399179,0.5776226504666211,muduɛ,"çɛ̃, šea",šea,muduɛ,çɛ̃,šea,duñɛ,duñɛ,mwɛ̃ɛ̃,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,mwɛ̃ɛ̃,duñɛ,mwiñe-,duñɛ,panɛɛ-,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃","dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",mwɛ̃ɛ̃,mwɛ̃ɛ̃,panɛɛ-,duñɛ,mwiñe-
1,-1.1102230246251565e-16,0.6931471805599453,0.6931471805599454,šea,muduɛ,"çɛ̃, šea",muduɛ,šea,çɛ̃,mwɛ̃ɛ̃,panɛɛ-,panɛɛ-,mwɛ̃ɛ̃,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,duñɛ,duñɛ,duñɛ,duñɛ,mwiñe-,duñɛ,mwɛ̃ɛ̃,mwɛ̃ɛ̃,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃","dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",mwiñe-
2,0.14384103622589045,0.5623351446188083,0.41849410839291784,muduɛ,šea,muduɛ,šea,"çɛ̃, šea",çɛ̃,duñɛ,mwɛ̃ɛ̃,duñɛ,duñɛ,mwɛ̃ɛ̃,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃","dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃","dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,mwiñe-,duñɛ,panɛɛ-,mwiñe-,mwɛ̃ɛ̃,duñɛ,duñɛ,panɛɛ-,mwɛ̃ɛ̃,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃"
3,0.11552453009332408,1.0397207708399179,0.9241962407465938,muduɛ,"çɛ̃, šea",šea,çɛ̃,muduɛ,šea,mwɛ̃ɛ̃,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,mwɛ̃ɛ̃,duñɛ,mwɛ̃ɛ̃,mwiñe-,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",panɛɛ-,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",mwiñe-,duñɛ,duñɛ,duñɛ,mwɛ̃ɛ̃,duñɛ,panɛɛ-,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃"
4,0.2310490601866484,1.0397207708399179,0.8086717106532695,"çɛ̃, šea",šea,šea,muduɛ,çɛ̃,muduɛ,mwɛ̃ɛ̃,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃","dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,mwiñe-,duñɛ,mwɛ̃ɛ̃,duñɛ,mwɛ̃ɛ̃,panɛɛ-,duñɛ,duñɛ,panɛɛ-,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",mwɛ̃ɛ̃,mwiñe-,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,duñɛ
5,0.2310490601866484,1.0397207708399179,0.8086717106532695,šea,muduɛ,šea,muduɛ,"çɛ̃, šea",çɛ̃,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,mwɛ̃ɛ̃,duñɛ,mwɛ̃ɛ̃,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",panɛɛ-,panɛɛ-,duñɛ,mwɛ̃ɛ̃,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,mwɛ̃ɛ̃,mwiñe-,duñɛ,duñɛ,mwiñe-,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃"
6,0.23104906018664828,1.0397207708399179,0.8086717106532696,çɛ̃,šea,"çɛ̃, šea",šea,muduɛ,muduɛ,mwɛ̃ɛ̃,panɛɛ-,mwɛ̃ɛ̃,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃","dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",mwiñe-,mwiñe-,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,duñɛ,mwɛ̃ɛ̃,duñɛ,duñɛ,duñɛ,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",panɛɛ-,duñɛ,mwɛ̃ɛ̃
7,0.21576155433883565,0.5623351446188083,0.34657359027997264,šea,muduɛ,çɛ̃,šea,"çɛ̃, šea",muduɛ,duñɛ,panɛɛ-,duñɛ,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",mwiñe-,mwɛ̃ɛ̃,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",mwɛ̃ɛ̃,duñɛ,panɛɛ-,duñɛ,mwɛ̃ɛ̃,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",mwɛ̃ɛ̃,mwiñe-,duñɛ,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ
8,0.2310490601866484,1.3862943611198906,1.1552453009332422,šea,"çɛ̃, šea",çɛ̃,muduɛ,šea,muduɛ,mwɛ̃ɛ̃,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,panɛɛ-,mwiñe-,duñɛ,panɛɛ-,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",mwɛ̃ɛ̃,duñɛ,duñɛ,mwɛ̃ɛ̃,mwɛ̃ɛ̃,duñɛ,duñɛ,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",mwiñe-
9,0.2310490601866484,1.3862943611198906,1.1552453009332422,"çɛ̃, šea",šea,šea,muduɛ,çɛ̃,muduɛ,mwɛ̃ɛ̃,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",mwiñe-,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",mwɛ̃ɛ̃,duñɛ,mwiñe-,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,duñɛ,duñɛ,duñɛ,"dɔtəšʌ̃ʌ̃, panea, šʌ̃ʌ̃",duñɛ,duñɛ,mwɛ̃ɛ̃,panɛɛ-,mwɛ̃ɛ̃,panɛɛ-
